MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
557,1,Division II,chandlergilbertcommunitycollege,Ethan Faas,,,,Wing,,,10,3.1500000000000004,4.0,2.0,3,6.7,1.3,0.3,0.6,0.3,0.0,0.6,4.6,2.9,1.2,0.9,0.4,0.6532761310452418,0.6847826086956522,116.96927374301676,0.06621965317919075,0.5,0.10474860335195531,0.3793103448275862,0.6304347826086957,0.2608695652173913,0.8174386920980926,0.4087193460490463,1.771117166212534,0.8174386920980926,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
799,2,Division II,chandlergilbertcommunitycollege,Trey McKinney,,,,Wing,,,13,3.0199999999999996,2.9,3.2,3,5.384615384615385,5.769230769230769,1.0,0.6923076923076923,0.7692307692307693,1.0,1.3846153846153846,3.6923076923076925,0.8461538461538461,2.769230769230769,1.7692307692307692,4.0,0.5482456140350876,0.4895833333333333,96.10104338275673,0.06502642479645766,1.4444444444444444,0.12355848434925865,0.2727272727272727,0.22916666666666666,0.75,0.9384775808133472,2.3983315954118876,7.820646506777893,1.8769551616266944,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
1235,3,Division II,chandlergilbertcommunitycollege,Jaden Acuna,,,,Wing,,,12,2.8,3.3000000000000003,2.0,3,8.666666666666666,2.0833333333333335,1.1666666666666667,0.8333333333333334,0.6666666666666666,0.0,0.8333333333333334,6.083333333333333,2.3333333333333335,2.9166666666666665,0.75,1.3333333333333333,0.588235294117647,0.5273972602739726,105.6910569105691,0.09607123330469422,1.4,0.1016260162601626,0.25,0.3835616438356164,0.4794520547945205,1.1363636363636365,0.9090909090909091,2.840909090909091,1.1363636363636365,Very Good,4,Poor,1,Average,3,Average,3,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1349,4,Division II,chandlergilbertcommunitycollege,Jayven Price,,,,Wing,,,13,2.7575000000000003,2.5500000000000003,2.95,3,13.153846153846153,5.384615384615385,3.1538461538461537,1.6923076923076923,1.7692307692307692,0.07692307692307693,2.4615384615384617,11.384615384615385,2.3846153846153846,3.0,1.0,4.384615384615385,0.5176798256236377,0.46959459459459457,91.36567642658687,0.167083273818026,1.8636363636363635,0.11754648429151528,0.22580645161290322,0.20945945945945946,0.2635135135135135,2.2940563086548487,2.502606882168926,7.299270072992701,3.3368091762252345,Below Average,2,Average,3,Poor,1,Very Good,4,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Below Average,2,Average,3,Below Average,2,Very Good,4,Elite,5,Unknown
1382,5,Division II,chandlergilbertcommunitycollege,Bo Dolinsek,,,,Wing,,,13,2.75,3.1999999999999997,2.0,3,9.307692307692308,4.3076923076923075,0.9230769230769231,1.0,0.46153846153846156,0.23076923076923078,1.1538461538461537,7.384615384615385,2.076923076923077,3.1538461538461537,1.3076923076923077,3.0,0.5305156085584006,0.4895833333333333,95.2455919395466,0.11341236966147694,0.9230769230769231,0.10232997481108314,0.37037037037037035,0.28125,0.4270833333333333,1.3555787278415015,0.9384775808133472,5.839416058394161,1.5641293013555788,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1394,6,Division II,chandlergilbertcommunitycollege,Ollie Hinder,,,,Wing,,,13,2.7474999999999996,2.25,3.35,3,6.076923076923077,4.538461538461538,0.8461538461538461,0.7692307692307693,0.6153846153846154,1.3076923076923077,1.6153846153846154,5.615384615384615,0.3076923076923077,1.1538461538461537,1.6923076923076923,2.8461538461538463,0.4962311557788945,0.4794520547945205,88.16964285714286,0.07998857306099129,1.1,0.11160714285714286,0.0,0.0547945205479452,0.2054794520547945,1.0427528675703859,2.6068821689259645,6.152241918665276,2.18978102189781,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1412,7,Division II,chandlergilbertcommunitycollege,Carter Korab,,,,Wing,,,13,2.7325,2.85,2.45,3,7.538461538461538,4.923076923076923,1.1538461538461537,1.1538461538461537,0.5384615384615384,0.7692307692307693,1.7692307692307692,5.461538461538462,1.3076923076923077,2.5384615384615383,1.3076923076923077,3.6153846153846154,0.5729653882132835,0.5563380281690141,97.49303621169916,0.08973718040279961,1.0,0.1492240350179069,0.29411764705882354,0.23943661971830985,0.4647887323943662,1.5641293013555788,1.772679874869656,6.673618352450469,2.3983315954118876,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2078,8,Division II,chandlergilbertcommunitycollege,Parker Larsen,,,,Wing,,,10,2.4749999999999996,2.65,2.0,3,2.3,1.9,0.3,0.3,0.4,0.0,1.0,1.8,0.1,0.5,0.8,1.1,0.5693069306930694,0.6111111111111112,99.13793103448276,0.026771290099238402,1.0,0.12931034482758622,0.0,0.05555555555555555,0.2777777777777778,0.4076086956521739,0.5434782608695652,2.5815217391304346,1.358695652173913,Average,3,Poor,1,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2102,9,Division II,chandlergilbertcommunitycollege,Jonas Cederlind,,,,Wing,,,8,2.4625000000000004,2.8000000000000003,1.75,3,7.125,4.0,1.5,0.875,0.75,0.125,2.25,6.0,2.875,2.625,1.625,2.375,0.49790356394129975,0.46875,88.72976338729762,0.09495654230473602,1.7142857142857142,0.10896637608966375,0.30434782608695654,0.4791666666666667,0.4375,1.2079378774805867,1.2079378774805867,5.52200172562554,3.106125970664366,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2114,10,Division II,chandlergilbertcommunitycollege,Theophilus Mansell,,,,Wing,,,13,2.4575000000000005,2.3000000000000003,2.45,3,7.076923076923077,4.538461538461538,1.0769230769230769,0.7692307692307693,1.0769230769230769,0.07692307692307693,1.0769230769230769,7.923076923076923,2.1538461538461537,3.1538461538461537,1.3846153846153846,3.1538461538461537,0.380039656311963,0.33495145631067963,70.20757020757021,0.11698328810169976,1.4,0.07631257631257632,0.10714285714285714,0.27184466019417475,0.39805825242718446,1.0427528675703859,1.5641293013555788,6.152241918665276,1.4598540145985401,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
