MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
650,1,Division II,chattahoocheevalleycommunitycollege,Willie Townsend,,,,Wing,,,11,3.1550000000000002,2.75,3.8,3,14.181818181818182,3.4545454545454546,3.6363636363636362,2.909090909090909,2.909090909090909,0.18181818181818182,0.18181818181818182,12.0,4.2727272727272725,5.0,0.5454545454545454,2.909090909090909,0.49935979513444306,0.4318181818181818,82.89054197662063,0.22643053082438996,1.25,0.17003188097768332,0.3404255319148936,0.3560606060606061,0.4166666666666667,4.2356055592322965,4.500330906684315,5.029781601588352,0.26472534745201853,Below Average,2,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Average,3,Unknown
1059,2,Division II,chattahoocheevalleycommunitycollege,Talan Woodham,,,,Wing,,,7,2.95,3.6,2.0,3,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,1.0,1.0,200.0,0.001921008145074535,,0.0,,0.0,0.0,0.0,0.21953896816684962,0.21953896816684962,0.0,Elite,5,Poor,1,Elite,5,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1266,3,Division II,chattahoocheevalleycommunitycollege,Jared Days-Jean,,,,Wing,,,18,2.8550000000000004,2.1500000000000004,3.8,3,10.38888888888889,8.444444444444445,1.0555555555555556,2.2222222222222223,0.6111111111111112,0.8333333333333334,0.2222222222222222,8.222222222222221,0.0,4.166666666666667,2.1666666666666665,6.277777777777778,0.5165745856353591,0.5067567567567568,84.61538461538461,0.1608208412167079,0.475,0.18099547511312217,,0.0,0.5067567567567568,3.231017770597738,2.10016155088853,12.277867528271406,0.32310177705977383,Below Average,2,Average,3,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Very Good,4,Elite,5,Very Good,4,Unknown
1789,4,Division II,chattahoocheevalleycommunitycollege,Dezmond Williams,,,,Wing,,,17,2.6574999999999998,2.6999999999999997,2.45,3,8.764705882352942,2.588235294117647,2.176470588235294,1.3529411764705883,1.0,0.0,0.23529411764705882,7.117647058823529,0.11764705882352941,2.235294117647059,1.1764705882352942,1.411764705882353,0.5409526575660761,0.5206611570247934,92.70781483325037,0.12442324962066081,1.608695652173913,0.14310602289696367,0.0,0.01652892561983471,0.3140495867768595,1.9801980198019802,1.4636246233318984,3.7882049074472666,0.34438226431338786,Average,3,Below Average,2,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2156,5,Division II,chattahoocheevalleycommunitycollege,Romie Cosby,,,,Wing,,,13,2.5324999999999998,2.45,2.45,3,4.846153846153846,3.5384615384615383,1.6923076923076923,0.9230769230769231,1.0769230769230769,0.0,0.07692307692307693,4.076923076923077,1.1538461538461537,1.6153846153846154,1.0769230769230769,2.4615384615384617,0.5061053984575835,0.4716981132075472,84.85991379310344,0.07440368811385048,1.8333333333333333,0.16163793103448273,0.4,0.2830188679245283,0.39622641509433965,1.3445378151260505,1.5686274509803921,5.15406162464986,0.11204481792717087,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3180,6,Division II,chattahoocheevalleycommunitycollege,Gavin Smith-Hall,,,,Wing,,,10,2.25,2.2,2.0,3,1.7,1.7,0.1,0.6,0.3,0.1,0.2,1.3,0.0,0.4,0.6,1.1,0.575880758807588,0.5384615384615384,81.88824662813103,0.02777480466659531,0.16666666666666666,0.28901734104046245,,0.0,0.3076923076923077,0.900225056264066,0.6001500375093773,2.550637659414854,0.30007501875468867,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3349,7,Division II,chattahoocheevalleycommunitycollege,Kamron Carryl,,,,Wing,,,18,2.2,2.1,2.0,3,3.8333333333333335,1.8333333333333333,1.1111111111111112,0.6666666666666666,0.8333333333333334,0.1111111111111111,0.16666666666666666,3.611111111111111,0.2222222222222222,0.5,0.6666666666666666,1.1666666666666667,0.5002900232018562,0.4846153846153846,85.22727272727273,0.058946877912395154,1.6666666666666667,0.1482213438735178,0.25,0.06153846153846154,0.13846153846153847,0.9724473257698542,1.3776337115072934,2.674230145867099,0.24311183144246354,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3436,8,Division II,chattahoocheevalleycommunitycollege,Kamon (KJ) Canty,,,,Wing,,,19,2.175,2.0500000000000003,2.0,3,11.157894736842104,4.0,1.1578947368421053,1.6842105263157894,0.631578947368421,0.15789473684210525,0.10526315789473684,11.0,1.9473684210526316,1.5789473684210527,0.8421052631578947,3.1578947368421053,0.4770477047704771,0.45933014354066987,83.39889850511409,0.17497246696035243,0.6875,0.12588512981904013,0.32432432432432434,0.17703349282296652,0.14354066985645933,2.4511681348142473,1.1489850631941785,5.821524320183838,0.15319800842589046,Poor,1,Average,3,Poor,1,Poor,1,Very Good,4,Average,3,Average,3,Average,3,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3649,9,Division II,chattahoocheevalleycommunitycollege,Christopher (CJ) Shiflett,,,,Wing,,,14,2.125,1.9500000000000002,2.0,3,9.428571428571429,2.7142857142857144,1.2142857142857142,2.0,0.7857142857142857,0.14285714285714285,0.2857142857142857,8.642857142857142,4.571428571428571,2.357142857142857,0.6428571428571429,2.0714285714285716,0.48701298701298695,0.45454545454545453,80.72407045009784,0.1540606745807424,0.6071428571428571,0.17123287671232876,0.28125,0.5289256198347108,0.2727272727272727,2.962962962962963,1.3756613756613756,4.021164021164021,0.42328042328042326,Poor,1,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3996,10,Division II,chattahoocheevalleycommunitycollege,Rowen Thornton,,,,Wing,,,14,2.0250000000000004,1.7500000000000002,2.0,3,3.5,0.5714285714285714,0.5,0.6428571428571429,0.2857142857142857,0.14285714285714285,0.07142857142857142,4.0,2.642857142857143,0.6428571428571429,0.07142857142857142,0.5,0.4086057371581054,0.38392857142857145,71.05568445475637,0.06399168553505809,0.7777777777777778,0.1305104408352668,0.1891891891891892,0.6607142857142857,0.16071428571428573,0.944386149003148,0.6295907660020986,0.8394543546694648,0.1049317943336831,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4053,11,Division II,chattahoocheevalleycommunitycollege,Ty'Jor Cooper,,,,Wing,,,14,2.0075000000000003,1.4000000000000001,2.45,3,2.7857142857142856,3.142857142857143,0.5,0.7142857142857143,0.9285714285714286,0.07142857142857142,0.07142857142857142,3.357142857142857,1.6428571428571428,0.14285714285714285,0.7857142857142857,2.357142857142857,0.40726817042606517,0.39361702127659576,67.38078783690393,0.054371923496035764,0.7,0.17277125086385625,0.13043478260869565,0.48936170212765956,0.0425531914893617,1.0526315789473684,1.4736842105263157,4.631578947368421,0.10526315789473684,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
4425,12,Division II,chattahoocheevalleycommunitycollege,Isaiah Pena,,,,Wing,,,14,1.8499999999999999,1.4000000000000001,2.0,3,1.1428571428571428,1.3571428571428572,0.14285714285714285,0.5,0.0,0.6428571428571429,0.0,1.0714285714285714,0.0,0.07142857142857142,0.5,0.8571428571428571,0.5181347150259068,0.5333333333333333,71.30124777183602,0.021079923345733283,0.2857142857142857,0.31194295900178254,,0.0,0.06666666666666667,0.7368421052631579,0.9473684210526315,2.0,0.0,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4525,13,Division II,chattahoocheevalleycommunitycollege,Omar Johnson,,,,Wing,,,8,1.7750000000000001,1.2500000000000002,2.0,3,0.625,0.75,0.125,0.5,0.125,0.0,0.0,1.25,1.0,0.0,0.375,0.375,0.25,0.25,35.714285714285715,0.022342802425789978,0.25,0.2857142857142857,0.125,0.8,0.0,0.721370604147881,0.18034265103697025,1.0820559062218214,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
