MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
399,1,Division II,clevelandcommunitycollege,Kelan Flowers,,,,Wing,,,18,3.3325000000000005,4.050000000000001,2.45,3,18.055555555555557,3.1666666666666665,4.722222222222222,2.0,1.2222222222222223,0.1111111111111111,0.0,13.38888888888889,6.388888888888889,4.055555555555555,0.8333333333333334,2.3333333333333335,0.5949765670767428,0.5518672199170125,105.1371635610766,0.1946158301644463,2.361111111111111,0.11645962732919254,0.3652173913043478,0.47717842323651455,0.3029045643153527,2.6200873362445414,1.7467248908296944,4.148471615720524,0.0,Very Good,4,Very Good,4,Average,3,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
826,2,Division II,clevelandcommunitycollege,Miles Beard,,,,Wing,,,13,3.0500000000000007,3.8000000000000007,2.0,3,17.923076923076923,3.6923076923076925,1.2307692307692308,1.3076923076923077,0.8461538461538461,0.15384615384615385,0.6923076923076923,14.615384615384615,7.846153846153846,2.4615384615384617,1.0769230769230769,2.6153846153846154,0.5708545668365347,0.5552631578947368,105.39171340691152,0.19329905921029622,0.9411764705882353,0.07689524154152343,0.4411764705882353,0.5368421052631579,0.16842105263157894,1.7180394138453765,1.3137948458817585,4.8509348155634155,0.9095502779181405,Very Good,4,Very Good,4,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1223,3,Division II,clevelandcommunitycollege,Tamareion Roundtree,,,,Wing,,,14,2.875,3.45,2.0,3,8.714285714285714,4.714285714285714,0.5714285714285714,1.0,0.2857142857142857,0.07142857142857142,0.7142857142857143,6.071428571428571,0.07142857142857142,2.2142857142857144,1.7857142857142858,2.9285714285714284,0.6184103811841039,0.5941176470588235,108.3096590909091,0.09236420886906323,0.5714285714285714,0.12428977272727272,1.0,0.011764705882352941,0.36470588235294116,1.3263855992420654,0.4737091425864519,6.252960682141166,0.9474182851729038,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1356,4,Division II,clevelandcommunitycollege,Caden Thomas,,,,Wing,,,12,2.825,3.3499999999999996,2.0,3,4.333333333333333,2.5833333333333335,0.08333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,2.25,0.0,1.0,1.0,1.5833333333333333,0.80545229244114,0.8148148148148148,129.09632571996028,0.03809055490411166,0.125,0.19860973187686196,,0.0,0.4444444444444444,0.8733624454148472,0.4366812227074236,3.3842794759825328,0.1091703056768559,Elite,5,Poor,1,Elite,5,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1364,5,Division II,clevelandcommunitycollege,Cairo Morales,,,,Wing,,,19,2.8225,2.4000000000000004,3.35,3,10.105263157894736,8.631578947368421,1.0,1.736842105263158,0.5789473684210527,0.5789473684210527,0.5263157894736842,7.052631578947368,0.2631578947368421,4.421052631578948,4.684210526315789,3.9473684210526314,0.5615348619560131,0.5186567164179104,94.13610511865072,0.1216393520837806,0.5757575757575758,0.1617964306726809,0.2,0.03731343283582089,0.6268656716417911,2.2805805114029027,1.520387007601935,11.333794056668971,0.691085003455425,Average,3,Below Average,2,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Unknown
1407,6,Division II,clevelandcommunitycollege,Jacob Adair,,,,Wing,,,19,2.8,3.3000000000000003,2.0,3,11.736842105263158,3.8421052631578947,2.0,1.0526315789473684,0.8947368421052632,0.05263157894736842,0.3684210526315789,10.0,5.473684210526316,1.2105263157894737,0.6842105263157895,3.1578947368421053,0.5571657005796522,0.5447368421052632,101.3083772487734,0.13127698656933606,1.9,0.0908595311648192,0.3942307692307692,0.5473684210526316,0.12105263157894737,1.38217000691085,1.243953006219765,5.044920525224603,0.4837595024187975,Average,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2341,7,Division II,clevelandcommunitycollege,Jamari Smith,,,,Wing,,,15,2.4825,2.35,2.45,3,6.333333333333333,4.533333333333333,2.8,1.8666666666666667,1.1333333333333333,0.06666666666666667,0.4,4.866666666666666,0.8666666666666667,2.066666666666667,0.4666666666666667,4.066666666666666,0.5482456140350878,0.4794520547945205,82.86810886252617,0.08778754556314516,1.5,0.24424284717376135,0.3076923076923077,0.1780821917808219,0.4246575342465753,2.4691358024691357,1.5873015873015872,5.99647266313933,0.5291005291005291,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2702,8,Division II,clevelandcommunitycollege,Josh Bullock,,,,Wing,,,16,2.375,2.45,2.0,3,4.3125,2.5,3.5625,1.5,0.625,0.3125,0.0625,2.8125,1.0,2.375,0.5625,1.9375,0.5589760207388205,0.45555555555555555,80.49463369108726,0.06001288190652215,2.375,0.2799813345776948,0.1875,0.35555555555555557,0.8444444444444444,1.9528071602929211,1.2205044751830756,3.254678600488202,0.08136696501220504,Average,3,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3256,9,Division II,clevelandcommunitycollege,Cameron McDowell,,,,Wing,,,13,2.225,2.1500000000000004,2.0,3,2.6153846153846154,1.6153846153846154,1.0,0.5384615384615384,0.5384615384615384,0.0,0.3076923076923077,2.6923076923076925,1.3846153846153846,0.7692307692307693,0.46153846153846156,1.1538461538461537,0.43147208121827413,0.45714285714285713,73.27586206896552,0.04088393895604976,1.8571428571428572,0.15086206896551724,0.3333333333333333,0.5142857142857142,0.2857142857142857,0.7142857142857143,0.7142857142857143,2.142857142857143,0.40816326530612246,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3464,10,Division II,clevelandcommunitycollege,Hans Ngolaminga,,,,Wing,,,17,2.175,2.05,2.0,3,1.7647058823529411,3.411764705882353,0.11764705882352941,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.17647058823529413,2.0,0.0,0.7647058823529411,1.411764705882353,2.0,0.3776435045317221,0.35294117647058826,67.0840787119857,0.029845168179391347,0.4,0.11180679785330948,,0.0,0.38235294117647056,0.38580246913580246,0.7716049382716049,4.4753086419753085,0.23148148148148148,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
