MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
693,1,Division II,coastalalabamanorth,Elijah Pippins,,,,Wing,,,15,3.0725,2.9,3.35,3,10.2,2.933333333333333,6.133333333333334,3.1333333333333333,2.1333333333333333,0.13333333333333333,1.7333333333333334,6.533333333333333,2.3333333333333335,4.066666666666666,0.4666666666666667,2.466666666666667,0.612784363985902,0.5459183673469388,89.03631284916202,0.13310611928737412,1.9574468085106382,0.27351024208566105,0.3142857142857143,0.35714285714285715,0.6224489795918368,4.207699194270367,3.043867502238138,3.9391226499552374,2.3276633840644583,Elite,5,Below Average,2,Poor,1,Very Good,4,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
698,2,Division II,coastalalabamanorth,Bryson Holmes,,,,Wing,,,15,3.0699999999999994,2.9999999999999996,3.2,3,7.0,5.4,1.3333333333333333,1.4666666666666666,0.6,1.2666666666666666,1.7333333333333334,5.0,2.6,1.6,1.6666666666666667,3.7333333333333334,0.6136044880785414,0.62,97.61993306061733,0.0833152594887684,0.9090909090909091,0.2045370026031982,0.38461538461538464,0.52,0.32,1.9695613249776187,2.5067144136078783,7.251566696508505,2.3276633840644583,Elite,5,Poor,1,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
756,3,Division II,coastalalabamanorth,Bryce Wilkins,,,,Wing,,,15,3.0474999999999994,2.8499999999999996,3.35,3,12.333333333333334,8.6,0.6666666666666666,2.066666666666667,0.5333333333333333,0.6,1.7333333333333334,7.6,0.26666666666666666,5.6,3.7333333333333334,4.866666666666666,0.6127450980392156,0.5526315789473685,101.67069685645197,0.1409450038729667,0.3225806451612903,0.17036711365135193,0.0,0.03508771929824561,0.7368421052631579,2.775290957923008,1.521933751119069,11.548791405550581,2.3276633840644583,Elite,5,Below Average,2,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Very Good,4,Elite,5,Very Good,4,Unknown
921,4,Division II,coastalalabamanorth,Thaddeus Long,,,,Wing,,,7,2.95,3.6,2.0,3,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,1.5,1.5,300.0,0.0017055532814845137,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1958863858961802,Elite,5,Poor,1,Elite,5,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1519,5,Division II,coastalalabamanorth,Chimeziri Okeoma,,,,Wing,,,15,2.6900000000000004,2.4499999999999997,2.9000000000000004,3,11.933333333333334,1.8666666666666667,0.9333333333333333,1.6666666666666667,1.7333333333333334,0.0,0.8666666666666667,10.6,5.066666666666666,2.466666666666667,0.13333333333333333,1.7333333333333334,0.5106115928799635,0.4716981132075472,89.37487517475535,0.15513555383423702,0.56,0.12482524465747953,0.2894736842105263,0.4779874213836478,0.23270440251572327,2.2381378692927485,2.3276633840644583,2.5067144136078783,1.1638316920322291,Below Average,2,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1705,6,Division II,coastalalabamanorth,Justin Burns,,,,Wing,,,15,2.6174999999999997,2.2,3.05,3,8.133333333333333,7.533333333333333,1.1333333333333333,1.2666666666666666,0.3333333333333333,1.0666666666666667,1.0,6.333333333333333,0.13333333333333333,3.2,3.2,4.333333333333333,0.5253186358939028,0.5052631578947369,90.29011249259916,0.10466305189775368,0.8947368421052632,0.14061574896388396,0.0,0.021052631578947368,0.5052631578947369,1.7009847806624887,1.8800358102059087,10.116383169203223,1.3428827215756491,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
2978,7,Division II,coastalalabamanorth,JaMichael Murray,,,,Wing,,,14,2.2,2.1,2.0,3,2.0714285714285716,1.0,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.14285714285714285,1.8571428571428572,1.1428571428571428,0.2857142857142857,0.21428571428571427,0.7857142857142857,0.5223342939481268,0.5192307692307693,91.30982367758186,0.026341107388116645,0.5,0.12594458438287154,0.3125,0.6153846153846154,0.15384615384615385,0.3816793893129771,0.2862595419847328,1.3358778625954197,0.19083969465648856,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3601,8,Division II,coastalalabamanorth,Jayden Evans,,,,Wing,,,14,2.05,1.7999999999999998,2.0,3,3.2857142857142856,2.357142857142857,0.0,0.7142857142857143,0.0,0.8571428571428571,0.35714285714285715,3.4285714285714284,0.35714285714285715,0.8571428571428571,0.7142857142857143,1.6428571428571428,0.4316816816816817,0.40625,72.69279393173198,0.052551155992559134,0.0,0.15802781289506954,0.2,0.10416666666666667,0.25,0.9643201542912246,1.1571841851494695,3.1822565091610415,0.4821600771456123,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3622,9,Division II,coastalalabamanorth,Al'Terrius Beasley,,,,Wing,,,15,2.025,1.75,2.0,3,3.0,3.6666666666666665,0.13333333333333333,0.7333333333333333,0.06666666666666667,0.0,1.4,2.7333333333333334,0.0,0.9333333333333333,1.1333333333333333,2.533333333333333,0.4770992366412214,0.4634146341463415,77.37276478679506,0.045050348567002324,0.18181818181818182,0.1891334250343879,,0.0,0.34146341463414637,0.9847806624888094,0.08952551477170993,4.923903312444047,1.8800358102059087,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3735,10,Division II,coastalalabamanorth,Isaiah Fuller,,,,Wing,,,15,1.9749999999999999,1.6500000000000001,2.0,3,2.0,2.2666666666666666,0.5333333333333333,0.8,0.4,0.2,0.6666666666666666,1.8666666666666667,0.8666666666666667,0.8,0.6,1.6666666666666667,0.45072115384615385,0.375,66.25441696113074,0.035073586367157246,0.6666666666666666,0.26501766784452296,0.23076923076923078,0.4642857142857143,0.42857142857142855,1.0743061772605194,0.8057296329453895,3.043867502238138,0.8952551477170994,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
