MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
374,1,Division II,collegeoflakecounty,Iyayi Osunde,,,,Wing,,,14,3.3575,4.1,2.45,3,7.928571428571429,3.5714285714285716,2.0714285714285716,0.8571428571428571,1.0,0.35714285714285715,1.5714285714285714,4.785714285714286,1.2857142857142858,2.2857142857142856,1.1428571428571428,2.4285714285714284,0.6845091267883572,0.6268656716417911,119.25225612376451,0.07713471227791036,2.4166666666666665,0.1289213579716373,0.5555555555555556,0.26865671641791045,0.47761194029850745,1.114723641430562,1.7649790989317231,4.644681839294009,2.0436600092893635,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
662,2,Division II,collegeoflakecounty,Owen Squires,,,,Wing,,,13,3.1500000000000004,4.0,2.0,3,10.384615384615385,2.0,0.6923076923076923,0.5384615384615384,0.38461538461538464,0.3076923076923077,0.38461538461538464,8.076923076923077,5.461538461538462,0.6153846153846154,0.6153846153846154,1.3846153846153846,0.622005160339108,0.6190476190476191,116.8628808864266,0.10336435218324982,1.2857142857142858,0.060595567867036015,0.4225352112676056,0.6761904761904762,0.0761904761904762,0.6993006993006993,0.8991008991008991,2.5974025974025974,0.4995004995004995,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1395,3,Division II,collegeoflakecounty,Quinn Athanassoulis,,,,Wing,,,16,2.8075,3.0000000000000004,2.45,3,7.6875,4.0,1.375,1.0,0.9375,0.375,1.3125,6.5,3.6875,0.5,1.125,2.875,0.5719866071428572,0.5673076923076923,99.57901554404145,0.08919184333660675,1.375,0.1295336787564767,0.3728813559322034,0.5673076923076923,0.07692307692307693,1.2872083668543846,1.6894609814963797,5.148833467417538,1.6894609814963797,Very Good,4,Poor,1,Below Average,2,Average,3,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1456,4,Division II,collegeoflakecounty,Robert Walls II,,,,Wing,,,17,2.7824999999999998,2.95,2.45,3,8.294117647058824,3.588235294117647,3.176470588235294,1.4705882352941178,1.2352941176470589,0.11764705882352941,1.4705882352941178,6.294117647058823,2.1176470588235294,1.4705882352941178,1.2352941176470589,2.3529411764705883,0.597457627118644,0.5514018691588785,98.6013986013986,0.09804459314921973,2.16,0.17482517482517482,0.3333333333333333,0.3364485981308411,0.2336448598130841,1.9076688286913392,1.7550553223960321,4.654711942006868,1.9076688286913392,Very Good,4,Poor,1,Below Average,2,Elite,5,Below Average,2,Average,3,Average,3,Very Good,4,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1790,5,Division II,collegeoflakecounty,Jayden Hall,,,,Wing,,,15,2.6574999999999998,2.6999999999999997,2.45,3,10.0,2.066666666666667,1.8,0.9333333333333333,1.0,0.13333333333333333,1.7333333333333334,9.266666666666667,6.266666666666667,2.1333333333333333,0.8,1.2666666666666666,0.4899399007055134,0.46402877697841727,89.77735216662676,0.12894363153670432,1.9285714285714286,0.08379219535551831,0.32978723404255317,0.6762589928057554,0.2302158273381295,1.1991434689507494,1.45610278372591,2.6552462526766596,2.226980728051392,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1988,6,Division II,collegeoflakecounty,Emmanuel Willoughby,,,,Wing,,,17,2.5825000000000005,2.5500000000000003,2.45,3,13.352941176470589,3.9411764705882355,1.7058823529411764,1.8235294117647058,1.0588235294117647,0.23529411764705882,1.9411764705882353,10.941176470588236,5.0588235294117645,4.294117647058823,1.0588235294117647,2.8823529411764706,0.520355767467449,0.46774193548387094,91.12074502247913,0.17080328003729803,0.9354838709677419,0.12443802183686577,0.27906976744186046,0.46236559139784944,0.3924731182795699,2.3655093475772606,1.6787485692483786,5.112552460892789,2.5181228538725677,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2065,7,Division II,collegeoflakecounty,Corey Lee,,,,Wing,,,17,2.5575,2.5,2.45,3,9.705882352941176,3.2941176470588234,4.0,2.411764705882353,1.411764705882353,0.058823529411764705,1.8823529411764706,7.176470588235294,2.411764705882353,3.9411764705882355,0.7647058823529411,2.5294117647058822,0.5446263533139689,0.48770491803278687,85.72319201995013,0.13196939363190077,1.6585365853658536,0.2130091438071488,0.3170731707317073,0.3360655737704918,0.5491803278688525,3.1285768790537962,1.9076688286913392,4.273178176268599,2.441816100724914,Average,3,Below Average,2,Poor,1,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3055,8,Division II,collegeoflakecounty,Mekhi Wilson,,,,Wing,,,13,2.2824999999999998,1.95,2.45,3,3.6923076923076925,4.076923076923077,0.3076923076923077,0.7692307692307693,0.46153846153846156,0.6923076923076923,1.6923076923076923,3.3846153846153846,1.4615384615384615,1.0769230769230769,1.0769230769230769,3.0,0.47846889952153115,0.48863636363636365,79.7872340425532,0.053412884437815174,0.4,0.16622340425531915,0.3684210526315789,0.4318181818181818,0.3181818181818182,1.0030090270812437,1.5045135406218655,5.315947843530592,2.206619859578736,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3326,9,Division II,collegeoflakecounty,Tracy Kalonda,,,,Wing,,,13,2.2075,1.8,2.45,3,4.6923076923076925,3.1538461538461537,1.4615384615384615,1.3076923076923077,1.0,0.23076923076923078,1.9230769230769231,3.6923076923076925,0.38461538461538464,2.5384615384615383,0.7692307692307693,2.3846153846153846,0.4878438899552144,0.3958333333333333,76.7102615694165,0.07063421566885769,1.1176470588235294,0.2137826961770624,0.0,0.10416666666666667,0.6875,1.6957605985037407,1.5960099750623442,4.089775561097257,2.493765586034913,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3845,10,Division II,collegeoflakecounty,Gerald Washington,,,,Wing,,,12,2.075,1.85,2.0,3,2.25,1.3333333333333333,1.25,0.8333333333333334,0.16666666666666666,0.08333333333333333,0.6666666666666666,2.1666666666666665,1.4166666666666667,0.5,0.5,0.8333333333333334,0.47136871508379885,0.4230769230769231,69.87577639751552,0.037516020039613185,1.5,0.2587991718426501,0.23529411764705882,0.6538461538461539,0.23076923076923078,1.0857763300760044,0.3257328990228013,1.737242128121607,0.8686210640608035,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
