MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
140,1,Division II,collegeofsouthernmaryland,Shamir Taylor,,,,Wing,,,15,3.665,3.35,4.4,3,26.133333333333333,7.6,2.7333333333333334,3.7333333333333334,3.066666666666667,0.13333333333333333,2.2,19.466666666666665,7.0,8.933333333333334,2.2666666666666666,5.333333333333333,0.558468201504445,0.5034246575342466,96.32396304305092,0.27929832267274274,0.7321428571428571,0.13760566149007275,0.34285714285714286,0.3595890410958904,0.4589041095890411,4.2569365260357275,3.6488027366020526,8.665906499429875,2.508551881413911,Average,3,Elite,5,Below Average,2,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Average,3,Unknown
266,2,Division II,collegeofsouthernmaryland,Kyle Jackson,,,,Wing,,,15,3.4775,3.5,3.65,3,8.066666666666666,6.866666666666666,0.6666666666666666,1.0666666666666667,0.6,1.8,2.466666666666667,4.466666666666667,0.13333333333333333,3.0,2.6,4.266666666666667,0.6970046082949309,0.6268656716417911,117.70428015564202,0.07055206303016993,0.625,0.1556420233463035,1.0,0.029850746268656716,0.6716417910447762,1.2162675788673507,2.7366020524515395,7.8297225389585705,2.8126187761307486,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
1120,3,Division II,collegeofsouthernmaryland,Amir Dade,,,,Wing,,,14,2.9125000000000005,3.0000000000000004,2.75,3,18.214285714285715,7.285714285714286,3.142857142857143,2.5714285714285716,1.2142857142857142,0.07142857142857142,1.5714285714285714,13.0,1.2857142857142858,8.428571428571429,1.5714285714285714,5.714285714285714,0.5450581395348837,0.49175824175824173,94.47243627741553,0.1971542933941041,1.2222222222222223,0.13337285121517486,0.16666666666666666,0.0989010989010989,0.6483516483516484,2.926829268292683,1.4634146341463414,8.292682926829269,1.7886178861788617,Average,3,Very Good,4,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
2576,4,Division II,collegeofsouthernmaryland,Kacee Hewitt,,,,Wing,,,15,2.39,1.85,2.9000000000000004,3,4.133333333333334,2.066666666666667,2.2,1.6,1.9333333333333333,0.06666666666666667,2.2666666666666666,4.133333333333334,1.3333333333333333,1.6666666666666667,0.26666666666666666,1.8,0.4246575342465753,0.3387096774193548,63.91752577319588,0.06657149916270898,1.375,0.24742268041237114,0.1,0.3225806451612903,0.4032258064516129,1.8244013683010263,2.280501710376283,2.3565184340554923,2.5845686050931205,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3125,5,Division II,collegeofsouthernmaryland,Donnie Stafford,,,,Wing,,,15,2.2325,1.85,2.45,3,9.333333333333334,2.533333333333333,1.4,2.1333333333333333,1.2,0.06666666666666667,1.6,8.933333333333334,6.466666666666667,0.7333333333333333,0.26666666666666666,2.2666666666666666,0.5041774704696053,0.5,81.9480215406228,0.11724819502017735,0.65625,0.18730976352142356,0.35051546391752575,0.7238805970149254,0.08208955223880597,2.4325351577347014,1.444317749904979,2.888635499809958,1.8244013683010263,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3540,6,Division II,collegeofsouthernmaryland,Malik Acker,,,,Wing,,,13,2.125,1.9500000000000002,2.0,3,4.846153846153846,3.6153846153846154,0.38461538461538464,1.1538461538461537,0.15384615384615385,0.38461538461538464,1.3076923076923077,3.923076923076923,0.15384615384615385,2.076923076923077,1.5384615384615385,2.076923076923077,0.5009541984732824,0.45098039215686275,80.89368258859784,0.061596380777626615,0.3333333333333333,0.1926040061633282,0.0,0.0392156862745098,0.5294117647058824,1.3157894736842106,0.6140350877192983,4.12280701754386,1.4912280701754386,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3703,7,Division II,collegeofsouthernmaryland,Stephon Coleau,,,,Wing,,,14,2.0825,1.55,2.45,3,6.785714285714286,1.7857142857142858,1.1428571428571428,1.5,1.4285714285714286,0.07142857142857142,1.7142857142857142,6.571428571428571,4.857142857142857,1.1428571428571428,0.5714285714285714,1.2142857142857142,0.47960420032310175,0.45108695652173914,79.14028657114295,0.08797232726526545,0.7619047619047619,0.1749416861046318,0.27941176470588236,0.7391304347826086,0.17391304347826086,1.7066233238520927,1.7066233238520927,2.031694433157253,1.950426655830963,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3704,8,Division II,collegeofsouthernmaryland,James Hans,,,,Wing,,,9,2.0825,1.55,2.45,3,8.222222222222221,3.5555555555555554,1.4444444444444444,1.7777777777777777,1.2222222222222223,0.0,1.6666666666666667,7.888888888888889,2.888888888888889,1.5555555555555556,1.1111111111111112,2.4444444444444446,0.4795230689476413,0.45774647887323944,79.43323314727351,0.10901516569930723,0.8125,0.17174753112924002,0.2692307692307692,0.36619718309859156,0.19718309859154928,2.0473448496481126,1.4075495841330774,4.094689699296225,1.9193857965451055,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Poor,1,Average,3,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3906,9,Division II,collegeofsouthernmaryland,Brandon Estep,,,,Wing,,,12,2.025,1.75,2.0,3,2.0,1.1666666666666667,1.0,0.9166666666666666,0.5,0.08333333333333333,0.75,2.5,1.75,0.8333333333333334,0.08333333333333333,1.0833333333333333,0.3488372093023256,0.2833333333333333,52.863436123348016,0.03879943937373945,1.0909090909090908,0.2422907488986784,0.23809523809523808,0.7,0.3333333333333333,1.0501193317422435,0.6682577565632458,1.3365155131264916,0.8591885441527446,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4242,10,Division II,collegeofsouthernmaryland,Davion Morris,,,,Wing,,,12,1.9,1.5,2.0,3,1.5,2.9166666666666665,0.0,1.0,0.3333333333333333,0.4166666666666667,0.75,1.5833333333333333,0.08333333333333333,0.4166666666666667,0.75,2.1666666666666665,0.42452830188679247,0.42105263157894735,54.21686746987951,0.02909320340705949,0.0,0.36144578313253006,0.0,0.05263157894736842,0.2631578947368421,1.1673151750972763,0.8754863813229572,3.404669260700389,0.8754863813229572,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4324,11,Division II,collegeofsouthernmaryland,Justus Washington,,,,Wing,,,11,1.8499999999999999,1.4000000000000001,2.0,3,0.18181818181818182,0.8181818181818182,0.0,0.7272727272727273,0.2727272727272727,0.2727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.6363636363636364,0.5,0.5,20.0,0.009485146260955344,0.0,0.8,0.0,0.5,0.0,0.8443271767810027,0.633245382585752,0.9498680738786279,0.0,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
