MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1187,1,Division II,communitychristianmich,Terrance Hicks,,,,Wing,,,12,2.8900000000000006,2.8500000000000005,2.9000000000000004,3,10.416666666666666,2.6666666666666665,2.75,1.5833333333333333,1.5833333333333333,0.16666666666666666,1.5833333333333333,8.75,3.1666666666666665,1.3333333333333333,0.9166666666666666,1.75,0.5578364869689396,0.5476190476190477,95.39072039072038,0.11815198182277205,1.736842105263158,0.14499389499389498,0.34210526315789475,0.3619047619047619,0.1523809523809524,1.9377868434472207,2.141764405915349,3.263640999490056,1.9377868434472207,Average,3,Poor,1,Below Average,2,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1217,2,Division II,communitychristianmich,Kenneth Weston,,,,Wing,,,12,2.88,2.2,3.8,3,7.75,2.1666666666666665,0.75,1.4166666666666667,2.5,0.6666666666666666,1.4166666666666667,5.916666666666667,2.0,3.25,0.8333333333333334,1.3333333333333333,0.5274500907441017,0.49295774647887325,88.4366679345759,0.09481732607205973,0.5294117647058824,0.16165842525675161,0.4166666666666667,0.3380281690140845,0.5492957746478874,1.7338092809790924,3.8755736868944415,2.6517083120856704,1.7338092809790924,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1966,3,Division II,communitychristianmich,Gabriel Buttram,,,,Wing,,,16,2.5975,1.9500000000000002,3.35,3,10.125,5.3125,1.5625,2.1875,1.9375,0.4375,1.5625,8.75,2.125,2.625,1.1875,4.125,0.51110550227158,0.49642857142857144,83.72958445317346,0.12829898411182725,0.7142857142857143,0.18089725036179452,0.2647058823529412,0.24285714285714285,0.3,2.6041666666666665,2.8273809523809526,6.324404761904762,1.8601190476190477,Below Average,2,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
2052,4,Division II,communitychristianmich,Trey West,,,,Wing,,,11,2.5625,2.3000000000000003,2.75,3,13.818181818181818,5.7272727272727275,1.7272727272727273,2.727272727272727,1.0909090909090908,0.2727272727272727,2.090909090909091,12.090909090909092,2.5454545454545454,3.5454545454545454,2.1818181818181817,3.5454545454545454,0.5061267980820459,0.462406015037594,84.36944937833037,0.17825622353267104,0.6333333333333333,0.16651865008880995,0.32142857142857145,0.21052631578947367,0.2932330827067669,3.331482509716824,1.665741254858412,6.99611327040533,2.5541365907828983,Below Average,2,Average,3,Poor,1,Poor,1,Average,3,Average,3,Average,3,Average,3,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
2321,5,Division II,communitychristianmich,Solomon Parks,,,,Wing,,,14,2.49,2.05,2.9000000000000004,3,9.357142857142858,4.642857142857143,0.2857142857142857,1.3571428571428572,0.7142857142857143,1.2142857142857142,1.0714285714285714,8.642857142857142,0.7142857142857143,1.4285714285714286,1.4285714285714286,3.2142857142857144,0.5046224961479199,0.48760330578512395,88.03763440860214,0.1163263391600738,0.21052631578947367,0.12768817204301075,0.0,0.08264462809917356,0.1652892561983471,1.6754850088183422,2.380952380952381,5.731922398589065,1.3227513227513228,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2402,6,Division II,communitychristianmich,Nathan Stacy,,,,Wing,,,10,2.465,2.0,2.9000000000000004,3,8.7,3.1,1.1,1.8,1.5,0.4,1.1,6.7,1.4,3.8,0.9,2.2,0.5195891065456283,0.47761194029850745,85.52890287062525,0.10701510752009427,0.6111111111111112,0.17695635076681085,0.2857142857142857,0.208955223880597,0.5671641791044776,2.125147579693034,2.243211334120425,3.6599763872491144,1.2987012987012987,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2997,7,Division II,communitychristianmich,Teyshaun Hicks,,,,Wing,,,13,2.3,2.3,2.0,3,7.384615384615385,1.6923076923076923,2.1538461538461537,1.3076923076923077,0.8461538461538461,0.07692307692307693,1.0,6.538461538461538,2.923076923076923,1.2307692307692308,0.5384615384615384,1.1538461538461537,0.5215123859191656,0.4823529411764706,88.04108584005868,0.09089393484712081,1.6470588235294117,0.15590608950843726,0.3157894736842105,0.4470588235294118,0.18823529411764706,1.6015073009891663,1.1304757418747056,2.0725388601036268,1.2246820536975978,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Average,3,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3084,8,Division II,communitychristianmich,Kajuan Kearney,,,,Wing,,,13,2.275,2.25,2.0,3,5.538461538461538,1.7692307692307692,2.6153846153846154,2.1538461538461537,1.0769230769230769,0.0,1.3846153846153846,3.8461538461538463,1.2307692307692308,2.923076923076923,0.3076923076923077,1.4615384615384615,0.539568345323741,0.53,76.01351351351352,0.07703568756303067,1.2142857142857142,0.2956081081081081,0.4375,0.32,0.76,2.5794564716720405,1.2897282358360203,2.1188392445877477,1.6582220175034545,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3230,9,Division II,communitychristianmich,Jeremy Willingham,,,,Wing,,,7,2.2325,1.85,2.45,3,4.714285714285714,2.4285714285714284,0.2857142857142857,1.4285714285714286,0.8571428571428571,0.7142857142857143,0.7142857142857143,5.0,1.8571428571428572,1.8571428571428572,1.0,1.4285714285714286,0.40520628683693516,0.35714285714285715,65.06309148264984,0.07733121912544978,0.2,0.1971608832807571,0.23076923076923078,0.37142857142857144,0.37142857142857144,1.721170395869191,1.8932874354561102,2.9259896729776247,0.8605851979345955,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3432,10,Division II,communitychristianmich,Kevin Steele Jr,,,,Wing,,,13,2.1775,1.6,2.6500000000000004,3,6.384615384615385,2.0,1.0769230769230769,1.7692307692307692,1.4615384615384615,0.3076923076923077,2.6923076923076925,6.6923076923076925,1.6923076923076923,1.3846153846153846,0.46153846153846156,1.5384615384615385,0.4372102823430257,0.43103448275862066,70.38670284938942,0.09827977063608483,0.6086956521739131,0.19504748982360923,0.22727272727272727,0.25287356321839083,0.20689655172413793,2.1475256769374416,2.1475256769374416,2.4276377217553686,3.2679738562091503,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
