MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
368,1,Division II,countycollegeofmorris,U-Tyci Brown,,,,Wing,,,13,3.365,2.7500000000000004,4.4,3,14.76923076923077,7.846153846153846,1.5384615384615385,1.5384615384615385,2.1538461538461537,0.6153846153846154,2.230769230769231,12.461538461538462,1.0,5.769230769230769,2.8461538461538463,5.0,0.49230769230769234,0.44135802469135804,89.30232558139535,0.179118901626233,1.0,0.09302325581395349,0.23076923076923078,0.08024691358024691,0.46296296296296297,1.839080459770115,3.310344827586207,9.379310344827585,2.6666666666666665,Below Average,2,Average,3,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Unknown
680,2,Division II,countycollegeofmorris,Nigel Merville,,,,Wing,,,17,3.1400000000000006,3.35,2.9000000000000004,3,15.058823529411764,3.9411764705882355,2.0588235294117645,2.823529411764706,1.8235294117647058,0.11764705882352941,2.176470588235294,9.941176470588236,4.705882352941177,5.117647058823529,0.6470588235294118,3.2941176470588234,0.6175221922037823,0.5591715976331361,100.28204324663115,0.16298906936357133,0.7291666666666666,0.1880288310874334,0.3875,0.47337278106508873,0.514792899408284,3.4188034188034186,2.3504273504273505,4.772079772079772,2.635327635327635,Elite,5,Average,3,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Average,3,Unknown
1668,3,Division II,countycollegeofmorris,Ashley Cole,,,,Wing,,,15,2.7074999999999996,2.8,2.45,3,10.666666666666666,2.6,2.2,2.4,1.0,0.3333333333333333,2.3333333333333335,8.066666666666666,5.666666666666667,1.7333333333333334,0.3333333333333333,2.2666666666666666,0.6040471156750227,0.5743801652892562,94.9893137022085,0.12107184957304273,0.9166666666666666,0.21372595582996914,0.43529411764705883,0.7024793388429752,0.21487603305785125,2.889245585874799,1.6051364365971108,3.130016051364366,2.808988764044944,Elite,5,Below Average,2,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1898,4,Division II,countycollegeofmorris,Kieran Durkin,,,,Wing,,,17,2.62,2.45,2.7,3,12.411764705882353,5.823529411764706,1.5294117647058822,1.7647058823529411,1.7058823529411764,0.058823529411764705,3.2941176470588234,11.117647058823529,2.1176470588235294,2.411764705882353,2.235294117647059,3.588235294117647,0.5095633693972179,0.47619047619047616,89.01451231859602,0.1513433445704362,0.8666666666666667,0.12656091798852515,0.3333333333333333,0.19047619047619047,0.21693121693121692,2.1367521367521367,2.1367521367521367,7.051282051282051,3.988603988603989,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Average,3,Average,3,Average,3,Average,3,Below Average,2,Average,3,Below Average,2,Average,3,Elite,5,Unknown
2316,5,Division II,countycollegeofmorris,Christopher Clark,,,,Wing,,,14,2.49,2.4000000000000004,2.4000000000000004,3,8.857142857142858,4.571428571428571,1.2142857142857142,1.3571428571428572,1.4285714285714286,0.35714285714285715,3.142857142857143,6.428571428571429,0.14285714285714285,3.5,2.0,2.5714285714285716,0.5557547508067407,0.5444444444444444,94.97549019607843,0.10177736202057995,0.8947368421052632,0.14552696078431374,0.0,0.022222222222222223,0.5444444444444444,1.643598615916955,2.162629757785467,5.536332179930795,3.8062283737024223,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Average,3,Poor,1,Average,3,Elite,5,Unknown
2875,6,Division II,countycollegeofmorris,Augustine McGee,,,,Wing,,,16,2.325,2.3500000000000005,2.0,3,4.8125,1.375,0.8125,0.9375,0.875,0.1875,1.6875,4.0,2.1875,0.8125,0.25,1.125,0.5522088353413654,0.53125,90.8876298394712,0.05743728813559321,0.8666666666666667,0.17705382436260622,0.4,0.546875,0.203125,1.1376564277588168,1.2893439514599925,1.6685627607129314,2.04778156996587,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2964,7,Division II,countycollegeofmorris,Khanye Tucker,,,,Wing,,,14,2.3025,1.85,2.6500000000000004,3,6.142857142857143,2.2857142857142856,3.0714285714285716,2.642857142857143,1.8571428571428572,0.0,2.7857142857142856,6.785714285714286,1.2857142857142858,2.142857142857143,0.6428571428571429,1.6428571428571428,0.3974121996303142,0.3473684210526316,59.22865013774105,0.11090742438130152,1.162162162162162,0.2548209366391185,0.2222222222222222,0.18947368421052632,0.3157894736842105,3.154305200341006,2.216538789428815,2.7280477408354646,3.3248081841432224,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Very Good,4,Unknown
3662,8,Division II,countycollegeofmorris,Justin Reed,,,,Wing,,,11,2.125,1.9500000000000002,2.0,3,1.2727272727272727,1.0909090909090908,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.45454545454545453,2.0,1.2727272727272727,0.18181818181818182,0.45454545454545453,0.6363636363636364,0.30594405594405594,0.2727272727272727,56.27009646302251,0.023813169984686064,0.5,0.08038585209003216,0.14285714285714285,0.6363636363636364,0.09090909090909091,0.21645021645021645,0.21645021645021645,1.2987012987012987,0.5411255411255411,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3913,9,Division II,countycollegeofmorris,Kareem Hogan,,,,Wing,,,15,2.05,1.8,2.0,3,3.4,2.3333333333333335,0.13333333333333333,0.8666666666666667,0.6666666666666666,0.4666666666666667,0.8666666666666667,2.7333333333333334,0.2,0.6,1.0,1.3333333333333333,0.567170818505338,0.5853658536585366,87.99171842650104,0.04166067680630228,0.15384615384615385,0.22429261559696342,0.0,0.07317073170731707,0.21951219512195122,1.043338683788122,1.3643659711075442,2.808988764044944,1.043338683788122,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4026,10,Division II,countycollegeofmorris,Sean Smith,,,,Wing,,,11,2.025,1.75,2.0,3,1.5454545454545454,0.6363636363636364,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.0,0.45454545454545453,1.8181818181818181,0.45454545454545453,0.9090909090909091,0.18181818181818182,0.45454545454545453,0.3483606557377049,0.25,55.92105263157895,0.02878351764884108,0.5,0.19736842105263158,0.0,0.25,0.5,0.6403415154749199,0.32017075773745995,0.7470651013874067,0.5336179295624333,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
