MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
144,1,Division II,cuyahogacommunitycollege,Chase Abraham,,,,Wing,,,9,3.6475,3.7,3.85,3,17.22222222222222,5.666666666666667,3.0,1.5555555555555556,2.6666666666666665,0.2222222222222222,2.3333333333333335,13.333333333333334,4.0,4.333333333333333,1.8888888888888888,3.7777777777777777,0.5650335374744824,0.5291666666666667,102.54035459116169,0.20651401715940765,1.9285714285714286,0.09261709446943636,0.3055555555555556,0.3,0.325,2.178988326848249,4.046692607003891,7.937743190661479,3.2684824902723735,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Below Average,2,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Very Good,4,Elite,5,Unknown
351,2,Division II,cuyahogacommunitycollege,Tyson Garner,,,,Wing,,,9,3.375,4.449999999999999,2.0,3,18.88888888888889,2.888888888888889,3.2222222222222223,1.7777777777777777,0.8888888888888888,0.1111111111111111,1.5555555555555556,9.444444444444445,1.3333333333333333,11.777777777777779,0.5555555555555556,2.3333333333333335,0.6457003950167123,0.5058823529411764,115.14494716878896,0.2047825122059476,1.8125,0.10837171498238961,0.3333333333333333,0.1411764705882353,1.2470588235294118,2.4864024864024863,1.3986013986013985,4.040404040404041,2.1756021756021755,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
587,3,Division II,cuyahogacommunitycollege,John  'Favor' McFadden,,,,Wing,,,11,3.1950000000000003,2.9,3.7,3,12.727272727272727,6.181818181818182,1.0909090909090908,1.6363636363636365,0.8181818181818182,1.3636363636363635,2.4545454545454546,8.363636363636363,1.1818181818181819,7.363636363636363,3.909090909090909,2.272727272727273,0.5484174240050141,0.40217391304347827,96.12743751716562,0.1614705751918045,0.6666666666666666,0.12359241966492723,0.15384615384615385,0.14130434782608695,0.8804347826086957,2.2915340547422023,3.0553787396562697,8.656906429026098,3.4373010821133034,Average,3,Average,3,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Very Good,4,Average,3,Very Good,4,Elite,5,Unknown
825,4,Division II,cuyahogacommunitycollege,Corey Wilson,,,,Wing,,,12,3.0525,2.6500000000000004,3.65,3,6.75,6.083333333333333,1.4166666666666667,1.4166666666666667,1.25,0.75,2.1666666666666665,4.583333333333333,0.5,2.5,2.75,3.3333333333333335,0.593841642228739,0.5909090909090909,95.07042253521126,0.08514550687559963,1.0,0.19953051643192488,0.16666666666666666,0.10909090909090909,0.5454545454545454,1.9373219373219372,2.735042735042735,8.31908831908832,2.962962962962963,Very Good,4,Poor,1,Below Average,2,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
1956,5,Division II,cuyahogacommunitycollege,Frankie Evans IV,,,,Wing,,,9,2.5999999999999996,2.9,2.0,3,6.222222222222222,2.5555555555555554,1.0,0.5555555555555556,0.5555555555555556,0.0,1.2222222222222223,5.444444444444445,2.2222222222222223,0.7777777777777778,0.5555555555555556,2.0,0.5376344086021505,0.5102040816326531,98.10791871058164,0.07938803894297636,1.8,0.08759635599159075,0.3,0.40816326530612246,0.14285714285714285,0.7974481658692185,0.7974481658692185,3.668261562998405,1.7543859649122806,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2285,6,Division II,cuyahogacommunitycollege,Dekota Johnson,,,,Wing,,,9,2.5,2.7,2.0,3,4.888888888888889,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.0,0.7777777777777778,4.222222222222222,3.3333333333333335,0.3333333333333333,0.0,0.5555555555555556,0.5595116988809766,0.5657894736842105,97.08737864077669,0.06108475307310761,0.8333333333333334,0.1323918799646955,0.43333333333333335,0.7894736842105263,0.07894736842105263,0.9252120277563608,0.9252120277563608,0.7710100231303006,1.079414032382421,Average,3,Poor,1,Below Average,2,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2291,7,Division II,cuyahogacommunitycollege,Antonio Patrick,,,,Wing,,,6,2.5,2.7,2.0,3,6.5,2.6666666666666665,1.1666666666666667,0.6666666666666666,0.3333333333333333,0.0,1.8333333333333333,5.666666666666667,2.8333333333333335,1.5,0.8333333333333334,1.8333333333333333,0.5136986301369862,0.45588235294117646,92.94566253574833,0.09551124465082399,1.75,0.09532888465204957,0.29411764705882354,0.5,0.2647058823529412,1.0178117048346056,0.5089058524173028,4.071246819338422,2.7989821882951653,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3390,8,Division II,cuyahogacommunitycollege,Dylon Susan,,,,Wing,,,9,2.2,2.1,2.0,3,2.4444444444444446,1.5555555555555556,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.1111111111111111,1.7777777777777777,3.0,2.7777777777777777,0.2222222222222222,0.4444444444444444,1.1111111111111112,0.39454806312769014,0.37037037037037035,76.17728531855956,0.040166898470097356,3.0,0.03462603878116344,0.24,0.9259259259259259,0.07407407407407407,0.1594896331738437,0.7974481658692185,2.2328548644338118,2.5518341307814993,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3392,9,Division II,cuyahogacommunitycollege,Wanwich Thor,,,,Wing,,,8,2.2,2.1,2.0,3,1.25,1.375,0.25,0.25,0.125,0.5,1.125,1.125,0.375,0.25,0.75,0.625,0.5060728744939271,0.5555555555555556,84.17508417508417,0.018836811061076937,1.0,0.16835016835016833,0.0,0.3333333333333333,0.2222222222222222,0.3597122302158273,0.8992805755395683,1.9784172661870503,1.618705035971223,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3497,10,Division II,cuyahogacommunitycollege,Malachi Jackson,,,,Wing,,,9,2.175,2.05,2.0,3,7.222222222222222,1.1111111111111112,1.2222222222222223,1.1111111111111112,0.5555555555555556,0.0,1.8888888888888888,7.888888888888889,5.444444444444445,0.7777777777777778,0.4444444444444444,0.6666666666666666,0.43871490280777536,0.4225352112676056,77.30732635585157,0.11694019471488178,1.1,0.11893434823977164,0.2857142857142857,0.6901408450704225,0.09859154929577464,1.594896331738437,0.7974481658692185,1.594896331738437,2.7113237639553427,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3667,11,Division II,cuyahogacommunitycollege,Ashan Starr,,,,Wing,,,9,2.125,1.9500000000000002,2.0,3,3.2222222222222223,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.0,0.8888888888888888,4.666666666666667,3.888888888888889,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3381529850746268,0.34523809523809523,63.20836965998256,0.06381084840055633,1.3333333333333333,0.06538796861377506,0.2,0.8333333333333334,0.047619047619047616,0.4784688995215311,0.4784688995215311,0.6379585326953748,1.2759170653907497,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3759,12,Division II,cuyahogacommunitycollege,Evan Sims,,,,Wing,,,7,2.0999999999999996,1.9000000000000001,2.0,3,1.8571428571428572,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.0,0.0,0.8571428571428571,2.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.4368279569892473,0.39285714285714285,72.7069351230425,0.033118470771282514,1.6666666666666667,0.16778523489932884,0.2,0.35714285714285715,0.14285714285714285,0.6403415154749199,0.0,1.0672358591248665,1.2806830309498398,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3902,13,Division II,cuyahogacommunitycollege,Jaden Cosgrove,,,,Wing,,,10,2.05,1.8000000000000003,2.0,3,3.7,2.0,1.4,1.4,0.6,0.0,0.6,3.4,2.4,0.0,0.3,1.7,0.5441176470588235,0.5441176470588235,77.08333333333333,0.051898624686445814,1.0,0.2916666666666667,0.375,0.7058823529411765,0.0,1.734820322180917,0.7434944237918215,2.4783147459727384,0.7434944237918215,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
