MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
92,1,Division II,dakotacountytechnicalcollege,D'Marco Chelley,,,,Wing,,,12,3.7224999999999993,4.199999999999999,3.35,3,18.25,4.166666666666667,5.333333333333333,2.6666666666666665,1.5833333333333333,0.6666666666666666,1.9166666666666667,12.083333333333334,4.916666666666667,4.5,1.0833333333333333,3.0833333333333335,0.6488504384925338,0.6379310344827587,109.0854751942618,0.18297484506015307,2.0,0.15939430165371588,0.3559322033898305,0.4068965517241379,0.3724137931034483,3.2470826991374935,2.73972602739726,5.073566717402334,2.3338406900050734,Elite,5,Average,3,Very Good,4,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
298,2,Division II,dakotacountytechnicalcollege,Parker Fahning,,,,Wing,,,12,3.3775000000000004,4.0,2.6500000000000004,3,12.333333333333334,5.333333333333333,1.75,0.8333333333333334,0.8333333333333334,1.0833333333333333,2.5,8.666666666666666,2.1666666666666665,2.5833333333333335,2.1666666666666665,3.1666666666666665,0.6290377422645359,0.5961538461538461,115.95111250391727,0.11633248268319356,2.1,0.07834534628643058,0.23076923076923078,0.25,0.2980769230769231,1.0147133434804667,2.3338406900050734,6.494165398274987,3.0441400304414,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
359,3,Division II,dakotacountytechnicalcollege,Randy McClendon Jr,,,,Wing,,,11,3.3150000000000004,3.7,2.9000000000000004,3,13.363636363636363,3.272727272727273,3.8181818181818183,1.4545454545454546,1.6363636363636365,0.09090909090909091,1.5454545454545454,10.363636363636363,4.909090909090909,3.272727272727273,0.36363636363636365,2.909090909090909,0.5660813308687616,0.5219298245614035,100.7953922106418,0.14473423047913936,2.625,0.10970927043335162,0.3888888888888889,0.47368421052631576,0.3157894736842105,1.765030336458908,2.095973524544953,3.971318257032543,1.8753447324875896,Average,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
425,4,Division II,dakotacountytechnicalcollege,Lorenzo Levy,,,,Wing,,,10,3.2575000000000003,3.9,2.45,3,19.3,4.3,2.8,1.5,1.4,0.0,1.9,14.2,5.3,6.6,1.0,3.3,0.5641955098222639,0.4753521126760563,103.74113093958289,0.20113302196851754,1.8666666666666667,0.08062782197376908,0.3584905660377358,0.3732394366197183,0.4647887323943662,1.803968731208659,1.6837041491280818,5.171377029464822,2.285027059530968,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
577,5,Division II,dakotacountytechnicalcollege,Yarin Alexander,,,,Wing,,,12,3.1400000000000006,2.6500000000000004,3.9,3,16.583333333333332,7.5,2.6666666666666665,2.0833333333333335,1.5833333333333333,1.25,3.3333333333333335,13.916666666666666,3.4166666666666665,6.833333333333333,1.75,5.75,0.48995469765609617,0.45209580838323354,87.25008768853034,0.20787458986511112,1.28,0.10961066292528938,0.2682926829268293,0.24550898203592814,0.49101796407185627,2.536783358701167,3.450025367833587,9.132420091324201,4.058853373921867,Poor,1,Very Good,4,Poor,1,Average,3,Elite,5,Poor,1,Very Good,4,Average,3,Elite,5,Below Average,2,Elite,5,Average,3,Average,3,Elite,5,Unknown
1441,6,Division II,dakotacountytechnicalcollege,Avery Wells,,,,Wing,,,11,2.7250000000000005,3.1500000000000004,2.0,3,5.090909090909091,4.363636363636363,0.8181818181818182,0.5454545454545454,0.18181818181818182,0.09090909090909091,1.5454545454545454,3.909090909090909,0.36363636363636365,0.8181818181818182,1.4545454545454546,2.909090909090909,0.596252129471891,0.6162790697674418,105.74018126888217,0.05224116161616161,1.5,0.11329305135951662,0.25,0.09302325581395349,0.20930232558139536,0.6575342465753424,0.3287671232876712,5.260273972602739,1.8630136986301369,Very Good,4,Poor,1,Average,3,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3498,7,Division II,dakotacountytechnicalcollege,Turuk Rundial,,,,Wing,,,12,2.075,1.8499999999999999,2.0,3,3.1666666666666665,4.083333333333333,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.25,1.4166666666666667,3.1666666666666665,0.16666666666666666,0.3333333333333333,0.75,3.3333333333333335,0.4778672032193159,0.4473684210526316,84.89722966934764,0.04079475027342325,0.8,0.11170688114387847,0.0,0.05263157894736842,0.10526315789473684,0.5073566717402334,0.4058853373921867,4.972095383054287,1.7250126839167934,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3555,8,Division II,dakotacountytechnicalcollege,Jaden Payton,,,,Wing,,,12,2.05,1.8,2.0,3,1.8333333333333333,1.0,0.75,0.5833333333333334,0.16666666666666666,0.0,0.5833333333333334,1.5833333333333333,0.16666666666666666,1.0,0.08333333333333333,0.9166666666666666,0.4530477759472817,0.3157894736842105,70.33248081841433,0.028508931826467365,1.2857142857142858,0.2237851662404092,0.0,0.10526315789473684,0.631578947368421,0.7102993404363267,0.20294266869609334,1.21765601217656,0.7102993404363267,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3572,9,Division II,dakotacountytechnicalcollege,Freddie Maddison,,,,Wing,,,10,2.05,1.8,2.0,3,1.1,0.7,0.2,0.2,0.1,0.0,0.9,1.6,1.0,0.0,0.2,0.5,0.34375,0.34375,61.111111111111114,0.020060627674750354,1.0,0.1111111111111111,0.3,0.625,0.0,0.24752475247524752,0.12376237623762376,0.8663366336633663,1.113861386138614,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3597,10,Division II,dakotacountytechnicalcollege,Noah Gorjestani,,,,Wing,,,6,2.05,1.8,2.0,3,0.8333333333333334,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5122950819672131,0.5,72.67441860465117,0.013075870457655467,0.0,0.29069767441860467,0.0,0.5,0.5,0.42689434364994666,0.0,0.0,0.21344717182497333,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
