MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
89,1,Division II,danvilleareacommunitycollege,Elijah Stark,,,,Wing,,,12,3.79,3.6,4.4,3,11.916666666666666,7.333333333333333,1.8333333333333333,1.25,2.0,1.5,2.3333333333333335,8.583333333333334,1.3333333333333333,3.0,3.0,4.333333333333333,0.6016492763379333,0.5728155339805825,106.84399282725643,0.12543580131208995,1.4666666666666666,0.11207411835026898,0.25,0.1553398058252427,0.34951456310679613,1.5806111696522656,4.425711275026344,9.272918861959958,2.9504741833508956,Elite,5,Below Average,2,Average,3,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Unknown
478,2,Division II,danvilleareacommunitycollege,Blake Reed,5,,G,Guard,6'0,,11,3.2700000000000005,4.0,2.2,3,10.909090909090908,2.1818181818181817,2.0,1.2727272727272727,0.9090909090909091,0.0,1.1818181818181819,6.636363636363637,4.818181818181818,2.1818181818181817,0.09090909090909091,2.090909090909091,0.7180469123982767,0.6917808219178082,123.00123001230013,0.09747811838056032,1.5714285714285714,0.14350143501435014,0.4716981132075472,0.726027397260274,0.3287671232876712,1.5703869882220975,1.1217049915872126,2.69209197980931,1.4582164890633764,Elite,5,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
579,3,Division II,danvilleareacommunitycollege,Alec Harrison,30,,F,Wing,6'6,,7,3.1999999999999997,3.8,2.0,4,3.142857142857143,2.7142857142857144,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,1.7142857142857142,1.5714285714285714,0.0,1.1428571428571428,0.8571428571428571,1.8571428571428572,0.7575757575757576,0.8181818181818182,141.75257731958763,0.023896039908850156,0.0,0.06443298969072166,,0.0,0.7272727272727273,0.17543859649122806,0.5263157894736842,3.3333333333333335,2.1052631578947367,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1106,4,Division II,danvilleareacommunitycollege,Keyton Barnes,24,,SF,Wing,6'4,,13,2.925,3.5500000000000003,2.0,3,6.846153846153846,3.1538461538461537,0.5384615384615384,0.9230769230769231,0.3076923076923077,0.5384615384615384,1.3076923076923077,4.3076923076923075,0.8461538461538461,1.6923076923076923,1.3846153846153846,1.7692307692307692,0.6775274056029232,0.6607142857142857,114.57260556127703,0.06633646456020496,0.5833333333333334,0.1544799176107106,0.36363636363636365,0.19642857142857142,0.39285714285714285,1.1527377521613833,1.0566762728146013,3.9385206532180597,1.633045148895293,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
1136,5,Division II,danvilleareacommunitycollege,DeShawn Clark,2,,PG/SG,Guard,6'1,,14,2.9125000000000005,3.35,2.2,3,10.0,3.0714285714285716,2.9285714285714284,1.7857142857142858,1.0714285714285714,0.0,1.7142857142857142,7.285714285714286,3.9285714285714284,2.0714285714285716,0.35714285714285715,2.7142857142857144,0.6099686301847334,0.5588235294117647,100.17172295363481,0.1113590005099439,1.64,0.1788780767029193,0.36363636363636365,0.5392156862745098,0.28431372549019607,2.237136465324385,1.342281879194631,3.8478747203579418,2.1476510067114094,Elite,5,Poor,1,Average,3,Average,3,Average,3,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
1298,6,Division II,danvilleareacommunitycollege,Aiden DeRose,35,,G,Guard,6'3,,10,2.8475,3.0500000000000003,2.2,4,3.4,1.3,0.9,0.4,0.2,0.2,0.5,2.9,1.6,0.5,0.3,1.0,0.5448717948717949,0.5172413793103449,96.59090909090908,0.038746037337090526,2.25,0.11363636363636363,0.375,0.5517241379310345,0.1724137931034483,0.49079754601226994,0.49079754601226994,1.5950920245398772,0.6134969325153374,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1437,7,Division II,danvilleareacommunitycollege,Jeremy Wilson,11,,SF,Wing,6'7,,11,2.7900000000000005,2.35,2.9000000000000004,4,7.545454545454546,4.636363636363637,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,1.2727272727272727,6.454545454545454,1.3636363636363635,3.727272727272727,1.0,3.6363636363636362,0.46608265947888594,0.4084507042253521,85.53173948887057,0.09695855481395627,1.0,0.08244023083264634,0.13333333333333333,0.2112676056338028,0.5774647887323944,0.89736399326977,2.0190689848569825,5.720695457094784,1.5703869882220975,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Very Good
1616,8,Division II,danvilleareacommunitycollege,Rocky Adamo,10,,G,Guard,6'4,,7,2.7275,2.65,2.2,5,3.142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.42857142857142855,0.0,0.2857142857142857,3.857142857142857,2.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.39454806312769014,0.3888888888888889,78.90961262553802,0.042422398052343276,99.0,0.0,0.21428571428571427,0.5185185185185185,0.07407407407407407,0.0,0.5132591958939264,0.8554319931565441,0.3421727972626176,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Elite
2560,9,Division II,danvilleareacommunitycollege,Jordan Dickson,22,,G,Guard,6'4,,14,2.425,2.0999999999999996,2.2,5,8.714285714285714,2.4285714285714284,2.0,1.7142857142857142,0.7142857142857143,0.14285714285714285,1.5,6.857142857142857,0.9285714285714286,3.0,0.7857142857142857,1.6428571428571428,0.5328441649196366,0.5260416666666666,88.09936452917388,0.11033911269760328,1.1666666666666667,0.17331022530329288,0.38461538461538464,0.13541666666666666,0.4375,2.1476510067114094,1.0738255033557047,3.0425055928411635,1.8791946308724832,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Elite
2691,10,Division II,danvilleareacommunitycollege,Abdul Mitchell,,,,Wing,,,9,2.375,2.4500000000000006,2.0,3,9.333333333333334,5.333333333333333,2.111111111111111,1.1111111111111112,0.7777777777777778,0.2222222222222222,1.8888888888888888,8.555555555555555,0.8888888888888888,1.2222222222222223,1.1111111111111112,4.222222222222222,0.5131964809384164,0.4805194805194805,91.46341463414633,0.11120259601879208,1.9,0.10888501742160278,0.25,0.1038961038961039,0.14285714285714285,1.3831258644536653,1.2448132780082988,6.639004149377594,2.351313969571231,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
