MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
306,1,Division II,davidsondaviecommunitycollege,Dane Stewart,,,,Wing,,,17,3.4175000000000004,3.45,3.55,3,12.647058823529411,3.823529411764706,2.764705882352941,1.1176470588235294,2.0,0.7058823529411765,2.588235294117647,10.117647058823529,3.6470588235294117,3.1176470588235294,1.411764705882353,2.411764705882353,0.5503788654515667,0.5203488372093024,100.31728256812244,0.13826026372151837,2.473684210526316,0.08865248226950355,0.3387096774193548,0.36046511627906974,0.3081395348837209,1.4285714285714286,3.4586466165413534,4.887218045112782,3.308270676691729,Average,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Very Good,4,Elite,5,Unknown
585,2,Division II,davidsondaviecommunitycollege,Jaylen Wilkerson,,,,Wing,,,17,3.1950000000000003,3.95,2.2,3,11.352941176470589,2.2941176470588234,2.2941176470588234,1.4705882352941178,0.6470588235294118,0.47058823529411764,2.823529411764706,7.9411764705882355,5.352941176470588,3.0588235294117645,0.6470588235294118,1.6470588235294117,0.6112237142133266,0.5777777777777777,105.53368328958881,0.11797796299641321,1.56,0.13670166229221348,0.43956043956043955,0.674074074074074,0.3851851851851852,1.8796992481203008,1.4285714285714286,2.9323308270676693,3.6090225563909772,Elite,5,Poor,1,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
775,3,Division II,davidsondaviecommunitycollege,Conall Lowry,,,,Wing,,,10,3.0825000000000005,3.5500000000000003,2.45,3,11.9,3.8,1.1,1.8,0.8,0.6,1.3,8.3,3.4,3.1,1.5,2.3,0.6156870860927153,0.608433734939759,103.80321004884857,0.12199378538288,0.6111111111111112,0.157013258897418,0.4411764705882353,0.40963855421686746,0.37349397590361444,2.2641509433962264,1.7610062893081762,4.779874213836478,1.6352201257861636,Elite,5,Below Average,2,Average,3,Poor,1,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1173,4,Division II,davidsondaviecommunitycollege,Nijel Howard,,,,Wing,,,17,2.9000000000000004,2.45,3.5,3,14.470588235294118,7.352941176470588,1.8823529411764706,2.235294117647059,1.0588235294117647,0.7058823529411765,2.1176470588235294,12.176470588235293,3.3529411764705883,2.1176470588235294,2.176470588235294,5.176470588235294,0.5519655358104469,0.5241545893719807,94.31068854470172,0.16827084354759636,0.8421052631578947,0.14568317742677503,0.2982456140350877,0.2753623188405797,0.17391304347826086,2.857142857142857,2.255639097744361,9.398496240601503,2.706766917293233,Average,3,Average,3,Poor,1,Below Average,2,Average,3,Below Average,2,Very Good,4,Very Good,4,Average,3,Average,3,Average,3,Average,3,Elite,5,Very Good,4,Unknown
1228,5,Division II,davidsondaviecommunitycollege,Cam Flippen,,,,Wing,,,10,2.875,3.45,2.0,3,2.5,0.4,0.7,0.4,0.6,0.0,0.9,1.6,0.7,0.6,0.1,0.3,0.6706008583690987,0.65625,110.42402826855124,0.02409228280764483,1.75,0.17667844522968199,0.42857142857142855,0.4375,0.375,0.5031446540880503,0.7547169811320755,0.5031446540880503,1.1320754716981132,Elite,5,Poor,1,Very Good,4,Very Good,4,Below Average,2,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1578,6,Division II,davidsondaviecommunitycollege,Evan Ingram,,,,Wing,,,11,2.74,2.5500000000000003,2.9000000000000004,3,5.181818181818182,3.3636363636363638,1.9090909090909092,0.8181818181818182,1.4545454545454546,0.18181818181818182,1.5454545454545454,4.818181818181818,2.0,2.0,1.0909090909090908,2.272727272727273,0.45469049138481177,0.41509433962264153,79.52008928571428,0.06970863967012876,2.3333333333333335,0.1255580357142857,0.2727272727272727,0.41509433962264153,0.41509433962264153,1.0392609699769053,2.0785219399538106,4.272517321016166,1.9630484988452657,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2109,7,Division II,davidsondaviecommunitycollege,Adrian Mayes,,,,Wing,,,10,2.55,2.8,2.0,3,5.0,3.1,0.2,1.0,0.2,0.5,1.7,2.9,0.0,1.7,1.0,2.1,0.6853070175438596,0.6206896551724138,107.57314974182444,0.04946154173583621,0.2,0.21514629948364886,,0.0,0.5862068965517241,1.2578616352201257,0.8805031446540881,3.89937106918239,2.138364779874214,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2162,8,Division II,davidsondaviecommunitycollege,Tayvion Tangiora,,,,Wing,,,16,2.5299999999999994,2.8999999999999995,1.8,3,11.0,6.125,2.875,2.5,0.5625,0.375,3.0,7.75,0.4375,2.4375,1.9375,4.1875,0.6234060640408048,0.6129032258064516,97.15168911459483,0.12394975231943953,1.15,0.22079929344226099,0.2857142857142857,0.056451612903225805,0.31451612903225806,3.177124702144559,1.1914217633042097,7.78395552025417,3.812549642573471,Elite,5,Below Average,2,Below Average,2,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Below Average,2,Average,3,Very Good,4,Unknown
2281,9,Division II,davidsondaviecommunitycollege,Dre Huff,,,,Wing,,,10,2.5,2.7,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,N/A,3,Poor,1,N/A,3,N/A,3,N/A,3,Insufficient Volume,3,Poor,1,N/A,3,N/A,3,N/A,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2365,10,Division II,davidsondaviecommunitycollege,Dylan Couse,,,,Wing,,,10,2.4750000000000005,2.6500000000000004,2.0,3,1.6,2.1,0.5,0.2,0.2,0.1,1.0,1.3,0.0,0.5,0.9,1.2,0.5263157894736842,0.5384615384615384,93.0232558139535,0.018303324394500487,2.5,0.11627906976744186,,0.0,0.38461538461538464,0.25157232704402516,0.37735849056603776,2.641509433962264,1.2578616352201257,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
