MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
357,1,Division II,delawaretechnicalcommunitycollege,Obi Coleman,,,,Wing,,,11,3.3150000000000004,2.65,4.4,3,16.181818181818183,8.454545454545455,2.6363636363636362,3.1818181818181817,2.272727272727273,1.2727272727272727,2.3636363636363638,13.636363636363637,5.7272727272727275,3.6363636363636362,2.4545454545454546,6.0,0.5310262529832935,0.4866666666666667,87.857847976308,0.19837850540498195,0.8285714285714286,0.1727541954590326,0.31746031746031744,0.42,0.26666666666666666,3.837719298245614,4.276315789473684,10.197368421052632,2.8508771929824563,Average,3,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Average,3,Elite,5,Average,3,Unknown
1337,2,Division II,delawaretechnicalcommunitycollege,Amari Moses,,,,Wing,,,11,2.7625,2.0,3.75,3,12.181818181818182,9.272727272727273,2.1818181818181817,3.0,1.3636363636363635,0.9090909090909091,3.5454545454545454,9.454545454545455,0.2727272727272727,4.909090909090909,3.5454545454545454,5.7272727272727275,0.5244207889793362,0.4807692307692308,83.35406817616322,0.15741030863230454,0.7272727272727273,0.20527494401592436,0.0,0.028846153846153848,0.5192307692307693,3.6184210526315788,2.741228070175439,11.18421052631579,4.276315789473684,Below Average,2,Average,3,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Very Good,4,Very Good,4,Average,3,Average,3,Unknown
1499,3,Division II,delawaretechnicalcommunitycollege,Gabe Swift,,,,Wing,,,9,2.6975,2.1500000000000004,3.35,3,7.333333333333333,3.5555555555555554,1.8888888888888888,1.8888888888888888,2.6666666666666665,0.0,2.4444444444444446,8.222222222222221,1.3333333333333333,4.0,1.2222222222222223,2.3333333333333335,0.3673196794300979,0.3310810810810811,61.77461624859603,0.12333194809992151,1.0,0.15911643579183826,0.08333333333333333,0.16216216216216217,0.4864864864864865,2.2222222222222223,3.1372549019607843,4.183006535947713,2.8758169934640523,Poor,1,Below Average,2,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
2317,4,Division II,delawaretechnicalcommunitycollege,Jaxon Lennon,,,,Wing,,,12,2.4,2.5,2.0,3,5.333333333333333,2.4166666666666665,0.5,0.75,0.6666666666666666,0.4166666666666667,2.0833333333333335,4.0,1.6666666666666667,2.25,0.8333333333333334,1.5833333333333333,0.5344021376085504,0.5208333333333334,92.91521486643438,0.06136849607982893,0.6666666666666666,0.13066202090592335,0.3,0.4166666666666667,0.5625,0.8959681433549029,1.294176207068193,2.887008461921354,2.4888003982080638,Average,3,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2399,5,Division II,delawaretechnicalcommunitycollege,Chase Wright,,,,Wing,,,12,2.375,2.45,2.0,3,16.666666666666668,2.75,3.5833333333333335,3.6666666666666665,1.0,0.08333333333333333,1.6666666666666667,14.25,1.9166666666666667,5.25,0.9166666666666666,1.8333333333333333,0.5032206119162641,0.47076023391812866,82.39947264337508,0.21625089094796862,0.9772727272727273,0.18127883981542517,0.30434782608695654,0.13450292397660818,0.3684210526315789,4.380288700846192,1.294176207068193,3.285216525634644,1.991040318566451,Below Average,2,Very Good,4,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Average,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Average,3,Unknown
2499,6,Division II,delawaretechnicalcommunitycollege,Jeremiah Riley,,,,Wing,,,7,2.35,2.4000000000000004,2.0,3,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.797872340425532,1.0,77.31958762886597,0.005861027190332326,0.5,0.5154639175257733,,0.0,2.0,0.3442340791738382,0.1721170395869191,0.6884681583476764,0.5163511187607573,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2541,7,Division II,delawaretechnicalcommunitycollege,Dominic Angeloni,,,,Wing,,,12,2.3449999999999998,1.55,3.2,3,6.166666666666667,6.416666666666667,1.5,1.5833333333333333,1.0,1.0,1.8333333333333333,6.916666666666667,4.583333333333333,0.75,1.1666666666666667,5.25,0.4254829806807728,0.41566265060240964,69.8376745941865,0.09440484675694938,0.9473684210526315,0.1793129482823707,0.23636363636363636,0.6626506024096386,0.10843373493975904,1.8914883026381284,2.389248382279741,7.665505226480836,2.190144350423096,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
2766,8,Division II,delawaretechnicalcommunitycollege,Tyree Cain,,,,Wing,,,11,2.275,2.25,2.0,3,5.0,0.9090909090909091,0.6363636363636364,1.1818181818181819,0.2727272727272727,0.36363636363636365,0.2727272727272727,4.090909090909091,2.4545454545454546,1.4545454545454546,0.36363636363636365,0.5454545454545454,0.5284396617986165,0.5111111111111111,84.56334563345635,0.0643476196129645,0.5384615384615384,0.1998769987699877,0.37037037037037035,0.6,0.35555555555555557,1.4364640883977902,0.7734806629834254,1.1049723756906078,0.3314917127071823,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3070,9,Division II,delawaretechnicalcommunitycollege,Adam Bailey,,,,Wing,,,11,2.175,2.0500000000000003,2.0,3,6.636363636363637,1.8181818181818181,1.0909090909090908,1.6363636363636365,1.0,0.09090909090909091,1.8181818181818181,5.909090909090909,4.363636363636363,1.6363636363636365,0.0,1.8181818181818181,0.5005485463521667,0.46923076923076923,80.29036515618125,0.08726197788697788,0.6666666666666666,0.19797624285085788,0.3125,0.7384615384615385,0.27692307692307694,1.933404940923738,1.288936627282492,2.1482277121374866,2.1482277121374866,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3098,10,Division II,delawaretechnicalcommunitycollege,Jesus Jurado-Solano,,,,Wing,,,12,2.175,2.05,2.0,3,2.9166666666666665,0.6666666666666666,1.0833333333333333,1.4166666666666667,0.25,0.0,0.5833333333333334,2.1666666666666665,1.25,1.0,0.25,0.4166666666666667,0.559462915601023,0.5192307692307693,72.49378624689312,0.04301496792587313,0.7647058823529411,0.352112676056338,0.4666666666666667,0.5769230769230769,0.46153846153846156,1.6923842707814833,0.2986560477849676,0.7964161274265804,0.6968641114982579,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
