MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
37,1,Division II,deltacollege,Sir Real Smith,,,,Wing,,,11,4.025,4.7,3.5,3,34.09090909090909,7.636363636363637,2.090909090909091,1.7272727272727273,1.5454545454545454,0.36363636363636365,1.3636363636363635,23.727272727272727,7.0,6.818181818181818,3.727272727272727,3.909090909090909,0.6377551020408163,0.6111111111111112,119.80830670926518,0.30644213824162914,1.2105263157894737,0.06070287539936102,0.42857142857142855,0.2950191570881226,0.28735632183908044,2.112284602556976,2.3346303501945527,9.33852140077821,1.6675931072818233,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Unknown
1102,2,Division II,deltacollege,Deontrey Gary,,,,Wing,,,11,2.9250000000000007,3.5500000000000007,2.0,3,8.181818181818182,1.4545454545454546,1.0909090909090908,0.6363636363636364,0.6363636363636364,0.09090909090909091,0.8181818181818182,6.636363636363637,3.0,0.7272727272727273,0.18181818181818182,1.2727272727272727,0.5880815473078934,0.5958904109589042,107.75862068965517,0.08993797381116471,1.7142857142857142,0.08381226053639847,0.5151515151515151,0.4520547945205479,0.1095890410958904,0.8594229588704727,0.9821976672805403,1.9643953345610805,1.1049723756906078,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1692,3,Division II,deltacollege,Brady Belcher,,,,Wing,,,14,2.7,3.0999999999999996,2.0,3,6.0,1.5,0.6428571428571429,0.42857142857142855,0.6428571428571429,0.21428571428571427,0.6428571428571429,5.214285714285714,2.5,0.8571428571428571,0.5,1.0,0.5365355135411344,0.5205479452054794,99.66777408637874,0.06927958438825503,1.5,0.07119126720455624,0.34285714285714286,0.4794520547945205,0.1643835616438356,0.5581395348837209,1.1162790697674418,1.9534883720930232,0.8372093023255814,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Very Good,4,Average,3,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1933,4,Division II,deltacollege,Jaylen Carthan,,,,Wing,,,13,2.6025,2.45,2.6500000000000004,3,10.076923076923077,3.8461538461538463,6.3076923076923075,2.076923076923077,1.6153846153846154,0.15384615384615385,2.6923076923076925,10.923076923076923,3.923076923076923,4.153846153846154,0.8461538461538461,3.0,0.3951496138996139,0.33098591549295775,67.96015770906827,0.1776393394278974,3.037037037037037,0.14007055405685828,0.11764705882352941,0.3591549295774648,0.38028169014084506,2.7921406411582215,2.378490175801448,5.170630816959669,3.6194415718717683,Poor,1,Average,3,Poor,1,Elite,5,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Very Good,4,Unknown
1942,5,Division II,deltacollege,Brandon Bossert,,,,Wing,,,7,2.6000000000000005,2.9000000000000004,2.0,3,6.142857142857143,3.142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.14285714285714285,1.2857142857142858,5.0,2.142857142857143,0.14285714285714285,0.42857142857142855,2.7142857142857144,0.6066591422121896,0.6142857142857143,103.76447876447877,0.06207309766327142,0.8333333333333334,0.1447876447876448,0.6,0.42857142857142855,0.02857142857142857,1.0160880609652836,1.0160880609652836,3.7256562235393735,1.5241320914479255,Elite,5,Poor,1,Average,3,Below Average,2,Average,3,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2118,6,Division II,deltacollege,Amari Taylor,,,,Wing,,,15,2.545,2.3,2.7,3,6.066666666666666,6.2,0.5333333333333333,0.9333333333333333,0.3333333333333333,1.2,3.4,4.6,0.0,2.2,1.8,4.4,0.54477969348659,0.4927536231884058,93.31419196062346,0.07559221133573112,0.5714285714285714,0.1435602953240361,,0.0,0.4782608695652174,1.2259194395796849,2.0140105078809105,8.143607705779335,4.46584938704028,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Below Average,2,Average,3,Elite,5,Unknown
2142,7,Division II,deltacollege,Evan Booker,,,,Wing,,,6,2.5325000000000006,2.8000000000000007,1.95,3,13.333333333333334,3.3333333333333335,4.0,2.0,1.0,0.5,3.6666666666666665,12.0,3.8333333333333335,5.166666666666667,0.6666666666666666,2.6666666666666665,0.4670714619336758,0.4236111111111111,81.9336337566571,0.16993873572820942,2.0,0.12290045063498566,0.391304347826087,0.3194444444444444,0.4305555555555556,2.3506366307541624,1.762977473065622,3.9177277179236043,4.3095004897159646,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Very Good,4,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Unknown
3096,8,Division II,deltacollege,Ricky Sparks,,,,Wing,,,10,2.275,2.25,2.0,3,2.3,0.8,1.0,0.5,0.2,0.1,1.0,2.2,0.9,0.6,0.3,0.5,0.4667207792207792,0.4090909090909091,77.59784075573549,0.03562842581017405,2.0,0.16869095816464239,0.2222222222222222,0.4090909090909091,0.2727272727272727,0.6743088334457181,0.4045853000674309,1.078894133513149,1.3486176668914363,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3572,9,Division II,deltacollege,Jimmy McCrum,,,,Wing,,,11,2.15,2.0,2.0,3,0.8181818181818182,1.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.2727272727272727,1.1818181818181819,2.1818181818181817,1.1818181818181819,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.16891891891891891,0.16666666666666666,29.373368146214098,0.033358010712885945,0.75,0.13054830287206265,0.15384615384615385,0.5416666666666666,0.25,0.4878048780487805,0.6097560975609756,1.7073170731707317,1.5853658536585367,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3680,10,Division II,deltacollege,Darrion Youngblood,,,,Wing,,,13,2.125,1.95,2.0,3,3.076923076923077,1.8461538461538463,0.5384615384615384,0.7692307692307693,0.15384615384615385,0.07692307692307693,1.6153846153846154,3.6153846153846154,1.4615384615384615,1.3076923076923077,0.6153846153846154,1.2307692307692308,0.36710719530102787,0.3404255319148936,62.034739454094286,0.05942199941020349,0.7,0.15508684863523572,0.10526315789473684,0.40425531914893614,0.3617021276595745,1.0341261633919339,0.31023784901758017,2.4819027921406414,2.171664943123061,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
