MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
70,1,Division II,desmoinesareacommunitycollege,Kaden Tate,3,SO,F,Wing,6'6,210,19,3.84,3.3999999999999995,4.4,4,8.0,7.578947368421052,1.9473684210526316,1.1578947368421053,1.6842105263157894,2.3157894736842106,2.1578947368421053,4.7894736842105265,0.47368421052631576,4.0,2.8947368421052633,4.684210526315789,0.6107360977177756,0.6428571428571429,103.79677683692981,0.08385057602895032,1.6818181818181819,0.15023217700081945,0.1111111111111111,0.0989010989010989,0.8351648351648352,1.453584407003634,5.021473406012554,9.514370664023787,2.7089527585067725,Elite,5,Poor,1,Average,3,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Very Good
169,2,Division II,desmoinesareacommunitycollege,Hunter Gawron,5,FR,F,Wing,6'7,220,18,3.6075,4.3,2.45,4,9.0,4.333333333333333,0.8333333333333334,0.5555555555555556,0.8888888888888888,0.6111111111111112,1.2777777777777777,6.388888888888889,2.7222222222222223,1.6666666666666667,1.9444444444444444,2.388888888888889,0.6318252730109205,0.6217391304347826,117.22141823444285,0.0831748477334553,1.5,0.07235890014471781,0.42857142857142855,0.4260869565217391,0.2608695652173913,0.697350069735007,1.8828451882845187,5.439330543933054,1.6039051603905161,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
575,3,Division II,desmoinesareacommunitycollege,Brennon Clemmons Jr,,,,Wing,,,13,3.2,4.1,2.0,3,4.076923076923077,2.3076923076923075,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.46153846153846156,2.0,0.0,1.6153846153846154,1.3076923076923077,1.0,0.7519863791146424,0.7692307692307693,142.32008592910847,0.030227272727272728,1.5,0.05370569280343716,,0.0,0.8076923076923077,0.18867924528301888,0.9433962264150944,2.830188679245283,0.5660377358490566,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
596,4,Division II,desmoinesareacommunitycollege,Rylan Smith,10,SO,G,Guard,6'1,190,14,3.1875,3.85,2.2,3,10.714285714285714,1.7857142857142858,3.0,1.4285714285714286,0.8571428571428571,0.07142857142857142,1.5714285714285714,7.214285714285714,5.785714285714286,3.357142857142857,0.35714285714285715,1.4285714285714286,0.6163708086785009,0.5346534653465347,105.87238848108413,0.10758763137111961,2.1,0.1411631846414455,0.3950617283950617,0.801980198019802,0.46534653465346537,1.7551557700745941,1.1408512505484862,2.1939447125932428,1.9306713470820536,Elite,5,Poor,1,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Average
684,5,Division II,desmoinesareacommunitycollege,Kiki Deng,2,FR,G,Guard,6'5,195,19,3.14,3.0500000000000003,2.75,5,12.052631578947368,3.8947368421052633,1.9473684210526316,1.6842105263157894,1.5263157894736843,0.10526315789473684,1.1578947368421053,8.210526315789474,2.9473684210526314,4.2105263157894735,0.8421052631578947,3.0526315789473686,0.5988493723849373,0.532051282051282,102.59856630824373,0.1278028446439614,1.15625,0.14336917562724016,0.35714285714285715,0.358974358974359,0.5128205128205128,2.114304592005286,2.048232573505121,4.8893293690122235,1.453584407003634,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Very Good,4,Average,3,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Elite
721,6,Division II,desmoinesareacommunitycollege,Malcolm Bragg,24,FR,G,Guard,6'4,190,17,3.1175,3.1999999999999997,2.45,5,8.235294117647058,2.764705882352941,1.411764705882353,1.2352941176470589,1.411764705882353,0.29411764705882354,2.4705882352941178,5.764705882352941,2.823529411764706,2.2941176470588234,0.7058823529411765,2.0588235294117645,0.6078499478985759,0.5714285714285714,102.82021151586369,0.08636525092606687,1.1428571428571428,0.15423031727379555,0.4166666666666667,0.4897959183673469,0.3979591836734694,1.5367727771679474,2.1222100256128797,3.4394438346139773,3.0735455543358947,Elite,5,Poor,1,Average,3,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Elite
921,7,Division II,desmoinesareacommunitycollege,Jayden Jones,12,SO,G,Guard,6'3,185,13,3.0124999999999997,3.0,2.75,4,6.6923076923076925,3.0,1.4615384615384615,0.8461538461538461,1.0769230769230769,0.23076923076923078,0.7692307692307693,6.153846153846154,3.3846153846153846,0.5384615384615384,0.9230769230769231,2.076923076923077,0.5235917188252287,0.5,92.47448979591837,0.07743974713551954,1.7272727272727273,0.116921768707483,0.36363636363636365,0.55,0.0875,1.0476190476190477,1.619047619047619,3.7142857142857144,0.9523809523809523,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Very Good,4,Average,3,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
937,8,Division II,desmoinesareacommunitycollege,Johnnie Jones,11,SO,G,Guard,6'4,185,9,3.0025000000000004,3.15,2.2,5,2.7777777777777777,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.0,0.1111111111111111,2.2222222222222223,1.6666666666666667,0.0,0.1111111111111111,0.5555555555555556,0.625,0.625,104.16666666666667,0.027376009490349955,1.5,0.16666666666666666,0.3333333333333333,0.75,0.0,0.5361930294906166,0.6702412868632708,0.8042895442359249,0.13404825737265416,Elite,5,Poor,1,Average,3,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Elite
1133,9,Division II,desmoinesareacommunitycollege,Solomon Mosley,35,FR,F,Wing,6'7,230,14,2.915,2.5999999999999996,2.9000000000000004,4,5.0,4.285714285714286,0.6428571428571429,1.2142857142857142,0.2857142857142857,1.4285714285714286,1.3571428571428572,3.357142857142857,0.0,1.1428571428571428,1.2142857142857142,3.0714285714285716,0.6476683937823834,0.6595744680851063,98.53603603603605,0.05394568981228357,0.5294117647058824,0.23930180180180183,,0.0,0.3404255319148936,1.491882404563405,2.106186924089513,5.265467310223783,1.6673979815708644,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Very Good
1972,10,Division II,desmoinesareacommunitycollege,"Shelton Colwell, Jr",14,FR,G,Guard,6'5,200,14,2.59,2.4,2.2,5,8.428571428571429,2.642857142857143,1.2857142857142858,1.6428571428571428,0.5714285714285714,0.14285714285714285,1.2857142857142858,5.571428571428571,1.3571428571428572,2.9285714285714284,0.7857142857142857,1.8571428571428572,0.6143273635985007,0.5256410256410257,99.12634408602152,0.09039548022598869,0.782608695652174,0.19321236559139787,0.3157894736842105,0.24358974358974358,0.5256410256410257,2.0184291355857833,0.8775778850372971,3.247038174637999,1.5796401930671347,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Elite
