MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
288,1,Division II,edisonstate,Frank Latham,,,,Wing,,,12,3.4350000000000005,3.8000000000000003,3.1,3,14.666666666666666,8.083333333333334,1.4166666666666667,1.6666666666666667,0.6666666666666666,0.5,2.3333333333333335,9.666666666666666,0.9166666666666666,4.916666666666667,3.4166666666666665,4.666666666666667,0.6198929275852353,0.603448275862069,108.66880711286737,0.15742612752721616,0.85,0.12348728081007655,0.18181818181818182,0.09482758620689655,0.5086206896551724,2.201430930104568,1.5410016510731976,10.676940011007154,3.0820033021463953,Elite,5,Average,3,Very Good,4,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Below Average,2,Very Good,4,Very Good,4,Elite,5,Unknown
314,2,Division II,edisonstate,Darian Leslie,,,,Wing,,,12,3.4074999999999998,4.2,2.45,3,17.25,4.5,2.9166666666666665,1.75,1.0833333333333333,0.3333333333333333,0.8333333333333334,12.75,4.916666666666667,4.25,0.16666666666666666,4.333333333333333,0.5899452804377565,0.545751633986928,105.37568723274282,0.1909409020217729,1.6666666666666667,0.10690287110568113,0.423728813559322,0.38562091503267976,0.3333333333333333,2.3115024766097965,1.8712162905888827,5.943863511282333,1.100715465052284,Very Good,4,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
444,3,Division II,edisonstate,Tyler Wyles,,,,Wing,,,10,3.3,4.3,2.0,3,5.7,0.9,0.5,0.2,0.7,0.0,1.2,3.4,2.6,0.6,0.2,0.7,0.7778384279475983,0.75,147.51552795031057,0.04480935151683829,2.5,0.05175983436853002,0.5769230769230769,0.7647058823529411,0.17647058823529413,0.26109660574412535,0.9138381201044387,1.174934725848564,1.566579634464752,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
663,4,Division II,edisonstate,Malcolm Curry,,,,Wing,,,10,3.1400000000000006,3.35,2.9000000000000004,3,17.0,4.2,2.6,1.5,1.0,0.7,1.2,12.7,3.9,5.9,0.9,3.3,0.5557008368200836,0.47244094488188976,101.21457489878541,0.1951570923963562,1.7333333333333334,0.08930697785186949,0.2564102564102564,0.30708661417322836,0.4645669291338583,1.976284584980237,2.2397891963109355,5.533596837944664,1.5810276679841897,Average,3,Very Good,4,Below Average,2,Very Good,4,Elite,5,Poor,1,Very Good,4,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
834,5,Division II,edisonstate,Chylan Ingram,,,,Wing,,,11,3.05,3.8,2.0,3,5.090909090909091,3.727272727272727,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.5454545454545454,3.6363636363636362,0.0,1.5454545454545454,1.6363636363636365,2.090909090909091,0.5897219882055602,0.6,113.1770412287793,0.052937903881542354,3.0,0.04042037186742118,,0.0,0.425,0.24154589371980675,1.0869565217391304,4.951690821256038,0.7246376811594203,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1868,6,Division II,edisonstate,Cashawn Ingram,,,,Wing,,,12,2.62,2.8000000000000003,2.2,3,10.083333333333334,2.6666666666666665,4.333333333333333,1.3333333333333333,1.0833333333333333,0.3333333333333333,2.75,8.666666666666666,1.6666666666666667,3.3333333333333335,0.25,2.4166666666666665,0.49753289473684215,0.4519230769230769,87.93604651162791,0.1337480559875583,3.25,0.11627906976744186,0.3,0.19230769230769232,0.38461538461538464,1.7611447440836543,1.8712162905888827,3.5222894881673086,3.6323610346725372,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
1990,7,Division II,edisonstate,Jagger Hutchins,,,,Wing,,,11,2.575,2.85,2.0,3,2.3636363636363638,1.1818181818181819,0.8181818181818182,0.2727272727272727,0.09090909090909091,0.36363636363636365,1.6363636363636365,2.0,1.2727272727272727,0.6363636363636364,0.18181818181818182,1.0,0.5183413078149921,0.4772727272727273,92.5925925925926,0.029570345408593088,3.0,0.10683760683760685,0.35714285714285715,0.6363636363636364,0.3181818181818182,0.3582089552238806,0.5970149253731343,1.5522388059701493,2.1492537313432836,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2144,8,Division II,edisonstate,Sir Cox,,,,Wing,,,12,2.5250000000000004,2.75,2.0,3,8.166666666666666,3.3333333333333335,0.16666666666666666,0.75,0.4166666666666667,0.3333333333333333,1.5,6.583333333333333,1.75,1.9166666666666667,1.75,1.5833333333333333,0.5498204667863554,0.5126582278481012,99.87770077456176,0.09537325038880247,0.2222222222222222,0.09172441907867916,0.42857142857142855,0.26582278481012656,0.2911392405063291,0.9906439185470556,0.9906439185470556,4.402861860209136,1.9812878370941112,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2647,9,Division II,edisonstate,Marquise Long,,,,Wing,,,12,2.375,2.4499999999999997,2.0,3,3.4166666666666665,2.4166666666666665,0.8333333333333334,0.5,0.8333333333333334,0.0,0.9166666666666666,3.0,0.08333333333333333,0.6666666666666666,1.0833333333333333,1.3333333333333333,0.5187246963562753,0.5416666666666666,90.07029876977153,0.0442457231726283,1.6666666666666667,0.13181019332161686,1.0,0.027777777777777776,0.2222222222222222,0.6604292790313704,1.100715465052284,3.1920748486516235,1.2107870115575123,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2860,10,Division II,edisonstate,Daviyon McDonald,,,,Wing,,,7,2.325,2.0,2.5,3,5.142857142857143,5.857142857142857,0.5714285714285714,1.1428571428571428,0.14285714285714285,1.1428571428571428,2.5714285714285716,4.0,0.5714285714285714,0.8571428571428571,2.2857142857142856,3.5714285714285716,0.5874673629242819,0.5714285714285714,93.16770186335404,0.062134173795587576,0.5,0.20703933747412007,0.0,0.14285714285714285,0.21428571428571427,1.4732965009208103,1.6574585635359116,7.550644567219153,3.314917127071823,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
3105,11,Division II,edisonstate,A'zon Steele,,,,Wing,,,8,2.25,2.1999999999999997,2.0,3,0.25,1.0,0.5,0.125,0.125,0.0,0.375,1.125,0.5,0.0,0.0,1.0,0.1111111111111111,0.1111111111111111,20.0,0.014626725953662533,4.0,0.1,0.0,0.4444444444444444,0.0,0.1662510390689942,0.1662510390689942,1.3300083125519535,0.49875311720698257,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4097,12,Division II,edisonstate,Kelvin Cotton-Cash,,,,Wing,,,12,1.95,1.6,2.0,3,2.75,1.3333333333333333,0.5,0.9166666666666666,0.3333333333333333,0.0,1.1666666666666667,2.5,0.5833333333333334,1.25,0.25,1.0833333333333333,0.45081967213114754,0.38333333333333336,69.32773109243698,0.04626749611197511,0.5454545454545454,0.2310924369747899,0.42857142857142855,0.23333333333333334,0.5,1.2107870115575123,0.4402861860209136,1.7611447440836543,1.5410016510731976,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
