MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
184,1,Division II,elgincommunitycollege,Davee Flowers,,,,Wing,,,17,3.5774999999999997,3.3499999999999996,4.15,3,23.0,7.235294117647059,4.176470588235294,3.0588235294117645,4.235294117647059,0.8235294117647058,2.8823529411764706,19.529411764705884,8.588235294117647,3.411764705882353,1.588235294117647,5.647058823529412,0.5468225553815171,0.5180722891566265,95.47763235006838,0.2585222968536942,1.3653846153846154,0.12697792537605002,0.3561643835616438,0.4397590361445783,0.1746987951807229,3.7369744879626303,6.180380883938196,8.839381961911606,3.521379805964786,Average,3,Elite,5,Below Average,2,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Average,3,Very Good,4,Average,3,Unknown
823,2,Division II,elgincommunitycollege,Jaylen Wells,,,,Wing,,,9,3.0549999999999997,2.55,3.8,3,5.222222222222222,4.0,1.0,0.5555555555555556,1.0,1.8888888888888888,2.111111111111111,5.0,1.4444444444444444,1.8888888888888888,1.2222222222222223,2.7777777777777777,0.44778963414634143,0.4111111111111111,81.76757132915796,0.07028269588183508,1.8,0.08698677800974251,0.07692307692307693,0.28888888888888886,0.37777777777777777,0.6854009595613434,3.5640849897189857,4.934886908841673,2.6045236463331047,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1475,3,Division II,elgincommunitycollege,Immanuel Brown,,,,Wing,,,15,2.7750000000000004,3.25,2.0,3,8.2,2.6666666666666665,1.0666666666666667,1.0,0.9333333333333333,0.13333333333333333,1.8,6.333333333333333,2.533333333333333,0.9333333333333333,1.0666666666666667,1.6,0.6079478054567022,0.5842105263157895,105.88842975206612,0.08424717145343776,1.0666666666666667,0.1291322314049587,0.34210526315789475,0.4,0.14736842105263157,1.2224938875305624,1.3039934800325998,3.2599837000814995,2.2004889975550124,Elite,5,Poor,1,Average,3,Below Average,2,Very Good,4,Very Good,4,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1797,4,Division II,elgincommunitycollege,Xavior Gonzalez,,,,Wing,,,16,2.6525,2.5500000000000003,2.6500000000000004,3,12.125,2.8125,2.9375,1.9375,1.5625,0.125,2.75,11.5,4.25,2.5625,0.875,1.9375,0.48010294991090874,0.4483695652173913,83.24751115688294,0.15731914778710876,1.5161290322580645,0.13302437349811191,0.3088235294117647,0.3695652173913043,0.22282608695652173,2.38553289726818,2.0777222008464795,3.4628703347441325,3.3859176606387074,Poor,1,Average,3,Poor,1,Very Good,4,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2022,5,Division II,elgincommunitycollege,Caleb Lewis,,,,Wing,,,13,2.575,2.85,2.0,3,2.3846153846153846,1.1538461538461537,0.38461538461538464,0.5384615384615384,0.46153846153846156,0.07692307692307693,1.0769230769230769,1.3076923076923077,0.9230769230769231,0.8461538461538461,0.5384615384615384,0.6153846153846154,0.7097069597069597,0.6764705882352942,107.48959778085992,0.024310472722368335,0.7142857142857143,0.24271844660194175,0.5833333333333334,0.7058823529411765,0.6470588235294118,0.665083135391924,0.665083135391924,1.4251781472684086,1.330166270783848,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2444,6,Division II,elgincommunitycollege,Obsa Abaomer,,,,Wing,,,13,2.45,2.6,2.0,3,2.0,1.3076923076923077,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.0,0.38461538461538464,1.9230769230769231,0.3076923076923077,0.15384615384615385,0.6923076923076923,0.6153846153846154,0.5023183925811437,0.5,96.72619047619048,0.02265830467327534,4.0,0.03720238095238095,0.25,0.16,0.08,0.09501187648456057,0.19002375296912113,1.6152019002375297,0.4750593824228028,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2608,7,Division II,elgincommunitycollege,Maddox Hollian,,,,Wing,,,17,2.4025,2.0500000000000003,2.6500000000000004,3,12.176470588235293,4.470588235294118,1.4705882352941178,2.5294117647058822,1.6470588235294117,0.35294117647058826,2.5294117647058822,10.705882352941176,5.647058823529412,1.4705882352941178,1.2352941176470589,3.235294117647059,0.5362694300518135,0.5247252747252747,87.71186440677967,0.1488282925106576,0.5813953488372093,0.18220338983050846,0.3020833333333333,0.5274725274725275,0.13736263736263737,3.094638359121986,2.4469233537243613,5.469593378913278,3.094638359121986,Average,3,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Below Average,2,Average,3,Average,3,Poor,1,Very Good,4,Very Good,4,Unknown
2728,8,Division II,elgincommunitycollege,Gianni Feaster,,,,Wing,,,11,2.375,2.4499999999999997,2.0,3,2.0,1.1818181818181819,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.0,0.8181818181818182,2.090909090909091,0.9090909090909091,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.4290171606864274,0.3695652173913043,76.81564245810056,0.028883779095566584,1.6666666666666667,0.10474860335195531,0.3,0.43478260869565216,0.2608695652173913,0.3389830508474576,0.11299435028248588,1.4689265536723164,1.0169491525423728,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2846,9,Division II,elgincommunitycollege,Derek Clark,,,,Wing,,,18,2.34,1.75,2.9000000000000004,3,5.888888888888889,3.1666666666666665,1.0555555555555556,1.0,1.4444444444444444,0.3888888888888889,2.111111111111111,6.388888888888889,4.888888888888889,0.2777777777777778,0.9444444444444444,2.2222222222222223,0.4522184300341297,0.44782608695652176,78.40236686390533,0.08077428605568167,1.0555555555555556,0.13313609467455623,0.26136363636363635,0.7652173913043478,0.043478260869565216,1.2211668928086838,2.2388059701492535,3.8670284938941655,2.5780189959294435,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3141,10,Division II,elgincommunitycollege,Unique Shaw,,,,Wing,,,18,2.25,2.2,2.0,3,6.944444444444445,1.6666666666666667,2.0555555555555554,1.2777777777777777,0.6111111111111112,0.0,0.6111111111111112,6.833333333333333,5.722222222222222,0.16666666666666666,0.7222222222222222,0.9444444444444444,0.5027348777348778,0.5040650406504065,84.84930762964974,0.08801529453937147,1.608695652173913,0.15612272603855554,0.3300970873786408,0.8373983739837398,0.024390243902439025,1.5603799185888738,0.746268656716418,2.03527815468114,0.746268656716418,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3204,11,Division II,elgincommunitycollege,Ethan Reyes,,,,Wing,,,7,2.25,2.1999999999999997,2.0,3,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.42857142857142855,1.1428571428571428,0.5714285714285714,0.0,0.0,0.0,0.25,0.25,50.0,0.012487512487512488,99.0,0.0,0.0,0.5,0.0,0.0,0.17286084701815038,0.0,0.5185825410544511,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3542,12,Division II,elgincommunitycollege,Deedum Lege,,,,Wing,,,14,2.15,2.0,2.0,3,2.4285714285714284,1.5,0.07142857142857142,0.7142857142857143,0.35714285714285715,0.5714285714285714,1.5,1.8571428571428572,0.07142857142857142,0.8571428571428571,0.6428571428571429,0.8571428571428571,0.5434782608695652,0.6153846153846154,82.36434108527132,0.03235008306949626,0.1,0.24224806201550386,0.0,0.038461538461538464,0.46153846153846156,0.8810572687224669,1.145374449339207,1.8502202643171806,1.8502202643171806,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4498,13,Division II,elgincommunitycollege,Max Fessler,,,,Wing,,,13,1.8,1.3,2.0,3,1.7692307692307692,1.1538461538461537,0.5384615384615384,0.9230769230769231,0.7692307692307693,0.15384615384615385,1.0769230769230769,1.8461538461538463,0.6923076923076923,0.23076923076923078,0.7692307692307693,0.38461538461538464,0.4541864139020537,0.4375,61.62915326902465,0.0314586283633421,0.5833333333333334,0.3215434083601286,0.3333333333333333,0.375,0.125,1.1401425178147269,1.1401425178147269,1.4251781472684086,1.330166270783848,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4521,14,Division II,elgincommunitycollege,Elliot Foy,,,,Wing,,,10,1.7750000000000001,1.2500000000000002,2.0,3,0.8,0.5,0.0,0.3,0.2,0.0,0.3,1.1,1.0,0.0,0.0,0.5,0.36363636363636365,0.36363636363636365,57.142857142857146,0.01529185599440755,0.0,0.21428571428571427,0.2,0.9090909090909091,0.0,0.36900369003690037,0.24600246002460024,0.6150061500615006,0.36900369003690037,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
