MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1639,1,Division II,enterprisestatecommunitycollege,Moses McDowell,,,,Wing,,,15,2.705,2.8999999999999995,2.3,3,6.266666666666667,6.333333333333333,0.7333333333333333,1.0666666666666667,0.3333333333333333,0.4666666666666667,0.2,3.8666666666666667,0.3333333333333333,3.066666666666667,2.8666666666666667,3.466666666666667,0.6007157464212679,0.47413793103448276,99.74533106960952,0.07152181172399137,0.6875,0.16977928692699493,0.2,0.08620689655172414,0.7931034482758621,1.3757523645743766,1.0318142734307825,8.168529664660362,0.2579535683576956,Elite,5,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1725,2,Division II,enterprisestatecommunitycollege,Ring Kuol,,,,Wing,,,15,2.6725000000000003,2.1,3.35,3,2.533333333333333,2.7333333333333334,0.2,0.3333333333333333,0.0,2.4,0.6,2.533333333333333,0.0,0.6,0.5333333333333333,2.2,0.45281220209723544,0.4473684210526316,80.91993185689948,0.03563947664005343,0.6,0.10647359454855196,,0.0,0.23684210526315788,0.4299226139294927,3.095442820292347,3.52536543422184,0.7738607050730868,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1806,3,Division II,enterprisestatecommunitycollege,Cameroon Woodberry,,,,Wing,,,13,2.6400000000000006,2.3500000000000005,2.9000000000000004,3,12.846153846153847,3.1538461538461537,2.0,1.9230769230769231,1.5384615384615385,0.15384615384615385,0.6153846153846154,11.923076923076923,7.538461538461538,1.7692307692307692,0.23076923076923078,2.923076923076923,0.5056928294573644,0.4774193548387097,87.83925941510624,0.16624693948933195,1.04,0.13149589732800337,0.30612244897959184,0.632258064516129,0.14838709677419354,2.4888003982080638,2.190144350423096,4.081632653061225,0.7964161274265804,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1889,4,Division II,enterprisestatecommunitycollege,Nickulas Burton,,,,Wing,,,14,2.6099999999999994,2.5,2.5999999999999996,3,10.571428571428571,6.571428571428571,1.4285714285714286,1.7857142857142858,0.7857142857142857,0.0,0.35714285714285715,7.642857142857143,0.42857142857142855,4.642857142857143,2.2857142857142856,4.285714285714286,0.5457227138643068,0.4953271028037383,92.15442092154422,0.13123488265673006,0.8,0.15566625155666253,0.3333333333333333,0.056074766355140186,0.6074766355140186,2.3137436372049978,1.018047200370199,8.51457658491439,0.46274872744099954,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Unknown
2102,5,Division II,enterprisestatecommunitycollege,Mark Saadeh,,,,Wing,,,14,2.535,2.3500000000000005,2.5999999999999996,3,9.214285714285714,6.785714285714286,2.0714285714285716,1.8571428571428572,0.42857142857142855,0.42857142857142855,0.7142857142857143,7.357142857142857,0.14285714285714285,2.5,3.0,3.7857142857142856,0.5447635135135135,0.5242718446601942,89.33518005540166,0.11740219194120134,1.1153846153846154,0.18005540166204986,0.0,0.019417475728155338,0.33980582524271846,2.4096385542168677,1.1121408711770158,8.804448563484709,0.9267840593141798,Average,3,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Unknown
2195,6,Division II,enterprisestatecommunitycollege,Bryan Hill,,,,Wing,,,15,2.5074999999999994,2.3999999999999995,2.45,3,10.466666666666667,3.066666666666667,0.6,1.0666666666666667,0.9333333333333333,0.2,0.8,9.333333333333334,5.533333333333333,2.0,0.6666666666666666,2.4,0.512402088772846,0.48214285714285715,92.78959810874706,0.12841140220394037,0.5625,0.09456264775413713,0.30120481927710846,0.5928571428571429,0.21428571428571427,1.3757523645743766,1.4617368873602752,3.9552880481513326,1.0318142734307825,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2998,7,Division II,enterprisestatecommunitycollege,Ty Bryant,,,,Wing,,,15,2.275,2.25,2.0,3,5.8,0.8666666666666667,0.4,0.7333333333333333,0.06666666666666667,0.0,0.06666666666666667,5.133333333333334,2.933333333333333,1.4666666666666666,0.26666666666666666,0.6,0.5018458698661744,0.45454545454545453,89.06633906633905,0.07413253999574998,0.5454545454545454,0.1126126126126126,0.3181818181818182,0.5714285714285714,0.2857142857142857,0.945829750644884,0.08598452278589853,1.117798796216681,0.08598452278589853,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3180,8,Division II,enterprisestatecommunitycollege,Julian Finch,,,,Wing,,,15,2.2249999999999996,2.15,2.0,3,7.0,2.2,0.8666666666666667,1.3333333333333333,0.6,0.0,0.3333333333333333,5.733333333333333,2.933333333333333,1.6666666666666667,0.8,1.4,0.5412371134020618,0.5116279069767442,89.74358974358974,0.08879511854527791,0.65,0.17094017094017094,0.3181818181818182,0.5116279069767442,0.29069767441860467,1.7196904557179709,0.7738607050730868,2.837489251934652,0.4299226139294927,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3375,9,Division II,enterprisestatecommunitycollege,Cayden Hargrove,,,,Wing,,,10,2.175,2.05,2.0,3,2.9,1.1,0.4,0.5,0.1,0.0,0.1,3.0,0.6,0.8,0.4,0.7,0.4325775656324582,0.4,75.28556593977154,0.04514133033328646,0.8,0.12980269989615784,0.3333333333333333,0.2,0.26666666666666666,0.6510416666666666,0.13020833333333334,1.4322916666666667,0.13020833333333334,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3600,10,Division II,enterprisestatecommunitycollege,Alijah Mathis,,,,Wing,,,15,2.1075,1.6,2.45,3,5.133333333333334,2.1333333333333333,1.5333333333333334,1.8666666666666667,1.2666666666666666,0.06666666666666667,0.13333333333333333,5.066666666666666,2.1333333333333333,1.6,0.26666666666666666,1.8666666666666667,0.4447781885397412,0.3881578947368421,67.21368715083798,0.08694332291065844,0.8214285714285714,0.24441340782122906,0.21875,0.42105263157894735,0.3157894736842105,2.407566638005159,1.7196904557179709,2.751504729148753,0.17196904557179707,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
4129,11,Division II,enterprisestatecommunitycollege,Taison Mathis,,,,Wing,,,9,1.95,1.6,2.0,3,3.111111111111111,1.1111111111111112,1.7777777777777777,1.5555555555555556,0.2222222222222222,0.0,0.3333333333333333,4.222222222222222,0.6666666666666666,0.8888888888888888,0.1111111111111111,1.0,0.33718689788053946,0.2894736842105263,50.43227665706051,0.0716424073500568,1.1428571428571428,0.2521613832853026,0.0,0.15789473684210525,0.21052631578947367,1.98722498225692,0.28388928317955997,1.4194464158978,0.42583392476933996,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
