MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
766,1,Division II,eriecommunitycollege,"Terrance Walker, Jr",,,,Wing,,,14,3.09,3.25,2.9000000000000004,3,14.5,4.428571428571429,3.5,1.8571428571428572,1.5714285714285714,0.21428571428571427,1.3571428571428572,11.928571428571429,4.857142857142857,2.0,1.4285714285714286,3.0,0.5660272139192505,0.5419161676646707,98.87005649717514,0.1433838934048437,1.8846153846153846,0.12663159945451002,0.39705882352941174,0.40718562874251496,0.16766467065868262,2.106969205834684,2.025931928687196,5.024311183144246,1.539708265802269,Average,3,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
879,2,Division II,eriecommunitycollege,Jabar Wheatley,,,,Wing,,,17,3.0324999999999998,3.45,2.45,3,9.176470588235293,3.1176470588235294,1.588235294117647,1.2352941176470589,1.3529411764705883,0.35294117647058826,1.7647058823529411,6.823529411764706,2.411764705882353,1.9411764705882353,0.8235294117647058,2.2941176470588234,0.597609561752988,0.5560344827586207,102.95670538542765,0.08966317134944495,1.2857142857142858,0.13859556494192185,0.4634146341463415,0.35344827586206895,0.28448275862068967,1.4344262295081966,1.9808743169398908,3.620218579234973,2.0491803278688523,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Elite,5,Average,3,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1416,3,Division II,eriecommunitycollege,Michael Pierrelouis,,,,Wing,,,14,2.8,3.3,2.0,3,10.928571428571429,1.8571428571428572,1.0714285714285714,1.5,0.7857142857142857,0.2857142857142857,1.6428571428571428,7.928571428571429,2.142857142857143,2.2857142857142856,0.9285714285714286,0.9285714285714286,0.6116085705148705,0.5855855855855856,104.73713033953999,0.1020140227380653,0.7142857142857143,0.1437568455640745,0.4666666666666667,0.2702702702702703,0.2882882882882883,1.7017828200972447,1.2155591572123177,2.106969205834684,1.8638573743922204,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1600,4,Division II,eriecommunitycollege,Elijah Dixson,,,,Wing,,,17,2.7325,2.85,2.45,3,4.529411764705882,2.588235294117647,2.411764705882353,1.7647058823529411,1.1764705882352942,0.11764705882352941,2.4705882352941178,2.823529411764706,1.588235294117647,1.1176470588235294,0.35294117647058826,2.235294117647059,0.6831085876508162,0.625,89.16164891153312,0.051255875789373725,1.3666666666666667,0.3473830477072719,0.5185185185185185,0.5625,0.3958333333333333,2.0625644551392233,1.512547267102097,3.025094534204194,2.8875902371949125,Elite,5,Poor,1,Poor,1,Average,3,Poor,1,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1871,5,Division II,eriecommunitycollege,Taesyn Slating,,,,Wing,,,17,2.625,2.95,2.0,3,13.764705882352942,4.705882352941177,1.4705882352941178,1.588235294117647,0.7058823529411765,0.35294117647058826,1.1764705882352942,11.588235294117647,9.117647058823529,1.2941176470588236,1.0,3.7058823529411766,0.5660925101606348,0.5558375634517766,100.1369394043136,0.1371554679062779,0.9259259259259259,0.1155426223895926,0.4064516129032258,0.7868020304568528,0.1116751269035533,1.8329938900203666,1.2219959266802445,5.431093007467753,1.3577732518669383,Average,3,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1928,6,Division II,eriecommunitycollege,JohnPaul Agu,,,,Wing,,,12,2.6075,2.6,2.45,3,6.666666666666667,2.8333333333333335,1.75,0.9166666666666666,1.3333333333333333,0.0,0.9166666666666666,6.5,2.5833333333333335,2.0833333333333335,1.25,1.5833333333333333,0.449438202247191,0.4230769230769231,80.0,0.08065036453964772,1.9090909090909092,0.11,0.3225806451612903,0.3974358974358974,0.32051282051282054,1.0411736867013726,1.5144344533838145,3.218173213440606,1.0411736867013726,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2739,7,Division II,eriecommunitycollege,Saliou Diokhane,,,,Wing,,,14,2.365,1.8,2.9000000000000004,3,6.071428571428571,2.642857142857143,3.2857142857142856,2.2857142857142856,1.7142857142857142,0.07142857142857142,2.2857142857142856,5.214285714285714,0.6428571428571429,3.9285714285714284,0.35714285714285715,2.2857142857142856,0.43724279835390945,0.3698630136986301,65.78947368421053,0.09107057264499394,1.4375,0.24767801857585142,0.0,0.1232876712328767,0.7534246575342466,2.6261797291752154,2.0517029134181373,3.0365203118588426,2.6261797291752154,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2775,8,Division II,eriecommunitycollege,Ayomide Ogunsola,,,,Wing,,,14,2.35,2.4000000000000004,2.0,3,2.2857142857142856,3.0714285714285716,0.35714285714285715,1.2857142857142858,0.42857142857142855,0.2857142857142857,1.0714285714285714,1.2857142857142858,0.0,0.6428571428571429,1.0,2.0714285714285716,0.7285974499089253,0.7777777777777778,80.08008008008008,0.0279058074247884,0.2777777777777778,0.45045045045045046,,0.0,0.5,1.4586709886547813,0.8103727714748784,3.4846029173419772,1.2155591572123177,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2847,9,Division II,eriecommunitycollege,Moudou Diakhate,,,,Wing,,,18,2.34,1.75,2.9000000000000004,3,6.333333333333333,5.222222222222222,2.0555555555555554,1.6666666666666667,1.4444444444444444,0.3888888888888889,2.0,6.0,1.8888888888888888,1.6111111111111112,1.3333333333333333,3.888888888888889,0.4720105995362703,0.4351851851851852,75.61687450252057,0.08413322023304612,1.2333333333333334,0.19899177500663306,0.17647058823529413,0.3148148148148148,0.26851851851851855,1.937984496124031,2.131782945736434,6.072351421188631,2.3255813953488373,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Poor,1,Average,3,Very Good,4,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3097,10,Division II,eriecommunitycollege,Michael Weyand,,,,Wing,,,10,2.275,2.25,2.0,3,1.7,0.9,0.5,0.2,0.5,0.0,0.3,2.8,0.9,0.2,0.3,0.6,0.2943213296398892,0.2857142857142857,55.05181347150259,0.02987153691379043,2.5,0.06476683937823835,0.2222222222222222,0.32142857142857145,0.07142857142857142,0.22535211267605634,0.5633802816901409,1.0140845070422535,0.3380281690140845,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
