MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
444,1,Division II,essexcountycollege,Ethan Laquindanum,,,,Wing,,,15,3.1900000000000004,3.45,2.9000000000000004,3,17.333333333333332,4.2,4.0,2.4,1.6666666666666667,0.06666666666666667,2.1333333333333333,13.2,2.1333333333333333,5.266666666666667,1.1333333333333333,3.066666666666667,0.5585152087987627,0.5151515151515151,96.74058639678523,0.18834973229052782,1.6666666666666667,0.13394850424170263,0.375,0.16161616161616163,0.398989898989899,2.972749793559042,2.1469859620148637,5.202312138728324,2.642444260941371,Average,3,Average,3,Below Average,2,Very Good,4,Very Good,4,Elite,5,Average,3,Average,3,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
458,2,Division II,essexcountycollege,Ryan English,,,,Wing,,,15,3.1750000000000007,4.050000000000001,2.0,3,9.6,1.6666666666666667,0.5333333333333333,0.6666666666666666,0.4666666666666667,0.0,0.5333333333333333,7.0,3.7333333333333334,2.2666666666666666,0.9333333333333333,0.7333333333333333,0.6002000666888962,0.5761904761904761,110.80332409972299,0.09107728534185518,0.8,0.07694675284702986,0.375,0.5333333333333333,0.3238095238095238,0.8257638315441783,0.5780346820809249,2.0644095788604457,0.6606110652353427,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
608,3,Division II,essexcountycollege,Carl Matala,,,,Wing,,,15,3.075,3.8500000000000005,2.0,3,6.266666666666667,1.2666666666666666,0.6666666666666666,0.7333333333333333,0.06666666666666667,0.0,1.4,4.4,2.933333333333333,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.6676136363636364,0.6590909090909091,115.47911547911548,0.0570459451125501,0.9090909090909091,0.13513513513513511,0.4772727272727273,0.6666666666666666,0.15151515151515152,0.9083402146985962,0.08257638315441784,1.568951279933939,1.7341040462427746,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1042,4,Division II,essexcountycollege,Rodney Willis Jr,,,,Wing,,,15,2.8425000000000002,2.3,3.55,3,9.8,9.2,0.0,1.5333333333333334,0.3333333333333333,1.4666666666666666,2.8,8.0,0.0,1.4666666666666666,4.6,4.6,0.5667797655768044,0.55,96.2798008907519,0.10699969164353991,0.0,0.15064186533927168,,0.0,0.18333333333333332,1.8992568125516103,2.2295623451692816,11.395540875309662,3.468208092485549,Average,3,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Unknown
1201,5,Division II,essexcountycollege,Aleem Hall,,,,Wing,,,9,2.7750000000000004,3.25,2.0,3,3.2222222222222223,2.6666666666666665,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,1.6666666666666667,2.0,0.5555555555555556,0.3333333333333333,1.2222222222222223,1.4444444444444444,0.7505175983436853,0.7777777777777778,124.35677530017152,0.026673376950176145,1.0,0.17152658662092624,0.4,0.2777777777777778,0.16666666666666666,0.5287508261731659,0.7931262392597488,3.172504957038995,1.982815598149372,Elite,5,Poor,1,Elite,5,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Very Good,4,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1900,6,Division II,essexcountycollege,Jaden Reid,,,,Wing,,,15,2.4749999999999996,2.65,2.0,3,7.933333333333334,2.2666666666666666,1.4,1.8666666666666667,0.6666666666666666,0.06666666666666667,1.5333333333333334,5.533333333333333,1.1333333333333333,2.1333333333333333,0.8,1.4666666666666666,0.6128965801400906,0.5903614457831325,95.13911096897985,0.08765733187564823,0.75,0.2238567316917173,0.35294117647058826,0.20481927710843373,0.3855421686746988,2.3121387283236996,0.9083402146985962,2.8075970272502064,1.8992568125516103,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1968,7,Division II,essexcountycollege,Jason Martinez,,,,Wing,,,15,2.4525000000000006,2.1500000000000004,2.6500000000000004,3,9.4,3.3333333333333335,2.4,1.7333333333333334,1.7333333333333334,0.13333333333333333,2.6,8.266666666666667,3.6,3.4,1.2666666666666666,2.066666666666667,0.48142583993444416,0.45564516129032256,81.76757132915797,0.12084769994113193,1.3846153846153846,0.1507770818835537,0.2777777777777778,0.43548387096774194,0.4112903225806452,2.1469859620148637,2.3121387283236996,4.1288191577208915,3.2204789430222958,Poor,1,Below Average,2,Poor,1,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2061,8,Division II,essexcountycollege,Gavin Wright,,,,Wing,,,10,2.425,2.5500000000000003,2.0,3,5.7,1.9,0.6,0.9,0.6,0.0,1.0,3.7,1.1,3.0,0.9,1.0,0.5677290836653386,0.4189189189189189,96.28378378378378,0.060526746278423034,0.6666666666666666,0.15202702702702703,0.2727272727272727,0.2972972972972973,0.8108108108108109,1.0863005431502715,0.724200362100181,2.2933011466505735,1.2070006035003018,Average,3,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2136,9,Division II,essexcountycollege,Francis Demfack Tatanfack,,,,Wing,,,10,2.4,2.5,2.0,3,3.4,1.7,0.7,0.4,1.1,0.0,1.1,3.2,2.4,0.8,0.7,1.0,0.47860360360360354,0.453125,86.03238866396761,0.041062299987531685,1.75,0.10121457489878542,0.2916666666666667,0.75,0.25,0.4822182037371911,1.3261000602772754,2.049427365883062,1.3261000602772754,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2183,10,Division II,essexcountycollege,Emard Babacap,,,,Wing,,,13,2.38,1.9,2.8,3,7.076923076923077,8.0,0.38461538461538464,1.4615384615384615,0.3076923076923077,1.0,2.6923076923076925,6.384615384615385,0.46153846153846156,2.4615384615384617,2.923076923076923,5.076923076923077,0.4738360115368768,0.463855421686747,79.25568573397656,0.09583567253393215,0.2631578947368421,0.16368022053756032,0.16666666666666666,0.07228915662650602,0.3855421686746988,1.8821198613174839,1.6840019811788014,10.302129767211492,3.467062902426944,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Average,3,Very Good,4,Elite,5,Unknown
