MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
482,1,Division II,fayettevilletechnicalcc,Jaden Lyles,,,,Wing,,,7,3.2,4.1,2.0,3,6.142857142857143,1.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.42857142857142855,3.142857142857143,0.0,2.7142857142857144,0.14285714285714285,0.8571428571428571,0.7081686429512517,0.6818181818181818,132.88009888751546,0.05023284694194349,1.5,0.06180469715698393,,0.0,0.8636363636363636,0.34934497816593885,0.17467248908296942,1.222707423580786,0.5240174672489083,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
559,2,Division II,fayettevilletechnicalcc,Xavier Whitaker,,,,Wing,,,7,3.1500000000000004,4.0,2.0,3,14.857142857142858,2.0,2.142857142857143,1.5714285714285714,0.2857142857142857,0.14285714285714285,1.2857142857142858,8.0,1.7142857142857142,7.0,0.2857142857142857,1.7142857142857142,0.6704486848891181,0.5982142857142857,117.43450767841011,0.13873049689830189,1.3636363636363635,0.12420957542908762,0.25,0.21428571428571427,0.875,1.9400352733686066,0.5291005291005291,2.4691358024691357,1.5873015873015872,Elite,5,Below Average,2,Elite,5,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
623,3,Division II,fayettevilletechnicalcc,Ray Mitchell,,,,Wing,,,9,3.115,2.9499999999999997,3.4,3,9.88888888888889,6.555555555555555,0.6666666666666666,1.1111111111111112,0.2222222222222222,2.111111111111111,2.7777777777777777,7.444444444444445,0.1111111111111111,2.111111111111111,2.3333333333333335,4.222222222222222,0.5904989384288747,0.5671641791044776,104.26429240862231,0.10286816100265123,0.6,0.11715089034676664,0.0,0.014925373134328358,0.2835820895522388,1.3651877133105803,2.8668941979522184,8.054607508532424,3.4129692832764507,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Very Good,4,Below Average,2,Very Good,4,Elite,5,Unknown
626,4,Division II,fayettevilletechnicalcc,Trevion Lewis,,,,Wing,,,9,3.1099999999999994,3.5,2.5999999999999996,3,6.888888888888889,7.555555555555555,1.4444444444444444,1.0,0.5555555555555556,0.2222222222222222,2.3333333333333335,4.222222222222222,0.0,2.111111111111111,3.5555555555555554,4.0,0.6686798964624676,0.6578947368421053,111.99421965317919,0.06671487105326585,1.4444444444444444,0.16257225433526012,,0.0,0.5,1.2286689419795223,0.9556313993174061,9.283276450511945,2.8668941979522184,Elite,5,Poor,1,Very Good,4,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Unknown
1188,5,Division II,fayettevilletechnicalcc,Jullian Mack,,,,Wing,,,7,2.825,3.3499999999999996,2.0,3,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.6024096385542168,0.5,104.71204188481674,0.011615178788615909,1.0,0.13089005235602094,0.0,0.25,1.5,0.1759014951627089,0.0,0.1759014951627089,0.3518029903254178,Elite,5,Poor,1,Average,3,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1238,6,Division II,fayettevilletechnicalcc,Cameron Burns,,,,Wing,,,9,2.8,3.3000000000000003,2.0,3,10.222222222222221,2.6666666666666665,5.666666666666667,2.0,0.5555555555555556,0.0,2.111111111111111,6.666666666666667,2.2222222222222223,2.7777777777777777,0.4444444444444444,2.2222222222222223,0.647887323943662,0.575,103.37078651685393,0.10725476018317666,2.8333333333333335,0.20224719101123595,0.45,0.3333333333333333,0.4166666666666667,2.4573378839590445,0.6825938566552902,3.2764505119453924,2.5938566552901023,Elite,5,Poor,1,Average,3,Elite,5,Poor,1,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1672,7,Division II,fayettevilletechnicalcc,Logan Ware,,,,Wing,,,8,2.63,3.1,1.8,3,9.375,5.75,0.125,0.875,0.0,1.0,3.25,7.125,2.625,2.625,2.0,3.75,0.5661231884057971,0.5175438596491229,102.40305843801202,0.10007104989889051,0.14285714285714285,0.09557618787547789,0.23809523809523808,0.3684210526315789,0.3684210526315789,1.079414032382421,1.2336160370084812,7.093292212798766,4.009252120277564,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Unknown
2182,8,Division II,fayettevilletechnicalcc,Zy McLean,,,,Wing,,,7,2.4499999999999997,2.5999999999999996,2.0,3,1.4285714285714286,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.0,0.0,0.8571428571428571,1.2857142857142858,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.42955326460481097,0.4444444444444444,79.1139240506329,0.019331946653615564,2.0,0.0791139240506329,0.0,0.2222222222222222,0.6666666666666666,0.17452006980802792,0.0,1.0471204188481675,1.0471204188481675,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2328,9,Division II,fayettevilletechnicalcc,Ja'Merl Brockington,,,,Wing,,,9,2.4,2.5,2.0,3,6.666666666666667,1.7777777777777777,2.111111111111111,1.3333333333333333,0.3333333333333333,0.2222222222222222,1.3333333333333333,4.666666666666667,0.8888888888888888,3.3333333333333335,0.5555555555555556,1.2222222222222223,0.5434782608695652,0.5357142857142857,89.28571428571428,0.08098336948662328,1.5833333333333333,0.17857142857142858,0.375,0.19047619047619047,0.7142857142857143,1.6382252559726962,0.6825938566552902,2.1843003412969284,1.6382252559726962,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2651,10,Division II,fayettevilletechnicalcc,Garrett Morgan,,,,Wing,,,8,2.3075,2.0,2.45,3,4.25,2.0,2.875,1.75,1.125,0.125,2.375,4.0,1.875,0.75,0.375,1.625,0.4907621247113164,0.46875,69.90131578947368,0.0655384283712407,1.6428571428571428,0.2878289473684211,0.26666666666666666,0.46875,0.1875,2.1604938271604937,1.5432098765432098,2.4691358024691357,2.932098765432099,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
