MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1474,1,Division II,floridagatewaycollege,Jaevien Ervin,,,,Wing,,,15,2.7749999999999995,2.8999999999999995,2.5,3,8.266666666666667,6.466666666666667,0.9333333333333333,0.6,0.6666666666666666,0.5333333333333333,2.933333333333333,6.266666666666667,0.0,3.8666666666666667,3.0,3.466666666666667,0.5187416331994645,0.5319148936170213,96.48303765950826,0.09219247654299734,1.5555555555555556,0.07002801120448181,,0.0,0.6170212765957447,0.7410456978180321,1.4820913956360642,7.986825854261013,3.62289007822149,Below Average,2,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
1769,2,Division II,floridagatewaycollege,Deshawn Ford,,,,Wing,,,16,2.6574999999999998,2.6999999999999993,2.45,3,6.875,3.4375,0.1875,1.0625,1.3125,0.1875,1.5625,5.3125,0.0625,0.9375,1.625,1.8125,0.6004366812227074,0.5882352941176471,101.28913443830571,0.07790307308255144,0.17647058823529413,0.1565377532228361,0.0,0.011764705882352941,0.17647058823529413,1.399752984767394,1.9761218608480857,4.5286125977768625,2.058460271716756,Elite,5,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1834,3,Division II,floridagatewaycollege,Angelo Mack,,,,Wing,,,14,2.6325000000000003,2.65,2.45,3,8.714285714285714,4.785714285714286,0.9285714285714286,1.1428571428571428,1.0,0.35714285714285715,1.9285714285714286,6.928571428571429,2.357142857142857,2.7857142857142856,1.1428571428571428,3.642857142857143,0.5343377715487035,0.5,93.73079287031346,0.10562877361552946,0.8125,0.12292562999385372,0.3333333333333333,0.3402061855670103,0.4020618556701031,1.4685635612666361,1.7439192290041303,6.1496099128040385,2.4782010096374485,Average,3,Poor,1,Poor,1,Below Average,2,Very Good,4,Average,3,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1866,4,Division II,floridagatewaycollege,Jermaine Council,,,,Wing,,,16,2.6224999999999996,2.0,3.35,3,9.375,2.4375,3.5,2.75,1.9375,0.125,2.0625,8.625,2.5,2.625,0.625,1.8125,0.47929447852760737,0.42391304347826086,74.82043096568236,0.143812229204327,1.2727272727272727,0.2194732641660016,0.325,0.2898550724637681,0.30434782608695654,3.62289007822149,2.7171675586661177,3.211198023878139,2.7171675586661177,Poor,1,Below Average,2,Poor,1,Average,3,Poor,1,Average,3,Average,3,Very Good,4,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
1879,5,Division II,floridagatewaycollege,David Wilson,,,,Wing,,,16,2.615,2.3,2.9000000000000004,3,7.3125,1.0625,0.375,1.125,1.25,0.4375,1.625,6.25,1.0,2.25,0.125,0.9375,0.5050069060773481,0.47,87.4178123132098,0.09600872284869877,0.3333333333333333,0.13448894202032277,0.375,0.16,0.36,1.4820913956360642,2.2231370934540964,1.399752984767394,2.140798682585426,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2038,6,Division II,floridagatewaycollege,Antawn Smith,,,,Wing,,,16,2.5575,2.5,2.45,3,7.6875,2.125,1.6875,1.5,1.125,0.0625,1.5625,6.625,2.5625,1.625,0.625,1.5,0.5236716621253407,0.49528301886792453,86.96266968325791,0.10146050328541507,1.125,0.16968325791855204,0.4146341463414634,0.3867924528301887,0.24528301886792453,1.9761218608480857,1.5644298065047344,2.799505969534788,2.058460271716756,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2313,7,Division II,floridagatewaycollege,Isaac Broxey,,,,Wing,,,16,2.465,2.0,2.9000000000000004,3,8.9375,2.4375,1.5625,1.5625,1.5625,0.125,1.5,8.125,2.0,3.125,0.4375,2.0,0.47039473684210525,0.4153846153846154,80.7909604519774,0.12696909701299822,1.0,0.14124293785310735,0.25,0.24615384615384617,0.38461538461538464,2.058460271716756,2.2231370934540964,3.211198023878139,1.9761218608480857,Poor,1,Below Average,2,Poor,1,Below Average,2,Average,3,Poor,1,Average,3,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2381,8,Division II,floridagatewaycollege,Travell Gallon,,,,Wing,,,16,2.4499999999999997,2.5999999999999996,2.0,3,2.125,2.8125,0.3125,0.125,0.3125,0.125,0.875,1.875,0.0,0.875,1.1875,1.625,0.4701327433628319,0.4,89.09853249475891,0.027373676508565037,2.5,0.052410901467505246,,0.0,0.4666666666666667,0.16467682173734047,0.5763688760806917,3.705228489090161,1.1527377521613833,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2508,9,Division II,floridagatewaycollege,Brandon Castillo,,,,Wing,,,16,2.4074999999999998,2.2,2.45,3,7.3125,2.3125,0.3125,0.875,1.0625,0.1875,1.1875,7.3125,4.5,1.25,1.0,1.3125,0.4650238473767886,0.4188034188034188,83.69098712446352,0.10028406645433419,0.35714285714285715,0.10014306151645207,0.3333333333333333,0.6153846153846154,0.17094017094017094,1.1527377521613833,1.6467682173734046,3.0465212021407986,1.5644298065047344,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2806,10,Division II,floridagatewaycollege,Keyjuan Odum,,,,Wing,,,16,2.325,2.3500000000000005,2.0,3,2.6875,3.6875,0.125,0.5625,0.4375,0.375,1.5,1.875,0.0,0.9375,1.375,2.3125,0.587431693989071,0.5666666666666667,94.29824561403508,0.032710682620297846,0.2222222222222222,0.19736842105263158,,0.0,0.5,0.7410456978180321,1.070399341292713,4.857966241251543,1.9761218608480857,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
