MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
526,1,Division II,floridastatecollegeatjacksonville,Isaac Heaven,,,,Wing,,,14,3.24,3.5500000000000003,2.9000000000000004,3,11.785714285714286,3.9285714285714284,1.0714285714285714,0.7142857142857143,1.4285714285714286,0.2857142857142857,1.6428571428571428,9.214285714285714,3.4285714285714284,2.7142857142857144,1.6428571428571428,2.2857142857142856,0.5661542684600603,0.5271317829457365,105.95941433341896,0.11695959140754095,1.5,0.06421782686873877,0.4583333333333333,0.37209302325581395,0.29457364341085274,0.8916629514043691,2.139991083370486,4.90414623272403,2.050824788230049,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
627,2,Division II,floridastatecollegeatjacksonville,Albert Laguerre,,,,Wing,,,17,3.17,3.2,3.2,3,14.411764705882353,6.235294117647059,1.6470588235294117,1.5294117647058822,1.588235294117647,0.058823529411764705,1.1764705882352942,11.0,2.0,3.6470588235294117,2.5294117647058822,3.7058823529411766,0.5716819115176405,0.5294117647058824,101.96437489595472,0.14756675756012483,1.0769230769230769,0.10820709172631929,0.29411764705882354,0.18181818181818182,0.3315508021390374,1.8922852983988354,2.037845705967977,7.714701601164483,1.455604075691412,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Elite,5,Below Average,2,Average,3,Average,3,Elite,5,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
708,3,Division II,floridastatecollegeatjacksonville,Dylan McCleod,,,,Wing,,,11,3.125,3.95,2.0,3,5.363636363636363,2.272727272727273,1.0,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.7272727272727273,3.909090909090909,0.9090909090909091,1.0,1.0909090909090908,1.1818181818181819,0.6166387959866221,0.5930232558139535,113.81172839506172,0.05049875311720699,2.75,0.07716049382716049,0.3,0.23255813953488372,0.2558139534883721,0.4621606008087811,1.270941652224148,2.8885037550548818,0.9243212016175621,Elite,5,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
744,4,Division II,floridastatecollegeatjacksonville,Diego Dionisio,,,,Wing,,,9,3.1000000000000005,3.9000000000000004,2.0,3,5.777777777777778,0.8888888888888888,1.2222222222222223,0.4444444444444444,0.4444444444444444,0.0,0.3333333333333333,4.0,2.2222222222222223,0.0,0.3333333333333333,0.5555555555555556,0.7222222222222222,0.7222222222222222,130.0,0.04283755997258396,2.75,0.1,0.6,0.5555555555555556,0.0,0.5079365079365079,0.5079365079365079,1.0158730158730158,0.38095238095238093,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
864,5,Division II,floridastatecollegeatjacksonville,Thomas Faucett,,,,Wing,,,15,3.04,3.1500000000000004,2.9000000000000004,3,8.4,3.7333333333333334,2.7333333333333334,1.4666666666666666,1.5333333333333334,0.2,1.0,6.2,3.933333333333333,2.533333333333333,1.4,2.3333333333333335,0.5741888443310245,0.5645161290322581,95.65745520801701,0.09223831265230666,1.8636363636363635,0.16702095353780747,0.3220338983050847,0.6344086021505376,0.40860215053763443,1.8318068276436303,2.1648626144879266,4.6627810158201495,1.2489592006661117,Very Good,4,Poor,1,Below Average,2,Very Good,4,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1378,6,Division II,floridastatecollegeatjacksonville,Keenan Johnson,,,,Wing,,,17,2.8150000000000004,2.7,2.9000000000000004,3,8.647058823529411,4.117647058823529,1.8235294117647058,1.1764705882352942,1.4705882352941178,0.47058823529411764,1.4705882352941178,7.411764705882353,3.0588235294117645,1.1176470588235294,1.2941176470588236,2.823529411764706,0.547037808871688,0.5476190476190477,95.23192536926665,0.09479942024713196,1.55,0.12956724540036277,0.2692307692307692,0.4126984126984127,0.15079365079365079,1.455604075691412,2.4017467248908297,5.094614264919942,1.819505094614265,Average,3,Poor,1,Below Average,2,Very Good,4,Very Good,4,Poor,1,Very Good,4,Elite,5,Average,3,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1726,7,Division II,floridastatecollegeatjacksonville,Shaquille Furlonge,,,,Wing,,,16,2.6825,2.75,2.45,3,4.75,5.125,1.125,0.9375,1.1875,0.3125,2.125,3.4375,0.375,1.3125,2.5,2.625,0.5915317559153176,0.5909090909090909,95.91115598182736,0.05248516320474778,1.2,0.18929833417465927,0.16666666666666666,0.10909090909090909,0.38181818181818183,1.1746280344557556,1.879404855129209,6.421299921691465,2.662490211433046,Very Good,4,Poor,1,Below Average,2,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2028,8,Division II,floridastatecollegeatjacksonville,Odaine Clahar,,,,Wing,,,8,2.575,2.8499999999999996,2.0,3,3.0,2.125,0.0,0.5,0.125,0.625,0.375,2.125,0.375,0.25,1.0,1.125,0.6711409395973155,0.7058823529411765,109.68921389396709,0.03048542607144848,0.0,0.18281535648994515,0.6666666666666666,0.17647058823529413,0.11764705882352941,0.6650041562759768,0.9975062344139651,2.826267664172901,0.49875311720698257,Elite,5,Poor,1,Very Good,4,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2271,9,Division II,floridastatecollegeatjacksonville,Jesus Rice,,,,Wing,,,14,2.5,2.7,2.0,3,5.785714285714286,3.0714285714285716,0.7142857142857143,0.35714285714285715,0.5714285714285714,0.2857142857142857,0.42857142857142855,5.142857142857143,2.2142857142857144,0.7857142857142857,1.2857142857142858,1.7857142857142858,0.5270692347735554,0.5,98.97360703812316,0.061469130238846335,2.0,0.06109481915933528,0.25806451612903225,0.4305555555555556,0.1527777777777778,0.44583147570218457,1.069995541685243,3.8341506910387873,0.5349977708426215,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Average,3,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2613,10,Division II,floridastatecollegeatjacksonville,Cooper Metcalfe,,,,Wing,,,11,2.4000000000000004,2.5000000000000004,2.0,3,6.909090909090909,0.9090909090909091,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.0,0.45454545454545453,6.363636363636363,4.181818181818182,0.9090909090909091,0.45454545454545453,0.45454545454545453,0.510752688172043,0.4785714285714286,95.71788413098236,0.06903387354802812,1.0,0.06297229219143577,0.2826086956521739,0.6571428571428571,0.14285714285714285,0.5136106831022085,0.7190549563430919,1.027221366204417,0.5136106831022085,Below Average,2,Poor,1,Below Average,2,Below Average,2,Elite,5,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
