MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
220,1,Division II,forsythtechnicalcommunitycollege,Cal Barrett,,,,Wing,,,20,3.5300000000000002,3.5000000000000004,3.8,3,11.95,4.85,2.65,1.45,2.1,1.8,2.45,9.35,3.85,2.5,1.65,3.2,0.5717703349282297,0.5748663101604278,100.4201680672269,0.12500262610559046,1.8275862068965518,0.12184873949579832,0.37662337662337664,0.4117647058823529,0.26737967914438504,1.7613118736714242,4.737321591254176,5.891284542969936,2.9760097175827513,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
409,2,Division II,forsythtechnicalcommunitycollege,Darnerian Gibson,,,,Wing,,,19,3.3275000000000006,3.9000000000000004,2.6500000000000004,3,19.63157894736842,3.1578947368421053,3.0,1.4210526315789473,1.894736842105263,0.05263157894736842,2.6842105263157894,15.0,6.473684210526316,5.368421052631579,0.6842105263157895,2.473684210526316,0.565357099551352,0.5263157894736842,104.5169244563999,0.19553354226478775,2.111111111111111,0.07565568258238063,0.3252032520325203,0.43157894736842106,0.35789473684210527,1.7126546146527117,2.3469711385981604,3.8058991436726926,3.2350142721217887,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
462,3,Division II,forsythtechnicalcommunitycollege,Taky Prosper,,,,Wing,,,14,3.2825000000000006,3.9500000000000006,2.45,3,8.642857142857142,3.5714285714285716,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.5714285714285714,1.3571428571428572,6.571428571428571,1.0714285714285714,0.8571428571428571,1.5,2.0714285714285716,0.6219161184210527,0.6141304347826086,119.47077409162718,0.07552797995465935,2.25,0.03949447077409163,0.3333333333333333,0.16304347826086957,0.13043478260869565,0.3452740612861459,1.46741476046612,4.315925766076823,1.640051791109193,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
565,4,Division II,forsythtechnicalcommunitycollege,Jasean Williams,,,,Wing,,,16,3.2074999999999996,3.8,2.45,3,6.9375,4.5,1.5,0.4375,0.9375,0.5,1.3125,5.0625,0.625,1.9375,1.5625,2.9375,0.5864327979712595,0.5679012345679012,109.20897284533648,0.06638971625646653,3.4285714285714284,0.06887052341597796,0.2,0.12345679012345678,0.38271604938271603,0.5317128750474743,1.7470565894417014,5.469046714774022,1.595138625142423,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
753,5,Division II,forsythtechnicalcommunitycollege,Cameron Layaou,,,,Wing,,,8,3.0999999999999996,3.9,2.0,3,2.5,2.375,0.25,0.0,0.0,0.875,0.375,1.875,0.0,0.5,0.875,1.5,0.5966587112171837,0.6666666666666666,119.33174224343675,0.02144538847374348,99.0,0.0,,0.0,0.26666666666666666,0.0,1.044776119402985,2.8358208955223883,0.44776119402985076,Very Good,4,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
814,6,Division II,forsythtechnicalcommunitycollege,Kyri Wilson,,,,Wing,,,18,3.0600000000000005,3.0500000000000003,3.1,3,11.333333333333334,3.6666666666666665,5.388888888888889,2.4444444444444446,1.9444444444444444,0.5555555555555556,2.7777777777777777,7.277777777777778,1.6666666666666667,3.7777777777777777,0.9444444444444444,2.7222222222222223,0.633855331841909,0.5954198473282443,99.55104430997461,0.11998220057145535,2.2045454545454546,0.21471793870778838,0.3333333333333333,0.22900763358778625,0.5190839694656488,2.9709655638082375,3.038487508440243,4.4564483457123565,3.37609723160027,Elite,5,Poor,1,Below Average,2,Elite,5,Poor,1,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Very Good,4,Very Good,4,Unknown
1162,7,Division II,forsythtechnicalcommunitycollege,Gavin Cormany,,,,Wing,,,14,2.9000000000000004,3.5,2.0,3,3.0714285714285716,1.7857142857142858,0.42857142857142855,0.35714285714285715,0.14285714285714285,0.2857142857142857,1.2142857142857142,2.357142857142857,1.7857142857142858,0.35714285714285715,0.21428571428571427,1.5714285714285714,0.6107954545454545,0.6060606060606061,106.96517412935323,0.029981205811282483,1.2,0.12437810945273631,0.4,0.7575757575757576,0.15151515151515152,0.4327131112072696,0.5192557334487234,2.163565556036348,1.4712245781047166,Elite,5,Poor,1,Average,3,Average,3,Very Good,4,Elite,5,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1327,8,Division II,forsythtechnicalcommunitycollege,Joel Deigna,,,,Wing,,,14,2.8325000000000005,3.0500000000000007,2.45,3,7.5,2.9285714285714284,0.7857142857142857,0.6428571428571429,0.5714285714285714,0.7142857142857143,1.2857142857142858,6.142857142857143,1.0714285714285714,1.2142857142857142,1.7142857142857142,1.2142857142857142,0.5616174582798459,0.5465116279069767,102.45901639344262,0.07693693693693694,1.2222222222222223,0.08782201405152225,0.13333333333333333,0.1744186046511628,0.19767441860465115,0.7839721254355401,1.5679442508710801,3.5714285714285716,1.5679442508710801,Average,3,Poor,1,Average,3,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1544,9,Division II,forsythtechnicalcommunitycollege,Jayden McCrae,,,,Wing,,,8,2.75,3.2,2.0,3,4.625,1.5,0.25,0.75,0.125,0.375,1.375,2.0,0.125,2.25,0.5,1.0,0.7734113712374582,0.6875,123.66310160427807,0.03896645134403001,0.3333333333333333,0.20053475935828877,0.0,0.0625,1.125,0.9042954031650339,0.6028636021100227,1.8085908063300677,1.6578749058025621,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2123,10,Division II,forsythtechnicalcommunitycollege,Kevonta Martin,,,,Wing,,,19,2.54,2.1500000000000004,2.9000000000000004,3,5.315789473684211,3.5789473684210527,0.47368421052631576,0.47368421052631576,1.0,0.7894736842105263,1.5263157894736843,4.7894736842105265,1.631578947368421,0.7894736842105263,1.5263157894736843,2.0526315789473686,0.5174180327868853,0.5164835164835165,94.74671669793622,0.05890413986694074,1.0,0.08442776735459663,0.1935483870967742,0.34065934065934067,0.16483516483516483,0.5736137667304015,2.1669853409815167,4.3339706819630335,1.8483110261312938,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Poor,1,Below Average,2,Very Good,4,Average,3,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
