MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1001,1,Division II,frederickcommunitycollege,Thierry Patchou,,,,Wing,,,12,2.91,2.7500000000000004,3.1,3,13.0,8.833333333333334,1.1666666666666667,2.0,0.6666666666666666,0.5,2.5,9.416666666666666,1.3333333333333333,4.916666666666667,3.0,5.833333333333333,0.5613126079447323,0.5088495575221239,95.72901325478645,0.15354464252063466,0.5833333333333334,0.14727540500736377,0.4375,0.1415929203539823,0.5221238938053098,2.5959978366684693,1.5143320713899404,11.465657111952407,3.244997295835587,Average,3,Average,3,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Below Average,2,Very Good,4,Very Good,4,Elite,5,Unknown
1348,2,Division II,frederickcommunitycollege,Kylan Johnson,,,,Wing,,,12,2.7575000000000003,2.9,2.45,3,18.25,4.166666666666667,5.083333333333333,3.1666666666666665,1.5,0.0,1.3333333333333333,15.083333333333334,6.0,5.583333333333333,0.3333333333333333,3.8333333333333335,0.5202394526795895,0.4558011049723757,88.13586606567934,0.23412354426563142,1.605263157894737,0.15292981326464908,0.2916666666666667,0.39779005524861877,0.3701657458563536,4.11032990805841,1.9469983775013522,5.408328826392645,1.7306652244456462,Below Average,2,Elite,5,Poor,1,Very Good,4,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
1555,3,Division II,frederickcommunitycollege,Bryson Boyd,,,,Wing,,,9,2.675,2.7,2.5,3,7.888888888888889,5.777777777777778,0.0,1.3333333333333333,0.1111111111111111,1.0,2.7777777777777777,5.333333333333333,0.0,3.0,3.4444444444444446,2.3333333333333335,0.5928523714094857,0.625,98.77573734001113,0.09075299227311752,0.0,0.1669449081803005,,0.0,0.5625,1.7582417582417582,1.465201465201465,7.619047619047619,3.663003663003663,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
1733,4,Division II,frederickcommunitycollege,Gabriel Jones,,,,Wing,,,12,2.6000000000000005,2.9000000000000004,2.0,3,13.416666666666666,3.9166666666666665,0.75,1.4166666666666667,0.75,0.0,1.4166666666666667,11.666666666666666,6.166666666666667,1.6666666666666667,1.0,2.9166666666666665,0.5409946236559139,0.5178571428571429,97.1049457177322,0.15622055553461725,0.5294117647058824,0.1025331724969843,0.33783783783783783,0.5285714285714286,0.14285714285714285,1.8388318009734992,0.9734991887506761,5.083829096809086,1.8388318009734992,Average,3,Average,3,Below Average,2,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2036,5,Division II,frederickcommunitycollege,Ryan Tientcheu,,,,Wing,,,12,2.4875,2.1500000000000004,2.75,3,5.5,5.416666666666667,0.6666666666666666,1.25,1.0,0.16666666666666666,1.0,3.9166666666666665,0.4166666666666667,2.8333333333333335,1.6666666666666667,3.75,0.5326016785022595,0.48936170212765956,85.75883575883574,0.07251347378735913,0.5333333333333333,0.19490644490644488,0.0,0.10638297872340426,0.723404255319149,1.6224986479177934,1.5143320713899404,7.030827474310438,1.2979989183342346,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
2177,6,Division II,frederickcommunitycollege,Jayvan Sanni-Thomas,,,,Wing,,,8,2.4499999999999997,2.5999999999999996,2.0,3,0.625,0.625,0.0,0.0,0.0,0.0,0.5,0.375,0.0,0.625,0.125,0.5,0.4807692307692307,0.6666666666666666,96.15384615384615,0.007555064799209625,,0.0,,0.0,1.6666666666666667,0.0,0.0,0.8264462809917356,0.6611570247933884,Poor,1,Poor,1,Below Average,2,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2186,7,Division II,frederickcommunitycollege,Babacar Sene,,,,Wing,,,6,2.4499999999999997,2.5999999999999996,2.0,3,2.1666666666666665,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.6666666666666667,1.0,0.6666666666666666,1.1666666666666667,0.3333333333333333,0.6666666666666666,0.7158590308370044,0.6666666666666666,99.38837920489297,0.024191758526300212,0.25,0.3058103975535168,0.5,0.6666666666666666,1.1666666666666667,0.8519701810436635,0.42598509052183176,1.2779552715654952,2.1299254526091587,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2673,8,Division II,frederickcommunitycollege,Cameron Canty,,,,Wing,,,6,2.3,2.3000000000000003,2.0,3,3.6666666666666665,2.0,0.5,1.1666666666666667,0.5,0.3333333333333333,1.1666666666666667,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6193693693693693,0.59375,88.8529886914378,0.04551470588235294,0.42857142857142855,0.28271405492730206,0.5,0.125,0.25,1.453790238836968,1.0384215991692627,2.4922118380062304,1.453790238836968,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2861,9,Division II,frederickcommunitycollege,Anthony Vines,,,,Wing,,,7,2.25,2.1999999999999997,2.0,3,1.0,1.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.2857142857142857,1.7142857142857142,0.5714285714285714,0.0,0.0,1.0,0.2916666666666667,0.2916666666666667,53.84615384615385,0.02020516008703761,3.0,0.07692307692307693,0.25,0.3333333333333333,0.0,0.17985611510791366,0.0,1.2589928057553956,0.3597122302158273,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2921,10,Division II,frederickcommunitycollege,Brandon Williamson,,,,Wing,,,9,2.225,2.1500000000000004,2.0,3,3.2222222222222223,0.6666666666666666,0.2222222222222222,1.1111111111111112,0.2222222222222222,0.0,1.1111111111111112,2.4444444444444446,0.8888888888888888,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.588474025974026,0.5227272727272727,83.71824480369514,0.042020476490853505,0.2,0.28868360277136257,0.375,0.36363636363636365,0.2727272727272727,1.392757660167131,0.2785515320334262,0.8356545961002786,1.392757660167131,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
