MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
594,1,Division II,garrettcollege,Keyonta Johnson,,,,Wing,,,14,3.1900000000000004,2.4000000000000004,4.4,3,13.642857142857142,8.142857142857142,3.142857142857143,2.5,2.0,0.6428571428571429,2.0714285714285716,11.785714285714286,1.9285714285714286,3.9285714285714284,2.4285714285714284,5.714285714285714,0.5047568710359408,0.5181818181818182,85.19179304192686,0.17446927722094255,1.2571428571428571,0.15611061552185548,0.18518518518518517,0.16363636363636364,0.3333333333333333,3.2169117647058822,3.400735294117647,10.477941176470589,2.6654411764705883,Below Average,2,Average,3,Poor,1,Average,3,Average,3,Poor,1,Average,3,Average,3,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Unknown
659,2,Division II,garrettcollege,Cory Harper,,,,Wing,,,14,3.1500000000000004,4.0,2.0,3,10.428571428571429,3.5,0.5714285714285714,0.8571428571428571,0.21428571428571427,0.35714285714285715,1.7142857142857142,7.642857142857143,5.642857142857143,1.4285714285714286,0.7857142857142857,2.7142857142857144,0.6303972366148533,0.602803738317757,114.24100156494524,0.09945215713129553,0.6666666666666666,0.09389671361502347,0.4430379746835443,0.7383177570093458,0.18691588785046728,1.1029411764705883,0.7352941176470589,4.5036764705882355,2.2058823529411766,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
697,3,Division II,garrettcollege,Nehemiah Johnson,,,,Wing,,,14,3.1325000000000003,2.25,4.45,3,9.214285714285714,8.357142857142858,1.6428571428571428,1.8571428571428572,1.4285714285714286,1.2142857142857142,2.4285714285714284,7.0,0.07142857142857142,2.5,4.285714285714286,4.071428571428571,0.5687830687830687,0.5663265306122449,92.53945480631276,0.10847911349063065,0.8846153846153846,0.18651362984218076,1.0,0.01020408163265306,0.35714285714285715,2.389705882352941,3.400735294117647,10.753676470588236,3.125,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Unknown
816,4,Division II,garrettcollege,Lenny Smith,,,,Wing,,,9,3.0575,3.5000000000000004,2.45,3,13.444444444444445,4.888888888888889,0.6666666666666666,1.2222222222222223,1.2222222222222223,0.0,1.4444444444444444,10.333333333333334,2.5555555555555554,1.3333333333333333,2.5555555555555554,2.3333333333333335,0.6155881155881155,0.6075268817204301,110.72474377745242,0.12906273620559336,0.5454545454545454,0.10065885797950219,0.391304347826087,0.24731182795698925,0.12903225806451613,1.5625,1.5625,6.25,1.8465909090909092,Elite,5,Below Average,2,Very Good,4,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Average,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
990,5,Division II,garrettcollege,Josh Evander,,,,Wing,,,8,2.9750000000000005,3.650000000000001,2.0,3,5.875,2.375,0.875,0.5,0.5,0.0,1.375,4.875,3.0,0.0,0.5,1.875,0.6025641025641025,0.6025641025641025,109.30232558139535,0.05805162544551247,1.75,0.09302325581395349,0.4583333333333333,0.6153846153846154,0.0,0.6294256490952006,0.6294256490952006,2.989771833202203,1.7309205350118018,Elite,5,Poor,1,Very Good,4,Very Good,4,Elite,5,Insufficient Volume,3,Very Good,4,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1094,6,Division II,garrettcollege,Tyree Eloise,,,,Wing,,,6,2.9325,3.25,2.45,3,8.5,2.0,0.8333333333333334,1.0,1.1666666666666667,0.16666666666666666,1.1666666666666667,6.5,2.3333333333333335,0.5,0.3333333333333333,1.6666666666666667,0.6324404761904762,0.6153846153846154,110.10362694300518,0.08577777777777777,0.8333333333333334,0.12953367875647667,0.42857142857142855,0.358974358974359,0.07692307692307693,1.3029315960912051,1.737242128121607,2.6058631921824102,1.520086862106406,Elite,5,Poor,1,Very Good,4,Below Average,2,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2274,7,Division II,garrettcollege,Donovahn Keyes,,,,Wing,,,13,2.5,2.7,2.0,3,11.23076923076923,3.1538461538461537,1.6923076923076923,1.7692307692307692,0.3076923076923077,0.0,1.2307692307692308,9.153846153846153,5.0,3.0,0.5384615384615384,2.6153846153846154,0.5361339600470035,0.48739495798319327,91.73159085197285,0.13356382800174552,0.9565217391304348,0.14450867052023122,0.3384615384615385,0.5462184873949579,0.3277310924369748,2.274975272007913,0.39564787339268054,4.055390702274975,1.5825914935707222,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2298,8,Division II,garrettcollege,Dechaun Reed,,,,Wing,,,11,2.5,2.6999999999999997,2.0,3,3.272727272727273,0.9090909090909091,1.3636363636363635,0.7272727272727273,0.36363636363636365,0.0,0.7272727272727273,2.4545454545454546,0.6363636363636364,0.0,0.0,0.9090909090909091,0.6666666666666666,0.6666666666666666,102.85714285714286,0.03413168981120299,1.875,0.22857142857142856,0.5714285714285714,0.25925925925925924,0.0,0.922722029988466,0.461361014994233,1.1534025374855825,0.922722029988466,Elite,5,Poor,1,Average,3,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2374,9,Division II,garrettcollege,Petar Kos,,,,Wing,,,10,2.4749999999999996,2.65,2.0,3,6.9,4.6,1.0,0.8,0.3,0.1,1.6,6.1,2.4,0.8,1.0,3.6,0.5347179169249845,0.5,95.146166574738,0.07968530239099858,1.25,0.11031439602868175,0.2916666666666667,0.39344262295081966,0.13114754098360656,1.0382868267358858,0.5191434133679429,5.970149253731344,2.0765736534717716,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2944,10,Division II,garrettcollege,Sefton Robinson,,,,Wing,,,8,2.3125,1.7999999999999998,2.75,3,2.25,5.375,0.25,0.625,0.625,0.5,1.0,3.0,0.125,0.875,1.875,3.5,0.3323485967503693,0.2916666666666667,56.10972568578554,0.04322285098356238,0.4,0.15586034912718205,0.0,0.041666666666666664,0.2916666666666667,0.7980845969672785,1.4365522745411015,6.863527533918595,1.2769353551476457,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
3669,11,Division II,garrettcollege,Will Huckabone,,,,Wing,,,9,2.125,1.9500000000000002,2.0,3,3.5555555555555554,2.888888888888889,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.3333333333333333,2.888888888888889,0.6666666666666666,0.5555555555555556,1.2222222222222223,1.6666666666666667,0.5673758865248227,0.5576923076923077,90.9090909090909,0.041842993676002097,0.5714285714285714,0.19886363636363635,0.16666666666666666,0.23076923076923078,0.19230769230769232,0.9817671809256662,1.262272089761571,3.6465638148667603,0.42075736325385693,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4295,12,Division II,garrettcollege,Luis Botelho,,,,Wing,,,11,1.925,1.5500000000000003,2.0,3,2.6363636363636362,1.5454545454545454,3.5454545454545454,1.8181818181818181,0.2727272727272727,0.0,1.0909090909090908,3.0,1.4545454545454546,0.0,0.2727272727272727,1.2727272727272727,0.4393939393939394,0.4393939393939394,54.716981132075475,0.051685130285535966,1.95,0.37735849056603776,0.3125,0.48484848484848486,0.0,2.306805074971165,0.3460207612456747,1.9607843137254901,1.3840830449826989,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
