MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
421,1,Division II,glenoakscommunitycollege,Joreim Lomax,,,,Wing,,,13,3.2075000000000005,3.8000000000000003,2.45,3,13.923076923076923,4.6923076923076925,0.46153846153846156,1.0769230769230769,0.8461538461538461,0.3076923076923077,1.8461538461538463,10.615384615384615,4.615384615384615,2.6153846153846154,2.1538461538461537,2.5384615384615383,0.591657949790795,0.572463768115942,108.40919980833732,0.1406903060536605,0.42857142857142855,0.08385241974125539,0.4,0.43478260869565216,0.2463768115942029,1.3295346628679963,1.4245014245014245,5.7929724596391265,2.2792022792022792,Very Good,4,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
696,2,Division II,glenoakscommunitycollege,Jordan Lomax,,,,Wing,,,13,3.0275,2.6000000000000005,3.65,3,17.846153846153847,6.769230769230769,2.0,3.5384615384615383,2.076923076923077,0.23076923076923078,2.3076923076923075,13.461538461538462,3.4615384615384617,6.384615384615385,1.5384615384615385,5.230769230769231,0.5484114977307111,0.5085714285714286,90.0900900900901,0.21700148307941214,0.5652173913043478,0.1786269027648338,0.3111111111111111,0.2571428571428571,0.4742857142857143,4.368471035137702,2.849002849002849,8.35707502374169,2.849002849002849,Average,3,Very Good,4,Poor,1,Poor,1,Below Average,2,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Very Good,4,Below Average,2,Elite,5,Average,3,Unknown
1041,3,Division II,glenoakscommunitycollege,Kelvion Brown,,,,Wing,,,12,2.8449999999999998,2.55,3.2,3,9.75,6.083333333333333,2.25,1.25,1.6666666666666667,0.16666666666666666,2.25,8.5,2.1666666666666665,1.75,2.0,4.083333333333333,0.5258899676375405,0.5245098039215687,92.68060836501901,0.11206988388196441,1.8,0.1188212927756654,0.34615384615384615,0.2549019607843137,0.20588235294117646,1.5120967741935485,2.217741935483871,7.358870967741935,2.721774193548387,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Very Good,4,Average,3,Very Good,4,Average,3,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
1315,4,Division II,glenoakscommunitycollege,Marlon Gaitan,,,,Wing,,,8,2.7250000000000005,3.1500000000000004,2.0,3,3.875,1.0,0.375,0.25,0.375,0.125,0.0,3.25,3.0,0.375,0.125,0.875,0.5673499267935578,0.5576923076923077,105.72987721691678,0.039982545137184314,1.5,0.06821282401091405,0.375,0.9230769230769231,0.11538461538461539,0.30792917628945343,0.6158583525789069,1.2317167051578137,0.0,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Insufficient Volume,3,Very Good,4,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1548,5,Division II,glenoakscommunitycollege,Amauri Moore,,,,Wing,,,13,2.625,2.5999999999999996,2.5,3,13.0,5.923076923076923,2.0,2.3076923076923075,0.7692307692307693,0.6153846153846154,2.6923076923076925,10.538461538461538,0.15384615384615385,3.8461538461538463,2.6153846153846154,3.3076923076923075,0.5314465408805031,0.5474452554744526,89.41798941798942,0.15926250505595255,0.8666666666666667,0.15873015873015872,0.0,0.014598540145985401,0.36496350364963503,2.849002849002849,1.7094017094017093,7.312440645773979,3.3238366571699904,Average,3,Average,3,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Unknown
2046,6,Division II,glenoakscommunitycollege,Keri Foster,,,,Wing,,,9,2.4250000000000003,2.5500000000000007,2.0,3,5.444444444444445,3.0,2.3333333333333335,0.7777777777777778,0.8888888888888888,0.0,1.4444444444444444,4.777777777777778,2.111111111111111,1.0,1.0,2.0,0.5217206132879046,0.5,90.80800593031876,0.06500265021924541,3.0,0.12972572275759822,0.2631578947368421,0.4418604651162791,0.20930232558139536,0.9530292716133424,1.0891763104152485,3.6759700476514636,1.7699115044247788,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2093,7,Division II,glenoakscommunitycollege,Akin Smith,,,,Wing,,,13,2.415,1.9,2.9000000000000004,3,11.0,4.461538461538462,1.6923076923076923,2.3076923076923075,1.3076923076923077,0.46153846153846156,2.0,9.846153846153847,3.3076923076923075,1.8461538461538463,0.7692307692307693,3.6923076923076925,0.5160219399538106,0.48828125,84.83626008542952,0.14203856006471619,0.7333333333333333,0.1779781680113906,0.3023255813953488,0.3359375,0.1875,2.849002849002849,2.184235517568851,5.5080721747388415,2.4691358024691357,Below Average,2,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Average,3,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2199,8,Division II,glenoakscommunitycollege,Darius Styles,,,,Wing,,,13,2.375,2.45,2.0,3,8.538461538461538,2.0,2.076923076923077,1.2307692307692308,0.3076923076923077,0.07692307692307693,1.6923076923076923,8.076923076923077,5.615384615384615,0.6153846153846154,0.15384615384615385,1.8461538461538463,0.5114264651677111,0.5,89.14230645679409,0.10492786841040852,1.6875,0.12849341471249598,0.3424657534246575,0.6952380952380952,0.0761904761904762,1.519468186134853,0.4748338081671415,2.4691358024691357,2.0892687559354224,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2795,9,Division II,glenoakscommunitycollege,Wesley Roberts,,,,Wing,,,8,2.2,2.1,2.0,3,2.875,2.0,0.375,1.0,0.0,0.0,0.875,2.0,0.0,0.25,0.875,1.125,0.6812796208530806,0.6875,92.44372990353698,0.03424921535157755,0.375,0.3215434083601286,,0.0,0.125,1.2326656394453004,0.0,2.4653312788906008,1.078582434514638,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3810,10,Division II,glenoakscommunitycollege,Jordan Pisco,,,,Wing,,,6,1.825,1.35,2.0,3,1.5,2.3333333333333335,0.5,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,2.3333333333333335,1.5,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3024193548387097,0.2857142857142857,47.66949152542372,0.033932422717469456,0.75,0.21186440677966098,0.2222222222222222,0.6428571428571429,0.14285714285714285,0.8163265306122449,0.6122448979591837,2.857142857142857,0.8163265306122449,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
