MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
248,1,Division II,gogebiccommunitycollege,Ben Salkauskas,,,,Wing,,,13,3.3975,3.55,3.35,3,13.307692307692308,3.6153846153846154,2.769230769230769,2.076923076923077,2.0,0.07692307692307693,1.9230769230769231,9.615384615384615,3.8461538461538463,3.3076923076923075,1.0,2.6153846153846154,0.6010283490828238,0.572,101.21694359934472,0.14829082075307998,1.3333333333333333,0.15796864029955535,0.5,0.4,0.344,2.6251823043266893,2.6251823043266893,4.569761789013126,2.430724355858046,Elite,5,Below Average,2,Below Average,2,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
296,2,Division II,gogebiccommunitycollege,Owen Robinson,,,,Wing,,,12,3.3525,3.25,3.65,3,11.25,6.583333333333333,1.1666666666666667,0.9166666666666666,1.5,1.0,1.8333333333333333,8.916666666666666,0.9166666666666666,2.25,1.5833333333333333,5.0,0.5677994616419919,0.5514018691588785,103.94210040036957,0.122983107340353,1.2727272727272727,0.08469356328919002,0.18181818181818182,0.102803738317757,0.2523364485981308,1.1652542372881356,3.1779661016949152,8.36864406779661,2.330508474576271,Average,3,Below Average,2,Average,3,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
884,3,Division II,gogebiccommunitycollege,Bryce Budney,,,,Wing,,,13,2.925,3.55,2.0,3,12.384615384615385,3.923076923076923,1.6923076923076923,1.3076923076923077,0.3076923076923077,0.0,1.3846153846153846,9.307692307692308,4.0,2.3076923076923075,1.3076923076923077,2.6153846153846154,0.5998509687034278,0.5702479338842975,106.4814814814815,0.1311816762103071,1.2941176470588236,0.11243386243386244,0.34615384615384615,0.4297520661157025,0.24793388429752067,1.6528925619834711,0.3889158969372873,4.958677685950414,1.7501215362177929,Very Good,4,Below Average,2,Average,3,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2037,4,Division II,gogebiccommunitycollege,Caden Luoma,,,,Wing,,,13,2.4325,2.25,2.45,3,11.692307692307692,4.384615384615385,2.6153846153846154,3.076923076923077,1.0769230769230769,0.15384615384615385,2.230769230769231,9.23076923076923,3.230769230769231,3.3846153846153846,2.0,2.3846153846153846,0.5453501722158438,0.4708333333333333,84.7457627118644,0.1556133958007982,0.85,0.2230151650312221,0.2619047619047619,0.35,0.36666666666666664,3.889158969372873,1.5556635877491491,5.5420515313563445,2.819640252795333,Average,3,Average,3,Poor,1,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
2220,5,Division II,gogebiccommunitycollege,Israel Bolton,,,,Wing,,,6,2.375,2.45,2.0,3,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,1.6666666666666667,0.8333333333333334,0.3333333333333333,0.5,0.5,0.09191176470588235,0.1,16.835016835016834,0.02189942486358944,2.0,0.08417508417508417,0.0,0.5,0.2,0.2098635886673662,0.2098635886673662,1.2591815320041972,0.2098635886673662,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2601,6,Division II,gogebiccommunitycollege,Hernan Cortes,,,,Wing,,,13,2.25,2.2,2.0,3,2.923076923076923,2.0,0.9230769230769231,0.5384615384615384,0.6153846153846154,0.0,0.7692307692307693,3.5384615384615383,1.0,0.6153846153846154,0.3076923076923077,1.6923076923076923,0.3836833602584814,0.34782608695652173,67.23283793347487,0.049036959916710046,1.7142857142857142,0.12384996461429582,0.15384615384615385,0.2826086956521739,0.17391304347826086,0.6806028196402528,0.7778317938745746,2.5279533300923673,0.9722897423432183,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2715,7,Division II,gogebiccommunitycollege,Enrique Moreno-Bautista,,,,Wing,,,13,2.2249999999999996,2.15,2.0,3,7.6923076923076925,2.5384615384615383,2.3076923076923075,1.2307692307692308,0.9230769230769231,0.07692307692307693,2.0,7.923076923076923,5.230769230769231,0.3076923076923077,0.3076923076923077,2.230769230769231,0.4772814051164566,0.48058252427184467,82.80887711162636,0.10477182023251778,1.875,0.13249420337860218,0.3382352941176471,0.6601941747572816,0.038834951456310676,1.5556635877491491,1.2639766650461837,3.2085561497326203,2.5279533300923673,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2730,8,Division II,gogebiccommunitycollege,Jordon Spicer,,,,Wing,,,12,2.215,1.4999999999999998,2.9000000000000004,3,5.75,2.1666666666666665,2.0833333333333335,2.4166666666666665,1.6666666666666667,0.08333333333333333,1.9166666666666667,5.75,1.8333333333333333,0.75,0.9166666666666666,1.25,0.4728618421052632,0.463768115942029,67.67359748921146,0.09547531650310884,0.8620689655172413,0.28442526480972935,0.2727272727272727,0.3188405797101449,0.13043478260869565,3.0574591460200318,2.2140221402214024,2.7411702688455457,2.4248813916710596,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Average,3,Very Good,4,Below Average,2,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2771,9,Division II,gogebiccommunitycollege,Jaydan Garrett,,,,Wing,,,12,2.2,2.1,2.0,3,3.5833333333333335,1.25,1.3333333333333333,0.8333333333333334,0.3333333333333333,0.0,0.9166666666666666,3.5,1.75,1.1666666666666667,0.25,1.0,0.44642857142857145,0.40476190476190477,73.93397524071527,0.05457957957957957,1.6,0.171939477303989,0.2857142857142857,0.5,0.3333333333333333,1.0493179433368311,0.4197271773347324,1.5739769150052465,1.154249737670514,Poor,1,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2998,10,Division II,gogebiccommunitycollege,Omar Bailey Jr,,,,Wing,,,6,2.15,2.0,2.0,3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,66.66666666666667,0.011060315587671435,,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.2098635886673662,Poor,1,Poor,1,Poor,1,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
