MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
189,1,Division II,grandrapidscommunitycollege,Nate Keil,,,,Wing,,,13,3.5700000000000003,4.000000000000001,3.2,3,16.76923076923077,6.3076923076923075,2.230769230769231,2.0,1.5384615384615385,0.5384615384615384,2.3076923076923075,11.923076923076923,3.3846153846153846,3.230769230769231,2.3846153846153846,3.923076923076923,0.6283145031127508,0.603225806451613,109.28413876077803,0.15093825665859564,1.1153846153846154,0.1303388810908362,0.3409090909090909,0.2838709677419355,0.2709677419354839,2.2837066315327186,2.3715415019762847,7.20245937637242,2.635046113306983,Elite,5,Average,3,Very Good,4,Average,3,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
699,2,Division II,grandrapidscommunitycollege,E.J. Bowman,,,,Wing,,,16,3.13,2.7,3.8,3,15.5625,4.0,5.6875,4.0,2.9375,0.0625,1.5625,12.5,5.0,3.8125,0.75,3.25,0.5488450008816788,0.515,85.61408334479438,0.1799707928021584,1.421875,0.2200522624123229,0.35,0.4,0.305,4.596050269299821,3.4470377019748653,4.596050269299821,1.7953321364452424,Average,3,Average,3,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Below Average,2,Unknown
743,3,Division II,grandrapidscommunitycollege,Landen Reister,,,,Wing,,,12,3.1000000000000005,3.9000000000000004,2.0,3,1.6666666666666667,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9166666666666666,0.75,0.08333333333333333,0.08333333333333333,0.25,0.8741258741258742,0.9090909090909091,160.77170418006432,0.010140202151940007,2.0,0.08038585209003216,0.6666666666666666,0.8181818181818182,0.09090909090909091,0.0951022349025202,0.1902044698050404,0.3804089396100808,0.0951022349025202,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
835,4,Division II,grandrapidscommunitycollege,Charlie Commeret,,,,Wing,,,12,3.05,3.8000000000000003,2.0,3,0.16666666666666666,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.25,1.0,1.0,200.0,0.0008151287903488751,99.0,0.0,,0.0,0.0,0.0,0.0,0.28530670470756064,0.0,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
871,5,Division II,grandrapidscommunitycollege,Zeekeal Jackson,,,,Wing,,,13,3.04,3.1499999999999995,2.9000000000000004,3,14.153846153846153,5.384615384615385,2.8461538461538463,2.923076923076923,1.3846153846153846,0.6153846153846154,1.5384615384615385,10.461538461538462,2.769230769230769,2.8461538461538463,1.5384615384615385,3.8461538461538463,0.6041502495403205,0.5772058823529411,96.69960058860626,0.1439769975786925,0.9736842105263158,0.1997056968677738,0.4722222222222222,0.2647058823529412,0.27205882352941174,3.3377250768555116,2.2837066315327186,6.148440931049627,1.7566974088713219,Elite,5,Below Average,2,Below Average,2,Below Average,2,Below Average,2,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1065,6,Division II,grandrapidscommunitycollege,McRecco McFadden,,,,Wing,,,12,2.95,3.5999999999999996,2.0,3,8.25,2.8333333333333335,0.5,0.75,0.5833333333333334,0.16666666666666666,1.5833333333333333,5.75,0.5,2.1666666666666665,1.5833333333333333,1.25,0.6153654898060666,0.5652173913043478,110.68872987477639,0.07290511900880339,0.6666666666666666,0.10062611806797854,0.3333333333333333,0.08695652173913043,0.37681159420289856,0.8559201141226819,0.8559201141226819,3.2334759866856873,1.8069424631478839,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1426,7,Division II,grandrapidscommunitycollege,Jared Demoff,,,,Wing,,,15,2.7975000000000003,2.3500000000000005,3.35,3,11.333333333333334,5.866666666666666,2.8,2.2666666666666666,1.2666666666666666,1.3333333333333333,1.4,9.733333333333333,2.2,2.0,1.0666666666666667,4.8,0.5339195979899498,0.5034246575342466,87.99171842650104,0.12700165654334622,1.2352941176470589,0.17598343685300208,0.3333333333333333,0.22602739726027396,0.2054794520547945,2.6043661432401377,2.987361164304864,6.74071237073918,1.6085790884718498,Average,3,Below Average,2,Poor,1,Average,3,Below Average,2,Average,3,Average,3,Average,3,Average,3,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1916,8,Division II,grandrapidscommunitycollege,Matthew Richards,,,,Wing,,,6,2.615,2.3,2.9000000000000004,3,7.0,5.0,0.6666666666666666,1.1666666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667,5.0,0.0,2.8333333333333335,2.5,2.5,0.5602988260405549,0.5,94.42446043165467,0.07485695052170986,0.5714285714285714,0.15737410071942445,,0.0,0.5666666666666667,1.3888888888888888,2.380952380952381,5.9523809523809526,1.9841269841269842,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2259,9,Division II,grandrapidscommunitycollege,Zachary Carlson,,,,Wing,,,12,2.5,2.7000000000000006,2.0,3,2.8333333333333335,0.4166666666666667,0.5,0.5,0.3333333333333333,0.0,1.25,2.0833333333333335,1.5,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.5960729312762973,0.54,98.49362688296641,0.028138245842843166,1.0,0.1738122827346466,0.3888888888888889,0.72,0.32,0.5706134094151213,0.3804089396100808,0.47551117451260105,1.4265335235378032,Very Good,4,Poor,1,Below Average,2,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2617,10,Division II,grandrapidscommunitycollege,Tyran Thomas,,,,Wing,,,16,2.4,2.5,2.0,3,12.1875,5.1875,1.3125,2.5625,0.8125,0.375,1.9375,9.0,1.5625,3.875,2.3125,2.875,0.5692433442316674,0.5347222222222222,91.85980780101752,0.13135813469963617,0.5121951219512195,0.19314113435085736,0.4,0.1736111111111111,0.4305555555555556,2.9443447037701973,1.3644524236983842,5.960502692998205,2.2262118491921004,Average,3,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Below Average,2,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2634,11,Division II,grandrapidscommunitycollege,Jake Chapman,,,,Wing,,,10,2.4,2.5,2.0,3,2.2,2.6,0.3,0.2,0.1,0.3,0.8,2.1,0.0,1.0,1.2,1.4,0.4330708661417323,0.38095238095238093,80.2919708029197,0.02709973493689916,1.5,0.07299270072992702,,0.0,0.47619047619047616,0.22688598979013047,0.45377197958026094,2.949517867271696,0.9075439591605219,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2903,12,Division II,grandrapidscommunitycollege,Lincoln Joerin,,,,Wing,,,12,2.325,2.35,2.0,3,1.4166666666666667,0.4166666666666667,0.16666666666666666,0.25,0.4166666666666667,0.0,0.3333333333333333,1.0833333333333333,0.9166666666666666,0.5,0.0,0.4166666666666667,0.5434782608695652,0.4230769230769231,91.20171673819742,0.015194000652103034,0.6666666666666666,0.1609442060085837,0.2727272727272727,0.8461538461538461,0.46153846153846156,0.28530670470756064,0.47551117451260105,0.47551117451260105,0.3804089396100808,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3198,13,Division II,grandrapidscommunitycollege,Darcy Imanzi,,,,Wing,,,12,2.25,2.1999999999999997,2.0,3,0.16666666666666666,0.16666666666666666,0.25,0.0,0.0,0.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.25,0.25,50.0,0.0032605151613955006,99.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1902044698050404,0.28530670470756064,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3357,14,Division II,grandrapidscommunitycollege,Lucas Pitsch,,,,Wing,,,15,2.2,2.1,2.0,3,5.2,5.133333333333334,1.8,1.0,0.4,0.6666666666666666,1.6666666666666667,4.933333333333334,2.8,0.6666666666666666,1.3333333333333333,3.8,0.4974489795918367,0.49324324324324326,83.5117773019272,0.06139728116536511,1.8,0.16059957173447537,0.30952380952380953,0.5675675675675675,0.13513513513513514,1.1489850631941785,1.2255840674071237,5.898123324396783,1.9149751053236308,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3376,15,Division II,grandrapidscommunitycollege,Jeremiah Jones,,,,Wing,,,12,2.2,2.1,2.0,3,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.8333333333333334,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.1378676470588235,0.1,25.252525252525253,0.009683730029344638,1.0,0.08417508417508417,0.0,0.3,0.2,0.0951022349025202,0.0951022349025202,0.1902044698050404,0.3804089396100808,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3486,16,Division II,grandrapidscommunitycollege,Gaden Muxlow,,,,Wing,,,12,2.175,2.05,2.0,3,5.416666666666667,4.666666666666667,1.8333333333333333,1.0,0.5,0.5,2.25,5.083333333333333,3.6666666666666665,0.4166666666666667,1.25,3.4166666666666665,0.5142405063291139,0.5,86.43617021276596,0.06129768503423541,1.8333333333333333,0.15957446808510636,0.29545454545454547,0.7213114754098361,0.08196721311475409,1.1412268188302426,1.1412268188302426,5.325725154541132,2.5677603423680457,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
