MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
38,1,Division II,guilfordtechnicalcommunitycollege,Jordan Weaver,,,,Wing,,,17,4.0200000000000005,4.2,4.2,3,13.529411764705882,8.470588235294118,1.9411764705882353,1.0588235294117647,0.5294117647058824,2.6470588235294117,3.0588235294117645,8.352941176470589,0.0,5.117647058823529,3.0,5.470588235294118,0.6378966052806745,0.6267605633802817,115.99757918095622,0.13924157303370788,1.8333333333333333,0.09078071414161791,,0.0,0.6126760563380281,1.4189988175009853,4.256996452502956,11.351990540007883,4.099329917225069,Elite,5,Below Average,2,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Unknown
212,2,Division II,guilfordtechnicalcommunitycollege,Mike Webster,,,,Wing,,,15,3.5424999999999995,3.6999999999999997,3.55,3,13.2,2.2,3.466666666666667,2.2,1.6,0.8,2.2666666666666666,8.933333333333334,1.8,4.133333333333334,0.7333333333333333,1.4666666666666666,0.6138392857142857,0.5671641791044776,101.9147621988882,0.1552451575784696,1.5757575757575757,0.169857936998147,0.37037037037037035,0.20149253731343283,0.4626865671641791,2.96229802513465,3.2315978456014363,2.96229802513465,3.0520646319569122,Elite,5,Average,3,Below Average,2,Very Good,4,Average,3,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Very Good,4,Very Good,4,Unknown
656,3,Division II,guilfordtechnicalcommunitycollege,Nikel Rodgers,,,,Wing,,,17,3.1500000000000004,4.0,2.0,3,14.117647058823529,4.411764705882353,0.8235294117647058,1.1764705882352942,1.0,0.0,1.588235294117647,9.058823529411764,8.352941176470589,1.1176470588235294,0.47058823529411764,3.9411764705882355,0.7390983000739098,0.7305194805194806,131.60780872998464,0.128061797752809,0.7,0.10967317394165386,0.4859154929577465,0.922077922077922,0.12337662337662338,1.5766653527788728,1.3401655498620417,5.912495072920772,2.128498226251478,Elite,5,Below Average,2,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1080,4,Division II,guilfordtechnicalcommunitycollege,Tyren Martin,,,,Wing,,,16,2.9400000000000004,2.95,2.9000000000000004,3,13.8125,4.875,2.0,2.8125,1.6875,0.1875,1.5,9.4375,3.375,4.0625,1.4375,3.4375,0.6152561247216036,0.5596026490066225,98.39715048975958,0.16733720756966178,0.7111111111111111,0.20035618878005343,0.3148148148148148,0.3576158940397351,0.4304635761589404,3.767266638760988,2.5115110925073254,6.529928840519045,2.0092088740058602,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Average,3,Unknown
1801,5,Division II,guilfordtechnicalcommunitycollege,Osiris Peralta,,,,Wing,,,13,2.6500000000000004,3.0000000000000004,2.0,3,6.538461538461538,3.923076923076923,0.6923076923076923,0.8461538461538461,0.15384615384615385,0.07692307692307693,2.1538461538461537,4.538461538461538,1.3846153846153846,2.5384615384615383,1.6153846153846154,2.3076923076923075,0.5780739934711644,0.5169491525423728,100.56791292001894,0.07850057584426198,0.8181818181818182,0.13014671083767157,0.2777777777777778,0.3050847457627119,0.559322033898305,1.1494252873563218,0.31347962382445144,5.329153605015674,2.9258098223615465,Very Good,4,Poor,1,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1944,6,Division II,guilfordtechnicalcommunitycollege,Mike Cade,,,,Wing,,,16,2.5999999999999996,2.9,2.0,3,10.1875,3.6875,4.75,2.0625,0.75,0.1875,2.125,6.625,0.8125,4.6875,1.3125,2.375,0.5863309352517986,0.49528301886792453,94.76744186046511,0.12786202795123403,2.303030303030303,0.19186046511627908,0.07692307692307693,0.12264150943396226,0.7075471698113207,2.755741127348643,1.2526096033402923,4.926931106471816,2.8392484342379958,Very Good,4,Below Average,2,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3728,7,Division II,guilfordtechnicalcommunitycollege,Eli Woodle,,,,Wing,,,14,2.0999999999999996,1.9000000000000001,2.0,3,2.2857142857142856,0.42857142857142855,0.5,0.5714285714285714,0.14285714285714285,0.0,0.35714285714285715,2.142857142857143,0.8571428571428571,1.0,0.21428571428571427,0.21428571428571427,0.4424778761061947,0.45,72.46376811594203,0.038032244729226956,0.875,0.1811594202898551,0.25,0.4,0.4666666666666667,0.7729468599033816,0.1932367149758454,0.5797101449275363,0.4830917874396135,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3922,8,Division II,guilfordtechnicalcommunitycollege,Aaron Smith,,,,Wing,,,13,2.05,1.8,2.0,3,2.3076923076923075,1.8461538461538463,0.38461538461538464,0.6153846153846154,0.07692307692307693,0.07692307692307693,2.0,1.8461538461538463,0.07692307692307693,1.1538461538461537,0.6153846153846154,1.2307692307692308,0.49019607843137253,0.4583333333333333,77.720207253886,0.03625230098801608,0.625,0.20725388601036268,0.0,0.041666666666666664,0.625,0.837257980115123,0.20931449502878074,2.511773940345369,2.7210884353741496,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4072,9,Division II,guilfordtechnicalcommunitycollege,Marcus Robertson,,,,Wing,,,11,2.0,1.7000000000000002,2.0,3,3.8181818181818183,1.8181818181818181,1.1818181818181819,1.1818181818181819,0.45454545454545453,0.09090909090909091,0.6363636363636364,3.4545454545454546,2.5454545454545454,1.3636363636363635,0.6363636363636364,1.1818181818181819,0.4708520179372197,0.42105263157894735,72.91666666666667,0.06321612011062822,1.0,0.22569444444444445,0.2857142857142857,0.7368421052631579,0.39473684210526316,1.5902140672782874,0.7339449541284404,2.4464831804281344,0.8562691131498471,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4310,10,Division II,guilfordtechnicalcommunitycollege,Braeden Lamb,,,,Wing,,,14,1.925,1.55,2.0,3,2.4285714285714284,1.5714285714285714,0.35714285714285715,0.7142857142857143,0.21428571428571427,0.2857142857142857,1.0714285714285714,4.071428571428571,1.2142857142857142,0.14285714285714285,0.42857142857142855,1.1428571428571428,0.29371112646855563,0.2982456140350877,50.088391278727165,0.058460796472371505,0.5,0.14731879787860933,0.11764705882352941,0.2982456140350877,0.03508771929824561,0.966183574879227,0.6763285024154589,2.1256038647342996,1.4492753623188406,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4426,11,Division II,guilfordtechnicalcommunitycollege,Tim Sanders,,,,Wing,,,14,1.8499999999999999,1.4000000000000001,2.0,3,3.357142857142857,1.2857142857142858,0.5714285714285714,1.2142857142857142,0.07142857142857142,0.0,0.7142857142857143,3.5,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.4400749063670412,0.3877551020408163,66.76136363636363,0.06063111478572414,0.47058823529411764,0.2414772727272727,0.4,0.20408163265306123,0.20408163265306123,1.642512077294686,0.0966183574879227,1.7391304347826086,0.966183574879227,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
