MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1266,1,Division II,harpercollege,Joe Calombo Kimbirima,,,,Wing,,,8,2.7924999999999995,2.55,3.05,3,16.125,8.125,2.5,3.125,0.875,0.375,1.375,13.25,2.5,3.875,2.375,5.75,0.5391173520561685,0.5094339622641509,89.18694690265488,0.20523298711618138,0.8,0.17284292035398233,0.3,0.18867924528301888,0.29245283018867924,3.9904229848363926,1.596169193934557,10.37509976057462,1.7557861133280128,Average,3,Very Good,4,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Average,3,Average,3,Very Good,4,Average,3,Below Average,2,Average,3,Elite,5,Average,3,Unknown
1780,2,Division II,harpercollege,Rashad Peeples,,,,Wing,,,14,2.5825000000000005,2.5500000000000007,2.45,3,15.214285714285714,3.5714285714285716,1.7142857142857142,3.2142857142857144,1.2142857142857142,0.14285714285714285,1.5714285714285714,13.642857142857142,8.428571428571429,1.3571428571428572,0.5714285714285714,3.0,0.5342094703049759,0.518324607329843,87.16647569160254,0.20165709381395658,0.5333333333333333,0.18415452610901947,0.3728813559322034,0.6178010471204188,0.09947643979057591,4.105839416058394,1.7335766423357664,4.562043795620438,2.0072992700729926,Average,3,Very Good,4,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
2349,3,Division II,harpercollege,Kevin Edgecombe,,,,Wing,,,16,2.3925,2.1,2.55,3,9.25,7.25,0.5625,2.375,0.5,0.9375,2.9375,6.4375,0.0,4.5,2.875,4.375,0.5494505494505494,0.5048543689320388,85.70766736159369,0.12389863100192292,0.23684210526315788,0.22006022700949732,,0.0,0.6990291262135923,3.0182684670373314,1.8268467037331215,9.213661636219221,3.733121525019857,Average,3,Below Average,2,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Average,3,Average,3,Very Good,4,Unknown
2357,4,Division II,harpercollege,Darrion Pippen,,,,Wing,,,16,2.3875,1.9500000000000002,2.75,3,8.0,5.4375,3.875,4.5625,1.375,0.0,2.3125,8.5,1.25,3.6875,0.875,4.5625,0.39515929859224497,0.35661764705882354,54.477357848144365,0.16858479465028844,0.8493150684931506,0.3106911814776983,0.25,0.14705882352941177,0.4338235294117647,5.798252581413821,1.7474185861795075,6.910246227164416,2.9388403494837174,Poor,1,Average,3,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Below Average,2,Below Average,2,Elite,5,Poor,1,Unknown
2834,5,Division II,harpercollege,Logan Arteaga,,,,Wing,,,11,2.25,2.2,2.0,3,1.4545454545454546,0.6363636363636364,0.09090909090909091,0.36363636363636365,0.0,0.09090909090909091,0.36363636363636365,1.0,0.5454545454545454,0.5454545454545454,0.18181818181818182,0.45454545454545453,0.5865102639296187,0.5909090909090909,90.70294784580499,0.01834442595673877,0.25,0.22675736961451246,0.5,0.5454545454545454,0.5454545454545454,0.4592422502870264,0.1148105625717566,0.8036739380022963,0.4592422502870264,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2883,6,Division II,harpercollege,Oscar Engfors,,,,Wing,,,16,2.2275,1.7000000000000002,2.6500000000000004,3,4.0625,3.0,0.875,1.125,0.625,1.0,2.6875,3.5625,0.3125,0.875,1.0625,1.9375,0.5145661811272958,0.5,80.08871365204534,0.058232643572597075,0.7777777777777778,0.22178413011335635,0.2,0.08771929824561403,0.24561403508771928,1.4297061159650517,2.0651310563939633,3.812549642573471,3.415409054805401,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
3166,7,Division II,harpercollege,Vanja Mrduljas,,,,Wing,,,14,2.15,2.0,2.0,3,8.285714285714286,3.2142857142857144,1.0,2.357142857142857,0.5,0.2857142857142857,0.7857142857142857,6.785714285714286,2.4285714285714284,2.0,0.8571428571428571,2.357142857142857,0.5404398061871041,0.5,82.66818700114025,0.1157985079553707,0.42424242424242425,0.23517673888255416,0.3235294117647059,0.35789473684210527,0.29473684210526313,3.010948905109489,1.0036496350364963,4.105839416058394,1.0036496350364963,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3681,8,Division II,harpercollege,Marin Mrduljas,,,,Wing,,,13,2.0,1.7000000000000002,2.0,3,4.461538461538462,2.3076923076923075,0.38461538461538464,1.4615384615384615,0.46153846153846156,0.15384615384615385,1.5384615384615385,5.615384615384615,1.5384615384615385,1.5384615384615385,0.07692307692307693,2.230769230769231,0.3545232273838631,0.2945205479452055,57.53968253968254,0.09007398934839332,0.2631578947368421,0.1884920634920635,0.05,0.273972602739726,0.273972602739726,1.8756169792694966,0.7897334649555775,2.9615004935834155,1.9743336623889438,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3930,9,Division II,harpercollege,Isaiah Manley,,,,Wing,,,11,1.925,1.55,2.0,3,6.0,2.3636363636363638,1.0909090909090908,1.8181818181818181,0.18181818181818182,0.2727272727272727,1.0,7.454545454545454,4.454545454545454,1.5454545454545454,0.36363636363636365,2.0,0.36879749664729544,0.3231707317073171,60.284983558640846,0.11519360269360268,0.6,0.18268176835951772,0.1836734693877551,0.5975609756097561,0.2073170731707317,2.3323615160349855,0.5830903790087464,3.0320699708454812,1.282798833819242,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3954,10,Division II,harpercollege,Anthony Hnilo,,,,Wing,,,6,1.9000000000000001,1.5000000000000002,2.0,3,3.6666666666666665,1.6666666666666667,1.0,2.1666666666666665,0.0,0.0,2.0,5.333333333333333,2.8333333333333335,1.0,0.5,1.1666666666666667,0.31755196304849886,0.3125,46.17968094038623,0.09276423397460863,0.46153846153846156,0.27287993282955497,0.23529411764705882,0.53125,0.1875,2.774813233724653,0.0,2.134471718249733,2.5613660618996796,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
