MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
95,1,Division II,highlandcommunitycollegekansas,Colton Knoll,,,,Wing,,,13,3.7625,3.6500000000000004,4.25,3,17.846153846153847,8.384615384615385,1.8461538461538463,1.7692307692307692,1.1538461538461537,0.9230769230769231,1.7692307692307692,11.692307692307692,3.0,7.230769230769231,2.6923076923076925,5.6923076923076925,0.5999172527927182,0.5427631578947368,107.22869291920873,0.18849973863042344,1.0434782608695652,0.10630430763542244,0.3333333333333333,0.2565789473684211,0.618421052631579,2.2406234778373113,2.6302971261568437,10.618606916707257,2.2406234778373113,Very Good,4,Average,3,Average,3,Below Average,2,Elite,5,Average,3,Very Good,4,Very Good,4,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Unknown
191,2,Division II,highlandcommunitycollegekansas,Tavian Tate,,,,Wing,,,13,3.5774999999999997,3.6999999999999997,3.65,3,19.846153846153847,6.0,2.0,2.923076923076923,1.9230769230769231,0.3076923076923077,2.230769230769231,13.846153846153847,7.769230769230769,3.923076923076923,0.5384615384615384,5.461538461538462,0.6372258446947243,0.6083333333333333,107.30327732490434,0.2094790033106813,0.6842105263157895,0.15804358675761104,0.40594059405940597,0.5611111111111111,0.2833333333333333,3.7018996590355577,2.82513395031661,7.598636142230881,2.82513395031661,Elite,5,Very Good,4,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Below Average,2,Elite,5,Average,3,Unknown
1045,3,Division II,highlandcommunitycollegekansas,Xavier Ikemefuna,,,,Wing,,,11,2.95,3.5999999999999996,2.0,3,3.4545454545454546,1.1818181818181819,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.36363636363636365,1.0,2.272727272727273,0.0,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.698529411764706,0.72,125.82781456953643,0.03049888911331044,0.6666666666666666,0.09933774834437087,,0.0,0.2,0.3416856492027335,0.9111617312072893,1.4806378132118452,1.2528473804100229,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1150,4,Division II,highlandcommunitycollegekansas,EJ Coleman,,,,Wing,,,10,2.9000000000000004,3.5,2.0,3,4.1,1.7,0.6,0.4,0.3,0.1,0.9,2.8,0.5,1.6,0.5,1.2,0.5850456621004566,0.5535714285714286,105.02049180327869,0.04331425021080193,1.5,0.10245901639344263,0.6,0.17857142857142858,0.5714285714285714,0.49813200498132004,0.49813200498132004,2.1170610211706102,1.1207970112079702,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1767,5,Division II,highlandcommunitycollegekansas,Adriel Smith,,,,Wing,,,13,2.6574999999999998,2.6999999999999997,2.45,3,11.23076923076923,3.076923076923077,3.076923076923077,1.8461538461538463,1.0,0.23076923076923078,1.3076923076923077,9.076923076923077,0.23076923076923078,3.0,0.6153846153846154,2.4615384615384617,0.5401006214856466,0.4915254237288136,91.73159085197285,0.13866527269559156,1.6666666666666667,0.15079165619502388,0.6666666666666666,0.025423728813559324,0.3305084745762712,2.338041889917194,1.5586945932781295,3.896736483195324,1.6561130053580126,Average,3,Below Average,2,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1896,6,Division II,highlandcommunitycollegekansas,Miguel Villegas,,,,Wing,,,13,2.6075,2.6,2.45,3,5.769230769230769,1.6153846153846154,1.1538461538461537,0.6923076923076923,1.1538461538461537,0.23076923076923078,1.0769230769230769,5.615384615384615,4.6923076923076925,0.15384615384615385,0.46153846153846156,1.1538461538461537,0.5075798592311858,0.5,90.49227799227799,0.07220770169018993,1.6666666666666667,0.1085907335907336,0.3442622950819672,0.8356164383561644,0.0273972602739726,0.8767657087189479,1.7535314174378958,2.045786653677545,1.3638577691183633,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3006,7,Division II,highlandcommunitycollegekansas,Gavin Grubbs,,,,Wing,,,13,2.275,2.25,2.0,3,3.6923076923076925,1.0,1.3076923076923077,0.7692307692307693,0.5384615384615384,0.0,1.0769230769230769,3.5384615384615383,1.7692307692307692,1.0769230769230769,0.15384615384615385,0.8461538461538461,0.4601226993865031,0.44565217391304346,77.22007722007723,0.054155776267642446,1.7,0.16087516087516088,0.30434782608695654,0.5,0.30434782608695654,0.974184120798831,0.6819288845591817,1.2664393570384802,1.3638577691183633,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3230,8,Division II,highlandcommunitycollegekansas,Quenci Bradford,,,,Wing,,,9,2.2,2.1000000000000005,2.0,3,2.6666666666666665,1.0,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.7777777777777778,2.3333333333333335,1.2222222222222223,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.49833887043189373,0.5,79.7872340425532,0.03594474451508054,0.8333333333333334,0.199468085106383,0.2727272727272727,0.5238095238095238,0.3333333333333333,0.8048289738430584,0.5365526492287056,1.2072434607645874,0.9389671361502347,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3465,9,Division II,highlandcommunitycollegekansas,KJ Rowan Jr,,,,Wing,,,11,2.15,2.0,2.0,3,1.7272727272727273,1.2727272727272727,1.0,0.5454545454545454,0.5454545454545454,0.0,0.7272727272727273,2.1818181818181817,1.1818181818181819,0.5454545454545454,0.2727272727272727,1.0,0.3566066066066066,0.3333333333333333,58.21078431372549,0.034129407336149574,1.8333333333333333,0.1838235294117647,0.15384615384615385,0.5416666666666666,0.25,0.6952491309385863,0.6952491309385863,1.6222479721900347,0.9269988412514485,Poor,1,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3541,10,Division II,highlandcommunitycollegekansas,Jaden Williams,,,,Wing,,,13,2.125,1.9500000000000002,2.0,3,4.384615384615385,2.8461538461538463,0.5384615384615384,0.9230769230769231,0.23076923076923078,0.23076923076923078,2.0,3.6923076923076925,0.5384615384615384,1.3076923076923077,1.0,1.8461538461538463,0.5136986301369862,0.4791666666666667,84.46947243627741,0.05879073009235059,0.5833333333333334,0.1778304682868998,0.2857142857142857,0.14583333333333334,0.3541666666666667,1.169020944958597,0.5845104724792985,3.6044812469556744,2.5328787140769604,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
