MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
467,1,Division II,howardcommunitycollege,Cedric Harville,,,,Wing,,,19,3.2824999999999998,3.25,3.45,3,7.7894736842105265,6.2105263157894735,0.47368421052631576,1.0,1.0,1.263157894736842,2.736842105263158,5.0,0.21052631578947367,3.3684210526315788,3.0526315789473686,3.1578947368421053,0.6008444300097434,0.5631578947368421,104.10804727068093,0.0898677522947379,0.47368421052631576,0.13365222284749578,0.25,0.042105263157894736,0.6736842105263158,1.3763129300977908,3.1148134733792103,8.547627671133647,3.766751177109743,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Unknown
1014,2,Division II,howardcommunitycollege,Myles McDuffie,,,,Wing,,,19,2.9699999999999998,2.8000000000000003,3.2,3,13.789473684210526,5.105263157894737,1.894736842105263,1.9473684210526316,1.368421052631579,0.3157894736842105,1.736842105263158,10.526315789473685,1.2105263157894737,5.421052631578948,1.1578947368421053,3.9473684210526314,0.5339964128485244,0.455,92.80249362425617,0.17781472803768927,0.972972972972973,0.1310569566449419,0.2608695652173913,0.115,0.515,2.6714801444043323,2.3104693140794224,7.003610108303249,2.3826714801444044,Average,3,Average,3,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Average,3,Below Average,2,Elite,5,Very Good,4,Unknown
1020,3,Division II,howardcommunitycollege,Sincere Barfield,,,,Wing,,,18,2.965,3.0,2.9000000000000004,3,14.944444444444445,2.611111111111111,2.7222222222222223,2.2777777777777777,1.5,0.2222222222222222,1.6111111111111112,12.055555555555555,5.277777777777778,3.2777777777777777,0.7222222222222222,1.8888888888888888,0.5535890681593678,0.5092165898617511,94.73165234540075,0.19050558179476168,1.1951219512195121,0.1443865333145513,0.3473684210526316,0.4377880184331797,0.271889400921659,3.152633602460592,2.383698577470204,3.613994617454825,2.229911572472126,Average,3,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1275,4,Division II,howardcommunitycollege,Evin Thompson,,,,Wing,,,16,2.8500000000000005,3.4000000000000004,2.0,3,6.5625,1.3125,1.3125,0.5,0.5,0.0,0.9375,5.3125,2.375,1.0625,0.0625,1.25,0.5676903114186851,0.5411764705882353,104.49840764331209,0.0747708060483391,2.625,0.07961783439490445,0.3684210526315789,0.4470588235294118,0.2,0.6864006864006864,0.6864006864006864,1.8018018018018018,1.287001287001287,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1624,5,Division II,howardcommunitycollege,Nathan Hiteshew,,,,Wing,,,10,2.7250000000000005,3.1500000000000004,2.0,3,2.6,0.8,0.6,0.3,0.4,0.0,0.2,2.1,0.7,0.2,0.6,0.2,0.5941499085923218,0.5714285714285714,104.50160771704181,0.028919471824437416,2.0,0.12057877813504823,0.5714285714285714,0.3333333333333333,0.09523809523809523,0.40431266846361186,0.5390835579514824,1.0781671159029649,0.2695417789757412,Very Good,4,Poor,1,Average,3,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2431,6,Division II,howardcommunitycollege,Jasper Hanna,,,,Wing,,,12,2.4574999999999996,2.3,2.45,3,3.5,2.3333333333333335,0.6666666666666666,0.5833333333333334,0.75,0.5,1.5833333333333333,2.8333333333333335,0.5833333333333334,1.3333333333333333,1.3333333333333333,1.0,0.5116959064327485,0.4264705882352941,87.42714404662782,0.04792498004788507,1.1428571428571428,0.1457119067443797,0.42857142857142855,0.20588235294117646,0.47058823529411764,0.8092485549132948,1.7341040462427746,3.2369942196531793,2.1965317919075145,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2432,7,Division II,howardcommunitycollege,Tajir Webster,,,,Wing,,,12,2.4574999999999996,2.3,2.45,3,6.416666666666667,4.75,0.6666666666666666,1.0,0.16666666666666666,1.0833333333333333,2.0,4.5,0.08333333333333333,2.9166666666666665,2.0,2.75,0.5547550432276657,0.5,94.59459459459458,0.07980079212579899,0.6666666666666666,0.14742014742014742,0.0,0.018518518518518517,0.6481481481481481,1.3597733711048159,1.6997167138810199,6.458923512747876,2.7195467422096318,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2878,8,Division II,howardcommunitycollege,Kayne McMahon,,,,Wing,,,13,2.325,2.3500000000000005,2.0,3,4.6923076923076925,3.0,1.1538461538461537,1.0,0.7692307692307693,0.07692307692307693,1.2307692307692308,3.6153846153846154,0.3076923076923077,1.2307692307692308,0.7692307692307693,2.230769230769231,0.5643967431532199,0.5531914893617021,90.99045346062053,0.06229093882405409,1.1538461538461537,0.19391408114558475,0.5,0.0851063829787234,0.3404255319148936,1.3851891315929674,1.1720831113478956,4.1555673947789025,1.7048481619605753,Average,3,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2939,9,Division II,howardcommunitycollege,Lorcan Hyndman,,,,Wing,,,18,2.3150000000000004,1.7,2.9000000000000004,3,2.8333333333333335,4.0,0.7222222222222222,0.7222222222222222,0.9444444444444444,0.8333333333333334,1.7777777777777777,3.7222222222222223,2.3333333333333335,0.6666666666666666,0.5555555555555556,3.4444444444444446,0.35279468732706143,0.3283582089552239,59.80300187617261,0.05721339630742807,1.0,0.1524390243902439,0.23809523809523808,0.6268656716417911,0.1791044776119403,0.9919877909194964,2.441816100724914,5.494086226631057,2.441816100724914,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
3382,10,Division II,howardcommunitycollege,Nehemiah Smith,,,,Wing,,,11,2.2,2.1,2.0,3,2.3636363636363638,2.1818181818181817,0.09090909090909091,0.45454545454545453,0.36363636363636365,0.2727272727272727,1.0,2.0,0.0,0.7272727272727273,0.8181818181818182,1.3636363636363635,0.5094043887147336,0.5454545454545454,85.19003931847969,0.03340045526177552,0.2,0.16382699868938402,,0.0,0.36363636363636365,0.6222775357809583,0.8711885500933416,2.9869321717485997,1.3690105787181084,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
