MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
693,1,Division II,illinoiscentralcollege,Peyton Hess,21,,G,Guard,6'4,,15,3.135,2.85,3.05,5,11.466666666666667,5.933333333333334,0.9333333333333333,1.0,0.9333333333333333,0.4,1.8,8.733333333333333,1.8666666666666667,3.8666666666666667,1.7333333333333334,4.2,0.5494505494505494,0.5152671755725191,100.27985074626865,0.12696532733248456,0.9333333333333333,0.08745335820895522,0.39285714285714285,0.21374045801526717,0.44274809160305345,1.3015184381778742,1.735357917570499,7.72234273318872,2.3427331887201737,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Elite
755,2,Division II,illinoiscentralcollege,Tripp Rugaard,22,,PG,Guard,5'9,,8,3.0975,4.05,2.2,1,1.25,0.625,0.375,0.125,0.0,0.0,0.125,0.875,0.625,0.0,0.125,0.5,0.7142857142857143,0.7142857142857143,125.0,0.010887908977080953,3.0,0.125,0.4,0.7142857142857143,0.0,0.1662510390689942,0.0,0.8312551953449709,0.1662510390689942,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Poor
975,3,Division II,illinoiscentralcollege,Anthony Moore,25,,F/C,Big,6'7,,13,2.9850000000000003,3.1,2.85,3,6.923076923076923,8.384615384615385,0.9230769230769231,0.8461538461538461,0.8461538461538461,1.5384615384615385,2.0,4.923076923076923,0.07692307692307693,2.6923076923076925,3.8461538461538463,4.538461538461538,0.5667506297229219,0.5625,99.5575221238938,0.07679238871899424,1.0909090909090908,0.12168141592920353,0.0,0.015625,0.546875,1.103309929789368,3.1093279839518555,10.932798395185557,2.6078234704112337,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Average,3,Below Average,2,Elite,5,Elite,5,Average
1651,4,Division II,illinoiscentralcollege,Rickey Coleman,2,,G,Guard,6'2,,11,2.715,3.0,1.9,4,8.363636363636363,1.8181818181818181,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.45454545454545453,2.1818181818181817,5.7272727272727275,0.2727272727272727,3.3636363636363638,0.6363636363636364,1.1818181818181819,0.5802219979818365,0.5634920634920635,106.62957811775614,0.08606655494373952,1.1428571428571428,0.08113120074177098,1.0,0.047619047619047616,0.5873015873015873,0.8323424494649228,1.3079667063020215,2.3781212841854935,2.853745541022592,Very Good,4,Poor,1,Average,3,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Very Good
1657,5,Division II,illinoiscentralcollege,Jaylen Brown,1,,SG,Guard,6'2,,13,2.71,2.8,2.2,4,14.307692307692308,2.6153846153846154,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.23076923076923078,1.7692307692307692,13.307692307692308,7.153846153846154,1.3846153846153846,0.6923076923076923,1.9230769230769231,0.5140393544107893,0.5028901734104047,97.93597304128055,0.1619703895749471,1.1111111111111112,0.04738837405223252,0.3655913978494624,0.5375722543352601,0.10404624277456648,0.901352028042063,1.2018027040560841,3.4051076614922384,2.303455182774161,Below Average,2,Below Average,2,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1860,6,Division II,illinoiscentralcollege,Javaughn Robinson,3,,PG,Guard,6'1,,15,2.63,2.5500000000000003,2.65,3,9.733333333333333,7.066666666666666,4.6,1.6666666666666667,0.8,0.13333333333333333,1.7333333333333334,7.866666666666666,3.0,3.6,1.4,5.666666666666667,0.5149548532731377,0.4576271186440678,87.55097145598465,0.12344180262339739,2.76,0.14991604701367237,0.26666666666666666,0.3813559322033898,0.4576271186440678,2.1691973969631237,1.2147505422993492,9.197396963123644,2.2559652928416485,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Elite,5,Average
2048,7,Division II,illinoiscentralcollege,Jaylen McElmurry,4,,G,Guard,6'4,,11,2.5625000000000004,2.3500000000000005,2.2,5,10.363636363636363,3.4545454545454546,1.5454545454545454,1.3636363636363635,0.6363636363636364,0.36363636363636365,1.4545454545454546,9.636363636363637,4.2727272727272725,1.6363636363636365,0.9090909090909091,2.5454545454545454,0.5003511235955056,0.4811320754716981,88.42693143034438,0.1286010693480169,1.1333333333333333,0.11635122556624261,0.3404255319148936,0.44339622641509435,0.16981132075471697,1.78359096313912,1.3079667063020215,4.5184304399524375,1.9024970273483948,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Average,3,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite
2212,8,Division II,illinoiscentralcollege,Brandon Phillips,12,,SG,Guard,6'3,,11,2.5174999999999996,2.4499999999999997,2.2,4,3.8181818181818183,0.7272727272727273,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.09090909090909091,3.1818181818181817,2.0,0.9090909090909091,0.2727272727272727,0.45454545454545453,0.5329949238578681,0.4857142857142857,94.5945945945946,0.04429016040220253,0.2,0.11261261261261261,0.36363636363636365,0.6285714285714286,0.2857142857142857,0.5945303210463734,0.5945303210463734,0.9512485136741974,0.11890606420927467,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
2652,9,Division II,illinoiscentralcollege,Braley Adderley,10,,F,Wing,6'5,,8,2.3999999999999995,2.4999999999999996,2.0,3,1.5,1.625,0.375,0.0,0.125,0.375,0.75,1.875,0.0,0.5,0.875,0.75,0.35799522673031026,0.3333333333333333,71.59904534606204,0.022810169306984596,99.0,0.0,,0.0,0.26666666666666666,0.0,0.6650041562759768,2.1612635078969245,0.9975062344139651,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Average
2991,10,Division II,illinoiscentralcollege,Anthony Allison Jr,,,,Wing,,,14,2.3,2.3,2.0,3,3.5714285714285716,3.7142857142857144,0.7142857142857143,0.6428571428571429,0.07142857142857142,0.21428571428571427,2.2857142857142856,3.0714285714285716,0.14285714285714285,1.0714285714285714,1.4285714285714286,2.2857142857142856,0.5040322580645161,0.5,85.32423208191126,0.0465952100760154,1.1111111111111112,0.15358361774744028,0.5,0.046511627906976744,0.3488372093023256,0.8375988832014891,0.3722661703117729,4.839460214053048,2.978129362494183,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3112,11,Division II,illinoiscentralcollege,Benjamin Goeh,0,,G,Guard,6'3,,9,2.27,2.0,2.2,4,1.8888888888888888,1.7777777777777777,0.4444444444444444,1.1111111111111112,0.2222222222222222,0.0,1.4444444444444444,0.8888888888888888,0.1111111111111111,1.4444444444444444,0.4444444444444444,1.3333333333333333,0.619533527696793,0.375,71.66947723440136,0.02899330171612966,0.4,0.4215851602023609,0.0,0.125,1.625,1.4771048744460857,0.29542097488921715,2.363367799113737,1.9202363367799113,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
3968,12,Division II,illinoiscentralcollege,Micah Boone,20,,F,Wing,6'4,,7,2.05,1.8,2.0,3,1.5714285714285714,1.8571428571428572,0.2857142857142857,0.42857142857142855,0.0,0.2857142857142857,2.0,1.1428571428571428,0.0,0.8571428571428571,1.0,0.8571428571428571,0.5169172932330827,0.5,80.64516129032258,0.02072192513368984,0.6666666666666666,0.21994134897360704,,0.0,0.75,0.5617977528089888,0.37453183520599254,2.4344569288389515,2.6217228464419478,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Average
4331,13,Division II,illinoiscentralcollege,Cooper Knoll,32,,F/C,Big,6'6,,14,1.9075000000000002,2.15,1.6,2,3.857142857142857,4.714285714285714,0.5,0.7857142857142857,0.21428571428571427,0.2857142857142857,1.2142857142857142,2.9285714285714284,0.42857142857142855,1.6428571428571428,1.5714285714285714,3.142857142857143,0.5281690140845071,0.43902439024390244,86.92852543464264,0.048933421558433374,0.6363636363636364,0.17707662588538314,0.3333333333333333,0.14634146341463414,0.5609756097560976,1.0237319683573756,0.6514657980456026,6.142391810144253,1.582131223825035,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Below Average
4574,14,Division II,illinoiscentralcollege,Tyler Jolly,5,,PG,Guard,5'9,,10,1.5300000000000002,1.2,2.2,1,2.1,0.7,0.7,0.8,0.1,0.0,1.1,1.6,0.3,2.0,0.3,0.4,0.42338709677419356,0.15625,64.02439024390245,0.036246298015294165,0.875,0.24390243902439027,0.3333333333333333,0.1875,1.25,1.0554089709762533,0.13192612137203166,0.9234828496042217,1.4511873350923483,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Poor
