MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
232,1,Division II,illinoisvalleycommunitycollege,Ahmir Woods,,,,Wing,,,14,3.465,4.0,2.9000000000000004,3,18.714285714285715,1.7857142857142858,1.5,2.642857142857143,1.0,0.7142857142857143,2.2142857142857144,11.857142857142858,6.714285714285714,4.571428571428571,0.2857142857142857,1.5,0.6747012772970746,0.6174698795180723,113.34140854819174,0.1903303362645325,0.5675675675675675,0.16006229451462192,0.39361702127659576,0.5662650602409639,0.3855421686746988,3.2627865961199296,2.1164021164021163,2.2045855379188715,2.7336860670194003,Elite,5,Very Good,4,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1277,2,Division II,illinoisvalleycommunitycollege,Robert Bellinger,,,,Wing,,,14,2.79,2.65,2.9000000000000004,3,12.857142857142858,3.5714285714285716,2.142857142857143,2.142857142857143,1.4285714285714286,0.21428571428571427,1.2857142857142858,10.714285714285714,3.142857142857143,3.2142857142857144,0.6428571428571429,2.9285714285714284,0.5300353356890459,0.48333333333333334,90.09009009009009,0.16450943582649938,1.0,0.15015015015015015,0.29545454545454547,0.29333333333333333,0.3,2.6455026455026456,2.0282186948853616,4.409171075837743,1.5873015873015872,Average,3,Average,3,Poor,1,Below Average,2,Average,3,Below Average,2,Very Good,4,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1633,3,Division II,illinoisvalleycommunitycollege,Joshua Mbick,,,,Wing,,,12,2.6425,2.25,3.05,3,10.25,7.5,0.5833333333333334,2.0833333333333335,0.75,0.5833333333333334,2.0,8.25,0.16666666666666666,2.5833333333333335,2.6666666666666665,4.833333333333333,0.5459872159090909,0.5151515151515151,89.3635571054926,0.13268808082366096,0.28,0.1816332461493752,0.0,0.020202020202020204,0.31313131313131315,2.5947067981318113,1.660612350804359,9.34094447327452,2.4909185262065385,Average,3,Below Average,2,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
1710,4,Division II,illinoisvalleycommunitycollege,Ameer Anderson,,,,Wing,,,14,2.6125,2.4000000000000004,2.75,3,10.357142857142858,6.714285714285714,2.2142857142857144,2.2142857142857144,0.5,0.7857142857142857,2.357142857142857,7.928571428571429,1.5714285714285714,3.142857142857143,1.5,5.214285714285714,0.5561521939245166,0.5180180180180181,89.86117997025285,0.13285907189671642,1.0,0.19211700545364402,0.4090909090909091,0.1981981981981982,0.3963963963963964,2.7336860670194003,1.5873015873015872,8.289241622574956,2.9100529100529102,Average,3,Below Average,2,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
2236,5,Division II,illinoisvalleycommunitycollege,Amareon Parker,,,,Wing,,,12,2.425,2.5500000000000003,2.0,3,9.166666666666666,3.6666666666666665,3.25,1.75,0.9166666666666666,0.08333333333333333,2.25,6.5,2.3333333333333335,3.6666666666666665,0.8333333333333334,2.8333333333333335,0.5649137222678718,0.4551282051282051,92.93680297397769,0.11469436799875964,1.8571428571428572,0.17742480567759378,0.32142857142857145,0.358974358974359,0.5641025641025641,2.190923317683881,1.2519561815336464,4.590505998956703,2.816901408450704,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2742,6,Division II,illinoisvalleycommunitycollege,Tanner Faivre,,,,Wing,,,14,2.2750000000000004,2.2500000000000004,2.0,3,3.2142857142857144,1.0,0.7857142857142857,1.1428571428571428,0.21428571428571427,0.07142857142857142,0.2857142857142857,2.5,1.7857142857142858,0.35714285714285715,0.14285714285714285,0.8571428571428571,0.6048387096774193,0.6142857142857143,84.58646616541353,0.043803313243091925,0.6875,0.3007518796992481,0.36,0.7142857142857143,0.14285714285714285,1.4109347442680775,0.3527336860670194,1.2345679012345678,0.3527336860670194,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3305,7,Division II,illinoisvalleycommunitycollege,Damion Woods,,,,Wing,,,14,2.125,1.95,2.0,3,2.4285714285714284,1.0714285714285714,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.07142857142857142,1.0714285714285714,2.7142857142857144,1.9285714285714286,0.42857142857142855,0.07142857142857142,1.0,0.4183070866141732,0.39473684210526316,72.89879931389365,0.03840200243717683,0.8333333333333334,0.12864493996569468,0.2962962962962963,0.7105263157894737,0.15789473684210525,0.5291005291005291,0.3527336860670194,1.3227513227513228,1.3227513227513228,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Below Average,2,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3794,8,Division II,illinoisvalleycommunitycollege,Ayipey Salinas,,,,Wing,,,14,1.9575,1.3,2.45,3,3.7857142857142856,2.2857142857142856,1.2142857142857142,1.7857142857142858,1.0714285714285714,0.14285714285714285,1.7857142857142858,4.214285714285714,2.5,0.7142857142857143,0.21428571428571427,2.0714285714285716,0.41798107255520506,0.3983050847457627,59.95475113122171,0.07278595659190462,0.68,0.2828054298642534,0.2571428571428571,0.5932203389830508,0.1694915254237288,2.2045855379188715,1.4991181657848325,2.821869488536155,2.2045855379188715,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3843,9,Division II,illinoisvalleycommunitycollege,Nick Olivero,,,,Wing,,,10,1.95,1.6,2.0,3,2.6,1.5,0.2,0.7,0.4,0.0,0.2,3.4,1.9,0.3,0.4,1.1,0.36806342015855037,0.35294117647058826,61.43667296786389,0.04741417943891727,0.2857142857142857,0.16540642722117202,0.21052631578947367,0.5588235294117647,0.08823529411764706,0.8443908323281062,0.4825090470446321,1.8094089264173703,0.24125452352231605,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3979,10,Division II,illinoisvalleycommunitycollege,Kamrin King,,,,Wing,,,10,1.9,1.5,2.0,3,4.7,2.6,0.9,1.2,0.2,0.1,1.5,6.0,2.5,0.0,0.3,2.3,0.39166666666666666,0.39166666666666666,65.27777777777777,0.0841357389922408,0.75,0.16666666666666666,0.28,0.4166666666666667,0.0,1.5028177833437695,0.37570444583594237,3.256105197244834,1.878522229179712,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4094,11,Division II,illinoisvalleycommunitycollege,Adrian Moss,,,,Wing,,,8,1.825,1.35,2.0,3,1.0,1.25,0.25,0.375,0.375,0.0,0.0,1.75,0.375,0.0,0.375,0.875,0.2857142857142857,0.2857142857142857,47.05882352941177,0.023329856727232805,0.6666666666666666,0.17647058823529413,0.0,0.21428571428571427,0.0,0.44609665427509293,0.44609665427509293,1.486988847583643,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
