MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
50,1,Division II,iowacentralcommunitycollege,Manny Lueth,2,,Position: G,Guard,6'7,180,15,3.8825000000000003,4.4,2.75,5,9.4,2.8,0.6,0.26666666666666666,0.4,1.0666666666666667,1.4,7.4,5.266666666666667,0.7333333333333333,0.26666666666666666,2.533333333333333,0.6085980662983426,0.6036036036036037,117.65687583444593,0.09057105716617793,2.25,0.03337783711615487,0.43037974683544306,0.7117117117117117,0.0990990990990991,0.3504161191414805,1.9272886552781427,3.679369250985545,1.8396846254927726,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Elite
59,2,Division II,iowacentralcommunitycollege,CJ Mitchell,4,,Position: G,Guard,6'2,170,15,3.81,3.75,3.85,4,13.533333333333333,3.3333333333333335,5.733333333333333,2.066666666666667,2.0,0.13333333333333333,1.7333333333333334,10.333333333333334,3.6,2.2666666666666666,0.8,2.533333333333333,0.5971993410214168,0.5870967741935483,101.01512738853503,0.1518788355149793,2.774193548387097,0.15425955414012738,0.4444444444444444,0.34838709677419355,0.21935483870967742,2.7157249233464738,2.803328953131844,4.380201489268506,2.2777047744196235,Very Good,4,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Very Good,4,Average,3,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good
78,3,Division II,iowacentralcommunitycollege,Tashun Pender,1,,Position: F,Wing,6'5,180,13,3.7725,4.3,3.35,3,13.538461538461538,8.0,1.2307692307692308,0.46153846153846156,0.38461538461538464,0.9230769230769231,1.5384615384615385,9.307692307692308,0.07692307692307693,2.923076923076923,4.076923076923077,3.923076923076923,0.6389776357827476,0.640495867768595,122.46033954912329,0.1251088129809534,2.6666666666666665,0.041747843028110215,1.0,0.008264462809917356,0.3140495867768595,0.6066734074823054,1.7189079878665319,10.51567239635996,2.0222446916076846,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Average
320,4,Division II,iowacentralcommunitycollege,Dorian Pruitt,3,,Position: G,Guard,6'5,170,15,3.3600000000000003,3.8000000000000003,2.2,5,10.066666666666666,1.5333333333333334,0.6,0.8,0.8666666666666667,0.0,0.7333333333333333,7.4,5.666666666666667,1.0666666666666667,0.13333333333333333,1.4,0.6396136902744832,0.6081081081081081,116.11811750230696,0.09827987544968107,0.75,0.09227929867733003,0.43529411764705883,0.7657657657657657,0.14414414414414414,1.0512483574244416,1.1388523872098117,2.0148926850635127,0.9636443276390714,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Elite
473,5,Division II,iowacentralcommunitycollege,Aleix Sempere,22,,Position: F,Big,6'8,210,15,3.205,3.9000000000000004,2.5,3,14.2,10.466666666666667,1.4666666666666666,1.9333333333333333,1.0,0.13333333333333333,2.4,9.266666666666667,0.9333333333333333,3.7333333333333334,4.4,6.066666666666666,0.6508188706917625,0.6690647482014388,110.56893687707642,0.14559085824843554,0.7586206896551724,0.15053986710963457,0.42857142857142855,0.10071942446043165,0.4028776978417266,2.540516863775734,1.4892685063512923,13.75383267630311,3.1537450722733245,Elite,5,Below Average,2,Average,3,Below Average,2,Very Good,4,Insufficient Volume,3,Average,3,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Elite,5,Very Good,4,Average
493,6,Division II,iowacentralcommunitycollege,Jordan Cain,23,,Position: G,Guard,6'4,195,12,3.195,2.8,3.3,5,15.25,5.583333333333333,1.0,1.5833333333333333,1.5,0.25,2.25,10.916666666666666,3.3333333333333335,5.5,1.3333333333333333,4.25,0.5717320669832542,0.5190839694656488,102.2117962466488,0.16815688631752948,0.631578947368421,0.10612153708668455,0.2,0.3053435114503817,0.5038167938931297,2.067464635473341,2.2850924918389555,7.290533188248096,2.9379760609358,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Poor,1,Average,3,Very Good,4,Elite,5,Average,3,Average,3,Average,3,Very Good,4,Elite,5,Elite
645,7,Division II,iowacentralcommunitycollege,Jean Lucas Beleoken,32,,Position: F,Wing,6'6,195,11,3.1,3.5999999999999996,2.0,4,3.090909090909091,1.0909090909090908,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.0,0.0,1.9090909090909092,0.18181818181818182,1.3636363636363635,0.45454545454545453,0.6363636363636364,0.6159420289855072,0.5476190476190477,111.1111111111111,0.032327586206896554,0.3333333333333333,0.09803921568627451,0.5,0.09523809523809523,0.7142857142857143,0.3669724770642202,0.24464831804281345,1.4678899082568808,0.0,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1535,8,Division II,iowacentralcommunitycollege,Jalen Wynter,12,,Position: G,Guard,6'2,170,15,2.6825,2.4000000000000004,2.75,4,10.733333333333333,2.2666666666666666,1.6666666666666667,1.2,1.2666666666666666,0.0,0.5333333333333333,10.066666666666666,7.733333333333333,1.4,0.2,2.066666666666667,0.5023714428357463,0.4768211920529801,90.32764811490125,0.13470782067172526,1.3888888888888888,0.10098743267504488,0.3103448275862069,0.7682119205298014,0.1390728476821192,1.5768725361366622,1.6644765659220324,2.9785370127025845,0.700832238282961,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
2029,9,Division II,iowacentralcommunitycollege,Carter Loney,34,,Position: C,Big,6'11,240,15,2.4925,2.45,1.6,5,3.0,3.933333333333333,0.6,0.7333333333333333,0.13333333333333333,0.6666666666666666,1.4,2.1333333333333333,0.26666666666666666,0.6666666666666666,1.4,2.533333333333333,0.6181318681318682,0.59375,94.9367088607595,0.03582333202333807,0.8181818181818182,0.2320675105485232,0.5,0.125,0.3125,0.9636443276390714,1.0512483574244416,5.168637757336837,1.8396846254927726,Very Good,4,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Elite
2427,10,Division II,iowacentralcommunitycollege,Simon Gurial,13,,Position: C,Big,6'10,230,11,2.365,2.5,1.6,4,0.8181818181818182,1.8181818181818181,0.0,0.36363636363636365,0.09090909090909091,0.0,0.45454545454545453,0.45454545454545453,0.0,0.5454545454545454,0.2727272727272727,1.5454545454545454,0.5890052356020942,0.8,77.31958762886597,0.012297160243407709,0.0,0.3436426116838488,,0.0,1.2,0.4892966360856269,0.12232415902140673,2.4464831804281344,0.6116207951070336,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
