MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1165,1,Division II,iowalakescommunitycollege,Cooper Harris,,,,Wing,,,14,2.8325000000000005,3.0500000000000003,2.45,3,7.357142857142857,4.071428571428571,1.3571428571428572,0.7857142857142857,0.8571428571428571,0.21428571428571427,1.7142857142857142,6.428571428571429,3.357142857142857,0.6428571428571429,1.5,2.5714285714285716,0.5481055768412091,0.5388888888888889,98.13262195121952,0.08668935214245597,1.7272727272727273,0.10480182926829269,0.3617021276595745,0.5222222222222223,0.1,1.0571840461316675,1.4416146083613648,5.478135511773186,2.3065833733781838,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Very Good,4,Very Good,4,Elite,5,Below Average,2,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1760,2,Division II,iowalakescommunitycollege,Jermaine Freeman,,,,Wing,,,14,2.5950000000000006,2.7500000000000004,2.2,3,19.714285714285715,3.0,2.0714285714285716,3.0714285714285716,1.2857142857142858,0.14285714285714285,2.642857142857143,16.785714285714285,6.357142857142857,7.071428571428571,0.5714285714285714,2.4285714285714284,0.4954049396898334,0.4106382978723404,85.8315710909317,0.26558525223826357,0.6744186046511628,0.1337230998880458,0.2808988764044944,0.37872340425531914,0.42127659574468085,4.132628543969245,1.9221528111484862,4.036520903411821,3.5559827006247,Below Average,2,Elite,5,Poor,1,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Very Good,4,Average,3,Unknown
2122,3,Division II,iowalakescommunitycollege,Timothy Ofesi,,,,Wing,,,14,2.4575000000000005,1.9500000000000002,2.95,3,8.642857142857142,5.857142857142857,0.5,2.0,0.07142857142857142,1.5,2.5714285714285716,7.285714285714286,0.07142857142857142,2.357142857142857,2.5,3.357142857142857,0.5192241675248884,0.4803921568627451,83.72543592582343,0.11936304469919719,0.25,0.19374481040686412,0.0,0.00980392156862745,0.3235294117647059,2.691013935607881,2.114368092263335,7.880826525708794,3.4598750600672754,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Average,3,Below Average,2,Very Good,4,Very Good,4,Unknown
2201,4,Division II,iowalakescommunitycollege,Germaal Forde,,,,Wing,,,11,2.4400000000000004,1.9500000000000002,2.9000000000000004,3,8.272727272727273,4.818181818181818,0.45454545454545453,1.9090909090909092,0.5454545454545454,1.0,2.1818181818181817,6.181818181818182,0.09090909090909091,3.909090909090909,1.7272727272727273,3.090909090909091,0.5234698573400828,0.5,84.32171979243884,0.11489651648070862,0.23809523809523808,0.19458858413639732,0.0,0.014705882352941176,0.6323529411764706,2.6022304832713754,2.1065675340768277,6.567534076827757,2.973977695167286,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2805,5,Division II,iowalakescommunitycollege,Jorge Castro,,,,Wing,,,14,2.25,2.2,2.0,3,7.928571428571429,2.5714285714285716,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.07142857142857142,1.6428571428571428,7.785714285714286,4.142857142857143,1.3571428571428572,1.1428571428571428,1.4285714285714286,0.4729038854805726,0.4541284403669725,87.15452261306532,0.10519012851432158,0.8,0.0785175879396985,0.29310344827586204,0.5321100917431193,0.1743119266055046,0.9610764055742431,1.249399327246516,3.4598750600672754,2.2104757328207594,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2892,6,Division II,iowalakescommunitycollege,Jack Wadlington,,,,Wing,,,14,2.225,2.1500000000000004,2.0,3,5.928571428571429,2.2857142857142856,2.642857142857143,1.6428571428571428,0.42857142857142855,0.07142857142857142,1.6428571428571428,4.714285714285714,1.5714285714285714,2.142857142857143,0.5,1.7857142857142858,0.523989898989899,0.44696969696969696,81.2133072407045,0.08440979219663683,1.608695652173913,0.22504892367906065,0.3181818181818182,0.3333333333333333,0.45454545454545453,2.2104757328207594,0.6727534839019702,3.075444497837578,2.2104757328207594,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3043,7,Division II,iowalakescommunitycollege,Dominic Preiser,,,,Wing,,,14,2.1825,1.75,2.45,3,3.642857142857143,4.642857142857143,0.5714285714285714,0.9285714285714286,0.2857142857142857,0.8571428571428571,1.9285714285714286,3.2857142857142856,0.0,1.0714285714285714,2.0714285714285716,2.5714285714285716,0.4847908745247148,0.5,77.7439024390244,0.05418084508903498,0.6153846153846154,0.19817073170731708,,0.0,0.32608695652173914,1.249399327246516,1.537722248918789,6.246996636232581,2.5949062950504564,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3426,8,Division II,iowalakescommunitycollege,Steven Martinez,,,,Wing,,,14,2.0925,1.8499999999999999,2.05,3,6.5,6.214285714285714,1.2857142857142858,1.2142857142857142,0.7142857142857143,0.07142857142857142,2.4285714285714284,7.857142857142857,2.4285714285714284,1.4285714285714286,1.7857142857142858,4.428571428571429,0.382996632996633,0.37727272727272726,67.0103092783505,0.11216095675443524,1.0588235294117647,0.1251840942562592,0.2647058823529412,0.3090909090909091,0.18181818181818182,1.6338298894762133,1.0571840461316675,8.361364728495916,3.2676597789524267,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Poor,1,Average,3,Very Good,4,Average,3,Poor,1,Poor,1,Below Average,2,Very Good,4,Elite,5,Unknown
3721,9,Division II,iowalakescommunitycollege,Byron Maina,,,,Wing,,,14,1.9999999999999998,1.6999999999999997,2.0,3,2.7857142857142856,2.0,0.35714285714285715,0.6428571428571429,0.42857142857142855,0.0,0.6428571428571429,2.9285714285714284,2.0714285714285716,0.7142857142857143,0.9285714285714286,1.0714285714285714,0.42951541850220265,0.3780487804878049,71.69117647058823,0.044930456903102184,0.5555555555555556,0.16544117647058823,0.2413793103448276,0.7073170731707317,0.24390243902439024,0.8649687650168189,0.5766458433445459,2.691013935607881,0.8649687650168189,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4126,10,Division II,iowalakescommunitycollege,Aleksa Ilic,,,,Wing,,,7,1.8,1.3,2.0,3,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,1.0,1.4285714285714286,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2873563218390805,0.3,44.642857142857146,0.02138356774645198,0.3333333333333333,0.22321428571428573,0.0,0.1,0.1,0.5545286506469501,0.5545286506469501,1.1090573012939002,1.2939001848428835,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
