MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
240,1,Division II,jamestowncommunitycollege,Federico Foddai,,,,Wing,,,10,3.455,4.4,2.3,3,14.0,6.3,4.2,1.2,0.7,0.0,0.9,10.3,5.9,2.6,2.5,3.8,0.611674239776302,0.5825242718446602,110.72445428661815,0.14420620437956205,3.5,0.09490667510281557,0.4406779661016949,0.5728155339805825,0.2524271844660194,1.5779092702169626,0.9204470742932281,8.284023668639053,1.183431952662722,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
471,2,Division II,jamestowncommunitycollege,Marcus Wynter,,,,Wing,,,12,3.205,2.85,3.8,3,14.916666666666666,4.416666666666667,5.583333333333333,2.8333333333333335,2.5833333333333335,0.16666666666666666,1.5833333333333333,11.75,4.166666666666667,4.666666666666667,1.0,3.4166666666666665,0.5403284230862111,0.4645390070921986,89.66139050290523,0.19184348093480935,1.9705882352941178,0.17030655179322782,0.3,0.3546099290780142,0.3971631205673759,3.746556473829201,3.6363636363636362,5.8402203856749315,2.09366391184573,Average,3,Very Good,4,Poor,1,Very Good,4,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Elite,5,Average,3,Unknown
801,3,Division II,jamestowncommunitycollege,Jodan Wright,,,,Wing,,,12,3.0175,3.0,3.05,3,15.333333333333334,7.416666666666667,3.5833333333333335,2.75,1.0833333333333333,0.25,1.9166666666666667,12.0,4.333333333333333,4.0,1.6666666666666667,5.75,0.5571705426356589,0.5034722222222222,92.87300625883303,0.19038284132841332,1.303030303030303,0.1665657177468201,0.3269230769230769,0.3611111111111111,0.3333333333333333,3.6363636363636362,1.7630853994490359,9.807162534435262,2.534435261707989,Average,3,Very Good,4,Poor,1,Average,3,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Average,3,Unknown
1020,4,Division II,jamestowncommunitycollege,Justin Suarez,,,,Wing,,,12,2.9000000000000004,3.5,2.0,3,7.333333333333333,2.0,0.6666666666666666,0.5833333333333334,0.16666666666666666,0.25,1.25,5.75,0.75,0.5833333333333334,0.8333333333333334,1.1666666666666667,0.6104328523862376,0.6086956521739131,111.27971674253921,0.07599169741697417,1.1428571428571428,0.0885179564997471,0.4444444444444444,0.13043478260869565,0.10144927536231885,0.7713498622589532,0.5509641873278237,2.644628099173554,1.6528925619834711,Elite,5,Poor,1,Very Good,4,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1325,5,Division II,jamestowncommunitycollege,Gabriel Mastrosimone,,,,Wing,,,10,2.7749999999999995,3.2499999999999996,2.0,3,0.8,0.9,0.0,0.1,0.3,0.2,1.8,0.4,0.0,0.1,0.2,0.7,0.9009009009009008,1.0,147.05882352941177,0.006313248537740229,0.0,0.1838235294117647,,0.0,0.25,0.13449899125756556,0.6724949562878278,1.21049092131809,2.42098184263618,Elite,5,Poor,1,Elite,5,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1439,6,Division II,jamestowncommunitycollege,Naeem Richardson,,,,Wing,,,12,2.7249999999999996,3.15,2.0,3,8.583333333333334,3.3333333333333335,1.0,1.1666666666666667,0.16666666666666666,0.16666666666666666,1.75,6.583333333333333,2.5833333333333335,1.9166666666666667,0.8333333333333334,2.5,0.5778725314183124,0.5443037974683544,99.88363072148952,0.0990928659286593,0.8571428571428571,0.13576415826221877,0.3870967741935484,0.3924050632911392,0.2911392405063291,1.5426997245179064,0.44077134986225897,4.40771349862259,2.3140495867768593,Very Good,4,Poor,1,Below Average,2,Below Average,2,Very Good,4,Elite,5,Average,3,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1485,7,Division II,jamestowncommunitycollege,Jack Lundberg,,,,Wing,,,6,2.7,3.1,2.0,3,1.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,114.28571428571429,0.01348955523009327,0.0,0.14285714285714285,0.5,0.6666666666666666,0.0,0.22026431718061673,0.0,0.22026431718061673,0.22026431718061673,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1673,8,Division II,jamestowncommunitycollege,Gabriel Collins,,,,Wing,,,12,2.63,2.75,2.3,3,11.75,6.333333333333333,0.9166666666666666,1.6666666666666667,0.5,0.08333333333333333,2.0833333333333335,9.666666666666666,2.3333333333333335,1.6666666666666667,2.3333333333333335,4.0,0.5649038461538461,0.5517241379310345,97.3756906077348,0.13914514145141454,0.55,0.13812154696132595,0.35714285714285715,0.2413793103448276,0.1724137931034483,2.203856749311295,0.7713498622589532,8.37465564738292,2.7548209366391183,Average,3,Below Average,2,Below Average,2,Poor,1,Very Good,4,Very Good,4,Average,3,Average,3,Average,3,Very Good,4,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2602,9,Division II,jamestowncommunitycollege,Pietro Magni,,,,Wing,,,12,2.325,2.35,2.0,3,4.0,1.5,1.0,0.9166666666666666,0.6666666666666666,0.0,1.4166666666666667,3.25,1.9166666666666667,1.0,0.5,1.0,0.5420054200542005,0.5256410256410257,86.83068017366136,0.053121156211562125,1.0909090909090908,0.19898697539797394,0.30434782608695654,0.5897435897435898,0.3076923076923077,1.2121212121212122,0.8815426997245179,1.9834710743801653,1.8732782369146006,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3029,10,Division II,jamestowncommunitycollege,Aidan Penchion,,,,Wing,,,12,2.2,1.75,2.5,3,5.666666666666667,5.333333333333333,0.75,1.4166666666666667,0.25,1.0,2.5,5.166666666666667,0.75,2.8333333333333335,2.4166666666666665,2.9166666666666665,0.44178794178794173,0.41935483870967744,72.37122179650915,0.09029059040590408,0.5294117647058824,0.18092805449127286,0.2222222222222222,0.14516129032258066,0.5483870967741935,1.8732782369146006,1.6528925619834711,7.0523415977961434,3.3057851239669422,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
