MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
912,1,Division II,jeffersoncollege,Logan Schaupert,,,,Wing,,,19,3.0150000000000006,3.1000000000000005,2.9000000000000004,3,13.105263157894736,3.8947368421052633,2.8421052631578947,2.5789473684210527,1.631578947368421,0.3684210526315789,1.631578947368421,9.736842105263158,3.8947368421052633,3.210526315789474,0.5789473684210527,3.3157894736842106,0.5877077039274924,0.5378378378378378,95.46081889280784,0.15632641319461094,1.1020408163265305,0.18785462352399937,0.3108108108108108,0.4,0.32972972972972975,3.2162783065310143,2.494256645881195,4.857236626189695,2.034788316376764,Very Good,4,Average,3,Below Average,2,Average,3,Below Average,2,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1215,2,Division II,jeffersoncollege,Willie Griggs,,,,Wing,,,18,2.88,2.2,3.8,3,6.166666666666667,5.444444444444445,1.0,1.1666666666666667,0.6666666666666666,1.9444444444444444,1.9444444444444444,4.944444444444445,0.16666666666666666,2.111111111111111,1.8333333333333333,3.611111111111111,0.5249716231555052,0.5393258426966292,87.59469696969697,0.07982663911706898,0.8571428571428571,0.16571969696969696,0.0,0.033707865168539325,0.42696629213483145,1.4492753623188406,3.243616287094548,6.763285024154589,2.4154589371980677,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1679,3,Division II,jeffersoncollege,Ethan Smith,,,,Wing,,,16,2.7,3.1000000000000005,2.0,3,11.0,2.3125,2.5625,1.8125,1.0625,0.0,1.6875,9.0,4.125,0.8125,0.5,1.8125,0.5877638258081752,0.5798611111111112,98.47806624888094,0.12531553261906098,1.4137931034482758,0.16226499552372425,0.4090909090909091,0.4583333333333333,0.09027777777777778,2.23162754905733,1.3081954597922278,2.847248941900731,2.0777222008464795,Very Good,4,Below Average,2,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2713,4,Division II,jeffersoncollege,Evin Pleas,,,,Wing,,,12,2.375,2.45,2.0,3,6.333333333333333,2.4166666666666665,0.9166666666666666,1.5833333333333333,0.3333333333333333,0.3333333333333333,1.25,4.666666666666667,1.0,0.75,0.3333333333333333,2.0833333333333335,0.6337558372248165,0.6160714285714286,96.25126646403241,0.07488903220911265,0.5789473684210527,0.24062816616008104,0.5833333333333334,0.21428571428571427,0.16071428571428573,1.959773078906653,0.8251676121712223,2.9912325941206808,1.5471892728210417,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2810,5,Division II,jeffersoncollege,Ro'Ziah Scott-Bates,,,,Wing,,,17,2.3499999999999996,2.4,2.0,3,10.294117647058824,2.7058823529411766,1.4705882352941178,1.8235294117647058,0.7647058823529411,0.11764705882352941,2.0,9.294117647058824,5.235294117647059,2.2941176470588234,0.23529411764705882,2.4705882352941178,0.4995432747202558,0.47151898734177217,84.88552580519985,0.13814361146104157,0.8064516129032258,0.1503686457120683,0.3258426966292135,0.5632911392405063,0.2468354430379747,2.2702306847308678,1.0984987184181618,3.36872940314903,2.4899304284145,Below Average,2,Below Average,2,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3536,6,Division II,jeffersoncollege,Darwin Dalmacy,,,,Wing,,,16,2.15,2.0,2.0,3,3.125,1.5625,1.625,2.25,0.75,0.125,0.9375,2.1875,0.125,1.3125,0.375,1.1875,0.5650994575045207,0.5,62.31306081754735,0.0565867418899859,0.7222222222222222,0.44865403788634095,0.5,0.05714285714285714,0.6,2.7820710973724885,1.0819165378670788,1.9319938176197837,1.1591962905718702,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3651,7,Division II,jeffersoncollege,Jaden Grosse,,,,Wing,,,14,2.125,1.9500000000000002,2.0,3,7.857142857142857,1.3571428571428572,0.42857142857142855,1.1428571428571428,0.5,0.07142857142857142,0.21428571428571427,7.428571428571429,2.642857142857143,2.2857142857142856,0.5714285714285714,0.7857142857142857,0.4657859078590786,0.40865384615384615,82.04057279236278,0.10835623080652981,0.375,0.11933174224343678,0.24324324324324326,0.3557692307692308,0.3076923076923077,1.4109347442680775,0.7054673721340388,1.6754850088183422,0.26455026455026454,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4183,8,Division II,jeffersoncollege,Isaiah Holder,,,,Wing,,,16,1.95,1.6,2.0,3,2.6875,2.3125,0.3125,0.8125,0.25,0.1875,1.3125,2.8125,0.4375,0.875,0.875,1.4375,0.4202501954652072,0.43333333333333335,67.01995012468828,0.045296659230182716,0.38461538461538464,0.20261845386533667,0.14285714285714285,0.15555555555555556,0.3111111111111111,1.0050251256281406,0.5411673753382296,2.8604561267877853,1.623502126014689,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4231,9,Division II,jeffersoncollege,Peter Wanjiru,,,,Wing,,,10,1.95,1.6,2.0,3,1.4,0.5,0.2,0.6,0.5,0.0,0.7,1.1,0.1,1.0,0.4,0.1,0.45454545454545453,0.36363636363636365,65.42056074766356,0.023292263485567503,0.3333333333333333,0.28037383177570097,0.0,0.09090909090909091,0.9090909090909091,0.7138607971445569,0.594883997620464,0.594883997620464,0.8328375966686496,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4325,10,Division II,jeffersoncollege,Cortez Johnson,,,,Wing,,,17,1.9249999999999998,1.5499999999999998,2.0,3,5.882352941176471,3.8823529411764706,0.9411764705882353,1.6470588235294117,1.0,0.058823529411764705,2.3529411764705883,6.294117647058823,2.1176470588235294,1.8235294117647058,1.0,2.8823529411764706,0.41445623342175064,0.3644859813084112,67.27664155005382,0.09897456385670528,0.5714285714285714,0.18837459634015072,0.2222222222222222,0.3364485981308411,0.2897196261682243,2.0423048869438367,1.312910284463895,4.814004376367615,2.917578409919767,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
