MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
75,1,Division II,johnsoncountycommunitycollege,Tavian Cruse,21,So,F,Wing,6'5,225,18,3.8225,4.4,3.35,3,13.777777777777779,9.444444444444445,1.1111111111111112,0.7222222222222222,0.8333333333333334,0.5,1.8888888888888888,9.5,2.1666666666666665,2.2222222222222223,2.7777777777777777,6.666666666666667,0.6574761399787911,0.6374269005847953,123.01587301587301,0.1247216035634744,1.5384615384615385,0.06448412698412699,0.46153846153846156,0.22807017543859648,0.23391812865497075,0.9226401703335699,1.7033356990773598,12.065294535131299,2.41305890702626,Elite,5,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Elite,5,Below Average,2,Very Good,4,Elite,5,Elite,5,Average
185,2,Division II,johnsoncountycommunitycollege,Aidan Wing,5,So,G,Guard,6'4,200,17,3.5750000000000006,4.000000000000001,2.5,5,16.58823529411765,5.764705882352941,2.176470588235294,1.1764705882352942,0.7647058823529411,0.4117647058823529,1.2352941176470589,11.235294117647058,2.5294117647058822,3.823529411764706,2.1176470588235294,3.6470588235294117,0.6420765027322405,0.599476439790576,117.69616026711185,0.1559408518171405,1.85,0.08347245409015025,0.3488372093023256,0.225130890052356,0.3403141361256545,1.4947683109118086,1.4947683109118086,7.324364723467863,1.5695067264573992,Elite,5,Below Average,2,Elite,5,Average,3,Elite,5,Average,3,Average,3,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Elite,5,Elite,5,Elite
342,3,Division II,johnsoncountycommunitycollege,Bryce Walker,13,Fr,F,Wing,6'6,195,14,3.3825000000000003,3.85,2.45,4,8.571428571428571,5.0,1.0,0.7857142857142857,0.6428571428571429,0.6428571428571429,1.7142857142857142,6.0,0.9285714285714286,2.5714285714285716,1.9285714285714286,3.0714285714285716,0.6009615384615384,0.5297619047619048,108.26416456153014,0.0877315181256926,1.2727272727272727,0.09924215084806928,0.23076923076923078,0.15476190476190477,0.42857142857142855,1.0050251256281406,1.6445865692096848,6.395614435815441,2.1927820922795798,Elite,5,Poor,1,Very Good,4,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
674,4,Division II,johnsoncountycommunitycollege,Gavin Harvey,2,So,G,Guard,5'11,170,18,3.1425000000000005,3.95,2.2,2,11.38888888888889,2.0,6.0,1.5555555555555556,1.1666666666666667,0.0,1.0555555555555556,8.777777777777779,3.0,1.6111111111111112,0.2222222222222222,1.7777777777777777,0.6002576715858515,0.5917721518987342,103.13946468102235,0.12296461271962388,3.857142857142857,0.1408734151740793,0.42592592592592593,0.34177215189873417,0.18354430379746836,1.98722498225692,1.4904187366926898,2.55500354861604,1.34847409510291,Elite,5,Poor,1,Average,3,Elite,5,Very Good,4,Elite,5,Average,3,Very Good,4,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Below Average
762,5,Division II,johnsoncountycommunitycollege,Joey Robinson,1,So,G,Guard,6'3,200,18,3.0900000000000003,2.6000000000000005,3.6,4,10.444444444444445,6.611111111111111,3.0,1.5,1.7222222222222223,0.2222222222222222,1.0555555555555556,9.38888888888889,4.722222222222222,1.2777777777777777,1.7777777777777777,4.833333333333333,0.5247878517195176,0.5118343195266272,91.20900446341936,0.12751794110368725,2.0,0.13099165534640014,0.27058823529411763,0.5029585798816568,0.13609467455621302,1.9162526614620299,2.48403122782115,8.445706174591908,1.34847409510291,Average,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Poor,1,Very Good,4,Elite,5,Below Average,2,Average,3,Average,3,Average,3,Elite,5,Elite,5,Very Good
799,6,Division II,johnsoncountycommunitycollege,Trey Fulcher,3,Fr,G,Guard,6'2,190,18,3.0725,2.9499999999999997,3.0,4,10.055555555555555,3.8333333333333335,1.7777777777777777,1.5,1.5555555555555556,0.2777777777777778,2.5,7.222222222222222,1.2222222222222223,2.2222222222222223,0.5555555555555556,3.2777777777777777,0.6131436314363143,0.6076923076923076,103.66552119129439,0.10801781737193766,1.1851851851851851,0.15463917525773196,0.36363636363636365,0.16923076923076924,0.3076923076923077,1.9162526614620299,2.34208658623137,4.897090134847409,3.1937544357700496,Elite,5,Poor,1,Average,3,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Very Good,4,Elite,5,Very Good
828,7,Division II,johnsoncountycommunitycollege,Aziz Jagne,4,So,F,Wing,6'7,175,9,3.0500000000000003,3.5,2.0,4,5.111111111111111,2.6666666666666665,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.3333333333333333,1.0,3.6666666666666665,0.3333333333333333,1.7777777777777777,1.1111111111111112,1.5555555555555556,0.5744255744255744,0.5454545454545454,106.87732342007435,0.053298989498712104,1.6666666666666667,0.06970260223048327,0.0,0.09090909090909091,0.48484848484848486,0.42796005706134094,1.1412268188302426,3.4236804564907275,1.2838801711840229,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
931,8,Division II,johnsoncountycommunitycollege,Avian Webb,11,Fr,G,Guard,5'11,160,10,3.005000000000001,3.3500000000000005,2.75,2,14.9,2.8,2.2,2.0,1.5,0.0,1.3,11.8,7.0,1.2,0.5,2.3,0.604315379623621,0.5805084745762712,103.99218313791178,0.16103942813469405,1.1,0.13958682300390843,0.32857142857142857,0.5932203389830508,0.1016949152542373,2.5756600128783003,1.931745009658725,3.60592401802962,1.674179008370895,Elite,5,Below Average,2,Average,3,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Below Average
2164,9,Division II,johnsoncountycommunitycollege,Jordan Mason,10,Fr,G,Guard,6'0,170,11,2.5275,2.65,2.2,3,5.363636363636363,1.7272727272727273,0.8181818181818182,0.6363636363636364,1.0,0.09090909090909091,0.9090909090909091,4.181818181818182,1.6363636363636365,1.4545454545454546,0.6363636363636364,1.0909090909090908,0.556184012066365,0.4891304347826087,98.2678214523651,0.059061934366884394,1.2857142857142858,0.11658894070619587,0.2777777777777778,0.391304347826087,0.34782608695652173,0.8083140877598153,1.3856812933025404,2.1939953810623556,1.1547344110854503,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Average
2210,10,Division II,johnsoncountycommunitycollege,Max Johnson,12,Fr,G,Guard,6'2,170,13,2.5175,2.45,2.2,4,1.8461538461538463,1.6153846153846154,1.3846153846153846,0.38461538461538464,0.6923076923076923,0.23076923076923078,1.1538461538461537,2.4615384615384617,0.7692307692307693,0.0,0.3076923076923077,1.3076923076923077,0.375,0.375,64.86486486486487,0.03126373069253389,3.6,0.13513513513513514,0.2,0.3125,0.0,0.48851978505129456,1.172447484123107,2.0517830972154374,1.4655593551538837,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
