MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1419,1,Division II,johnwoodcommunitycollege,Josh Thomas,,,,Wing,,,10,2.8,3.3,2.0,3,5.4,0.9,0.6,0.8,0.7,0.3,1.4,3.8,2.5,0.7,0.2,0.7,0.6572541382667966,0.6447368421052632,110.02444987775061,0.05703262991540393,0.75,0.16299918500407498,0.36,0.6578947368421053,0.18421052631578946,1.0491803278688525,1.3114754098360655,1.180327868852459,1.8360655737704918,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Very Good,4,Average,3,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2139,2,Division II,johnwoodcommunitycollege,Nikola Radovic,,,,Wing,,,15,2.5374999999999996,2.25,2.75,3,9.133333333333333,5.933333333333334,1.4,1.7333333333333334,1.0,0.06666666666666667,2.2,8.466666666666667,3.466666666666667,1.5333333333333334,2.2666666666666666,3.6666666666666665,0.49956242707117854,0.4921259842519685,83.98724865129965,0.12754112716582225,0.8076923076923077,0.15939185875429132,0.3269230769230769,0.4094488188976378,0.18110236220472442,2.2787028921998247,1.4022787028922,7.800175284837861,2.892199824715162,Below Average,2,Below Average,2,Poor,1,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Average,3,Average,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
2196,3,Division II,johnwoodcommunitycollege,Isaiah Bannister,,,,Wing,,,17,2.5250000000000004,2.4000000000000004,2.5,3,10.352941176470589,6.352941176470588,1.1176470588235294,2.2941176470588234,1.1176470588235294,0.058823529411764705,2.6470588235294117,8.352941176470589,3.588235294117647,2.9411764705882355,0.8823529411764706,5.470588235294118,0.5365853658536586,0.4823943661971831,86.69950738916256,0.14042223513461166,0.48717948717948717,0.1921182266009852,0.3114754098360656,0.4295774647887324,0.352112676056338,3.029126213592233,1.5533980582524272,8.388349514563107,3.495145631067961,Average,3,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Very Good,4,Elite,5,Elite,5,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Unknown
2200,4,Division II,johnwoodcommunitycollege,Hans Dorlues,,,,Wing,,,17,2.5225,2.8499999999999996,1.8499999999999999,3,10.294117647058824,7.352941176470588,0.5294117647058824,2.0,0.47058823529411764,0.5882352941176471,3.7058823529411766,6.352941176470588,0.29411764705882354,4.470588235294118,2.9411764705882355,4.411764705882353,0.6186368778280543,0.5555555555555556,99.74920200638395,0.12135801444342989,0.2647058823529412,0.1937984496124031,0.0,0.046296296296296294,0.7037037037037037,2.6407766990291264,1.3980582524271845,9.70873786407767,4.893203883495145,Elite,5,Below Average,2,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Unknown
2385,5,Division II,johnwoodcommunitycollege,Nikos Connaway,,,,Wing,,,13,2.4725,1.7000000000000002,3.35,3,6.230769230769231,2.769230769230769,2.6923076923076925,1.9230769230769231,1.7692307692307692,0.3076923076923077,1.3076923076923077,5.538461538461538,2.0,2.076923076923077,0.46153846153846156,2.3076923076923075,0.4828326180257511,0.4375,74.39382806759735,0.09920909720450485,1.4,0.22961058045554741,0.19230769230769232,0.3611111111111111,0.375,2.5484199796126403,2.7522935779816513,3.669724770642202,1.7329255861365953,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
2778,6,Division II,johnwoodcommunitycollege,Nick Moore,,,,Wing,,,13,2.35,2.4000000000000004,2.0,3,5.769230769230769,1.9230769230769231,2.3846153846153846,0.9230769230769231,0.38461538461538464,0.0,1.3846153846153846,6.923076923076923,4.230769230769231,1.3076923076923077,0.6923076923076923,1.2307692307692308,0.3846942962659007,0.3611111111111111,68.50566313481914,0.09919541896201797,2.5833333333333335,0.10960906101571063,0.23636363636363636,0.6111111111111112,0.18888888888888888,1.2151898734177216,0.5063291139240507,2.5316455696202533,1.8227848101265822,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4038,7,Division II,johnwoodcommunitycollege,Nuer Beijiek,,,,Wing,,,8,2.025,1.75,2.0,3,1.625,1.25,0.25,0.375,0.375,0.375,0.625,2.375,2.125,0.0,0.5,0.75,0.34210526315789475,0.34210526315789475,59.09090909090909,0.0318287037037037,0.6666666666666666,0.13636363636363635,0.17647058823529413,0.8947368421052632,0.0,0.477326968973747,0.954653937947494,1.5910898965791567,0.7955449482895783,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4060,8,Division II,johnwoodcommunitycollege,Semaj Washington,,,,Wing,,,15,2.0,1.7000000000000002,2.0,3,9.0,1.8666666666666667,2.2,2.6,0.7333333333333333,0.06666666666666667,2.0,8.4,2.8,3.8,0.26666666666666666,1.6,0.4467831612390786,0.3611111111111111,71.02272727272727,0.14979667748951866,0.8461538461538461,0.20517676767676765,0.11904761904761904,0.3333333333333333,0.4523809523809524,3.4225537516454585,1.0530934620447565,2.457218078104432,2.6327336551118914,Poor,1,Below Average,2,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Unknown
4170,9,Division II,johnwoodcommunitycollege,Landon Bull,,,,Wing,,,13,1.9625000000000001,1.8000000000000003,1.75,3,6.615384615384615,1.9230769230769231,0.6153846153846154,1.6153846153846154,0.38461538461538464,0.0,2.4615384615384617,5.538461538461538,2.4615384615384617,2.0,0.8461538461538461,1.0769230769230769,0.5153403643336529,0.4930555555555556,82.34392952891612,0.09320672544889873,0.38095238095238093,0.20107238605898123,0.28125,0.4444444444444444,0.3611111111111111,2.093718843469591,0.4985044865403789,2.4925224327018944,3.1904287138584246,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
4330,10,Division II,johnwoodcommunitycollege,Henry Arthur,,,,Wing,,,9,1.9124999999999999,1.7000000000000002,1.75,3,4.444444444444445,4.111111111111111,0.5555555555555556,1.1111111111111112,0.5555555555555556,0.4444444444444444,2.4444444444444446,3.888888888888889,0.0,1.1111111111111112,1.3333333333333333,2.7777777777777777,0.5076142131979695,0.5142857142857142,80.97165991902834,0.0634472129463139,0.5,0.20242914979757085,,0.0,0.2857142857142857,1.4598540145985401,1.313868613138686,5.401459854014599,3.2116788321167884,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
