MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
414,1,Division II,kalamazoovalleycommunitycollege,Josiah King,,,,Wing,,,9,3.3225,3.75,2.85,3,23.333333333333332,5.777777777777778,2.6666666666666665,3.0,1.1111111111111112,1.1111111111111112,3.2222222222222223,16.77777777777778,6.0,6.666666666666667,0.6666666666666666,5.111111111111111,0.5918827508455468,0.5463576158940397,102.73972602739725,0.24238687031590928,0.8888888888888888,0.13209393346379647,0.3148148148148148,0.3576158940397351,0.3973509933774834,3.524804177545692,2.6109660574412534,6.788511749347259,3.7859007832898173,Very Good,4,Elite,5,Average,3,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Average,3,Average,3,Unknown
425,2,Division II,kalamazoovalleycommunitycollege,Matt Swanwick,,,,Wing,,,12,3.3125,3.8000000000000007,2.75,3,12.25,5.666666666666667,1.6666666666666667,0.9166666666666666,1.0833333333333333,0.4166666666666667,1.8333333333333333,9.25,1.9166666666666667,1.9166666666666667,1.5833333333333333,4.083333333333333,0.6068361955085865,0.5990990990990991,111.26248864668483,0.11966524164915585,1.8181818181818181,0.08325764456554648,0.391304347826087,0.2072072072072072,0.2072072072072072,1.112797167425392,1.8209408194233687,6.87910976226606,2.225594334850784,Elite,5,Poor,1,Very Good,4,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Average,3,Average,3,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
1123,3,Division II,kalamazoovalleycommunitycollege,Lebron Campbell,,,,Wing,,,12,2.91,2.7500000000000004,3.1,3,15.166666666666666,3.3333333333333335,3.5833333333333335,3.25,2.4166666666666665,0.08333333333333333,2.5,12.0,4.0,5.166666666666667,1.3333333333333333,2.0,0.5312937879495563,0.4861111111111111,86.55126498002663,0.19045721324541698,1.1025641025641026,0.18546699638577135,0.2916666666666667,0.3333333333333333,0.4305555555555556,3.945371775417299,3.0349013657056148,4.046535154274153,3.0349013657056148,Average,3,Very Good,4,Poor,1,Average,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Below Average,2,Very Good,4,Poor,1,Very Good,4,Average,3,Unknown
1369,4,Division II,kalamazoovalleycommunitycollege,Jaremiah Palmer-Kirtdoll,,,,Wing,,,11,2.8049999999999997,2.0500000000000003,3.8,3,6.363636363636363,5.181818181818182,3.0,1.7272727272727273,2.4545454545454546,0.45454545454545453,2.090909090909091,5.7272727272727275,1.0909090909090908,1.5454545454545454,1.4545454545454546,3.727272727272727,0.4965947786606129,0.46825396825396826,78.22977201609298,0.08929070370813874,1.736842105263158,0.21233795261510952,0.25,0.19047619047619047,0.2698412698412698,2.11463550361714,3.561491374513077,6.343906510851419,2.559821925431274,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Below Average,2,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1503,5,Division II,kalamazoovalleycommunitycollege,Brody Schimpa,,,,Wing,,,12,2.7575000000000003,2.5500000000000003,2.95,3,11.583333333333334,6.083333333333333,0.5833333333333334,1.5833333333333333,1.5833333333333333,0.16666666666666666,2.6666666666666665,10.083333333333334,6.416666666666667,1.3333333333333333,1.0833333333333333,5.0,0.5427991252733521,0.5247933884297521,94.53210010881394,0.13317875516266933,0.3684210526315789,0.1292165397170838,0.35064935064935066,0.6363636363636364,0.1322314049586777,1.9221041982802225,2.12443095599393,7.384926656550329,3.2372281234193223,Average,3,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Average,3,Below Average,2,Very Good,4,Elite,5,Unknown
1612,6,Division II,kalamazoovalleycommunitycollege,Montgomery Holland,,,,Wing,,,6,2.7249999999999996,3.1499999999999995,2.0,3,4.166666666666667,1.8333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.8333333333333334,2.3333333333333335,0.6666666666666666,1.5,0.5,1.3333333333333333,0.6959910913140311,0.7142857142857143,113.84335154826958,0.040829986613119144,0.75,0.18214936247723132,0.5,0.2857142857142857,0.6428571428571429,0.8247422680412371,0.6185567010309279,2.268041237113402,1.0309278350515463,Elite,5,Poor,1,Very Good,4,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3425,7,Division II,kalamazoovalleycommunitycollege,Tyler Stokes,,,,Wing,,,9,2.1500000000000004,2.0000000000000004,2.0,3,3.5555555555555554,0.7777777777777778,0.2222222222222222,0.8888888888888888,0.5555555555555556,0.0,0.5555555555555556,2.888888888888889,2.3333333333333335,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.5856515373352855,0.5576923076923077,90.60022650056625,0.04234808882068006,0.25,0.22650056625141562,0.3333333333333333,0.8076923076923077,0.11538461538461539,1.087695445275323,0.6798096532970768,0.9517335146159075,0.6798096532970768,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3546,8,Division II,kalamazoovalleycommunitycollege,Jamier Palmer-Kirtdoll,,,,Wing,,,12,2.125,1.9500000000000002,2.0,3,3.5833333333333335,1.9166666666666667,1.9166666666666667,1.0833333333333333,0.5833333333333334,0.0,1.4166666666666667,3.3333333333333335,1.4166666666666667,1.0,0.5,1.4166666666666667,0.4748233215547703,0.4375,73.78174330816746,0.052786029997826237,1.7692307692307692,0.2230610844200412,0.4117647058823529,0.425,0.3,1.3151239251390996,0.7081436519979767,2.3267577137076376,1.719777440566515,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3737,9,Division II,kalamazoovalleycommunitycollege,Louis Di Grandi,,,,Wing,,,12,2.075,1.85,2.0,3,3.0833333333333335,1.4166666666666667,0.8333333333333334,1.25,0.8333333333333334,0.08333333333333333,1.25,2.25,1.1666666666666667,1.5833333333333333,0.5,0.9166666666666666,0.5231900452488688,0.42592592592592593,73.47100873709293,0.04561263676545177,0.6666666666666666,0.2978554408260524,0.35714285714285715,0.5185185185185185,0.7037037037037037,1.5174506828528074,1.112797167425392,1.719777440566515,1.5174506828528074,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3961,10,Division II,kalamazoovalleycommunitycollege,Byron Linely,,,,Wing,,,12,2.0,1.7000000000000002,2.0,3,3.75,1.75,1.75,1.1666666666666667,0.8333333333333334,0.16666666666666666,1.8333333333333333,3.9166666666666665,2.4166666666666665,0.9166666666666666,0.6666666666666666,1.0833333333333333,0.43402777777777773,0.40425531914893614,68.34750911300121,0.05963335990145641,1.5,0.212636695018226,0.27586206896551724,0.6170212765957447,0.23404255319148937,1.4162873039959534,1.2139605462822458,2.12443095599393,2.225594334850784,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4098,11,Division II,kalamazoovalleycommunitycollege,Matt Anders,,,,Wing,,,12,1.95,1.6,2.0,3,1.8333333333333333,2.6666666666666665,0.25,0.8333333333333334,0.25,0.16666666666666666,2.1666666666666665,1.9166666666666667,0.0,0.5833333333333334,0.4166666666666667,2.25,0.4217791411042945,0.391304347826087,60.97560975609756,0.032678791391928114,0.3,0.2771618625277162,,0.0,0.30434782608695654,1.0116337885685383,0.5058168942842691,3.2372281234193223,2.630247850278199,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
