MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
619,1,Division II,kansascitykansascommunitycollege,Anthony Leonard,,,,Wing,,,17,3.165,3.4,2.9000000000000004,3,16.823529411764707,3.823529411764706,1.9411764705882353,1.7647058823529411,1.588235294117647,0.11764705882352941,1.0,13.941176470588236,4.411764705882353,4.0,0.7058823529411765,3.1176470588235294,0.535741046006294,0.4957805907172996,96.32224168126093,0.21323106974606462,1.1,0.1010373164488751,0.3333333333333333,0.31645569620253167,0.2869198312236287,2.449979583503471,2.3683135973866882,5.308289097590853,1.3883217639853,Average,3,Very Good,4,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1461,2,Division II,kansascitykansascommunitycollege,Kamoni Ford,,,,Wing,,,17,2.7750000000000004,3.25,2.0,3,8.588235294117647,3.8823529411764706,0.29411764705882354,0.9411764705882353,0.5294117647058824,0.29411764705882354,2.0588235294117645,6.705882352941177,4.529411764705882,1.411764705882353,1.0,2.8823529411764706,0.5860629415542711,0.5745614035087719,103.87023335230506,0.10094220383775711,0.3125,0.11383039271485486,0.37662337662337664,0.6754385964912281,0.21052631578947367,1.3066557778685177,1.143323805634953,5.389955083707636,2.8583095140873827,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2060,3,Division II,kansascitykansascommunitycollege,Malik Lewis,,,,Wing,,,17,2.55,3.15,1.5,3,10.176470588235293,3.411764705882353,1.1764705882352942,1.7647058823529411,0.8823529411764706,0.11764705882352941,3.1176470588235294,6.470588235294118,2.411764705882353,2.7058823529411766,1.411764705882353,2.0,0.6641584766584766,0.6363636363636364,107.96305541687468,0.11507526140411355,0.6666666666666666,0.18721917124313528,0.34146341463414637,0.37272727272727274,0.41818181818181815,2.449979583503471,1.3883217639853,4.7366271947733765,4.328297264189465,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Average,3,Elite,5,Unknown
2201,4,Division II,kansascitykansascommunitycollege,Rieal Acin,,,,Wing,,,15,2.5,2.7,2.0,3,3.6666666666666665,1.8666666666666667,0.2,0.6,0.4,0.4666666666666667,1.1333333333333333,2.8,2.0,1.0,0.13333333333333333,1.7333333333333334,0.565843621399177,0.5119047619047619,95.48611111111111,0.04689331770222745,0.3333333333333333,0.15625,0.36666666666666664,0.7142857142857143,0.35714285714285715,0.8317929759704251,1.201478743068392,2.587800369685767,1.5711645101663585,Average,3,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2684,5,Division II,kansascitykansascommunitycollege,Darren McHenry,,,,Wing,,,13,2.3575,2.1,2.45,3,4.3076923076923075,4.461538461538462,0.6153846153846154,0.6923076923076923,1.1538461538461537,0.0,2.076923076923077,3.769230769230769,0.07692307692307693,0.9230769230769231,1.4615384615384615,3.0,0.5158437730287398,0.4897959183673469,88.49557522123894,0.05747711088504579,0.8888888888888888,0.14222503160556257,0.0,0.02040816326530612,0.24489795918367346,0.9278350515463918,1.5463917525773196,5.979381443298969,2.783505154639175,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2713,6,Division II,kansascitykansascommunitycollege,Ta'Veaion Washington,,,,Wing,,,11,2.35,2.4000000000000004,2.0,3,6.636363636363637,4.636363636363637,1.7272727272727273,1.4545454545454546,0.9090909090909091,0.0,1.0,4.909090909090909,1.7272727272727273,2.272727272727273,2.272727272727273,2.3636363636363638,0.5615384615384615,0.49074074074074076,90.12345679012346,0.08773830155979205,1.1875,0.19753086419753085,0.3684210526315789,0.35185185185185186,0.46296296296296297,1.9838809671419715,1.2399256044637321,6.3236205827650345,1.3639181649101053,Average,3,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3074,7,Division II,kansascitykansascommunitycollege,Matthew Williams,,,,Wing,,,12,2.25,2.2,2.0,3,2.75,3.0833333333333335,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.25,1.5,1.8333333333333333,0.3333333333333333,1.0833333333333333,1.1666666666666667,1.9166666666666667,0.5952380952380952,0.5454545454545454,92.38521836506159,0.03644897959183673,0.5,0.22396416573348266,0.5,0.18181818181818182,0.5909090909090909,0.9411764705882353,0.5882352941176471,4.352941176470588,2.1176470588235294,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3224,8,Division II,kansascitykansascommunitycollege,Andrew Tiemeyer,,,,Wing,,,15,2.2074999999999996,1.7999999999999998,2.45,3,5.333333333333333,4.133333333333334,1.4,1.5333333333333334,1.2,0.13333333333333333,1.8666666666666667,5.0,2.2,1.8,1.3333333333333333,2.8,0.46040515653775327,0.43333333333333335,72.8066982162359,0.08781127129750985,0.9130434782608695,0.2093192573716782,0.3333333333333333,0.44,0.36,2.089009990917348,1.8165304268846503,5.631244323342416,2.5431425976385102,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3306,9,Division II,kansascitykansascommunitycollege,Ali Booker,,,,Wing,,,15,2.1825,1.75,2.45,3,7.133333333333334,2.6,2.2666666666666666,2.1333333333333333,1.2666666666666666,0.2,1.8,6.2,1.0666666666666667,2.7333333333333334,0.6666666666666666,1.9333333333333333,0.4818083573487032,0.3978494623655914,74.80425055928411,0.113845468148101,1.0625,0.2237136465324385,0.25,0.17204301075268819,0.44086021505376344,2.9038112522686026,1.9963702359346642,3.5390199637023594,2.4500907441016335,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3771,10,Division II,kansascitykansascommunitycollege,Ferdinand Agama,,,,Wing,,,14,2.0575,1.5,2.45,3,4.928571428571429,2.7142857142857144,0.35714285714285715,1.9285714285714286,1.2142857142857142,0.21428571428571427,1.7857142857142858,4.928571428571429,0.0,1.1428571428571428,0.7857142857142857,1.9285714285714286,0.4537085744345081,0.43478260869565216,66.96428571428571,0.08720969598483312,0.18518518518518517,0.2620341614906832,,0.0,0.2318840579710145,2.608695652173913,1.932367149758454,3.6714975845410627,2.4154589371980677,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
