MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
223,1,Division II,kelloggcommunitycollege,William Owens,,,,Wing,,,17,3.5275,3.6,3.65,3,10.882352941176471,5.411764705882353,1.1176470588235294,0.8823529411764706,1.6470588235294117,0.47058823529411764,1.8823529411764706,8.058823529411764,2.235294117647059,2.764705882352941,1.2941176470588236,4.117647058823529,0.5866311516996449,0.572992700729927,107.13458420199213,0.11045157988998337,1.2666666666666666,0.08686587908269632,0.34210526315789475,0.2773722627737226,0.34306569343065696,1.1102886750555145,2.6646928201332347,6.809770540340488,2.368615840118431,Very Good,4,Poor,1,Average,3,Average,3,Elite,5,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
758,2,Division II,kelloggcommunitycollege,Anthony Murphy,,,,Wing,,,17,3.0975,2.6,3.85,3,19.058823529411764,10.176470588235293,3.588235294117647,3.176470588235294,1.3529411764705883,0.5882352941176471,2.5294117647058822,16.529411764705884,2.2941176470588234,4.235294117647059,2.823529411764706,7.352941176470588,0.5181015734936676,0.4875444839857651,88.3604232573361,0.23454010489957783,1.1296296296296295,0.14726737209556015,0.3076923076923077,0.1387900355871886,0.25622775800711745,3.997039230199852,2.4426350851221317,12.805329385640267,3.1828275351591415,Below Average,2,Elite,5,Poor,1,Average,3,Average,3,Below Average,2,Average,3,Below Average,2,Very Good,4,Below Average,2,Average,3,Elite,5,Very Good,4,Average,3,Unknown
865,3,Division II,kelloggcommunitycollege,Seydou Keita,,,,Wing,,,14,3.04,3.1500000000000004,2.9000000000000004,3,11.714285714285714,5.214285714285714,0.7142857142857143,1.4285714285714286,1.0,1.0,2.0,8.357142857142858,0.6428571428571429,3.857142857142857,2.7857142857142856,2.4285714285714284,0.5825518613242399,0.5683760683760684,102.01542672306545,0.12566050714442045,0.5,0.1244090569793481,0.3333333333333333,0.07692307692307693,0.46153846153846156,1.8042399639152007,2.525935949481281,6.585475868290483,2.525935949481281,Very Good,4,Below Average,2,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1722,4,Division II,kelloggcommunitycollege,Damion Green-Richardson,,,,Wing,,,15,2.6849999999999996,2.3,3.1,3,8.4,4.266666666666667,0.9333333333333333,1.2,1.6,0.8,2.933333333333333,7.133333333333334,3.6666666666666665,2.1333333333333333,1.5333333333333334,2.7333333333333334,0.5203171456888008,0.4953271028037383,90.59534081104401,0.10074172799443704,0.7777777777777778,0.12942191544434858,0.32727272727272727,0.514018691588785,0.29906542056074764,1.5113350125944585,3.022670025188917,5.373635600335852,3.6943744752308985,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Very Good,4,Elite,5,Very Good,4,Average,3,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
1738,5,Division II,kelloggcommunitycollege,Marvin Schindler,,,,Wing,,,17,2.675,3.0500000000000003,2.0,3,14.235294117647058,4.411764705882353,3.5294117647058822,1.8235294117647058,1.0,0.058823529411764705,0.7058823529411765,12.823529411764707,4.470588235294118,3.5294117647058822,0.9411764705882353,3.4705882352941178,0.4950900163666121,0.4518348623853211,87.8721859114016,0.17615453498784697,1.935483870967742,0.11256354393609297,0.3815789473684211,0.3486238532110092,0.27522935779816515,2.29459659511473,1.3323464100666174,5.5514433752775725,0.8882309400444115,Below Average,2,Average,3,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2992,6,Division II,kelloggcommunitycollege,Kevin Roberts,,,,Wing,,,14,2.3,2.3,2.0,3,4.857142857142857,3.7142857142857144,0.5,0.5714285714285714,0.5714285714285714,0.14285714285714285,1.2857142857142858,4.071428571428571,0.35714285714285715,2.5,1.7142857142857142,2.0,0.46961325966850825,0.4824561403508772,84.57711442786069,0.06328117621131506,0.875,0.09950248756218905,0.2,0.08771929824561403,0.6140350877192983,0.7246376811594203,0.9057971014492754,4.7101449275362315,1.6304347826086956,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3574,7,Division II,kelloggcommunitycollege,Gabriel Burgin,,,,Wing,,,11,2.15,2.0,2.0,3,2.727272727272727,3.909090909090909,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.18181818181818182,1.0,3.1818181818181817,0.0,0.6363636363636364,1.6363636363636365,2.272727272727273,0.39390756302521013,0.37142857142857144,71.29277566539925,0.0420968387354942,0.5,0.09505703422053233,,0.0,0.2,0.46296296296296297,0.6944444444444444,4.976851851851852,1.2731481481481481,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3899,8,Division II,kelloggcommunitycollege,Terrance Meredith,,,,Wing,,,12,2.05,1.8000000000000003,2.0,3,3.75,1.75,0.75,0.9166666666666666,0.6666666666666666,0.0,1.0833333333333333,3.3333333333333335,0.6666666666666666,0.75,0.3333333333333333,1.4166666666666667,0.5118289353958144,0.4625,81.87772925764192,0.05052956751985879,0.8181818181818182,0.20014556040756915,0.125,0.2,0.225,1.1652542372881356,0.847457627118644,2.2245762711864407,1.3771186440677967,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4163,9,Division II,kelloggcommunitycollege,Nicholas Downs,,,,Wing,,,12,1.9749999999999999,1.65,2.0,3,1.9166666666666667,0.6666666666666666,0.3333333333333333,0.5,0.4166666666666667,0.0,1.75,2.6666666666666665,1.75,0.25,0.08333333333333333,0.5833333333333334,0.34513805522208885,0.328125,58.49440488301119,0.03615033833480436,0.6666666666666666,0.1525940996948118,0.14285714285714285,0.65625,0.09375,0.635593220338983,0.5296610169491526,0.847457627118644,2.2245762711864407,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4167,10,Division II,kelloggcommunitycollege,Rylee Carter,,,,Wing,,,11,1.9749999999999999,1.65,2.0,3,3.272727272727273,1.2727272727272727,0.5454545454545454,0.8181818181818182,0.0,0.0,1.1818181818181819,4.0,1.2727272727272727,0.5454545454545454,0.18181818181818182,1.0909090909090908,0.38593481989708406,0.375,64.70165348670021,0.0556578104993598,0.6666666666666666,0.16175413371675054,0.21428571428571427,0.3181818181818182,0.13636363636363635,1.0362694300518134,0.0,1.6119746689694876,1.4968336211859528,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4188,11,Division II,kelloggcommunitycollege,Robert Stewart,,,,Wing,,,15,1.95,1.6,2.0,3,3.066666666666667,2.7333333333333334,0.06666666666666667,1.1333333333333333,0.13333333333333333,0.06666666666666667,2.1333333333333333,2.6666666666666665,0.13333333333333333,1.2,1.0666666666666667,1.6666666666666667,0.4799666110183639,0.425,70.85643869377695,0.047326062868140194,0.058823529411764705,0.2618607516943931,0.0,0.05,0.45,1.4327855035819637,0.2528445006321112,3.455541508638854,2.69700800674252,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4478,12,Division II,kelloggcommunitycollege,Johnpaul Rose,,,,Wing,,,7,1.825,1.35,2.0,3,0.5714285714285714,0.8571428571428571,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855,1.2857142857142858,0.2857142857142857,0.0,0.14285714285714285,0.7142857142857143,0.2222222222222222,0.2222222222222222,36.36363636363637,0.01690747002766677,0.0,0.18181818181818182,0.0,0.2222222222222222,0.0,0.3656307129798903,0.5484460694698354,1.0968921389396709,0.5484460694698354,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
