MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
716,1,Division II,kishwaukeecollege,Ben Larry,,,,Wing,,,13,3.0575,2.45,3.95,3,13.846153846153847,8.076923076923077,2.4615384615384617,2.076923076923077,1.0769230769230769,1.3076923076923077,2.230769230769231,13.384615384615385,4.230769230769231,3.923076923076923,2.3846153846153846,5.6923076923076925,0.4581551618814905,0.4396551724137931,80.55853920515575,0.19307341352136048,1.1851851851851851,0.12083780880773362,0.23636363636363636,0.3160919540229885,0.29310344827586204,2.6959560659011483,3.0953569645531704,10.484273589615576,2.8956565152271594,Poor,1,Very Good,4,Poor,1,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Very Good,4,Poor,1,Very Good,4,Average,3,Elite,5,Very Good,4,Unknown
1013,2,Division II,kishwaukeecollege,Le'Khai Davis,,,,Wing,,,13,2.9050000000000002,2.2500000000000004,3.8,3,6.846153846153846,4.076923076923077,1.1538461538461537,1.0,1.8461538461538463,1.3076923076923077,1.4615384615384615,6.615384615384615,4.923076923076923,0.46153846153846156,1.2307692307692308,2.8461538461538463,0.5020306859205776,0.4941860465116279,87.56395120031483,0.08782662795520532,1.1538461538461537,0.12790240062967337,0.328125,0.7441860465116279,0.06976744186046512,1.2980529206190714,4.093859211183225,5.292061907139291,1.8971542685971043,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Poor,1,Average,3,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1056,3,Division II,kishwaukeecollege,RJ Davitz,,,,Wing,,,10,2.88,2.2,3.8,3,6.5,4.2,0.8,0.9,0.5,2.3,1.4,6.0,1.6,1.2,1.2,3.0,0.49785539215686275,0.45,87.50673128702208,0.08353576248313091,0.8888888888888888,0.12116316639741519,0.25,0.26666666666666666,0.2,1.1583011583011582,3.6036036036036037,5.405405405405405,1.8018018018018018,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Below Average,2,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1604,4,Division II,kishwaukeecollege,Ramsey Bethel,,,,Wing,,,9,2.6550000000000002,1.75,3.8,3,6.222222222222222,3.888888888888889,0.6666666666666666,1.5555555555555556,1.3333333333333333,1.2222222222222223,1.6666666666666667,5.444444444444445,0.3333333333333333,2.4444444444444446,0.8888888888888888,3.0,0.47716428084526247,0.42857142857142855,77.05008255365988,0.08981266373387378,0.42857142857142855,0.19262520638414968,0.0,0.061224489795918366,0.4489795918367347,2.054292002934703,3.374908290535583,5.1357300073367576,2.201027146001467,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1708,5,Division II,kishwaukeecollege,Zaheem Jackson,,,,Wing,,,10,2.615,2.3,2.9000000000000004,3,13.3,4.2,3.5,3.3,1.7,0.0,1.7,11.0,4.3,3.5,1.3,2.9,0.5303030303030303,0.4636363636363636,83.96464646464646,0.1764863178536412,1.0606060606060606,0.20833333333333331,0.27906976744186046,0.39090909090909093,0.3181818181818182,4.299674267100977,2.214983713355049,5.472312703583062,2.214983713355049,Average,3,Average,3,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Average,3,Unknown
2162,6,Division II,kishwaukeecollege,Carron Gibson,,,,Wing,,,12,2.4499999999999997,2.5999999999999996,2.0,3,3.5,0.5,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.0,0.5833333333333334,2.6666666666666665,0.5833333333333334,1.75,0.16666666666666666,0.3333333333333333,0.5092143549951503,0.421875,92.83819628647214,0.04241992348661017,1.25,0.08841732979664013,0.42857142857142855,0.21875,0.65625,0.43787629994526545,0.21893814997263272,0.6568144499178982,0.7662835249042146,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2616,7,Division II,kishwaukeecollege,Sean Ndorongo,,,,Wing,,,9,2.325,2.35,2.0,3,1.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,1.4444444444444444,0.6666666666666666,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.3048780487804878,0.23076923076923078,53.699284009546545,0.021126405485806486,1.5,0.11933174224343678,0.0,0.46153846153846156,0.3076923076923077,0.29390154298310067,0.29390154298310067,0.5878030859662013,0.440852314474651,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2681,8,Division II,kishwaukeecollege,Carson Bahrey,,,,Wing,,,13,2.3,2.3,2.0,3,2.6923076923076925,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.6153846153846154,3.0,2.8461538461538463,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.40322580645161293,0.3333333333333333,77.09251101321586,0.03922991842942072,1.5,0.04405286343612335,0.21621621621621623,0.9487179487179487,0.2564102564102564,0.19970044932601097,0.19970044932601097,0.5991013479780329,0.7988017973040439,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2767,9,Division II,kishwaukeecollege,Arquis Yancey,,,,Wing,,,11,2.275,2.25,2.0,3,5.545454545454546,1.8181818181818181,0.6363636363636364,0.7272727272727273,0.2727272727272727,0.0,1.3636363636363635,5.2727272727272725,4.454545454545454,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.4957737321196359,0.4827586206896552,87.74453394706558,0.0706992637188301,0.875,0.1150747986191024,0.32653061224489793,0.8448275862068966,0.13793103448275862,0.9552238805970149,0.3582089552238806,2.388059701492537,1.791044776119403,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2912,10,Division II,kishwaukeecollege,Gaje Allen,,,,Wing,,,11,2.225,2.1500000000000004,2.0,3,1.9090909090909092,1.3636363636363635,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.45454545454545453,1.5454545454545454,0.0,0.36363636363636365,0.36363636363636365,1.0,0.5597014925373134,0.5294117647058824,92.2671353251318,0.02311786454312762,1.0,0.17574692442882248,,0.0,0.23529411764705882,0.46565774155995343,0.46565774155995343,1.7462165308498254,0.5820721769499418,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
