MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
829,1,Division II,labettecommunitycollege,Zavier Phillips,,,,Wing,,,18,3.05,3.8000000000000003,2.0,3,5.555555555555555,2.7222222222222223,1.0555555555555556,0.6666666666666666,0.8888888888888888,0.0,0.4444444444444444,3.6666666666666665,1.0555555555555556,1.6111111111111112,0.9444444444444444,1.7777777777777777,0.6348400203148806,0.6212121212121212,110.18069634200087,0.05889834908109231,1.5833333333333333,0.13221683561040104,0.42105263157894735,0.2878787878787879,0.4393939393939394,0.8531816565943833,1.1375755421258442,3.483825097760398,0.5687877710629221,Elite,5,Poor,1,Very Good,4,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
968,2,Division II,labettecommunitycollege,Josiah Harris,,,,Wing,,,17,2.99,3.0500000000000007,2.9000000000000004,3,12.588235294117647,5.117647058823529,1.9411764705882353,1.1764705882352942,1.8823529411764706,0.058823529411764705,2.2941176470588234,10.823529411764707,3.823529411764706,3.8823529411764706,1.7647058823529411,3.3529411764705883,0.5022530980097635,0.4891304347826087,91.82972880192241,0.15123040182743225,1.65,0.08582217645039479,0.3384615384615385,0.3532608695652174,0.358695652173913,1.4219694276573054,2.3462495556345537,6.185567010309279,2.7728403839317455,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1149,3,Division II,labettecommunitycollege,Tre Paige,,,,Wing,,,13,2.9074999999999998,3.1999999999999997,2.45,3,12.538461538461538,4.3076923076923075,1.6923076923076923,1.8461538461538463,1.2307692307692308,0.07692307692307693,1.6153846153846154,8.615384615384615,2.923076923076923,4.230769230769231,1.1538461538461537,3.1538461538461537,0.5983847283406756,0.5491071428571429,101.74781523096131,0.13691839595227512,0.9166666666666666,0.149812734082397,0.39473684210526316,0.3392857142857143,0.49107142857142855,2.247191011235955,1.591760299625468,5.2434456928838955,1.9662921348314606,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1936,4,Division II,labettecommunitycollege,Mukadi Mukoma,,,,Wing,,,19,2.6000000000000005,2.9000000000000004,2.0,3,9.736842105263158,4.473684210526316,0.7368421052631579,1.4210526315789473,0.47368421052631576,0.2631578947368421,1.9473684210526316,7.631578947368421,4.631578947368421,1.263157894736842,0.5789473684210527,3.8947368421052633,0.5946258678323476,0.5793103448275863,101.33654688869413,0.112,0.5185185185185185,0.1478965819456617,0.38636363636363635,0.6068965517241379,0.16551724137931034,1.813906617400067,0.94054417198522,5.710446758481693,2.4857238831037956,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1965,5,Division II,labettecommunitycollege,Christian Smith,,,,Wing,,,18,2.5975,1.9500000000000002,3.35,3,10.222222222222221,2.7777777777777777,2.2777777777777777,1.9444444444444444,2.1666666666666665,0.16666666666666666,1.8888888888888888,9.722222222222221,3.4444444444444446,1.7777777777777777,0.7222222222222222,2.0555555555555554,0.48656653268457795,0.4714285714285714,82.11353088182791,0.13747239263803682,1.1714285714285715,0.1561942163513031,0.24193548387096775,0.35428571428571426,0.18285714285714286,2.35136042996305,2.82163251595566,3.359086328518643,2.2841787033926773,Poor,1,Below Average,2,Poor,1,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Average,3,Below Average,2,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
2415,6,Division II,labettecommunitycollege,Joshua Thorton,,,,Wing,,,17,2.4575000000000005,2.3000000000000003,2.45,3,10.058823529411764,3.7058823529411766,1.7058823529411764,1.7647058823529411,0.7647058823529411,0.5882352941176471,2.0588235294117645,8.0,0.6470588235294118,2.3529411764705883,0.8235294117647058,2.8823529411764706,0.556640625,0.5367647058823529,93.13725490196079,0.1191465060741356,0.9666666666666667,0.16339869281045752,0.18181818181818182,0.08088235294117647,0.29411764705882354,2.132954141485958,1.6352648418059013,4.479203697120512,2.4884464984002843,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2696,7,Division II,labettecommunitycollege,Donnie Watts,,,,Wing,,,18,2.375,2.45,2.0,3,5.555555555555555,2.2777777777777777,1.6666666666666667,0.9444444444444444,0.7222222222222222,0.0,0.8333333333333334,4.444444444444445,1.2222222222222223,1.8888888888888888,0.3333333333333333,1.9444444444444444,0.5265374894692502,0.45625,89.31761343336905,0.07265600664520819,1.7647058823529411,0.1518399428367274,0.4090909090909091,0.275,0.425,1.2086740135087095,0.9242801279772485,2.915037326697476,1.066477070742979,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2874,8,Division II,labettecommunitycollege,Rilyn Robins,,,,Wing,,,17,2.325,2.3500000000000005,2.0,3,3.764705882352941,2.0,1.1176470588235294,0.5294117647058824,0.0,0.0,0.29411764705882354,3.588235294117647,1.8235294117647058,0.5882352941176471,0.4117647058823529,1.588235294117647,0.48929663608562685,0.47540983606557374,86.02150537634408,0.04828159069670855,2.111111111111111,0.12096774193548386,0.3225806451612903,0.5081967213114754,0.16393442622950818,0.6398862424457874,0.0,2.417348027017419,0.35549235691432635,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3142,9,Division II,labettecommunitycollege,Denys Kaminskyi,,,,Wing,,,17,2.25,2.2,2.0,3,7.764705882352941,3.3529411764705883,0.8823529411764706,1.6470588235294117,0.6470588235294118,0.058823529411764705,1.9411764705882353,6.647058823529412,3.411764705882353,1.9411764705882353,1.0588235294117647,2.2941176470588234,0.5175658720200753,0.5,84.87654320987656,0.10586793737236214,0.5357142857142857,0.1800411522633745,0.39655172413793105,0.5132743362831859,0.2920353982300885,2.092675635276532,0.8968609865470852,4.260089686098655,2.4663677130044843,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Very Good,4,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3458,10,Division II,labettecommunitycollege,Roko Jaksic,,,,Wing,,,9,2.175,2.0500000000000003,2.0,3,4.444444444444445,2.888888888888889,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.3333333333333333,1.1111111111111112,5.111111111111111,2.111111111111111,0.5555555555555556,1.0,1.8888888888888888,0.41493775933609955,0.40217391304347827,72.46376811594203,0.06291028446389496,1.1428571428571428,0.12681159420289853,0.15789473684210525,0.41304347826086957,0.10869565217391304,0.8771929824561403,1.2531328320802004,3.2581453634085213,1.2531328320802004,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
