MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
768,1,Division II,lackawannacollege,Jaksa Pejovic,,,,Wing,,,15,3.0875000000000004,3.35,2.75,3,12.533333333333333,6.2,1.5333333333333334,2.2,1.1333333333333333,0.4,1.7333333333333334,8.666666666666666,4.2,2.8666666666666667,1.6666666666666667,4.533333333333333,0.631211388665055,0.5961538461538461,103.34212840809145,0.133525146061478,0.696969696969697,0.1813984168865435,0.36507936507936506,0.4846153846153846,0.33076923076923076,2.7836355967946016,1.940109658371995,7.844791227330241,2.193167439898777,Elite,5,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
838,2,Division II,lackawannacollege,Nysir Neal-Pelzer,,,,Wing,,,10,3.05,3.8000000000000003,2.0,3,0.5,0.3,0.1,0.0,0.1,0.0,0.3,0.2,0.1,0.0,0.1,0.2,1.25,1.25,250.0,0.002185219177483502,99.0,0.0,1.0,0.5,0.0,0.0,0.12453300124533001,0.37359900373599003,0.37359900373599003,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
904,3,Division II,lackawannacollege,Latrell Mark,,,,Wing,,,17,3.0225,2.45,3.85,3,11.647058823529411,6.352941176470588,5.411764705882353,4.882352941176471,3.176470588235294,0.7058823529411765,2.823529411764706,9.588235294117647,3.1176470588235294,3.0,1.6470588235294117,4.705882352941177,0.5338654012079379,0.5030674846625767,73.7594993294591,0.17159294298133473,1.108433734939759,0.30919386082551037,0.3018867924528302,0.32515337423312884,0.3128834355828221,6.06281957633309,4.821037253469686,7.888970051132214,3.506208911614317,Average,3,Average,3,Poor,1,Average,3,Poor,1,Below Average,2,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Very Good,4,Poor,1,Unknown
1406,4,Division II,lackawannacollege,Oliver Almonte,,,,Wing,,,6,2.8000000000000007,3.3000000000000007,2.0,3,1.8333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,1.1666666666666667,0.8333333333333334,0.0,0.0,0.16666666666666666,0.7857142857142857,0.7857142857142857,137.5,0.014747087450228579,0.0,0.125,0.6,0.7142857142857143,0.0,0.2107481559536354,0.0,0.2107481559536354,0.4214963119072708,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2359,5,Division II,lackawannacollege,David Popson,,,,Wing,,,17,2.4750000000000005,2.6500000000000004,2.0,3,6.235294117647059,3.176470588235294,0.5294117647058824,0.5882352941176471,0.35294117647058826,0.17647058823529413,1.3529411764705883,5.294117647058823,1.1764705882352942,1.411764705882353,0.9411764705882353,2.235294117647059,0.5270485282418457,0.49444444444444446,95.87554269175108,0.07067246228586041,0.9,0.09044862518089725,0.25,0.2222222222222222,0.26666666666666666,0.7304601899196493,0.6574141709276844,3.944485025566107,1.6800584368151936,Below Average,2,Poor,1,Below Average,2,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2648,6,Division II,lackawannacollege,Landon Calabrese,,,,Wing,,,11,2.3999999999999995,2.4999999999999996,2.0,3,1.0,0.6363636363636364,0.2727272727272727,0.0,0.18181818181818182,0.0,0.18181818181818182,1.4545454545454546,0.6363636363636364,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.30968468468468463,0.3125,61.93693693693693,0.017566070580788105,99.0,0.0,0.0,0.4375,0.25,0.0,0.22522522522522523,0.7882882882882883,0.22522522522522523,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2790,7,Division II,lackawannacollege,David Phillips,,,,Wing,,,9,2.35,2.4000000000000004,2.0,3,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.797872340425532,1.0,51.02040816326531,0.007111412123264475,0.25,0.6802721088435374,,0.0,2.0,0.5494505494505495,0.0,0.27472527472527475,0.13736263736263737,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2791,8,Division II,lackawannacollege,Jack Russell,,,,Wing,,,9,2.35,2.4000000000000004,2.0,3,1.4444444444444444,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.0,0.0,0.3333333333333333,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.6372549019607844,0.625,91.54929577464789,0.0169572486267017,0.75,0.28169014084507044,0.4,0.625,0.625,0.5431093007467753,0.0,0.5431093007467753,0.4073319755600815,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2899,9,Division II,lackawannacollege,Noah McIntosh,,,,Wing,,,13,2.325,2.35,2.0,3,5.923076923076923,3.6153846153846154,1.4615384615384615,1.0,0.7692307692307693,0.15384615384615385,1.3076923076923077,5.3076923076923075,1.8461538461538463,2.3846153846153846,1.0,2.6153846153846154,0.46587608906098743,0.4420289855072464,80.51024675867838,0.07893954901119218,1.4615384615384615,0.13592639063153492,0.20833333333333334,0.34782608695652173,0.4492753623188406,1.212686567164179,1.1194029850746268,4.384328358208955,1.585820895522388,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3144,10,Division II,lackawannacollege,Noah Elias,,,,Wing,,,16,2.25,2.2,2.0,3,9.3125,3.625,2.3125,1.625,0.4375,0.25,1.75,8.625,5.5,1.1875,0.5,3.125,0.5090188576113692,0.5108695652173914,86.44697145509399,0.11799014238773278,1.4230769230769231,0.15084706428405661,0.32954545454545453,0.6376811594202898,0.13768115942028986,2.036819428123776,0.8617312965139052,4.5436741088915005,2.1934978456717587,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Average,3,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
