MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
132,1,Division II,lakelandcommunitycollege,Isaiah McAdams,,,,Wing,,,13,3.6025,3.7500000000000004,3.65,3,16.153846153846153,5.846153846153846,2.6923076923076925,2.230769230769231,1.4615384615384615,0.6923076923076923,2.076923076923077,11.692307692307692,3.0,3.6153846153846154,0.7692307692307693,5.076923076923077,0.6080611535788742,0.5789473684210527,104.12534708449027,0.17631220058048047,1.206896551724138,0.1437921459738199,0.358974358974359,0.2565789473684211,0.3092105263157895,2.7898027898027897,2.6936026936026938,7.311207311207311,2.5974025974025974,Elite,5,Average,3,Average,3,Average,3,Average,3,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Very Good,4,Unknown
491,2,Division II,lakelandcommunitycollege,Jadallah Suleiman,,,,Wing,,,13,3.1500000000000004,4.000000000000001,2.0,3,15.076923076923077,3.923076923076923,4.153846153846154,2.0,0.6923076923076923,0.15384615384615385,2.3076923076923075,10.692307692307692,3.1538461538461537,3.923076923076923,1.1538461538461537,2.769230769230769,0.6070366699702676,0.5575539568345323,104.56679470763977,0.16386334230863375,2.076923076923077,0.13871105420401195,0.3170731707317073,0.2949640287769784,0.3669064748201439,2.501202501202501,1.0582010582010581,4.9062049062049065,2.886002886002886,Elite,5,Average,3,Average,3,Elite,5,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
727,3,Division II,lakelandcommunitycollege,Marlon Landingham,,,,Wing,,,12,3.0075000000000003,3.4000000000000004,2.45,3,12.25,5.25,2.4166666666666665,2.0,1.0833333333333333,0.08333333333333333,1.9166666666666667,9.166666666666666,5.916666666666667,3.3333333333333335,0.6666666666666666,4.583333333333333,0.5760188087774295,0.5318181818181819,96.96569920844327,0.14409550604516763,1.2083333333333333,0.158311345646438,0.38028169014084506,0.6454545454545455,0.36363636363636365,2.509147935180345,1.4636696288552014,6.5865133298484055,2.4046001045478307,Very Good,4,Below Average,2,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
743,4,Division II,lakelandcommunitycollege,James Downie,,,,Wing,,,6,3.0,3.7,2.0,3,2.6666666666666665,0.0,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,114.28571428571429,0.02566923359002567,99.0,0.0,0.3333333333333333,0.8571428571428571,0.0,0.0,0.8205128205128205,0.0,0.41025641025641024,Very Good,4,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
855,5,Division II,lakelandcommunitycollege,Micah Blackmon,,,,Wing,,,13,2.9349999999999996,3.5,2.0999999999999996,3,11.153846153846153,7.384615384615385,1.6923076923076923,1.5384615384615385,0.46153846153846156,0.15384615384615385,3.5384615384615383,7.0,0.07692307692307693,3.230769230769231,2.3076923076923075,5.076923076923077,0.6622214103032517,0.6703296703296703,111.98640716713004,0.11319369164597685,1.1,0.1544640098856966,0.0,0.01098901098901099,0.46153846153846156,1.924001924001924,0.7696007696007696,9.235209235209235,4.425204425204425,Elite,5,Poor,1,Very Good,4,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Average,3,Average,3,Elite,5,Unknown
1490,6,Division II,lakelandcommunitycollege,Nathan Tadiello,,,,Wing,,,11,2.6450000000000005,2.8500000000000005,2.2,3,6.0,4.636363636363637,0.6363636363636364,0.8181818181818182,0.36363636363636365,0.8181818181818182,2.8181818181818183,4.181818181818182,0.36363636363636365,2.090909090909091,1.1818181818181819,3.4545454545454546,0.5880256593014969,0.5543478260869565,101.35135135135134,0.0667185771074956,0.7777777777777778,0.1382063882063882,0.25,0.08695652173913043,0.5,1.0140845070422535,1.4647887323943662,5.746478873239437,3.492957746478873,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
1980,7,Division II,lakelandcommunitycollege,Taylor Blanton,,,,Wing,,,11,2.45,2.6,2.0,3,1.2727272727272727,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.6363636363636364,1.0909090909090908,0.8181818181818182,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.5087209302325582,0.4583333333333333,88.83248730964468,0.01614555587427775,1.5,0.12690355329949238,0.3333333333333333,0.75,0.3333333333333333,0.2249718785151856,0.1124859392575928,0.562429696287964,0.7874015748031497,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2272,8,Division II,lakelandcommunitycollege,Amarion Glenn,,,,Wing,,,13,2.35,2.4000000000000004,2.0,3,3.6923076923076925,3.0,2.0,0.7692307692307693,0.46153846153846156,0.15384615384615385,1.4615384615384615,3.0,1.3846153846153846,1.2307692307692308,0.8461538461538461,2.1538461538461537,0.5212858384013901,0.4358974358974359,85.65310492505354,0.04899115291813826,2.6,0.17844396859386152,0.2222222222222222,0.46153846153846156,0.41025641025641024,0.962000962000962,0.7696007696007696,3.751803751803752,1.8278018278018278,Below Average,2,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2831,9,Division II,lakelandcommunitycollege,Alikai Creque,,,,Wing,,,13,2.175,2.0500000000000003,2.0,3,6.230769230769231,4.6923076923076925,0.15384615384615385,1.2307692307692308,0.38461538461538464,0.3076923076923077,1.7692307692307692,5.538461538461538,0.8461538461538461,1.6153846153846154,1.0769230769230769,3.6153846153846154,0.4985228951255539,0.4722222222222222,83.29905388728919,0.08500891701926774,0.125,0.16454134101192924,0.36363636363636365,0.1527777777777778,0.2916666666666667,1.5392015392015392,0.8658008658008658,5.868205868205869,2.2126022126022127,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3539,10,Division II,lakelandcommunitycollege,Chauncey Brashers,,,,Wing,,,13,1.95,1.6,2.0,3,5.6923076923076925,2.4615384615384617,2.1538461538461537,1.9230769230769231,0.6153846153846154,0.07692307692307693,1.6923076923076923,6.153846153846154,2.5384615384615383,1.6923076923076923,0.38461538461538464,2.076923076923077,0.41257805530776087,0.36875,64.52738053714684,0.10025527153197887,1.12,0.2179979072200907,0.21212121212121213,0.4125,0.275,2.405002405002405,0.8658008658008658,3.0784030784030785,2.1164021164021163,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
