MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
389,1,Division II,lakemichigancollege,Malik Raines,,,,Wing,,,12,3.3475,3.45,3.35,3,13.166666666666666,4.5,2.1666666666666665,1.8333333333333333,2.9166666666666665,0.0,2.1666666666666665,9.0,4.0,5.5,1.75,2.75,0.5764740221833041,0.49537037037037035,99.34607645875252,0.12567563296140596,1.1818181818181819,0.13832997987927567,0.3541666666666667,0.4444444444444444,0.6111111111111112,2.002730996813837,3.186162949476559,4.915794264906691,2.366863905325444,Very Good,4,Below Average,2,Below Average,2,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
476,2,Division II,lakemichigancollege,Devon Shelton,,,,Wing,,,12,3.2725,3.3000000000000003,3.35,3,12.75,3.8333333333333335,2.0,1.1666666666666667,2.1666666666666665,0.25,2.1666666666666665,10.75,5.166666666666667,2.8333333333333335,1.5,2.3333333333333335,0.5313976104473465,0.49224806201550386,96.85996454798683,0.12562030792721723,1.7142857142857142,0.08863003291972651,0.3387096774193548,0.4806201550387597,0.26356589147286824,1.2814645308924486,2.654462242562929,4.2105263157894735,2.379862700228833,Average,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Very Good,4,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1714,3,Division II,lakemichigancollege,Champ Hayden,,,,Wing,,,11,2.6900000000000004,2.45,2.9000000000000004,3,13.545454545454545,3.727272727272727,2.727272727272727,1.9090909090909092,2.1818181818181817,0.0,1.7272727272727273,12.454545454545455,6.636363636363637,4.0,1.4545454545454546,2.272727272727273,0.4764645689434638,0.4306569343065693,84.00992331980153,0.14974670719351574,1.4285714285714286,0.11840324763193504,0.3013698630136986,0.5328467153284672,0.32116788321167883,2.0598332515939184,2.354095144678764,4.0215792054928885,1.8636586562040216,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1728,4,Division II,lakemichigancollege,Javon Swansey,,,,Wing,,,11,2.6825,2.75,2.45,3,5.181818181818182,4.636363636363637,2.8181818181818183,0.9090909090909091,1.6363636363636365,0.09090909090909091,1.5454545454545454,4.363636363636363,1.3636363636363635,0.36363636363636365,1.9090909090909092,2.727272727272727,0.5727491961414791,0.5729166666666666,95.38152610441767,0.052110219741890486,3.1,0.16733601070950468,0.4666666666666667,0.3125,0.08333333333333333,1.0060362173038229,1.9114688128772637,5.130784708249497,1.710261569416499,Very Good,4,Poor,1,Below Average,2,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Poor,1,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1836,5,Division II,lakemichigancollege,Caleb Gatewood,,,,Wing,,,8,2.6375,2.45,2.75,3,14.375,7.0,0.875,2.5,1.25,0.125,2.25,11.0,1.0,5.75,2.875,4.125,0.5312269031781227,0.4715909090909091,89.67560823456019,0.144251968503937,0.35,0.15595757953836556,0.125,0.09090909090909091,0.5227272727272727,2.6109660574412534,1.4360313315926894,7.310704960835509,2.349869451697128,Average,3,Below Average,2,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
1978,6,Division II,lakemichigancollege,Karlos Berry,,,,Wing,,,6,2.59,2.25,2.9000000000000004,3,8.833333333333334,2.5,2.8333333333333335,1.8333333333333333,1.5,0.3333333333333333,1.6666666666666667,8.666666666666666,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.8333333333333333,0.4488482384823848,0.38461538461538464,75.67104511707596,0.11942436229709451,1.5454545454545454,0.1570531125071388,0.25,0.15384615384615385,0.3076923076923077,2.1133525456292026,2.1133525456292026,2.881844380403458,1.9212295869356388,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2208,7,Division II,lakemichigancollege,Jadon Johnson,,,,Wing,,,12,2.5199999999999996,2.5999999999999996,2.2,3,8.833333333333334,3.75,1.5833333333333333,0.3333333333333333,1.5,0.25,2.8333333333333335,8.333333333333334,5.25,1.75,1.0833333333333333,2.6666666666666665,0.4851702673013548,0.455,93.60649947015189,0.09026847777565206,4.75,0.03532320734722713,0.3333333333333333,0.63,0.21,0.3669724770642202,1.926605504587156,4.128440366972477,3.1192660550458715,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
2626,8,Division II,lakemichigancollege,Andrew Leopold,,,,Wing,,,13,2.4,2.5,2.0,3,11.461538461538462,5.769230769230769,1.0769230769230769,1.6923076923076923,0.6153846153846154,0.07692307692307693,2.6923076923076925,8.461538461538462,1.6923076923076923,4.6923076923076925,1.7692307692307692,4.0,0.5444314527915814,0.4772727272727273,93.80508687987913,0.11637994197122008,0.6363636363636364,0.13850415512465375,0.22727272727272727,0.2,0.5545454545454546,1.8518518518518519,0.7575757575757576,6.313131313131313,2.946127946127946,Average,3,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2630,9,Division II,lakemichigancollege,Ya-Sin Ali,,,,Wing,,,12,2.4,2.5,2.0,3,3.8333333333333335,2.6666666666666665,1.25,0.5833333333333334,0.8333333333333334,0.0,1.4166666666666667,3.4166666666666665,1.4166666666666667,1.4166666666666667,0.9166666666666666,1.75,0.47442244224422436,0.4268292682926829,82.9127613554434,0.044121389489756975,2.142857142857143,0.12617159336697908,0.29411764705882354,0.4146341463414634,0.4146341463414634,0.6407322654462243,0.9153318077803204,2.929061784897025,1.5560640732265447,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2930,10,Division II,lakemichigancollege,Kanden Davis,,,,Wing,,,11,2.3249999999999997,2.3499999999999996,2.0,3,7.454545454545454,1.2727272727272727,1.1818181818181819,1.2727272727272727,0.7272727272727273,0.09090909090909091,1.8181818181818181,7.0,2.3636363636363638,2.4545454545454546,0.45454545454545453,0.8181818181818182,0.4612961296129613,0.42207792207792205,79.7045101088647,0.08951068420686295,0.9285714285714286,0.13608087091757387,0.34615384615384615,0.33766233766233766,0.35064935064935066,1.4007003501750876,0.9004502251125562,1.4007003501750876,2.001000500250125,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Very Good,4,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
