MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
392,1,Division II,lansingcommunitycollege,Messiah Niang Casey,,,,Wing,,,8,3.25,4.2,2.0,3,1.75,0.375,0.125,0.0,0.25,0.0,0.25,1.125,0.25,0.625,0.125,0.25,0.625,0.5,125.00000000000001,0.01459549624687239,99.0,0.0,0.5,0.2222222222222222,0.5555555555555556,0.0,0.29133284777858703,0.43699927166788055,0.29133284777858703,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
475,2,Division II,lansingcommunitycollege,DeAndre Berry,,,,Wing,,,12,3.165,3.4000000000000004,2.9000000000000004,3,12.0,3.9166666666666665,2.25,1.5833333333333333,1.8333333333333333,0.08333333333333333,2.0833333333333335,9.166666666666666,1.5,1.8333333333333333,1.3333333333333333,2.5833333333333335,0.6016042780748663,0.5954545454545455,103.83616959907701,0.1215339853472149,1.4210526315789473,0.13700605710989328,0.2777777777777778,0.16363636363636364,0.2,1.8709995076317085,2.2648941408173315,4.628261939931068,2.461841457410143,Elite,5,Below Average,2,Average,3,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
551,3,Division II,lansingcommunitycollege,Zander Woodruff,,,,Wing,,,13,3.115,3.3000000000000003,2.9000000000000004,3,20.692307692307693,5.153846153846154,3.5384615384615383,1.3846153846153846,1.3846153846153846,0.46153846153846156,1.9230769230769231,18.384615384615383,7.461538461538462,4.461538461538462,1.5384615384615385,3.6153846153846154,0.508468168758506,0.4665271966527197,95.2144980886309,0.22849471062081458,2.5555555555555554,0.06371230355373071,0.29896907216494845,0.40585774058577406,0.24267782426778242,1.6348773841961852,2.1798365122615806,6.085376930063578,2.270663033605813,Below Average,2,Very Good,4,Below Average,2,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
760,4,Division II,lansingcommunitycollege,Shannon Henderson,,,,Wing,,,10,2.9825,3.3500000000000005,2.45,3,8.2,4.0,0.4,0.8,0.3,1.0,2.2,5.8,0.1,0.8,1.4,2.6,0.6664499349804941,0.6637931034482759,117.95166858457996,0.07486216402481048,0.5,0.1150747986191024,1.0,0.017241379310344827,0.13793103448275862,0.9586578789694428,1.5578190533253444,4.793289394847214,2.6363091671659675,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
976,5,Division II,lansingcommunitycollege,Jayvion Wolff,,,,Wing,,,7,2.875,3.45,2.0,3,1.1428571428571428,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.0,0.7142857142857143,0.6329113924050632,0.7,109.2896174863388,0.010511804239186628,0.0,0.13661202185792348,1.0,0.2,0.6,0.1607717041800643,0.1607717041800643,0.8038585209003215,0.48231511254019294,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1166,6,Division II,lansingcommunitycollege,DeAire Lee,,,,Wing,,,13,2.79,2.65,2.9000000000000004,3,5.6923076923076925,4.153846153846154,2.3076923076923075,1.1538461538461537,1.6923076923076923,0.46153846153846156,1.6153846153846154,4.384615384615385,0.23076923076923078,1.2307692307692308,1.5384615384615385,2.6153846153846154,0.5777638975640225,0.5789473684210527,93.62348178137651,0.06392546342725891,2.0,0.18977732793522264,0.0,0.05263157894736842,0.2807017543859649,1.3623978201634876,2.5431425976385102,4.9046321525885554,1.9073569482288828,Very Good,4,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1610,7,Division II,lansingcommunitycollege,Isaiah Foster,,,,Wing,,,13,2.5975,1.9500000000000002,3.35,3,3.5384615384615383,2.6153846153846154,2.769230769230769,1.1538461538461537,2.4615384615384617,0.0,2.1538461538461537,3.3846153846153846,1.0769230769230769,1.0,0.8461538461538461,1.7692307692307692,0.46259050683829445,0.4090909090909091,71.07540173053152,0.05234382582252272,2.4,0.23176761433868975,0.2857142857142857,0.3181818181818182,0.29545454545454547,1.3623978201634876,2.9064486830154403,3.0881017257039054,2.5431425976385102,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1660,8,Division II,lansingcommunitycollege,Jameer Autry,,,,Wing,,,11,2.575,2.85,2.0,3,3.4545454545454546,2.727272727272727,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.0,0.6363636363636364,2.6363636363636362,0.2727272727272727,0.7272727272727273,0.6363636363636364,2.090909090909091,0.5842558425584256,0.5517241379310345,101.27931769722814,0.035639651962460585,1.0,0.13326226012793177,0.6666666666666666,0.10344827586206896,0.27586206896551724,0.5385029617662898,0.2154011847065159,3.231017770597738,0.7539041464728056,Very Good,4,Poor,1,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1694,9,Division II,lansingcommunitycollege,Ben Smith,,,,Wing,,,13,2.5575,2.500000000000001,2.45,3,8.923076923076923,3.6153846153846154,1.3846153846153846,1.0769230769230769,1.0769230769230769,0.38461538461538464,1.0769230769230769,7.846153846153846,3.923076923076923,1.1538461538461537,0.46153846153846156,3.1538461538461537,0.5340699815837938,0.5196078431372549,94.61663947797716,0.09915564038691727,1.2857142857142858,0.11419249592169659,0.3137254901960784,0.5,0.14705882352941177,1.2715712988192551,1.7257039055404177,4.268846503178929,1.2715712988192551,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1784,10,Division II,lansingcommunitycollege,Lee Benson,,,,Wing,,,13,2.5250000000000004,2.75,2.0,3,5.230769230769231,3.6153846153846154,0.15384615384615385,1.0,0.46153846153846156,0.15384615384615385,1.6923076923076923,3.6923076923076925,0.07692307692307693,1.4615384615384615,1.5384615384615385,2.076923076923077,0.603264726756565,0.5625,98.03921568627452,0.056096535214001486,0.15384615384615385,0.18742791234140715,0.0,0.020833333333333332,0.3958333333333333,1.1807447774750226,0.7266121707538601,4.268846503178929,1.9981834695731153,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
