MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
247,1,Division II,lewisclarkcommunitycollege,Derrion Enlow,,,,Wing,,,6,3.3975,3.5500000000000003,3.35,3,11.333333333333334,2.1666666666666665,3.5,0.8333333333333334,2.0,0.5,2.0,8.166666666666666,1.6666666666666667,4.333333333333333,0.3333333333333333,1.8333333333333333,0.5625413633355394,0.5204081632653061,103.9119804400978,0.12411804870647143,4.2,0.07640586797066015,0.3,0.20408163265306123,0.5306122448979592,1.0405827263267429,3.121748178980229,2.705515088449532,2.497398543184183,Average,3,Below Average,2,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
530,2,Division II,lewisclarkcommunitycollege,Dwight Lomax Jr,,,,Wing,,,9,3.1325000000000003,3.65,2.45,3,12.444444444444445,3.2222222222222223,2.2222222222222223,1.5555555555555556,1.4444444444444444,0.0,1.2222222222222223,9.444444444444445,5.333333333333333,2.4444444444444446,0.7777777777777778,2.4444444444444446,0.5914659907055344,0.5588235294117647,103.05483989694515,0.14018161180476732,1.4285714285714286,0.12881854987118144,0.4375,0.5647058823529412,0.25882352941176473,2.030456852791878,1.8854242204496012,4.205946337926034,1.5953589557650472,Very Good,4,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1914,3,Division II,lewisclarkcommunitycollege,Arlandis Brown,,,,Wing,,,7,2.4749999999999996,2.65,2.0,3,9.0,4.857142857142857,1.2857142857142858,1.4285714285714286,0.8571428571428571,0.14285714285714285,0.7142857142857143,7.285714285714286,3.857142857142857,2.0,1.8571428571428572,3.0,0.5510846745976208,0.5294117647058824,93.80583680762359,0.10744912325611158,0.9,0.14889815366289458,0.37037037037037035,0.5294117647058824,0.27450980392156865,1.7937219730941705,1.2556053811659194,6.098654708520179,0.8968609865470852,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1981,4,Division II,lewisclarkcommunitycollege,Ian Brantley,,,,Wing,,,10,2.45,2.6,2.0,3,4.6,2.9,0.6,0.4,0.2,0.8,1.2,4.2,0.4,1.1,1.0,1.9,0.49103330486763447,0.47619047619047616,90.47993705743508,0.05814804648183732,1.5,0.07867820613690008,0.5,0.09523809523809523,0.2619047619047619,0.5131494547787043,1.2828736369467608,3.7203335471456063,1.539448364336113,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2217,5,Division II,lewisclarkcommunitycollege,Brian Wright,,,,Wing,,,9,2.375,2.45,2.0,3,7.222222222222222,2.888888888888889,2.111111111111111,1.5555555555555556,1.0,0.0,2.0,5.888888888888889,2.6666666666666665,2.0,1.0,1.8888888888888888,0.5334865397242284,0.4716981132075472,86.75920982381207,0.09542004177492486,1.3571428571428572,0.18686599038974905,0.4166666666666667,0.4528301886792453,0.33962264150943394,1.984408221119773,1.2756909992912828,3.6853295535081503,2.5513819985825656,Average,3,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2526,6,Division II,lewisclarkcommunitycollege,David Marshall Jr,,,,Wing,,,8,2.2824999999999998,1.9500000000000002,2.45,3,4.5,3.25,1.25,2.0,1.125,0.25,1.75,3.75,1.25,1.0,0.75,2.5,0.5369928400954653,0.48333333333333334,72.6978998384491,0.07031294371556766,0.625,0.32310177705977383,0.3,0.3333333333333333,0.26666666666666666,2.5236593059936907,1.7350157728706626,4.100946372239748,2.2082018927444795,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2531,7,Division II,lewisclarkcommunitycollege,Tim Halden,,,,Wing,,,10,2.2824999999999998,1.95,2.45,3,8.8,5.2,1.4,1.7,0.9,0.6,1.7,8.3,3.2,0.9,1.2,4.0,0.5059797608095676,0.5,84.64794151596769,0.11890383383658157,0.8235294117647058,0.16352443247402848,0.28125,0.3855421686746988,0.10843373493975904,2.1808851828094933,1.9243104554201411,6.670942912123156,2.1808851828094933,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2583,8,Division II,lewisclarkcommunitycollege,Hassani Elliott,,,,Wing,,,9,2.2575000000000003,1.9000000000000001,2.45,3,2.0,1.8888888888888888,1.7777777777777777,1.1111111111111112,0.8888888888888888,0.2222222222222222,1.2222222222222223,1.6666666666666667,0.2222222222222222,1.2222222222222223,0.4444444444444444,1.4444444444444444,0.4536290322580645,0.3333333333333333,60.32171581769437,0.03848931998761738,1.6,0.3351206434316354,0.0,0.13333333333333333,0.7333333333333333,1.4503263234227701,1.4503263234227701,2.4655547498187094,1.5953589557650472,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2880,9,Division II,lewisclarkcommunitycollege,Xavier Hassler-Godfrey,,,,Wing,,,10,2.175,2.05,2.0,3,6.9,2.6,1.5,2.7,0.8,0.1,1.1,4.9,1.3,2.9,0.7,1.9,0.5586139896373057,0.5102040816326531,77.73771969355566,0.1015188946838686,0.5555555555555556,0.30419107706173953,0.46153846153846156,0.2653061224489796,0.5918367346938775,3.463758819756254,1.1545862732520846,3.335471456061578,1.4111610006414368,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Unknown
3090,10,Division II,lewisclarkcommunitycollege,Malik Hall,,,,Wing,,,10,2.1075,1.6,2.45,3,4.0,2.9,0.4,1.1,0.8,0.3,1.4,3.6,0.0,1.8,1.2,1.7,0.4553734061930783,0.4722222222222222,72.83321194464676,0.06281453014914448,0.36363636363636365,0.20029133284777859,,0.0,0.5,1.4111610006414368,1.4111610006414368,3.7203335471456063,1.7960230917254651,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
