MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
332,1,Division II,lincolnlandcommunitycollege,Keshaun Harlan,,,,Wing,,,7,3.3900000000000006,3.8500000000000005,2.9000000000000004,3,10.0,2.857142857142857,2.857142857142857,1.1428571428571428,1.4285714285714286,0.2857142857142857,1.1428571428571428,6.285714285714286,0.5714285714285714,3.2857142857142856,0.14285714285714285,2.7142857142857144,0.6467110125646711,0.625,112.68512556342563,0.10417225650657364,2.5,0.128783000643915,0.25,0.09090909090909091,0.5227272727272727,1.4349775784753362,2.1524663677130045,3.587443946188341,1.4349775784753362,Elite,5,Poor,1,Very Good,4,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
601,2,Division II,lincolnlandcommunitycollege,Camory Hall,,,,Wing,,,7,3.1750000000000007,4.050000000000001,2.0,3,4.142857142857143,1.0,0.7142857142857143,0.14285714285714285,0.0,0.0,2.0,3.0,1.2857142857142858,0.5714285714285714,0.14285714285714285,0.8571428571428571,0.6370826010544816,0.6190476190476191,122.05387205387204,0.039844378856989535,5.0,0.04208754208754208,0.4444444444444444,0.42857142857142855,0.19047619047619047,0.17937219730941703,0.0,1.2556053811659194,2.5112107623318387,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1036,3,Division II,lincolnlandcommunitycollege,Jalen Ashley,,,,Wing,,,7,2.95,3.6,2.0,3,17.571428571428573,5.285714285714286,1.2857142857142858,2.0,0.42857142857142855,0.42857142857142855,2.142857142857143,13.0,3.142857142857143,3.0,1.0,4.285714285714286,0.6135275339185954,0.5769230769230769,107.66806722689076,0.19157499329219208,0.6428571428571429,0.12254901960784315,0.5,0.24175824175824176,0.23076923076923078,2.5112107623318387,1.0762331838565022,6.63677130044843,2.690582959641256,Elite,5,Very Good,4,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Very Good,4,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1057,4,Division II,lincolnlandcommunitycollege,Gus McCrary,,,,Wing,,,7,2.9400000000000004,2.95,2.9000000000000004,3,5.0,5.142857142857143,1.7142857142857142,0.7142857142857143,0.5714285714285714,1.1428571428571428,1.7142857142857142,4.142857142857143,2.2857142857142856,0.7142857142857143,0.7142857142857143,4.428571428571429,0.5608974358974359,0.5344827586206896,96.68508287292816,0.06070566138985779,2.4,0.13812154696132595,0.4375,0.5517241379310345,0.1724137931034483,0.8968609865470852,2.1524663677130045,6.457399103139013,2.1524663677130045,Average,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Average,3,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1468,5,Division II,lincolnlandcommunitycollege,Jean Piere-Villegas,,,,Wing,,,7,2.7750000000000004,3.25,2.0,3,11.285714285714286,4.714285714285714,0.42857142857142855,1.1428571428571428,0.42857142857142855,0.5714285714285714,2.0,8.571428571428571,3.5714285714285716,3.7142857142857144,1.7142857142857142,3.0,0.5529115341545353,0.5333333333333333,99.44612286002014,0.13321706466326802,0.375,0.10070493454179255,0.4,0.4166666666666667,0.43333333333333335,1.4349775784753362,1.2556053811659194,5.9192825112107625,2.5112107623318387,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1853,6,Division II,lincolnlandcommunitycollege,Kobe Taylor,,,,Wing,,,6,2.625,2.9500000000000006,2.0,3,3.0,1.3333333333333333,0.8333333333333334,1.0,0.5,0.3333333333333333,1.3333333333333333,1.5,1.3333333333333333,0.8333333333333334,0.3333333333333333,1.0,0.8035714285714286,0.7777777777777778,104.65116279069768,0.03503625845351585,0.8333333333333334,0.3488372093023256,0.5,0.8888888888888888,0.5555555555555556,1.2944983818770226,1.0787486515641855,1.725997842502697,1.725997842502697,Elite,5,Poor,1,Average,3,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2342,7,Division II,lincolnlandcommunitycollege,Joshua Banks,,,,Wing,,,7,2.4575000000000005,2.3000000000000003,2.45,3,8.428571428571429,2.4285714285714284,1.8571428571428572,1.8571428571428572,1.1428571428571428,0.14285714285714285,2.142857142857143,6.571428571428571,0.8571428571428571,3.0,0.42857142857142855,2.0,0.5340333091962346,0.5,86.45955451348182,0.11443520257579823,1.0,0.19050410316529892,0.3333333333333333,0.13043478260869565,0.45652173913043476,2.3318385650224216,1.6143497757847534,3.0493273542600896,2.690582959641256,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2448,8,Division II,lincolnlandcommunitycollege,Stephen Braun,,,,Wing,,,6,2.4250000000000003,2.5500000000000007,2.0,3,2.3333333333333335,1.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.5,1.8333333333333333,1.1666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5892255892255892,0.5454545454545454,100.86455331412103,0.02653310903807922,0.5,0.1440922190201729,0.2857142857142857,0.6363636363636364,0.18181818181818182,0.41279669762641896,0.0,1.238390092879257,0.6191950464396285,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2735,9,Division II,lincolnlandcommunitycollege,Nathaniel Moore,,,,Wing,,,7,2.35,2.4000000000000004,2.0,3,11.142857142857142,2.2857142857142856,2.142857142857143,2.2857142857142856,0.7142857142857143,0.0,2.142857142857143,9.428571428571429,5.285714285714286,4.571428571428571,0.2857142857142857,2.0,0.487012987012987,0.42424242424242425,81.18234804329725,0.16112154547893748,0.9375,0.16652789342214822,0.32432432432432434,0.5606060606060606,0.48484848484848486,2.8699551569506725,0.8968609865470852,2.8699551569506725,2.690582959641256,Poor,1,Average,3,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
4152,10,Division II,lincolnlandcommunitycollege,Bryce Welch,,,,Wing,,,7,1.95,1.6,2.0,3,2.142857142857143,1.0,0.5714285714285714,1.4285714285714286,0.2857142857142857,0.14285714285714285,0.2857142857142857,2.7142857142857144,0.7142857142857143,1.1428571428571428,0.14285714285714285,0.8571428571428571,0.3330373001776199,0.3684210526315789,46.12546125461255,0.05453447813254627,0.4,0.30750307503075036,0.0,0.2631578947368421,0.42105263157894735,1.7937219730941705,0.5381165919282511,1.2556053811659194,0.35874439461883406,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
