MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
498,1,Division II,lurleenbwallacecommunitycollege,Kennedy Ruzvidzo Jr,,,,Wing,,,14,3.1900000000000004,3.45,2.9000000000000004,3,12.928571428571429,3.5714285714285716,3.0714285714285716,1.8571428571428572,1.1428571428571428,0.35714285714285715,1.2857142857142858,10.0,2.5714285714285716,3.5714285714285716,0.9285714285714286,2.642857142857143,0.558641975308642,0.5071428571428571,96.27659574468085,0.1696322229039593,1.6538461538461537,0.13829787234042554,0.4444444444444444,0.2571428571428571,0.35714285714285715,2.6026026026026026,2.1021021021021022,5.005005005005005,1.8018018018018018,Average,3,Average,3,Below Average,2,Very Good,4,Very Good,4,Elite,5,Average,3,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
630,2,Division II,lurleenbwallacecommunitycollege,Antravin Belcher,,,,Wing,,,12,3.1075,2.5500000000000003,3.95,3,6.833333333333333,7.0,0.6666666666666666,1.25,1.0833333333333333,1.0,1.75,4.5,0.0,3.0,2.5,4.5,0.5870561282932417,0.5740740740740741,96.65252239509665,0.0899643705463183,0.5333333333333333,0.1768033946251768,,0.0,0.6666666666666666,1.7605633802816902,2.9342723004694835,9.859154929577464,2.464788732394366,Very Good,4,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
661,3,Division II,lurleenbwallacecommunitycollege,Gabriel Bradley,,,,Wing,,,10,3.09,3.2500000000000004,2.9,3,11.4,10.4,1.2,1.6,0.2,0.9,3.3,7.6,0.8,4.3,3.8,6.6,0.6005056890012642,0.5789473684210527,102.77677605481428,0.13988800887857541,0.75,0.14424810674359897,0.25,0.10526315789473684,0.5657894736842105,2.264685067232838,1.556970983722576,14.720452937013446,4.670912951167728,Elite,5,Below Average,2,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Below Average,2,Elite,5,Below Average,2,Elite,5,Unknown
1050,4,Division II,lurleenbwallacecommunitycollege,Dwight Stephens,,,,Wing,,,9,2.8825000000000003,3.1500000000000004,2.45,3,12.333333333333334,3.111111111111111,1.1111111111111112,1.7777777777777777,1.0,0.1111111111111111,1.3333333333333333,9.444444444444445,3.0,2.7777777777777777,0.4444444444444444,2.6666666666666665,0.578125,0.5411764705882353,99.10714285714286,0.15509028470145123,0.625,0.14285714285714285,0.37037037037037035,0.3176470588235294,0.29411764705882354,2.4390243902439024,1.524390243902439,4.2682926829268295,1.829268292682927,Very Good,4,Average,3,Below Average,2,Poor,1,Average,3,Elite,5,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1905,5,Division II,lurleenbwallacecommunitycollege,Tim Prather,,,,Wing,,,9,2.54,2.1500000000000004,2.9000000000000004,3,7.666666666666667,2.3333333333333335,1.5555555555555556,1.2222222222222223,1.4444444444444444,0.1111111111111111,1.6666666666666667,7.333333333333333,2.4444444444444446,1.2222222222222223,0.6666666666666666,1.6666666666666667,0.487012987012987,0.4621212121212121,84.3108504398827,0.11659448370184637,1.2727272727272727,0.13440860215053763,0.3181818181818182,0.3333333333333333,0.16666666666666666,1.7488076311605723,2.2257551669316373,3.338632750397456,2.384737678855326,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Average,3,Very Good,4,Average,3,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1983,6,Division II,lurleenbwallacecommunitycollege,Keylson Turner,,,,Wing,,,12,2.5075000000000003,2.0500000000000003,2.95,3,5.416666666666667,4.833333333333333,0.8333333333333334,0.9166666666666666,0.25,1.5833333333333333,2.1666666666666665,4.916666666666667,3.0833333333333335,0.5833333333333334,1.0833333333333333,3.75,0.5235180412371134,0.5254237288135594,88.94362342638205,0.07768517731099583,0.9090909090909091,0.150519978106185,0.32432432432432434,0.6271186440677966,0.11864406779661017,1.296405421331762,2.592810842663524,6.835592221567472,3.0642309958750737,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Average,3,Below Average,2,Very Good,4,Elite,5,Unknown
2525,7,Division II,lurleenbwallacecommunitycollege,Jordan Franklin,,,,Wing,,,10,2.3499999999999996,2.4,2.0,3,6.0,2.1,3.7,1.8,0.8,0.1,1.7,4.6,0.0,1.8,0.2,1.9,0.5563798219584569,0.5217391304347826,83.42602892102336,0.0919175911251981,2.0555555555555554,0.25027808676307006,,0.0,0.391304347826087,2.538787023977433,1.2693935119887165,2.9619181946403383,2.397743300423131,Average,3,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2710,8,Division II,lurleenbwallacecommunitycollege,Clark Jordan,,,,Wing,,,8,2.3,2.3,2.0,3,1.5,1.5,0.25,0.0,0.125,0.0,0.125,2.375,2.0,0.0,0.375,1.125,0.3157894736842105,0.3157894736842105,63.1578947368421,0.029825442672359665,99.0,0.0,0.125,0.8421052631578947,0.0,0.0,0.17196904557179707,2.063628546861565,0.17196904557179707,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2812,9,Division II,lurleenbwallacecommunitycollege,Lucson Jean Jr,,,,Wing,,,14,2.25,2.2,2.0,3,9.714285714285714,1.8571428571428572,1.7142857142857142,2.0,0.6428571428571429,0.07142857142857142,1.6428571428571428,9.857142857142858,5.428571428571429,1.4285714285714286,0.35714285714285715,1.5,0.4632152588555858,0.43478260869565216,77.80320366132723,0.15772187533836216,0.8571428571428571,0.16018306636155605,0.34210526315789475,0.5507246376811594,0.14492753623188406,2.8028028028028027,1.001001001001001,2.6026026026026026,2.3023023023023024,Poor,1,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2956,10,Division II,lurleenbwallacecommunitycollege,Jonathan Point-Du-Joir,,,,Wing,,,14,2.2125,2.65,1.25,3,8.0,3.0714285714285716,1.0,0.9285714285714286,0.5,0.42857142857142855,3.357142857142857,7.285714285714286,3.642857142857143,2.5714285714285716,0.42857142857142855,2.642857142857143,0.47522063815342835,0.45098039215686275,85.60073372057475,0.11805680874869168,1.0769230769230769,0.09935799449709569,0.39215686274509803,0.5,0.35294117647058826,1.3013013013013013,1.3013013013013013,4.3043043043043046,4.704704704704705,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Unknown
3085,11,Division II,lurleenbwallacecommunitycollege,Hudson Kelley,,,,Wing,,,7,2.175,2.0500000000000003,2.0,3,2.5714285714285716,1.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,1.1428571428571428,2.2857142857142856,1.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.533175355450237,0.5625,90.54325955734407,0.03534850640113798,0.3333333333333333,0.15090543259557346,0.2857142857142857,0.4375,0.125,0.5958291956305859,0.5958291956305859,1.3902681231380338,1.5888778550148956,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3865,12,Division II,lurleenbwallacecommunitycollege,Malachi Reed,,,,Wing,,,8,1.95,1.6,2.0,3,0.875,0.75,0.125,0.5,0.375,0.125,0.375,0.75,0.375,0.5,0.125,0.625,0.45103092783505155,0.4166666666666667,59.523809523809526,0.018276762402088774,0.25,0.3401360544217687,0.3333333333333333,0.5,0.6666666666666666,0.6938421509106678,0.6938421509106678,1.0407632263660018,0.5203816131830009,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
