MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
27,1,Division II,madisoncollege,Braylen Blue,2,So.,Guard,Guard,6'5,185,12,4.075,4.4,3.3,5,10.5,3.1666666666666665,2.0,0.8333333333333334,1.9166666666666667,0.08333333333333333,1.1666666666666667,6.916666666666667,5.166666666666667,1.75,0.5,2.6666666666666665,0.6830008673026887,0.6385542168674698,123.23943661971832,0.09382915458316507,2.4,0.09780907668231613,0.41935483870967744,0.7469879518072289,0.25301204819277107,1.021972406745018,2.452733776188043,3.883495145631068,1.430761369443025,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Elite
216,2,Division II,madisoncollege,Carson McCormick,3,So.,Guard,Guard,6'1,180,12,3.49,4.4,2.2,3,14.583333333333334,2.0833333333333335,2.5833333333333335,1.25,1.25,0.0,1.0,10.916666666666666,8.0,1.0,0.5,1.5833333333333333,0.6420604637511007,0.6335877862595419,115.6795346377578,0.13883484453581,2.066666666666667,0.09915388683236383,0.4375,0.732824427480916,0.0916030534351145,1.5329586101175268,1.5329586101175268,2.5549310168625445,1.2263668880940215,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
533,3,Division II,madisoncollege,George Whaley IV,10,So.,Guard,Guard,6'1,180,12,3.16,3.100000000000001,3.3,3,13.0,4.25,3.0,1.6666666666666667,2.0,0.0,2.0,9.25,1.9166666666666667,3.75,0.6666666666666666,3.5833333333333335,0.5963302752293578,0.5405405405405406,103.44827586206895,0.13839433207297822,1.8,0.1326259946949602,0.2608695652173913,0.2072072072072072,0.40540540540540543,2.043944813490036,2.452733776188043,5.212059274399591,2.452733776188043,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Average
598,4,Division II,madisoncollege,Luke Rayner,33,Fr.,Forward,Wing,6'7,200,10,3.1250000000000004,3.6500000000000004,2.0,4,2.8,1.4,0.1,0.3,0.1,0.1,0.6,1.7,0.0,0.6,0.7,0.7,0.7128309572301426,0.7058823529411765,123.67491166077738,0.024749661113297478,0.3333333333333333,0.13250883392226148,,0.0,0.35294117647058826,0.3645200486026732,0.24301336573511542,1.701093560145808,0.7290400972053463,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
625,5,Division II,madisoncollege,Ryen Jones,6,So.,Forward,Wing,6'5,190,12,3.1075,3.5999999999999996,2.45,3,11.916666666666666,4.416666666666667,1.5,1.5833333333333333,0.9166666666666666,0.5,2.0833333333333335,7.833333333333333,2.0,2.1666666666666665,0.5,3.9166666666666665,0.6781107738998483,0.675531914893617,114.91481838637094,0.11420285598913402,0.9473684210526315,0.1526840244294439,0.375,0.2553191489361702,0.2765957446808511,1.941747572815534,1.7373530914665305,5.416453755748595,2.5549310168625445,Elite,5,Poor,1,Elite,5,Below Average,2,Average,3,Insufficient Volume,3,Average,3,Very Good,4,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Average
674,6,Division II,madisoncollege,Carter Sullivan,12,Fr.,Forward,Wing,6'6,200,12,3.0800000000000005,3.3500000000000005,2.3,4,8.583333333333334,6.666666666666667,1.4166666666666667,0.75,0.4166666666666667,0.5,2.4166666666666665,6.75,1.25,1.25,2.6666666666666665,4.0,0.5878995433789955,0.5740740740740741,106.62525879917185,0.08865313314489187,1.8888888888888888,0.09316770186335405,0.4666666666666667,0.18518518518518517,0.18518518518518517,0.9197751660705161,1.1241696474195197,8.175779253960144,2.963719979560552,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Very Good
699,7,Division II,madisoncollege,Cam Williams,4,Fr.,Guard,Guard,6'2,160,11,3.0675000000000003,2.7500000000000004,3.3,4,8.545454545454545,1.9090909090909092,1.0,1.3636363636363635,1.8181818181818181,0.2727272727272727,1.4545454545454546,6.545454545454546,2.1818181818181817,1.0,1.0,0.9090909090909091,0.6116605934409162,0.5972222222222222,102.35191637630662,0.09100277447483156,0.7333333333333333,0.16332752613240417,0.3333333333333333,0.3333333333333333,0.1527777777777778,1.6602102933038185,2.545655783065855,2.324294410625346,1.770890979524073,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Very Good
891,8,Division II,madisoncollege,Jackson Bertagnoli,13,So.,Guard,Guard,6'3,190,12,2.9575,2.9000000000000004,2.75,4,3.8333333333333335,2.1666666666666665,0.9166666666666666,0.5833333333333334,1.0833333333333333,0.5,0.3333333333333333,2.9166666666666665,0.8333333333333334,0.6666666666666666,0.9166666666666666,1.25,0.5970924195223261,0.5714285714285714,101.05448154657293,0.041775265225211994,1.5714285714285714,0.15377855887521968,0.2,0.2857142857142857,0.22857142857142856,0.7153806847215125,1.941747572815534,2.6571282575370465,0.40878896269800713,Very Good,4,Poor,1,Average,3,Average,3,Average,3,Insufficient Volume,3,Poor,1,Average,3,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
1131,9,Division II,madisoncollege,Noah Compan,11,So.,Forward,Wing,6'6,200,12,2.85,3.0999999999999996,2.0,4,7.083333333333333,3.25,0.5833333333333334,1.0833333333333333,0.25,0.3333333333333333,1.4166666666666667,4.416666666666667,0.25,2.6666666666666665,1.0,2.25,0.6335718545020871,0.5943396226415094,106.14385614385614,0.07349216254909878,0.5384615384615384,0.16233766233766234,0.3333333333333333,0.05660377358490566,0.6037735849056604,1.3285641287685233,0.7153806847215125,3.9856923863055695,1.7373530914665305,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
1546,10,Division II,madisoncollege,Mesiyah Ashley,25,Fr.,Forward,Wing,6'6,185,9,2.6750000000000003,2.75,2.0,4,3.4444444444444446,1.8888888888888888,0.1111111111111111,0.6666666666666666,0.0,0.6666666666666666,0.7777777777777778,2.2222222222222223,0.1111111111111111,1.1111111111111112,1.0,0.8888888888888888,0.6352459016393442,0.65,101.97368421052632,0.03745687530803351,0.16666666666666666,0.19736842105263158,0.0,0.05,0.5,0.8275862068965517,0.8275862068965517,2.3448275862068964,0.9655172413793104,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Very Good
