MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
390,1,Division II,marianuniversityancilla,Kenneth Grant,,,,Wing,,,14,3.3499999999999996,4.3999999999999995,2.0,3,18.5,3.5714285714285716,1.5,0.7857142857142857,1.0,0.0,1.2857142857142858,13.571428571428571,9.928571428571429,1.2857142857142858,0.9285714285714286,2.642857142857143,0.6543047696038804,0.6394736842105263,123.97089795136895,0.17199025289778716,1.9090909090909092,0.05265173272065863,0.4676258992805755,0.7315789473684211,0.09473684210526316,0.9981851179673321,1.2704174228675136,4.537205081669692,1.633393829401089,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
775,2,Division II,marianuniversityancilla,Michael Johnson Jr,,,,Wing,,,14,3.075,3.85,2.0,3,4.571428571428571,3.9285714285714284,0.7142857142857143,0.21428571428571427,0.5714285714285714,0.21428571428571427,1.9285714285714286,3.4285714285714284,1.7857142857142858,1.2857142857142858,1.0,2.9285714285714284,0.5722460658082975,0.5208333333333334,108.62186014935506,0.04850500526870391,3.3333333333333335,0.05091649694501018,0.32,0.5208333333333334,0.375,0.27223230490018147,0.9981851179673321,4.99092558983666,2.4500907441016335,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1091,3,Division II,marianuniversityancilla,Omari Evans,,,,Wing,,,14,2.9250000000000007,3.5500000000000007,2.0,3,17.714285714285715,2.7857142857142856,2.9285714285714284,2.142857142857143,0.8571428571428571,0.14285714285714285,2.2142857142857144,13.642857142857142,5.5,2.9285714285714284,1.0714285714285714,1.7142857142857142,0.5931879066207425,0.5654450261780105,103.74832663989291,0.1967860906217071,1.3666666666666667,0.12550200803212852,0.33766233766233766,0.4031413612565445,0.21465968586387435,2.722323049001815,1.2704174228675136,3.5390199637023594,2.8130671506352085,Very Good,4,Very Good,4,Average,3,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
1110,4,Division II,marianuniversityancilla,Shawn Donaldson,,,,Wing,,,11,2.915,2.9000000000000004,2.9000000000000004,3,12.545454545454545,3.272727272727273,2.090909090909091,1.1818181818181819,1.9090909090909092,0.0,1.5454545454545454,11.909090909090908,5.818181818181818,1.6363636363636365,0.9090909090909091,2.3636363636363638,0.49668874172185434,0.4732824427480916,90.83728278041075,0.1631443298969072,1.7692307692307692,0.0855713533438652,0.34375,0.48854961832061067,0.13740458015267176,1.5421115065243178,2.491103202846975,4.270462633451957,2.0166073546856467,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1151,5,Division II,marianuniversityancilla,Tristian Jackson,,,,Wing,,,10,2.9000000000000004,3.5,2.0,3,0.8,0.3,0.0,0.1,0.1,0.0,0.6,0.4,0.2,0.4,0.2,0.1,0.6944444444444444,0.625,118.34319526627219,0.007185374149659863,0.0,0.14792899408284024,0.5,0.5,1.0,0.11778563015312132,0.11778563015312132,0.35335689045936397,0.7067137809187279,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2198,6,Division II,marianuniversityancilla,Kayden English,,,,Wing,,,9,2.5025000000000004,2.25,2.6500000000000004,3,14.333333333333334,4.777777777777778,1.3333333333333333,2.5555555555555554,1.3333333333333333,0.4444444444444444,2.5555555555555554,13.0,1.3333333333333333,5.888888888888889,1.3333333333333333,3.4444444444444446,0.45966362599771954,0.39316239316239315,78.9860396767083,0.22224036577400388,0.5217391304347826,0.14082782267940241,0.16666666666666666,0.10256410256410256,0.452991452991453,3.4226190476190474,2.380952380952381,6.398809523809524,3.4226190476190474,Poor,1,Very Good,4,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Average,3,Unknown
2763,7,Division II,marianuniversityancilla,Malachi Rosenthal,,,,Wing,,,6,2.3499999999999996,2.4,2.0,3,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5,0.5,100.0,0.005606219165794588,,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.2014098690835851,0.2014098690835851,Below Average,2,Poor,1,Below Average,2,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3542,8,Division II,marianuniversityancilla,Sean Blue,,,,Wing,,,13,2.125,1.9500000000000002,2.0,3,1.9230769230769231,1.3076923076923077,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.07692307692307693,1.8461538461538463,2.3846153846153846,0.6153846153846154,0.0,0.5384615384615384,0.7692307692307693,0.4032258064516129,0.4032258064516129,71.42857142857143,0.03108568992468382,1.5,0.11428571428571428,0.125,0.25806451612903225,0.0,0.3913894324853229,0.4892367906066536,1.6634050880626223,2.3483365949119372,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3612,9,Division II,marianuniversityancilla,Cristian Webster,,,,Wing,,,14,2.1,1.9000000000000004,2.0,3,9.857142857142858,3.142857142857143,3.0,2.2857142857142856,1.0,0.0,1.8571428571428572,9.571428571428571,3.0714285714285716,2.5,0.6428571428571429,2.5,0.4618473895582329,0.40671641791044777,76.07497243660418,0.14933482613277138,1.3125,0.17640573318632854,0.2558139534883721,0.3208955223880597,0.26119402985074625,2.9038112522686026,1.2704174228675136,3.9927404718693285,2.3593466424682394,Poor,1,Below Average,2,Poor,1,Average,3,Below Average,2,Poor,1,Very Good,4,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3626,10,Division II,marianuniversityancilla,Jason Sanders Jr,,,,Wing,,,13,2.0999999999999996,1.9000000000000001,2.0,3,1.7692307692307692,1.6923076923076923,2.076923076923077,1.0769230769230769,0.38461538461538464,0.0,1.0769230769230769,1.9230769230769231,0.6153846153846154,0.9230769230769231,0.6923076923076923,1.0,0.37978863936591806,0.3,51.94218608852755,0.037367088607594946,1.9285714285714286,0.31616982836495033,0.125,0.32,0.48,1.306579561362576,0.4666355576294914,2.053196453569762,1.306579561362576,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
