MasterRank,TeamRank,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1,,henryfordcollege,Jayce Branson,4,Fr,Guard,Guard,6'4,,8,4.615,4.300000000000001,5.0,5,17.5,8.125,1.75,1.0,1.75,1.125,1.875,12.375,5.0,2.875,1.75,6.375,0.6414956011730205,0.6262626262626263,119.53551912568305,0.1612690019828156,1.75,0.06830601092896174,0.4,0.40404040404040403,0.23232323232323232,1.2432012432012431,3.5742035742035743,10.1010101010101,2.331002331002331,Elite,5,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite
2,,southsuburbancollege,Samar Bures,,,Guard,Guard,,,10,4.425,4.7,4.4,3,20.2,3.6,6.2,1.2,3.3,0.5,1.2,13.2,2.8,4.5,0.4,3.2,0.6653491436100131,0.625,123.32112332112331,0.19651598042038584,5.166666666666667,0.07326007326007325,0.4642857142857143,0.21212121212121213,0.3409090909090909,1.7045454545454546,5.3977272727272725,5.113636363636363,1.7045454545454546,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
3,,oaklandcommunitycollege,Jordan Wright,13,SO,F,Wing,6'6,,12,4.3275,4.55,4.15,4,20.916666666666668,7.75,2.0,1.1666666666666667,1.1666666666666667,2.5833333333333335,2.5,12.5,3.3333333333333335,3.0,2.3333333333333335,5.416666666666667,0.7567534973468403,0.76,139.5685053380783,0.178916789366867,1.7142857142857142,0.07784697508896797,0.45,0.26666666666666666,0.24,1.5555555555555556,5.0,10.333333333333334,3.3333333333333335,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Very Good
4,,southsuburbancollege,AJ Abrams,,,Guard,Guard,,,10,4.315,4.5,4.4,3,21.4,7.9,4.2,1.4,3.1,0.2,2.6,13.8,0.5,5.3,3.1,4.8,0.6632779568559385,0.6413043478260869,122.06251425963953,0.2103368845378635,3.0,0.07985398129135296,0.2,0.036231884057971016,0.38405797101449274,1.9886363636363635,4.6875,11.221590909090908,3.6931818181818183,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Unknown
5,,pimacommunitycollege,Mason Hunt,22,Sophomore,Forward,Wing,6'7,,9,4.279999999999999,4.7,3.8,4,21.444444444444443,4.222222222222222,2.7777777777777777,1.3333333333333333,2.7777777777777777,0.8888888888888888,1.0,14.222222222222221,5.555555555555555,3.7777777777777777,1.1111111111111112,3.111111111111111,0.6750139899272524,0.66015625,124.54827052142488,0.17482738390721606,2.0833333333333335,0.07743933918430562,0.46,0.390625,0.265625,1.518987341772152,4.177215189873418,4.810126582278481,1.139240506329114,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Very Good
6,,pimacommunitycollege,Isaiah Hill,2,Freshman,Guard,Guard,6'0,,11,4.15,4.2,4.4,3,15.272727272727273,4.0,8.454545454545455,2.0,5.636363636363637,0.0,1.4545454545454546,9.090909090909092,3.272727272727273,1.7272727272727273,0.5454545454545454,3.4545454545454546,0.7751937984496124,0.78,128.87388769561213,0.11783635246049826,4.2272727272727275,0.1687634243633016,0.6111111111111112,0.36,0.19,2.2715539494062984,6.401652039235932,4.543107898812597,1.6520392359318534,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Average
7,,pimacommunitycollege,Gerron Graham,1,Freshman,Guard,Guard,6'2,,11,4.1125,3.9499999999999997,4.4,4,9.181818181818182,3.272727272727273,5.7272727272727275,1.0909090909090908,3.0,0.36363636363636365,1.4545454545454546,4.909090909090909,2.090909090909091,1.8181818181818181,0.8181818181818182,2.4545454545454546,0.804140127388535,0.8055555555555556,135.02673796791444,0.0676139856094298,5.25,0.16042780748663102,0.4782608695652174,0.42592592592592593,0.37037037037037035,1.23902942694889,3.820340733092411,3.7170882808466703,1.6520392359318534,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Very Good
8,,raritanvalleycommunitycollege,Tarik Bicic,0,SO,Guard,Guard,6'5,,7,4.0975,3.5500000000000003,4.7,5,15.714285714285714,9.714285714285714,5.428571428571429,2.5714285714285716,1.5714285714285714,1.2857142857142858,2.142857142857143,10.142857142857142,1.8571428571428572,5.571428571428571,2.142857142857143,7.571428571428571,0.6238656987295826,0.5845070422535211,103.61718161266013,0.1715467649150023,2.111111111111111,0.16955538809344387,0.38461538461538464,0.18309859154929578,0.5492957746478874,3.205699020480855,3.5618878005342833,12.110418521816563,2.671415850400712,Elite,5,Average,3,Average,3,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite
9,,pimacommunitycollege,Isaac Johnson,11,Sophomore,Guard/Forward,Wing,6'7,,11,4.084999999999999,4.1,4.1,4,20.181818181818183,6.454545454545454,1.9090909090909092,1.4545454545454546,2.4545454545454546,1.5454545454545454,0.8181818181818182,11.636363636363637,0.7272727272727273,3.909090909090909,1.6363636363636365,4.818181818181818,0.7555132044650149,0.78125,136.26319666093787,0.14726832266695594,1.3125,0.09820770930518044,0.5,0.0625,0.3359375,1.6520392359318534,4.543107898812597,7.330924109447599,0.9292720702116676,Elite,5,Below Average,2,Elite,5,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Very Good
10,,milwaukeeareatechnicalcollege,Noah Daniels,23,So.,G,Guard,6'5,,16,4.075,4.4,3.3,5,13.1875,4.0,2.4375,1.0625,1.625,0.5,2.0,9.0,5.125,1.375,0.875,3.125,0.6864914107235814,0.6770833333333334,123.62315444105928,0.10215221086399655,2.2941176470588234,0.099601593625498,0.45121951219512196,0.5694444444444444,0.1527777777777778,1.187980433263452,2.375960866526904,4.472396925227114,2.236198462613557,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Elite
