MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
159,1,Division II,mchenrycountycollege,Ezra Brown,,,,Wing,,,12,3.54,4.5,2.4000000000000004,3,14.333333333333334,3.3333333333333335,4.916666666666667,1.1666666666666667,1.3333333333333333,0.25,3.0,9.0,2.0,5.0,0.9166666666666666,2.4166666666666665,0.6398809523809523,0.6018518518518519,115.90296495956873,0.15072110501726588,4.214285714285714,0.09433962264150943,0.5,0.2222222222222222,0.5555555555555556,1.5546918378678511,2.109938922820655,4.441976679622432,3.997779011660189,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Unknown
688,2,Division II,mchenrycountycollege,Christian Rohde,,,,Wing,,,12,3.0325000000000006,2.4000000000000004,3.95,3,6.583333333333333,8.833333333333334,1.0833333333333333,1.9166666666666667,0.3333333333333333,3.3333333333333335,3.8333333333333335,4.416666666666667,0.0,2.0833333333333335,2.6666666666666665,6.166666666666667,0.6171875,0.6226415094339622,90.80459770114942,0.08836075563680681,0.5652173913043478,0.26436781609195403,,0.0,0.4716981132075472,2.5541365907828983,4.886174347584675,11.771238200999445,5.108273181565797,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Unknown
759,3,Division II,mchenrycountycollege,Caeden Myers,,,,Wing,,,10,2.9849999999999994,3.25,2.5999999999999996,3,15.8,8.0,2.3,2.6,0.8,0.1,2.1,11.3,2.1,2.8,1.7,6.3,0.6303862112990744,0.588495575221239,104.41448585778483,0.18345376072935354,0.8846153846153846,0.1718213058419244,0.42857142857142855,0.18584070796460178,0.24778761061946902,3.4098360655737703,1.180327868852459,10.491803278688524,2.7540983606557377,Elite,5,Average,3,Average,3,Below Average,2,Below Average,2,Insufficient Volume,3,Average,3,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Elite,5,Average,3,Unknown
948,4,Division II,mchenrycountycollege,Nick Vuckovic,,,,Wing,,,12,2.8825000000000003,3.1500000000000004,2.45,3,14.583333333333334,3.5,2.0,2.75,1.0833333333333333,0.16666666666666666,2.25,11.166666666666666,4.0,1.75,0.4166666666666667,3.0833333333333335,0.6108628874616029,0.585820895522388,99.29641398093509,0.17899654682104407,0.7272727272727273,0.18724466636404902,0.4375,0.3582089552238806,0.15671641791044777,3.6646307606885062,1.665741254858412,4.664075513603554,2.9983342587451416,Elite,5,Average,3,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
1693,5,Division II,mchenrycountycollege,Malachi Barrett,,,,Wing,,,12,2.5575,2.85,1.95,3,14.916666666666666,2.75,2.6666666666666665,3.25,1.1666666666666667,0.0,2.9166666666666665,11.166666666666666,2.75,5.75,0.16666666666666666,2.5833333333333335,0.5445363835483086,0.5074626865671642,88.02124311565696,0.20654072719886246,0.8205128205128205,0.19177812745869394,0.42424242424242425,0.2462686567164179,0.5149253731343284,4.330927262631871,1.5546918378678511,3.6646307606885062,3.886729594669628,Average,3,Very Good,4,Poor,1,Below Average,2,Below Average,2,Elite,5,Average,3,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Average,3,Average,3,Unknown
1949,6,Division II,mchenrycountycollege,Gabriel Wright,,,,Wing,,,10,2.4575000000000005,2.3000000000000003,2.45,3,7.8,3.4,1.7,1.6,1.0,0.2,1.6,5.2,0.9,4.6,0.7,2.7,0.5398671096345515,0.40384615384615385,88.39528558476881,0.1074629773967264,1.0625,0.1813236627379873,0.4444444444444444,0.17307692307692307,0.8846153846153846,2.1462105969148224,1.6096579476861168,4.560697518443997,2.1462105969148224,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2073,7,Division II,mchenrycountycollege,Ben Gablenz,,,,Wing,,,12,2.425,2.55,2.0,3,3.8333333333333335,2.1666666666666665,1.5,1.0,0.75,0.16666666666666666,1.4166666666666667,2.75,1.5,0.08333333333333333,0.16666666666666666,2.0,0.687799043062201,0.6818181818181818,101.23239436619718,0.04615072110501726,1.5,0.26408450704225356,0.5,0.5454545454545454,0.030303030303030304,1.3325930038867295,1.2215435868961688,2.887284841754581,1.8878400888395337,Elite,5,Poor,1,Below Average,2,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2773,8,Division II,mchenrycountycollege,Logan Darragh,,,,Wing,,,12,2.2,2.1,2.0,3,2.9166666666666665,2.5833333333333335,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.5,0.9166666666666666,2.5,0.16666666666666666,0.8333333333333334,0.25,2.3333333333333335,0.5087209302325582,0.48333333333333334,84.54106280193237,0.042047531992687376,0.5714285714285714,0.16908212560386474,0.5,0.06666666666666667,0.3333333333333333,0.7773459189339256,1.110494169905608,3.442531926707385,1.2215435868961688,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2972,9,Division II,mchenrycountycollege,Will Dillon,,,,Wing,,,9,2.15,2.0,2.0,3,0.8888888888888888,0.5555555555555556,0.0,0.5555555555555556,0.0,0.0,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.5464480874316939,0.5,64.93506493506493,0.016565374065508523,0.0,0.40584415584415584,0.6666666666666666,0.5,0.5,0.7336757153338225,0.0,0.7336757153338225,0.586940572267058,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3165,10,Division II,mchenrycountycollege,Jake Terlecki,,,,Wing,,,9,2.0999999999999996,1.9,2.0,3,1.2222222222222223,1.0,0.4444444444444444,1.0,0.4444444444444444,0.1111111111111111,1.3333333333333333,1.0,0.0,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.5566801619433198,0.5555555555555556,58.262711864406775,0.02515991471215352,0.4444444444444444,0.47669491525423724,,0.0,0.2222222222222222,1.313868613138686,0.7299270072992701,1.313868613138686,1.7518248175182483,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
