MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
97,1,Division II,mesacommunitycollege,Denali McNeal,,,,Wing,,,8,3.7725,4.3,3.35,3,14.0,2.125,1.625,1.375,1.875,0.25,1.625,9.625,4.0,3.75,0.375,1.75,0.6208425720620843,0.5844155844155844,110.67193675889328,0.14405283835335647,1.1818181818181819,0.10869565217391304,0.375,0.4155844155844156,0.38961038961038963,1.7268445839874411,2.6687598116169546,2.6687598116169546,2.0408163265306123,Elite,5,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
249,2,Division II,mesacommunitycollege,Landon Brewer,,,,Wing,,,10,3.4825,4.35,2.45,3,10.4,2.3,1.0,0.4,1.0,0.2,1.4,7.1,3.3,1.5,0.6,1.7,0.6701030927835052,0.6619718309859155,127.45098039215686,0.09055397727272727,2.5,0.04901960784313726,0.42424242424242425,0.4647887323943662,0.2112676056338028,0.5047318611987381,1.5141955835962144,2.9022082018927446,1.7665615141955835,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
666,3,Division II,mesacommunitycollege,Tyreek Dean,,,,Wing,,,12,3.1500000000000004,2.95,3.5,3,15.416666666666666,7.0,1.5833333333333333,2.75,1.1666666666666667,0.4166666666666667,1.8333333333333333,11.0,0.5,4.083333333333333,2.4166666666666665,4.583333333333333,0.6023704089606668,0.5681818181818182,99.16380789022298,0.17277913610431947,0.5757575757575758,0.17688679245283018,0.3333333333333333,0.045454545454545456,0.3712121212121212,3.4957627118644066,2.01271186440678,8.898305084745763,2.330508474576271,Elite,5,Average,3,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Average,3,Unknown
1159,4,Division II,mesacommunitycollege,Anthony Turner,,,,Wing,,,8,2.9000000000000004,3.5000000000000004,2.0,3,8.5,2.75,1.5,1.125,0.75,0.125,0.875,6.0,2.5,0.625,0.25,2.5,0.6772908366533864,0.65625,114.86486486486486,0.08301082506029502,1.3333333333333333,0.15202702702702703,0.45,0.4166666666666667,0.10416666666666667,1.4139827179890023,1.0997643362136684,3.4564021995286724,1.0997643362136684,Elite,5,Poor,1,Elite,5,Average,3,Average,3,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1334,5,Division II,mesacommunitycollege,Cedarius Yates,,,,Wing,,,11,2.8324999999999996,3.05,2.45,3,6.545454545454546,2.727272727272727,1.0909090909090908,1.1818181818181819,1.0909090909090908,0.09090909090909091,1.0909090909090908,4.363636363636363,0.09090909090909091,1.7272727272727273,1.1818181818181819,1.5454545454545454,0.63875088715401,0.6145833333333334,103.80622837370242,0.06969733510189316,0.9230769230769231,0.18742791234140715,1.0,0.020833333333333332,0.3958333333333333,1.4848657909765848,1.4848657909765848,3.426613363792119,1.3706453455168475,Elite,5,Poor,1,Average,3,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1484,6,Division II,mesacommunitycollege,Ezias Steffen,,,,Wing,,,15,2.7749999999999995,3.2499999999999996,2.0,3,13.333333333333334,4.6,2.6666666666666665,2.2666666666666666,0.3333333333333333,0.3333333333333333,1.9333333333333333,9.8,2.933333333333333,2.8,0.6666666666666666,3.933333333333333,0.6043026347594875,0.5850340136054422,100.26067776218167,0.15206122697889984,1.1764705882352942,0.17044315219570885,0.36363636363636365,0.29931972789115646,0.2857142857142857,2.9272492466637967,0.8609556607834696,5.9405940594059405,2.496771416272062,Elite,5,Average,3,Below Average,2,Average,3,Below Average,2,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
1729,7,Division II,mesacommunitycollege,Mike Alexander,,,,Wing,,,11,2.6825,2.75,2.45,3,7.090909090909091,4.545454545454546,1.1818181818181819,1.1818181818181819,1.0,0.18181818181818182,1.1818181818181819,5.181818181818182,0.09090909090909091,0.6363636363636364,1.0909090909090908,3.4545454545454546,0.6491344873501997,0.631578947368421,106.73234811165845,0.07473309608540925,1.0,0.1778872468527641,0.0,0.017543859649122806,0.12280701754385964,1.4976958525345623,1.4976958525345623,5.76036866359447,1.4976958525345623,Elite,5,Poor,1,Average,3,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2224,8,Division II,mesacommunitycollege,Kashar Benton,,,,Wing,,,15,2.5125,1.85,3.25,3,8.733333333333333,6.866666666666666,1.4666666666666666,2.066666666666667,0.6666666666666666,1.1333333333333333,2.466666666666667,7.6,0.06666666666666667,1.8,1.6666666666666667,5.2,0.5203368287257706,0.5087719298245614,83.50331463539011,0.11958775460422001,0.7096774193548387,0.1976032636409995,0.0,0.008771929824561403,0.23684210526315788,2.668962548428756,2.324580284115368,8.867843306069737,3.1855359448988376,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Average,3,Average,3,Very Good,4,Very Good,4,Unknown
3444,9,Division II,mesacommunitycollege,Matthew Phair,,,,Wing,,,14,2.175,2.0500000000000003,2.0,3,4.071428571428571,3.0714285714285716,1.5,0.9285714285714286,0.8571428571428571,0.14285714285714285,1.0714285714285714,3.7142857142857144,0.5,0.6428571428571429,1.0714285714285714,2.0,0.5092923516797713,0.5096153846153846,82.65661252900232,0.056626703892264756,1.6153846153846154,0.1885150812064965,0.14285714285714285,0.1346153846153846,0.17307692307692307,1.205377839592026,1.2980992118683357,3.9870190078813166,1.3908205841446453,Below Average,2,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3591,10,Division II,mesacommunitycollege,Alex Burns,,,,Wing,,,8,2.15,2.0,2.0,3,3.25,1.625,1.875,1.375,0.875,0.0,0.625,2.75,0.75,1.0,0.5,1.125,0.5094043887147336,0.4318181818181818,71.19386637458928,0.05107692307692307,1.3636363636363635,0.30120481927710846,0.16666666666666666,0.2727272727272727,0.36363636363636365,1.7557861133280128,1.1173184357541899,2.075019952114924,0.7980845969672785,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
