MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
345,1,Division II,metropolitancommunitycollege,Ryheem Tyus,,,,Wing,,,15,3.2924999999999995,2.4999999999999996,4.55,3,9.6,10.466666666666667,1.2666666666666666,0.6,1.2,1.3333333333333333,2.3333333333333335,8.8,0.6666666666666666,2.6,4.2,6.266666666666667,0.48270313757039424,0.4659090909090909,91.04704097116844,0.11299725651577502,2.111111111111111,0.05690440060698027,0.3,0.07575757575757576,0.29545454545454547,0.7481296758104738,3.1587697423108896,13.050706566916043,2.9093931837073983,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Unknown
412,2,Division II,metropolitancommunitycollege,Devonte Watson,,,,Wing,,,15,3.2225,3.2,3.35,3,18.8,4.133333333333334,1.7333333333333334,2.1333333333333333,1.5333333333333334,0.8,2.4,15.4,6.133333333333334,5.266666666666667,0.6666666666666666,3.466666666666667,0.5305538832028899,0.487012987012987,94.7071466953251,0.21273433927754914,0.8125,0.10746910263299302,0.33695652173913043,0.39826839826839827,0.341991341991342,2.660016625103907,2.9093931837073983,5.15378221113882,2.9925187032418954,Average,3,Very Good,4,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
659,3,Division II,metropolitancommunitycollege,Blake Kilian,,,,Wing,,,13,3.05,3.8,2.0,3,9.76923076923077,4.384615384615385,1.1538461538461537,0.9230769230769231,0.5384615384615384,0.46153846153846156,2.3076923076923075,6.846153846153846,0.5384615384615384,2.5384615384615383,2.1538461538461537,2.230769230769231,0.6134080370942813,0.5674157303370787,109.93767313019391,0.09589268519440847,1.25,0.10387811634349031,0.14285714285714285,0.07865168539325842,0.3707865168539326,1.1594202898550725,1.2560386473429952,5.507246376811594,2.898550724637681,Elite,5,Poor,1,Very Good,4,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1300,4,Division II,metropolitancommunitycollege,Pierre Smith,,,,Wing,,,15,2.7299999999999995,2.25,3.3,3,12.266666666666667,4.533333333333333,2.4,2.3333333333333335,2.8,0.2,3.3333333333333335,13.666666666666666,4.333333333333333,3.3333333333333335,1.6,2.933333333333333,0.4052863436123348,0.37073170731707317,70.22900763358778,0.187185642432556,1.0285714285714285,0.13358778625954199,0.27692307692307694,0.3170731707317073,0.24390243902439024,2.9093931837073983,3.7406483790523692,5.652535328345802,4.156275976724855,Poor,1,Average,3,Poor,1,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Very Good,4,Poor,1,Elite,5,Poor,1,Average,3,Very Good,4,Unknown
1857,5,Division II,metropolitancommunitycollege,Cohen Kemei,,,,Wing,,,7,2.5,2.6999999999999997,2.0,3,2.142857142857143,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,1.0,1.7142857142857142,0.5714285714285714,0.0,0.0,0.42857142857142855,0.625,0.625,107.14285714285714,0.02131417087875282,0.5,0.14285714285714285,0.75,0.3333333333333333,0.0,0.34782608695652173,0.17391304347826086,0.5217391304347826,1.2173913043478262,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2163,6,Division II,metropolitancommunitycollege,Shawndale King,,,,Wing,,,15,2.39,1.85,2.9000000000000004,3,7.133333333333334,2.1333333333333333,1.0666666666666667,1.4,1.1333333333333333,0.5333333333333333,1.4,7.133333333333334,1.4,1.7333333333333334,0.6,1.5333333333333334,0.4517055048969943,0.4485981308411215,76.73551348250143,0.09962277091906721,0.7619047619047619,0.15060240963855423,0.19047619047619047,0.19626168224299065,0.24299065420560748,1.745635910224439,2.0781379883624274,2.660016625103907,1.745635910224439,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2181,7,Division II,metropolitancommunitycollege,Micah Taylor,,,,Wing,,,14,2.38,2.25,2.3,3,7.714285714285714,5.642857142857143,0.6428571428571429,1.1428571428571428,0.5714285714285714,0.2857142857142857,1.8571428571428572,6.714285714285714,0.42857142857142855,2.357142857142857,2.4285714285714284,3.2142857142857144,0.4976041282712864,0.5106382978723404,86.7330549309348,0.0941137346192218,0.5625,0.12849341471249598,0.3333333333333333,0.06382978723404255,0.35106382978723405,1.4103129131776113,1.0577346848832085,6.963420008814456,2.2917584839136182,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2292,8,Division II,metropolitancommunitycollege,John Elful,,,,Wing,,,9,2.35,2.4000000000000004,2.0,3,2.6666666666666665,2.111111111111111,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.2222222222222222,1.1111111111111112,2.2222222222222223,0.2222222222222222,0.8888888888888888,0.8888888888888888,1.2222222222222223,0.5102040816326531,0.425,94.04388714733543,0.030540928674006703,0.5,0.07836990595611286,0.5,0.1,0.4,0.2785515320334262,0.8356545961002786,2.6462395543175488,1.392757660167131,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2832,9,Division II,metropolitancommunitycollege,Nasir Simpson,,,,Wing,,,13,2.175,2.0500000000000003,2.0,3,3.0,1.0,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.9230769230769231,3.923076923076923,1.2307692307692308,0.38461538461538464,0.23076923076923078,0.7692307692307693,0.3665413533834586,0.3627450980392157,65.87837837837837,0.04914168077829797,1.0,0.10135135135135134,0.1875,0.3137254901960784,0.09803921568627451,0.5797101449275363,0.7729468599033816,1.2560386473429952,1.1594202898550725,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3033,10,Division II,metropolitancommunitycollege,Ivan Ramos,,,,Wing,,,13,2.125,1.9500000000000002,2.0,3,3.1538461538461537,1.4615384615384615,0.46153846153846156,0.7692307692307693,0.38461538461538464,0.0,1.0769230769230769,2.6923076923076925,0.8461538461538461,0.6153846153846154,0.38461538461538464,1.0769230769230769,0.5321910695742471,0.4857142857142857,84.50123660346249,0.0405197755211117,0.6,0.2061005770816158,0.5454545454545454,0.3142857142857143,0.22857142857142856,0.9689922480620154,0.4844961240310077,1.8410852713178294,1.3565891472868217,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
