MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
36,1,Division II,midmichigancollege,Zack Parks,,,,Wing,,,16,4.0275,4.6,3.65,3,18.625,6.5625,1.5625,0.9375,1.75,0.5,1.8125,12.0625,4.6875,5.1875,3.0625,3.5,0.6491808992680376,0.6062176165803109,121.87142156060854,0.16393134888710106,1.6666666666666667,0.061344675282185505,0.3466666666666667,0.38860103626943004,0.43005181347150256,1.1446012972148034,2.7470431133155286,8.012209080503625,2.2128958412819535,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
159,2,Division II,midmichigancollege,Amonti Green,,,,Wing,,,16,3.6224999999999996,4.0,3.35,3,17.1875,5.3125,5.375,2.75,1.9375,0.4375,2.125,11.3125,4.8125,5.3125,1.1875,4.125,0.6295787545787546,0.6049723756906077,104.80182926829269,0.1759184768034325,1.9545454545454546,0.1676829268292683,0.37662337662337664,0.425414364640884,0.4696132596685083,3.357497138496757,2.8996566196108358,6.486074017550553,2.594429607020221,Elite,5,Average,3,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
564,3,Division II,midmichigancollege,Vynce Overshown,,,,Wing,,,16,3.2075000000000005,3.8000000000000003,2.45,3,13.5,5.0,3.125,1.25,1.4375,0.125,1.625,10.9375,8.75,1.0625,1.1875,3.8125,0.5918456817185446,0.5771428571428572,106.6772026866851,0.13574684902118525,2.5,0.09877518767285659,0.38571428571428573,0.8,0.09714285714285714,1.5261350629530714,1.9076688286913392,6.104540251812286,1.9839755818389928,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
729,4,Division II,midmichigancollege,Jaden Clark,,,,Wing,,,16,3.1125,3.4,2.75,3,12.1875,5.875,1.4375,1.1875,1.125,0.0625,1.875,9.4375,5.1875,3.625,1.75,4.125,0.5523453433038749,0.5066225165562914,99.73404255319149,0.13108071869133814,1.2105263157894737,0.09717675941080196,0.3493975903614458,0.5496688741721855,0.3841059602649007,1.4498283098054179,1.4498283098054179,7.172834795879435,2.289202594429607,Average,3,Below Average,2,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
779,5,Division II,midmichigancollege,Christian Zielinski,,,,Wing,,,14,3.0824999999999996,3.55,2.45,3,13.571428571428571,4.428571428571429,2.642857142857143,1.7142857142857142,1.5714285714285714,0.07142857142857142,1.5,10.5,6.071428571428571,2.0714285714285716,1.5714285714285714,2.857142857142857,0.5946419629444166,0.564625850340136,103.39573356552025,0.14045922891124224,1.5416666666666667,0.130605137135394,0.35294117647058826,0.5782312925170068,0.19727891156462585,2.079722703639515,1.9930675909878683,5.37261698440208,1.8197573656845754,Very Good,4,Below Average,2,Average,3,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
832,6,Division II,midmichigancollege,Darrin Weaver,,,,Wing,,,13,3.05,3.8000000000000003,2.0,3,5.538461538461538,1.0769230769230769,0.46153846153846156,0.5384615384615384,0.6923076923076923,0.15384615384615385,1.2307692307692308,3.6923076923076925,1.1538461538461537,1.3846153846153846,0.07692307692307693,1.0,0.6437768240343348,0.625,114.43102352193262,0.05177918957174365,0.8571428571428571,0.1112523839796567,0.4,0.3125,0.375,0.6539000467071462,1.027557216254087,1.3078000934142924,1.4946286781877627,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1637,7,Division II,midmichigancollege,Brayden Clark,,,,Wing,,,11,2.7249999999999996,3.1499999999999995,2.0,3,2.272727272727273,2.090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.7272727272727273,1.3636363636363635,0.36363636363636365,0.7272727272727273,1.0,1.0909090909090908,0.6749460043196545,0.6333333333333333,111.01243339253996,0.022125284917079303,0.0,0.17761989342806395,0.75,0.26666666666666666,0.5333333333333333,0.44493882091212456,0.3337041156840934,2.558398220244716,0.8898776418242491,Elite,5,Poor,1,Very Good,4,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1681,8,Division II,midmichigancollege,Bryce White,,,,Wing,,,13,2.7,3.1000000000000005,2.0,3,4.461538461538462,1.8461538461538463,1.1538461538461537,0.38461538461538464,0.7692307692307693,0.07692307692307693,1.4615384615384615,3.6923076923076925,1.8461538461538463,0.7692307692307693,0.46153846153846156,1.3846153846153846,0.5534351145038168,0.53125,101.04529616724739,0.04723657789920669,3.0,0.08710801393728224,0.375,0.5,0.20833333333333334,0.4670714619336759,1.027557216254087,2.241943017281644,1.7748715553479681,Average,3,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2240,9,Division II,midmichigancollege,Caleb Lindsey,,,,Wing,,,15,2.5075000000000003,2.4000000000000004,2.45,3,6.733333333333333,3.533333333333333,1.7333333333333334,0.9333333333333333,1.0,0.6,2.2666666666666666,5.866666666666666,3.1333333333333333,1.7333333333333334,1.0,2.533333333333333,0.5078439259855189,0.4943181818181818,89.03385049365303,0.08111664092443224,1.8571428571428572,0.1234132581100141,0.23404255319148937,0.5340909090909091,0.29545454545454547,1.1409942950285248,1.9559902200488997,4.319478402607987,2.7709861450692745,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Poor,1,Very Good,4,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2461,10,Division II,midmichigancollege,Seth Mead,,,,Wing,,,10,2.4499999999999997,2.5999999999999996,2.0,3,1.6,0.8,0.3,0.1,0.3,0.0,0.6,1.7,0.3,1.2,0.4,0.4,0.3590664272890485,0.35294117647058826,68.72852233676976,0.02452384965447497,3.0,0.0429553264604811,0.0,0.17647058823529413,0.7058823529411765,0.1189767995240928,0.35693039857227843,0.9518143961927424,0.7138607971445569,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
