MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
341,1,Division II,montcalmcommunitycollege,Taylen Carver,,,,Wing,,,8,3.3325000000000005,4.050000000000001,2.45,3,17.75,2.75,2.5,1.75,1.125,0.125,1.625,12.875,8.5,2.75,0.75,2.0,0.630102946396876,0.6019417475728155,112.09346384591095,0.17738321944662264,1.4285714285714286,0.11051468266498263,0.4411764705882353,0.6601941747572816,0.21359223300970873,2.2819885900570496,1.6299918500407498,3.5859820700896496,2.1189894050529747,Elite,5,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
555,2,Division II,montcalmcommunitycollege,Trevor Zamarron,,,,Wing,,,11,3.1500000000000004,4.0,2.0,3,9.0,1.4545454545454546,1.1818181818181819,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.8181818181818182,7.454545454545454,6.090909090909091,0.36363636363636365,0.09090909090909091,1.3636363636363635,0.5909742120343839,0.5853658536585366,116.80037753657385,0.08870562625586068,13.0,0.011798017932987258,0.417910447761194,0.8170731707317073,0.04878048780487805,0.11976047904191617,0.8383233532934131,1.9161676646706587,1.0778443113772456,Very Good,4,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
681,3,Division II,montcalmcommunitycollege,Mason Dunn,,,,Wing,,,11,3.0774999999999997,2.6999999999999997,3.65,3,8.545454545454545,5.454545454545454,3.1818181818181817,1.4545454545454546,1.2727272727272727,0.9090909090909091,2.1818181818181817,7.454545454545454,4.090909090909091,0.5454545454545454,0.9090909090909091,4.545454545454546,0.5552930056710775,0.5609756097560976,93.40222575516692,0.10532484929671801,2.1875,0.1589825119236884,0.4,0.5487804878048781,0.07317073170731707,1.9161676646706587,2.874251497005988,7.18562874251497,2.874251497005988,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
808,4,Division II,montcalmcommunitycollege,James Browning,,,,Wing,,,10,3.0149999999999997,3.0999999999999996,2.9,3,6.4,8.7,1.2,0.7,0.4,0.1,2.1,4.7,0.0,2.2,3.4,5.3,0.5645730416372619,0.5531914893617021,100.50251256281408,0.0728037682352403,1.7142857142857142,0.1099246231155779,,0.0,0.46808510638297873,0.9216589861751152,0.6583278472679395,11.454904542462145,2.7649769585253456,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Unknown
1237,5,Division II,montcalmcommunitycollege,Zhian Briggs,,,,Wing,,,11,2.8,3.3000000000000003,2.0,3,8.0,3.0,3.4545454545454546,1.0,1.0,0.0,1.8181818181818181,5.818181818181818,1.3636363636363635,2.3636363636363638,0.36363636363636365,2.6363636363636362,0.5832449628844115,0.5390625,101.8047200370199,0.09046383121232417,3.4545454545454546,0.12725590004627488,0.3333333333333333,0.234375,0.40625,1.3173652694610778,1.3173652694610778,3.9520958083832336,2.395209580838323,Very Good,4,Poor,1,Below Average,2,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1250,6,Division II,montcalmcommunitycollege,Javen Medaris,,,,Wing,,,11,2.8,3.3,2.0,3,5.0,1.7272727272727273,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.0,0.45454545454545453,3.272727272727273,0.2727272727272727,1.3636363636363635,0.2727272727272727,1.4545454545454546,0.6455399061032864,0.6111111111111112,110.88709677419355,0.05237149976770706,0.2857142857142857,0.1411290322580645,0.0,0.08333333333333333,0.4166666666666667,0.8449004224502112,0.24140012070006034,2.2933011466505735,0.6035003017501509,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1257,7,Division II,montcalmcommunitycollege,Zeke Robinet,,,,Wing,,,7,2.8,3.3,2.0,3,2.142857142857143,2.7142857142857144,1.0,0.5714285714285714,0.5714285714285714,0.0,1.0,1.0,0.42857142857142855,0.8571428571428571,0.7142857142857143,2.0,0.7780082987551866,0.7142857142857143,109.97067448680352,0.02287362489938288,1.75,0.29325513196480935,0.6666666666666666,0.42857142857142855,0.8571428571428571,0.7714561234329798,0.7714561234329798,3.664416586306654,1.3500482160077145,Elite,5,Poor,1,Very Good,4,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1551,8,Division II,montcalmcommunitycollege,Dawson Dunn,,,,Wing,,,11,2.675,3.05,2.0,3,8.181818181818182,3.727272727272727,1.3636363636363635,1.0,0.45454545454545453,0.2727272727272727,1.9090909090909092,6.454545454545454,4.0,1.8181818181818181,1.1818181818181819,2.5454545454545454,0.5639097744360902,0.5563380281690141,99.11894273127754,0.09502679169457467,1.3636363636363635,0.1211453744493392,0.3409090909090909,0.6197183098591549,0.28169014084507044,1.3173652694610778,0.9580838323353293,4.910179640718563,2.5149700598802394,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1977,9,Division II,montcalmcommunitycollege,Makur Reclow,,,,Wing,,,11,2.5075000000000003,2.4000000000000004,2.45,3,5.454545454545454,2.1818181818181817,1.5454545454545454,0.9090909090909091,0.2727272727272727,0.9090909090909091,0.6363636363636364,4.7272727272727275,0.36363636363636365,1.4545454545454546,0.7272727272727273,1.4545454545454546,0.508130081300813,0.5096153846153846,86.9061413673233,0.0722538513060951,1.7,0.14484356894553885,0.25,0.07692307692307693,0.3076923076923077,1.1976047904191616,1.5568862275449102,2.874251497005988,0.8383233532934131,Below Average,2,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2083,10,Division II,montcalmcommunitycollege,Jahmere Evans,,,,Wing,,,8,2.4749999999999996,2.65,2.0,3,5.375,1.0,0.375,1.375,0.25,0.125,1.875,3.375,1.375,2.0,0.125,0.875,0.6316098707403055,0.5740740740740741,95.47069271758437,0.0661224969170239,0.2727272727272727,0.24422735346358793,0.2727272727272727,0.4074074074074074,0.5925925925925926,1.839464882943144,0.5016722408026756,1.3377926421404682,2.508361204013378,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
