MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
28,1,Division II,montgomerycollegemd,Ian Pascal,,,,Wing,,,17,4.06,4.35,4.1,3,25.58823529411765,6.882352941176471,2.823529411764706,3.1176470588235294,2.1176470588235294,0.7058823529411765,1.588235294117647,17.11764705882353,4.588235294117647,6.235294117647059,1.9411764705882353,4.9411764705882355,0.6441772301859969,0.5962199312714777,111.3557239402007,0.23688359570184592,0.9056603773584906,0.13567479008806063,0.4230769230769231,0.26804123711340205,0.3642611683848797,3.5993208828522922,3.2597623089983023,7.945670628183362,1.833616298811545,Elite,5,Elite,5,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Average,3,Unknown
970,2,Division II,montgomerycollegemd,Jordan Emecheta,,,,Wing,,,14,2.99,2.35,3.9,3,9.428571428571429,7.714285714285714,1.2857142857142858,1.6428571428571428,0.6428571428571429,3.0,3.357142857142857,7.071428571428571,1.7142857142857142,3.142857142857143,1.7857142857142858,5.928571428571429,0.5576208178438662,0.5404040404040404,93.3786078098472,0.10328501285948098,0.782608695652174,0.16270514997170343,0.2916666666666667,0.24242424242424243,0.4444444444444444,1.8798528810788722,4.168369431957499,8.827135267674704,3.841438496117695,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Average,3,Average,3,Elite,5,Unknown
1126,3,Division II,montgomerycollegemd,Christopher Levy,,,,Wing,,,15,2.92,3.4,2.2,3,17.6,4.333333333333333,3.8666666666666667,2.8,1.4,0.0,2.8666666666666667,11.8,5.066666666666666,7.2,0.8,3.533333333333333,0.5879208979155531,0.5056497175141242,99.0544799639802,0.18342739160357885,1.380952380952381,0.15758667266996848,0.35526315789473684,0.4293785310734463,0.6101694915254238,3.2171581769436997,1.6085790884718498,4.97893527384144,3.293757181156645,Very Good,4,Average,3,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
2088,4,Division II,montgomerycollegemd,Adrian Amaya,,,,Wing,,,14,2.55,2.8000000000000003,2.0,3,5.357142857142857,1.5,1.0,0.6428571428571429,0.2857142857142857,0.21428571428571427,1.3571428571428572,4.785714285714286,3.142857142857143,0.5,0.2857142857142857,1.2142857142857142,0.5351027397260274,0.5298507462686567,94.84066767830046,0.05748764175632452,1.5555555555555556,0.11380880121396054,0.38636363636363635,0.6567164179104478,0.1044776119402985,0.7328990228013029,0.5700325732899023,1.710097719869707,1.5472312703583062,Average,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2433,5,Division II,montgomerycollegemd,Farah Abdalla,,,,Wing,,,12,2.4574999999999996,2.3,2.45,3,8.083333333333334,3.25,1.5833333333333333,2.3333333333333335,1.4166666666666667,0.25,2.0833333333333335,6.416666666666667,2.5833333333333335,1.0,0.9166666666666666,2.3333333333333335,0.589450656295576,0.5844155844155844,87.95792528110265,0.09310414696744565,0.6785714285714286,0.2538991657598839,0.3870967741935484,0.4025974025974026,0.15584415584415584,2.626641651031895,1.876172607879925,3.658536585365854,2.345215759849906,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2782,6,Division II,montgomerycollegemd,Aimane Elbouazzaoui,,,,Wing,,,12,2.35,2.4000000000000004,2.0,3,10.75,4.333333333333333,3.4166666666666665,2.1666666666666665,0.9166666666666666,0.0,0.75,9.25,2.8333333333333335,3.8333333333333335,0.6666666666666666,3.6666666666666665,0.49146601645839677,0.4594594594594595,82.04019333502924,0.13275023639065248,1.5769230769230769,0.16535232765199695,0.23529411764705882,0.3063063063063063,0.4144144144144144,2.4390243902439024,1.0318949343339587,4.878048780487805,0.8442776735459663,Below Average,2,Below Average,2,Poor,1,Very Good,4,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3195,7,Division II,montgomerycollegemd,Daunte Foster,,,,Wing,,,6,2.25,2.2,2.0,3,4.666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,1.1666666666666667,5.166666666666667,2.1666666666666665,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.4055619930475087,0.4032258064516129,72.68951194184838,0.06187355435620663,0.5,0.10384215991692626,0.38461538461538464,0.41935483870967744,0.25806451612903225,0.7266121707538601,0.9082652134423251,0.7266121707538601,1.2715712988192551,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3305,8,Division II,montgomerycollegemd,Mohammed Lo,,,,Wing,,,15,2.2249999999999996,1.8,2.5,3,2.7333333333333334,6.266666666666667,0.8666666666666667,1.8,0.6666666666666666,0.7333333333333333,2.933333333333333,2.2,0.26666666666666666,1.2666666666666666,2.7333333333333334,3.533333333333333,0.49564796905222436,0.5909090909090909,59.97659449970743,0.046389793702497295,0.48148148148148145,0.39496781743709775,0.25,0.12121212121212122,0.5757575757575758,2.0618556701030926,1.6036655211912945,7.178312332951508,3.360061092019855,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
3917,9,Division II,montgomerycollegemd,Isaac Vasquez,,,,Wing,,,14,2.05,1.8,2.0,3,2.5,2.2142857142857144,0.21428571428571427,0.8571428571428571,0.42857142857142855,0.35714285714285715,1.4285714285714286,2.142857142857143,0.5714285714285714,0.7857142857142857,0.7857142857142857,1.4285714285714286,0.5022962112514351,0.5,74.72245943637915,0.034050596103518474,0.25,0.2561912894961571,0.25,0.26666666666666666,0.36666666666666664,0.9771986970684039,0.8957654723127035,2.52442996742671,1.6286644951140066,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3954,10,Division II,montgomerycollegemd,Joshua Switzer,,,,Wing,,,10,2.05,1.8,2.0,3,0.9,1.3,0.6,0.5,0.1,0.1,0.6,1.0,0.4,0.3,0.7,0.6,0.39752650176678445,0.3,55.14705882352941,0.016676203711272784,1.2,0.30637254901960786,0.0,0.4,0.3,0.5668934240362812,0.22675736961451248,1.473922902494331,0.6802721088435374,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4343,11,Division II,montgomerycollegemd,Mattia De Cecco,,,,Wing,,,8,1.9000000000000001,1.5000000000000002,2.0,3,0.5,1.5,1.375,0.75,0.25,0.0,0.875,2.125,0.625,0.125,0.625,0.875,0.1146788990825688,0.11764705882352941,17.064846416382252,0.028781925343811396,1.8333333333333333,0.25597269624573377,0.0,0.29411764705882354,0.058823529411764705,0.8270158511371468,0.27567195037904896,1.6540317022742936,0.9648518263266712,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4397,12,Division II,montgomerycollegemd,Joseph Bueno-Blyden,,,,Wing,,,10,1.875,1.4500000000000002,2.0,3,1.2,1.3,0.3,0.6,0.0,0.4,1.6,1.9,0.8,0.4,0.5,0.8,0.2890173410404624,0.23684210526315788,44.84304932735426,0.026825454108023578,0.5,0.22421524663677128,0.125,0.42105263157894735,0.21052631578947367,0.667779632721202,0.44518642181413465,1.4468558708959376,1.7807456872565386,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4413,13,Division II,montgomerycollegemd,Osman Mansaray,,,,Wing,,,14,1.8749999999999998,1.45,2.0,3,2.7857142857142856,1.4285714285714286,0.8571428571428571,1.0,0.6428571428571429,0.07142857142857142,0.8571428571428571,3.2142857142857144,1.2142857142857142,0.42857142857142855,0.6428571428571429,0.7857142857142857,0.4093198992443325,0.4222222222222222,63.27060350421804,0.04465501753165842,0.8571428571428571,0.227125243348475,0.23529411764705882,0.37777777777777777,0.13333333333333333,1.132686084142395,0.8090614886731392,1.6181229773462784,0.970873786407767,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
