MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
48,1,Division II,morainevalleycommunitycollege,Ali Oralkan,,,,Wing,,,13,3.9875,3.75,4.75,3,11.76923076923077,9.461538461538462,2.923076923076923,1.3846153846153846,2.0,1.2307692307692308,2.4615384615384617,8.461538461538462,2.076923076923077,2.6153846153846154,2.6153846153846154,6.846153846153846,0.6121959026888604,0.6090909090909091,107.0229434806939,0.13131498695668148,2.111111111111111,0.12590934527140457,0.2962962962962963,0.24545454545454545,0.3090909090909091,1.8547140649149922,4.327666151468315,12.673879443585781,3.297269448737764,Elite,5,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Unknown
684,2,Division II,morainevalleycommunitycollege,Reggie Strong,,,,Wing,,,13,3.1275000000000004,2.8000000000000003,3.65,3,13.923076923076923,5.3076923076923075,3.1538461538461537,2.3846153846153846,1.6153846153846154,0.38461538461538464,1.6153846153846154,11.76923076923077,6.461538461538462,2.6923076923076925,0.6153846153846154,4.6923076923076925,0.5374109263657957,0.5130718954248366,90.77231695085256,0.18315758533269647,1.3225806451612903,0.15546639919759278,0.32142857142857145,0.5490196078431373,0.22875816993464052,3.194229778464709,2.6790314270994333,7.109737248840804,2.1638330757341575,Average,3,Average,3,Poor,1,Average,3,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Average,3,Very Good,4,Below Average,2,Elite,5,Very Good,4,Unknown
783,3,Division II,morainevalleycommunitycollege,TJ Lee,,,,Wing,,,13,3.0700000000000003,3.7,2.2,3,13.538461538461538,2.769230769230769,1.5384615384615385,1.0769230769230769,1.1538461538461537,0.07692307692307693,2.6923076923076925,10.384615384615385,5.230769230769231,4.0,0.9230769230769231,1.8461538461538463,0.5573853559665569,0.4962962962962963,102.39702117756575,0.15787926663482382,1.4285714285714286,0.08145217593670002,0.35294117647058826,0.5037037037037037,0.3851851851851852,1.4425553838227718,1.648634724368882,3.7094281298299845,3.6063884595569293,Average,3,Average,3,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
934,4,Division II,morainevalleycommunitycollege,Frank DeCarlo,,,,Wing,,,9,3.0,3.6999999999999997,2.0,3,7.0,1.6666666666666667,1.4444444444444444,0.5555555555555556,0.6666666666666666,0.0,1.2222222222222223,4.777777777777778,2.6666666666666665,2.6666666666666665,0.3333333333333333,1.3333333333333333,0.5881254667662434,0.5,107.58196721311475,0.07348659773115149,2.6,0.08538251366120218,0.2916666666666667,0.5581395348837209,0.5581395348837209,0.6978367062107467,0.837404047452896,2.0935101186322402,1.5352407536636428,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1098,5,Division II,morainevalleycommunitycollege,Ramzy Barbarawi,,,,Wing,,,6,2.925,3.5500000000000003,2.0,3,5.5,0.6666666666666666,0.0,0.6666666666666666,0.5,0.0,0.16666666666666666,3.6666666666666665,2.5,1.5,0.16666666666666666,0.5,0.635593220338983,0.5681818181818182,110.14686248331108,0.066875,0.0,0.13351134846461948,0.3333333333333333,0.6818181818181818,0.4090909090909091,0.9937888198757764,0.7453416149068323,0.9937888198757764,0.2484472049689441,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1389,6,Division II,morainevalleycommunitycollege,Grantas Sakenis,,,,Wing,,,13,2.8,3.3,2.0,3,7.846153846153846,3.6923076923076925,0.38461538461538464,1.0,0.23076923076923078,0.3076923076923077,2.1538461538461537,5.3076923076923075,0.0,1.7692307692307692,1.8461538461538463,1.8461538461538463,0.6445904954499494,0.6521739130434783,110.7251411202779,0.08461623250174523,0.38461538461538464,0.1411202778983934,,0.0,0.3333333333333333,1.3395157135497167,0.7212776919113859,4.945904173106646,2.8851107676455436,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1800,7,Division II,morainevalleycommunitycollege,Yousef Jarad,,,,Wing,,,12,2.6450000000000005,2.85,2.2,3,6.833333333333333,3.1666666666666665,1.1666666666666667,1.0833333333333333,0.9166666666666666,0.3333333333333333,2.5,3.9166666666666665,1.0833333333333333,4.166666666666667,1.25,1.9166666666666667,0.5942028985507246,0.5319148936170213,100.0,0.07532057170151008,1.0769230769230769,0.15853658536585366,0.3076923076923077,0.2765957446808511,1.0638297872340425,1.3395157135497167,1.545595054095827,3.915507470376095,3.091190108191654,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
2255,8,Division II,morainevalleycommunitycollege,Josh Lawson,,,,Wing,,,13,2.4825,2.35,2.45,3,8.692307692307692,3.6923076923076925,3.1538461538461537,1.8461538461538463,1.2307692307692308,0.15384615384615385,2.0,8.846153846153847,1.3076923076923077,3.5384615384615383,0.8461538461538461,2.8461538461538463,0.4177758059745637,0.36086956521739133,70.96206983170057,0.14626887607010325,1.7083333333333333,0.15071590052750564,0.17647058823529413,0.14782608695652175,0.4,2.472952086553323,1.8547140649149922,4.945904173106646,2.6790314270994333,Poor,1,Below Average,2,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2280,9,Division II,morainevalleycommunitycollege,Noah Harris,,,,Wing,,,10,2.4750000000000005,2.6500000000000004,2.0,3,1.6,0.6,0.0,0.2,0.2,0.1,0.7,1.0,0.2,1.0,0.4,0.2,0.5555555555555556,0.55,97.5609756097561,0.017948605699776733,0.0,0.12195121951219513,0.5,0.2,1.0,0.2457002457002457,0.36855036855036855,0.7371007371007371,0.85995085995086,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2766,10,Division II,morainevalleycommunitycollege,Lawson Walker,,,,Wing,,,13,2.3499999999999996,2.3999999999999995,2.0,3,1.5384615384615385,2.769230769230769,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.3076923076923077,1.3076923076923077,1.8461538461538463,0.15384615384615385,0.3076923076923077,1.5384615384615385,1.2307692307692308,0.3881987577639751,0.3541666666666667,72.04610951008645,0.02549876915163317,2.0,0.07204610951008646,0.5,0.08333333333333333,0.16666666666666666,0.20607934054611024,0.9273570324574961,3.7094281298299845,1.751674394641937,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
