MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
849,1,Division II,mortoncollege,Devon Nangle,,,,Wing,,,6,3.05,3.8,2.0,3,2.3333333333333335,1.1666666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.8101851851851851,0.8333333333333334,145.22821576763485,0.02232928750115816,0.0,0.10373443983402489,0.5,0.6666666666666666,1.0,0.2597402597402597,0.0,1.8181818181818181,0.0,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
869,2,Division II,mortoncollege,Kevin Cathey Jr,,,,Wing,,,16,3.04,3.15,2.9000000000000004,3,11.1875,3.875,3.125,2.1875,1.4375,0.0625,1.75,7.125,1.25,3.1875,1.4375,2.4375,0.6559659923776019,0.6052631578947368,104.4097060195987,0.1326934984520124,1.4285714285714286,0.20415305646290247,0.3,0.17543859649122806,0.4473684210526316,3.0434782608695654,2.0869565217391304,5.391304347826087,2.4347826086956523,Elite,5,Below Average,2,Average,3,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1034,3,Division II,mortoncollege,Danny Thompson,,,,Wing,,,17,2.9574999999999996,3.3,2.45,3,9.058823529411764,4.411764705882353,1.2941176470588236,1.411764705882353,0.8235294117647058,0.23529411764705882,0.7058823529411765,6.647058823529412,2.588235294117647,1.7647058823529411,0.6470588235294118,3.764705882352941,0.6101426307448494,0.588495575221239,102.52996005326233,0.10808243624431524,0.9166666666666666,0.15978695073235688,0.3409090909090909,0.3893805309734513,0.26548672566371684,1.9292604501607717,1.4469453376205788,6.028938906752412,0.9646302250803859,Elite,5,Poor,1,Average,3,Below Average,2,Average,3,Very Good,4,Average,3,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1326,4,Division II,mortoncollege,Zion Young,,,,Wing,,,15,2.835,2.95,2.5999999999999996,3,9.733333333333333,6.733333333333333,1.0,1.0666666666666667,0.26666666666666666,0.5333333333333333,1.5333333333333334,7.866666666666666,0.8,2.2666666666666666,1.8666666666666667,4.866666666666666,0.5490373044524669,0.5254237288135594,98.01288936627282,0.12303016287290629,0.9375,0.10741138560687433,0.3333333333333333,0.1016949152542373,0.288135593220339,1.4732965009208103,1.1049723756906078,9.300184162062616,2.117863720073665,Average,3,Below Average,2,Below Average,2,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Unknown
1740,5,Division II,mortoncollege,Jordan Brooks,,,,Wing,,,16,2.675,3.0500000000000003,2.0,3,14.375,3.375,1.875,1.75,0.75,0.0,0.875,10.6875,5.5625,5.0625,0.5,2.875,0.556523422377081,0.49122807017543857,98.02250255710877,0.181609907120743,1.0714285714285714,0.11933174224343676,0.29213483146067415,0.52046783625731,0.47368421052631576,2.4347826086956523,1.0434782608695652,4.695652173913044,1.2173913043478262,Average,3,Average,3,Below Average,2,Below Average,2,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2534,6,Division II,mortoncollege,Jyson Kim,,,,Wing,,,12,2.425,2.5500000000000003,2.0,3,5.25,1.75,1.0,0.6666666666666666,0.4166666666666667,0.0,0.5,4.666666666666667,1.8333333333333333,0.5833333333333334,0.25,1.5,0.533175355450237,0.5178571428571429,93.91771019677996,0.06952448074292111,1.5,0.11926058437686345,0.2727272727272727,0.39285714285714285,0.125,0.9291521486643438,0.5807200929152149,2.4390243902439024,0.6968641114982579,Average,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2857,7,Division II,mortoncollege,Javerion Banks,,,,Wing,,,11,2.3325000000000005,2.0500000000000003,2.45,3,7.909090909090909,4.181818181818182,1.8181818181818181,1.3636363636363635,1.2727272727272727,0.0,1.3636363636363635,7.454545454545454,1.4545454545454546,1.0909090909090908,0.8181818181818182,3.3636363636363638,0.49839596700274974,0.49390243902439024,85.06061791161517,0.10857288437858266,1.3333333333333333,0.14665623777864684,0.1875,0.1951219512195122,0.14634146341463414,1.7825311942959001,1.6636957813428401,5.466428995840761,1.7825311942959001,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3068,8,Division II,mortoncollege,Simon Tesfit,,,,Wing,,,14,2.2750000000000004,2.2500000000000004,2.0,3,5.071428571428571,1.6428571428571428,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0,0.5,4.928571428571429,3.642857142857143,0.07142857142857142,0.2857142857142857,1.3571428571428572,0.5112327188940092,0.5072463768115942,94.11452810180276,0.0675695041559186,0.5,0.07953340402969247,0.35294117647058826,0.7391304347826086,0.014492753623188406,0.5985037406483791,0.39900249376558605,2.29426433915212,0.6982543640897756,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3164,9,Division II,mortoncollege,Stanislav Toderasco,,,,Wing,,,13,2.25,2.2,2.0,3,3.230769230769231,0.8461538461538461,0.5384615384615384,0.8461538461538461,0.6153846153846154,0.0,0.8461538461538461,2.3846153846153846,0.46153846153846156,0.8461538461538461,0.23076923076923078,0.6153846153846154,0.5859374999999999,0.5483870967741935,89.66695132365498,0.04543867137480114,0.6363636363636364,0.23484201537147736,0.3333333333333333,0.1935483870967742,0.3548387096774194,1.1911207363291825,0.8662696264212236,1.1911207363291825,1.1911207363291825,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3257,10,Division II,mortoncollege,Amir Speights,,,,Wing,,,13,2.225,2.1500000000000004,2.0,3,3.923076923076923,1.5384615384615385,1.0769230769230769,0.8461538461538461,0.8461538461538461,0.0,0.46153846153846156,4.076923076923077,1.6153846153846154,1.5384615384615385,0.38461538461538464,1.1538461538461537,0.412621359223301,0.3584905660377358,70.05494505494505,0.07062201699584805,1.2727272727272727,0.15109890109890112,0.19047619047619047,0.39622641509433965,0.37735849056603776,1.1911207363291825,1.1911207363291825,2.165674066053059,0.6497022198159177,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3625,11,Division II,mortoncollege,Cristian Revenco,,,,Wing,,,16,2.135,1.55,2.5999999999999996,3,5.625,6.25,0.6875,1.4375,0.3125,0.4375,1.1875,5.375,0.125,0.875,1.6875,4.5625,0.48828125,0.5,78.15213615838833,0.08847572218807621,0.4782608695652174,0.19972212573810352,0.0,0.023255813953488372,0.16279069767441862,1.9759450171821307,1.0309278350515463,8.59106529209622,1.6323024054982818,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Unknown
3776,12,Division II,mortoncollege,Jeremiah Lesure,,,,Wing,,,13,2.0999999999999996,1.9,2.0,3,2.769230769230769,1.3076923076923077,0.15384615384615385,0.6923076923076923,0.46153846153846156,0.3076923076923077,0.9230769230769231,2.230769230769231,0.38461538461538464,0.5384615384615384,0.38461538461538464,0.9230769230769231,0.5610972568578554,0.5344827586206896,87.63388510223953,0.03985099530479997,0.2222222222222222,0.21908471275559885,0.2,0.1724137931034483,0.2413793103448276,0.9745533297238765,1.0828370330265296,1.8408229561451002,1.2994044396318354,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
